date,open,max,min,close,volume,y
20000330,1.72,1.72,1.72,1.72,516000,[0 0]
20000412,1.01,1.01,1.0,1.0,401000,[0 0]
20020826,1.0,1.0,1.0,1.0,100000,[0 0]
20020827,1.0,1.0,1.0,1.0,100000,[0 0]
20020828,1.0,1.0,1.0,1.0,100000,[1 1]
20020829,1.0,1.0,1.0,1.0,100000,[0 0]
20020830,1.0,1.0,1.0,1.0,100000,[1 1]
20030318,0.2,0.2,0.2,0.2,60000,[0 0]
20030410,0.15,0.15,0.15,0.15,405000,[1 0]
20030415,0.2,0.32,0.2,0.32,6524000,[1 1]
20030527,0.35,0.35,0.35,0.35,175000,[1 1]
20030616,0.35,0.35,0.35,0.35,3675000,[1 1]
20030625,0.35,0.35,0.35,0.35,35000,[0 1]
20030702,0.4,0.4,0.4,0.4,600000,[1 1]
20030708,0.4,0.45,0.4,0.45,125000,[0 1]
20030224,0.15,0.15,0.15,0.15,4500000,[0 0]
20030228,0.15,0.15,0.15,0.15,4500000,[1 0]
20030805,0.4,0.4,0.4,0.4,40000,[0 1]
20030306,0.17,0.17,0.17,0.17,6800000,[1 1]
20030822,0.45,0.5,0.45,0.5,32910000,[0 1]
20030825,0.6,0.6,0.6,0.6,180000,[0 0]
20030826,0.71,0.71,0.71,0.71,355000,[0 0]
20030828,0.89,0.89,0.89,0.89,89000,[1 0]
20030829,0.95,0.95,0.95,0.95,95000,[0 1]
20030905,0.95,1.0,0.95,1.0,395000,[0 0]
20030909,1.0,1.0,1.0,1.0,200000,[0 1]
20030910,1.05,1.05,1.05,1.05,105000,[0 1]
20030911,1.09,1.09,1.09,1.09,109000,[0 0]
20030912,1.2,1.2,1.2,1.2,360000,[1 1]
20030915,1.0,1.0,1.0,1.0,500000,[0 0]
20030922,1.1,1.1,1.1,1.1,440000,[0 0]
20030923,1.1,1.1,1.1,1.1,220000,[0 1]
20030924,0.9,0.9,0.9,0.9,270000,[0 0]
20031001,1.2,1.2,1.2,1.2,720000,[0 0]
20031007,1.2,1.2,1.2,1.2,120000,[1 1]
20031009,1.2,1.2,1.2,1.2,120000,[1 0]
20031010,1.25,1.25,1.25,1.25,125000,[1 0]
20031014,1.3,1.3,1.3,1.3,130000,[1 0]
20031017,1.35,1.35,1.35,1.35,135000,[0 1]
20031110,1.0,1.0,1.0,1.0,1400000,[1 0]
20031118,1.02,1.02,1.02,1.02,102000,[0 0]
20031120,0.96,0.96,0.96,0.96,96000,[0 0]
20031124,0.95,0.95,0.95,0.95,95000,[1 1]
20031125,0.93,0.93,0.93,0.93,93000,[0 1]
20031126,0.93,0.94,0.93,0.93,280000,[1 0]
20031128,0.92,1.01,0.92,1.01,5610000,[0 0]
20031202,1.01,1.01,1.01,1.01,404000,[0 1]
20031203,1.01,1.01,1.01,1.01,303000,[0 1]
20031216,1.05,1.05,1.05,1.05,315000,[0 0]
20031217,1.05,1.05,1.0,1.0,1105000,[0 1]
20040524,0.85,0.85,0.85,0.85,170000,[0 0]
20040601,0.82,0.82,0.82,0.82,574000,[0 0]
20040602,0.85,0.85,0.85,0.85,340000,[0 1]
20040608,0.85,0.85,0.85,0.85,1275000,[0 0]
20040609,0.8,0.9,0.8,0.9,1740000,[1 0]
20040611,0.9,0.9,0.9,0.9,450000,[0 0]
20040614,0.86,0.89,0.86,0.89,16060000,[0 0]
20040615,0.95,0.95,0.95,0.95,475000,[0 0]
20040617,0.95,1.0,0.95,1.0,1050000,[1 0]
20040618,0.95,1.0,0.95,1.0,575000,[0 0]
20040625,0.91,0.91,0.9,0.9,1712000,[0 1]
20040628,0.9,0.9,0.9,0.9,540000,[1 0]
20040630,0.9,0.9,0.9,0.9,3510000,[0 0]
20040730,0.9,0.9,0.9,0.9,90000,[1 1]
20040804,1.1,1.1,1.05,1.1,10485000,[0 1]
20040805,1.1,1.1,1.1,1.1,220000,[0 0]
20040825,1.05,1.1,1.05,1.1,5950000,[0 0]
20040827,1.0,1.0,1.0,1.0,100000,[0 1]
20040902,1.0,1.0,1.0,1.0,300000,[1 0]
20040908,1.29,1.5,1.29,1.36,6382000,[0 1]
20040909,1.49,1.49,1.4,1.4,8083000,[1 0]
20040910,1.41,1.99,1.41,1.99,7488000,[1 0]
20041005,1.81,1.81,1.81,1.81,11946000,[0 0]
20041025,1.85,1.99,1.85,1.99,1518000,[0 1]
20041027,1.9,1.9,1.9,1.9,380000,[1 0]
20041028,1.95,1.95,1.95,1.95,195000,[1 0]
20041105,1.8,1.8,1.8,1.8,900000,[0 0]
20041108,1.6,1.6,1.6,1.6,992000,[0 0]
20041116,1.65,1.65,1.65,1.65,165000,[0 0]
20041130,1.75,1.75,1.75,1.75,350000,[0 0]
20041201,1.75,1.75,1.75,1.75,175000,[0 1]
20041209,1.5,1.5,1.5,1.5,165000,[1 0]
20041222,1.5,1.5,1.5,1.5,315000,[0 0]
20041230,1.05,1.22,1.05,1.2,1137200,[0 1]
20050121,1.15,1.15,1.1,1.1,450000,[1 0]
20050126,1.12,1.15,1.12,1.15,623500,[1 0]
20050127,1.25,1.25,1.25,1.25,62500,[0 0]
20050203,1.25,1.25,1.25,1.25,375000,[0 0]
20050214,1.4,1.4,1.4,1.4,70000,[0 1]
20050222,1.5,1.5,1.5,1.5,75000,[0 1]
20050302,1.5,1.5,1.49,1.5,899500,[0 1]
20050303,1.5,1.5,1.45,1.45,745000,[1 0]
20050310,1.4,1.4,1.4,1.4,98000,[0 0]
20050322,1.02,1.02,1.02,1.02,71400,[1 1]
20050426,1.01,1.06,1.01,1.06,653700,[0 0]
20050505,1.06,1.06,1.06,1.06,265000,[0 0]
20050506,1.13,1.13,1.13,1.13,10961000,[1 0]
20050509,1.1,1.1,1.1,1.1,110000,[0 0]
20050524,1.06,1.06,1.06,1.06,477000,[1 0]
20050525,1.01,1.01,1.01,1.01,10100,[0 1]
20050601,1.05,1.05,1.05,1.05,210000,[1 1]
20050610,1.04,1.05,1.04,1.05,1874000,[0 1]
20050614,1.05,1.05,1.05,1.05,525000,[0 0]
20050616,1.01,1.01,1.01,1.01,989800,[0 1]
20050621,1.05,1.05,1.01,1.01,727000,[1 1]
20050622,1.01,1.01,1.0,1.0,70500,[0 1]
20050628,1.04,1.04,1.04,1.04,260000,[0 1]
20050713,1.0,1.04,1.0,1.04,392000,[0 0]
20050720,1.0,1.0,1.0,1.0,460000,[0 1]
20050721,1.04,1.04,1.04,1.04,208000,[1 0]
20050804,1.02,1.04,1.02,1.04,19824400,[0 1]
20050805,1.01,1.02,1.01,1.02,394900,[1 0]
20050808,1.01,1.01,1.01,1.01,464600,[0 0]
20050810,1.0,1.0,1.0,1.0,10000,[0 0]
20050812,1.0,1.0,1.0,1.0,200000,[1 0]
20050815,1.0,1.0,1.0,1.0,200000,[1 1]
20050816,1.0,1.0,1.0,1.0,10000,[0 1]
20050817,1.08,1.08,1.08,1.08,432000,[0 1]
20050818,1.0,1.0,1.0,1.0,200000,[0 1]
20050823,1.0,1.0,1.0,1.0,360000,[0 1]
20050825,1.0,1.0,1.0,1.0,200000,[0 0]
20050906,1.0,1.0,1.0,1.0,200000,[1 0]
20050919,1.02,1.02,1.02,1.02,6956400,[0 1]
20050923,1.0,1.05,1.0,1.05,745000,[0 0]
20050926,1.0,1.0,1.0,1.0,70000,[1 0]
20051006,0.91,0.92,0.91,0.92,1784400,[1 1]
20051007,0.91,0.91,0.91,0.91,109200,[0 1]
20051010,0.94,0.94,0.94,0.94,376000,[0 0]
20051104,0.99,0.99,0.99,0.99,9900,[0 1]
20051107,0.9,0.9,0.9,0.9,1026000,[0 1]
20051108,0.92,0.92,0.92,0.92,276000,[0 1]
20051111,0.9,0.9,0.9,0.9,90000,[0 0]
20051114,0.86,0.86,0.85,0.85,889200,[0 0]
20051118,0.8,0.8,0.8,0.8,2080000,[0 1]
20051121,0.76,0.76,0.75,0.75,1178200,[1 0]
20051123,0.75,0.75,0.75,0.75,1807500,[0 1]
20051206,0.74,0.8,0.74,0.8,2345000,[1 0]
20051214,0.9,0.91,0.9,0.91,13563300,[1 0]
20051216,0.9,0.9,0.9,0.9,270000,[0 0]
20051227,0.85,0.85,0.85,0.85,85000,[1 1]
20060103,0.87,0.87,0.87,0.87,435000,[0 0]
20060105,0.9,0.9,0.9,0.9,585000,[0 1]
20060109,0.9,0.9,0.85,0.85,857500,[1 0]
20060112,0.9,0.9,0.9,0.9,900000,[0 0]
20060116,0.9,0.9,0.9,0.9,180000,[1 1]
20060119,0.9,0.9,0.9,0.9,1620000,[1 0]
20060126,0.84,0.84,0.84,0.84,25200,[0 1]
20060131,0.84,0.84,0.84,0.84,25200,[1 1]
20060308,0.88,0.88,0.88,0.88,26400,[0 1]
20060309,0.9,0.9,0.9,0.9,630000,[1 0]
20060314,0.9,0.9,0.84,0.84,867000,[0 1]
20060321,0.89,0.9,0.89,0.9,1439000,[1 0]
20060322,0.9,0.9,0.9,0.9,468000,[0 1]
20060323,0.9,0.9,0.9,0.9,306000,[1 0]
20060324,0.9,0.9,0.9,0.9,180000,[1 0]
20060404,0.9,0.9,0.9,0.9,2727000,[0 0]
20060413,0.9,0.9,0.9,0.9,36000,[0 0]
20060417,0.95,0.95,0.86,0.86,534800,[1 0]
20060418,0.86,0.86,0.86,0.86,154800,[0 1]
20060427,0.86,0.86,0.86,0.86,602000,[0 0]
20060502,0.86,0.86,0.86,0.86,25800,[0 1]
20060519,0.85,0.86,0.8,0.86,869800,[0 0]
20060525,0.87,0.87,0.87,0.87,121800,[0 1]
20060601,0.85,0.98,0.85,0.98,2622400,[0 0]
20060605,0.92,0.92,0.92,0.92,9200,[1 1]
20060612,0.89,0.89,0.89,0.89,356000,[0 0]
20060616,0.88,0.88,0.87,0.88,114300,[0 1]
20060626,0.7,0.71,0.7,0.71,561500,[1 1]
20060627,0.79,0.79,0.79,0.79,316000,[0 1]
20060705,0.8,0.8,0.8,0.8,400000,[0 0]
20060706,0.8,0.8,0.8,0.8,264000,[0 1]
20060707,0.85,0.85,0.85,0.85,391000,[0 1]
20060720,0.85,0.85,0.85,0.85,8500,[0 0]
20060801,0.82,0.85,0.82,0.85,2934600,[0 1]
20060803,0.85,0.85,0.85,0.85,841500,[0 0]
20060913,0.83,0.83,0.83,0.83,1128800,[1 1]
20061019,0.8,0.8,0.8,0.8,168000,[0 0]
20061020,0.8,0.8,0.8,0.8,232000,[0 1]
20061024,0.84,0.84,0.84,0.84,42000,[0 1]
20061025,0.8,0.82,0.8,0.82,2060400,[0 1]
20061026,0.83,0.85,0.83,0.85,506000,[1 0]
20061031,0.85,0.85,0.85,0.85,85000,[1 1]
20061117,0.89,0.89,0.89,0.89,106800,[0 0]
20061122,0.89,0.9,0.89,0.9,518200,[1 0]
20061128,0.9,0.9,0.9,0.9,45000,[0 0]
20061227,0.9,0.9,0.9,0.9,27000,[1 0]
20070105,0.8,0.8,0.8,0.8,384000,[0 0]
20070109,0.82,0.82,0.82,0.82,82000,[0 0]
20070112,0.99,2.0,0.99,1.47,350800,[1 1]
20070115,1.5,1.5,1.43,1.43,4820700,[1 1]
20070116,1.43,1.43,1.43,1.43,4890600,[0 1]
20070117,1.39,1.39,1.39,1.39,69500,[1 0]
20070118,1.01,1.01,1.01,1.01,10100,[0 0]
20070119,1.37,1.37,1.37,1.37,13700,[0 0]
20070122,1.38,1.38,1.37,1.37,179300,[0 0]
20070124,1.0,1.15,1.0,1.15,4492600,[1 0]
20070126,1.2,1.2,1.0,1.0,1291500,[1 1]
20070129,1.1,1.3,1.1,1.3,460400,[0 0]
20070201,1.13,1.15,1.1,1.15,182200,[1 1]
20070205,1.12,1.13,1.12,1.12,1210100,[0 1]
20070206,1.16,1.43,1.15,1.43,3444900,[1 0]
20070207,1.32,1.61,1.32,1.55,7986300,[0 1]
20070208,1.56,5.99,1.56,2.6,57852100,[0 0]
20070209,2.8,3.5,1.9,1.9,28236700,[0 1]
20070212,2.0,2.85,1.9,2.3,13983700,[0 0]
20070213,2.49,2.6,2.05,2.05,11332700,[0 1]
20070214,2.29,2.29,1.9,1.9,3690100,[0 0]
20070215,1.91,2.19,1.8,1.81,5149400,[0 0]
20070216,1.9,2.1,1.82,1.82,1147500,[0 0]
20070221,1.85,1.86,1.83,1.83,1089700,[0 0]
20070222,1.83,2.6,1.83,2.31,13028500,[1 0]
20070223,2.34,2.34,1.99,2.12,2569600,[0 1]
20070226,2.12,2.24,2.07,2.24,1465400,[0 0]
20070227,1.96,2.06,1.96,2.0,4209400,[1 0]
20070228,2.05,2.05,2.02,2.02,101600,[0 0]
20070301,1.96,1.96,1.95,1.95,97600,[1 0]
20070302,1.9,1.95,1.9,1.9,209800,[0 1]
20070305,1.85,1.9,1.85,1.9,242100,[1 0]
20070306,2.0,2.0,2.0,2.0,20000,[0 1]
20070307,2.0,2.2,2.0,2.2,1097500,[0 0]
20070308,2.2,2.29,2.0,2.0,3129400,[1 0]
20070309,2.03,2.03,1.95,1.95,1178300,[0 1]
20070312,1.95,2.0,1.85,2.0,6670700,[0 1]
20070313,2.0,2.18,2.0,2.01,1823200,[0 0]
20070314,2.0,2.0,2.0,2.0,260000,[1 0]
20070315,2.0,2.0,2.0,2.0,1100000,[0 0]
20070316,1.93,1.93,1.93,1.93,38600,[1 0]
20070319,1.91,1.91,1.91,1.91,382000,[0 0]
20070320,1.91,1.91,1.81,1.81,1157600,[0 0]
20070321,1.82,1.9,1.82,1.9,281000,[0 0]
20070322,1.83,1.83,1.81,1.81,327700,[0 0]
20070323,1.9,1.91,1.9,1.9,590000,[0 1]
20070326,1.9,1.94,1.9,1.94,289000,[0 1]
20070328,1.97,2.0,1.84,1.84,1447100,[1 0]
20070329,1.9,2.25,1.9,2.0,14760000,[0 0]
20070330,2.0,2.0,1.9,1.9,6391900,[0 0]
20070402,2.0,2.0,2.0,2.0,100000,[0 0]
20070403,1.99,1.99,1.91,1.92,3292600,[0 0]
20070404,1.92,2.02,1.92,2.0,539400,[0 0]
20070405,2.0,2.0,1.9,1.9,4774600,[0 0]
20070409,1.91,2.0,1.91,1.99,11732500,[0 0]
20070411,2.0,2.0,1.91,1.99,1047200,[0 1]
20070412,1.95,1.95,1.91,1.91,848400,[0 1]
20070413,1.98,2.0,1.98,2.0,198900,[0 1]
20070416,2.0,2.1,2.0,2.0,361000,[0 0]
20070417,2.0,2.0,2.0,2.0,1700000,[1 0]
20070418,2.04,2.08,2.04,2.08,1144400,[1 1]
20070419,2.08,2.08,2.08,2.08,41600,[0 0]
20070420,1.94,1.94,1.92,1.93,521800,[0 1]
20070423,1.93,1.94,1.93,1.94,1081400,[0 0]
20070424,1.93,1.94,1.91,1.91,591600,[0 1]
20070425,1.95,2.0,1.92,1.92,11414500,[0 0]
20070427,1.95,1.95,1.95,1.95,14625000,[0 0]
20070430,1.95,1.95,1.92,1.92,809400,[0 0]
20070502,1.91,1.95,1.88,1.95,936600,[1 0]
20070503,1.92,1.99,1.92,1.95,16210500,[0 0]
20070504,1.93,1.95,1.93,1.94,4979800,[1 1]
20070507,1.92,1.93,1.89,1.89,1616400,[0 0]
20070509,1.85,1.95,1.85,1.95,3193000,[0 1]
20070511,1.92,1.92,1.92,1.92,6340800,[0 0]
20070515,1.95,1.95,1.95,1.95,195000,[0 1]
20070516,1.95,1.95,1.9,1.95,4896300,[1 1]
20070517,1.94,2.75,1.94,2.41,38095000,[0 1]
20070518,2.5,2.62,2.3,2.4,53284000,[1 0]
20070521,2.38,2.4,1.95,2.1,35330500,[1 0]
20070522,2.11,2.11,1.97,2.0,34952600,[0 1]
20070523,2.0,2.1,1.96,1.96,8637800,[1 0]
20070524,1.96,1.96,1.95,1.96,22330600,[1 1]
20070525,1.95,2.1,1.95,2.0,28895400,[0 0]
20070528,1.95,2.2,1.9,2.01,47660900,[0 0]
20070529,1.99,1.99,1.95,1.95,15778400,[0 1]
20070530,1.95,1.95,1.93,1.95,13615200,[0 1]
20070531,1.95,1.97,1.93,1.97,5791200,[1 1]
20070601,2.1,2.47,1.98,2.01,311184400,[1 1]
20070604,2.1,2.15,1.94,1.95,63892100,[0 0]
20070605,1.97,2.09,1.9,2.02,38587300,[0 0]
20070606,2.08,2.14,1.95,2.01,34515200,[1 0]
20070608,2.04,2.04,1.91,1.95,51594900,[0 1]
20070611,2.0,2.04,1.95,1.95,52115300,[0 0]
20070612,2.01,2.18,1.95,1.98,227196200,[1 0]
20070613,2.05,2.05,1.97,2.0,64938100,[1 0]
20070614,2.05,2.05,1.95,1.98,68459700,[0 0]
20070615,1.98,2.0,1.95,1.96,31650500,[1 0]
20070618,1.96,2.04,1.95,1.95,35182300,[1 0]
20070619,1.97,2.18,1.95,2.08,321753900,[0 1]
20070620,2.22,2.35,2.11,2.12,378565000,[0 0]
20070621,2.19,2.22,2.1,2.1,98804900,[0 0]
20070622,2.12,2.15,2.03,2.1,67102300,[0 1]
20070625,2.13,2.16,2.05,2.1,92953900,[0 1]
20070626,2.14,2.24,2.1,2.19,171099900,[1 1]
20070627,2.2,2.23,2.12,2.2,89866800,[0 1]
20070628,2.22,2.34,2.22,2.24,99822500,[0 0]
20070629,2.24,2.34,2.23,2.23,52176500,[0 1]
20070702,2.23,2.23,2.16,2.21,35674000,[0 1]
20070703,2.19,2.35,2.14,2.35,54932900,[0 0]
20070704,2.48,2.58,2.39,2.48,262527100,[0 0]
20070705,2.59,3.3,2.53,3.08,538223900,[0 0]
20070706,3.27,3.84,2.66,2.8,512875300,[1 0]
20070710,2.8,3.07,2.76,2.85,69900600,[0 0]
20070711,2.9,2.99,2.84,2.86,41184500,[1 0]
20070712,2.86,2.98,2.8,2.8,17842000,[1 0]
20070713,2.77,2.88,2.6,2.77,31875400,[1 0]
20070716,2.77,2.84,2.65,2.84,32813900,[1 0]
20070717,2.84,2.9,2.78,2.88,20516900,[1 0]
20070718,2.76,2.79,2.71,2.75,7748500,[1 0]
20070719,2.78,2.89,2.73,2.73,19332500,[0 0]
20070720,2.75,2.75,2.7,2.75,4626700,[0 1]
20070723,2.83,2.84,2.7,2.8,15086200,[0 1]
20070724,2.8,2.8,2.6,2.8,35818300,[1 0]
20070725,2.71,3.1,2.64,3.04,52633800,[0 0]
20070726,3.0,3.0,2.72,2.81,31798000,[1 0]
20070727,2.89,2.89,2.81,2.81,6564300,[0 1]
20070730,2.89,2.9,2.78,2.8,5507800,[0 0]
20070731,2.81,2.83,2.63,2.75,19506200,[0 0]
20070801,2.7,2.7,2.65,2.7,3585300,[0 0]
20070802,2.65,2.74,2.63,2.74,2581700,[0 0]
20070803,2.68,2.8,2.63,2.63,11538200,[0 0]
20070806,2.5,2.57,2.21,2.57,10334500,[0 0]
20070807,2.6,2.7,2.6,2.62,4641400,[1 0]
20070808,2.69,2.69,2.6,2.6,39153700,[1 0]
20070809,2.5,2.55,2.5,2.52,2080700,[0 0]
20070810,2.5,2.54,2.35,2.39,23907700,[0 0]
20070813,2.35,2.42,2.35,2.42,4502800,[0 0]
20070814,2.4,2.4,2.15,2.39,12453400,[1 1]
20070815,2.23,2.28,2.16,2.16,18360300,[1 1]
20070816,2.1,2.1,1.8,1.98,14451400,[0 1]
20070817,2.0,2.18,2.0,2.1,2769200,[1 1]
20070820,2.1,2.1,2.02,2.08,1973600,[1 0]
20070821,2.04,2.09,1.99,2.04,890100,[1 0]
20070822,2.06,2.1,2.0,2.1,11797300,[0 1]
20070823,2.08,2.15,2.06,2.15,3281300,[0 0]
20070824,2.1,2.1,2.1,2.1,399000,[0 0]
20070827,2.08,2.1,2.07,2.1,3798200,[1 1]
20070828,2.09,2.1,2.07,2.07,4239200,[0 1]
20070829,2.13,2.25,2.13,2.21,40928200,[1 1]
20070830,2.35,2.39,2.26,2.26,16455100,[1 0]
20070831,2.26,2.33,2.15,2.27,8737500,[0 0]
20070903,2.33,2.33,2.15,2.26,1664900,[0 1]
20070904,2.3,2.35,2.25,2.28,19038100,[0 0]
20070905,2.3,2.3,2.19,2.21,4078600,[1 0]
