date,open,max,min,close,volume,y
20041117,32.9,33.14,32.88,33.0,3123299400,[0 1]
20041116,35.0,35.0,32.2,32.7,4455380600,[1 0]
20041112,35.0,35.25,34.9,34.9,801781600,[1 0]
20041111,35.0,35.05,34.7,35.0,1217421800,[0 1]
20041110,35.0,35.0,34.62,35.0,2361756500,[0 1]
20041109,35.0,35.15,34.95,35.1,909892200,[0 0]
20041108,34.94,35.08,34.6,35.08,601297800,[1 0]
20041105,35.45,35.5,34.81,35.0,1946212100,[0 1]
20041104,34.95,35.5,34.7,35.45,1771844500,[1 1]
20041103,35.41,35.95,34.45,34.75,2197010200,[1 1]
20041101,35.08,35.5,34.61,35.0,1103087700,[1 1]
20041029,34.41,34.8,34.0,34.75,8498117700,[1 1]
20041207,33.05,33.05,32.6,33.0,970374100,[0 0]
20041206,32.87,33.1,32.8,33.1,323213600,[0 1]
20041203,32.6,33.07,32.6,33.0,552506100,[0 0]
20041202,32.62,32.8,32.1,32.5,707196000,[0 1]
20041201,33.0,33.0,32.6,32.7,924803000,[1 1]
20041130,33.1,33.2,32.7,33.0,1100958400,[0 0]
20041129,33.2,33.3,33.0,33.05,839921500,[1 1]
20041126,33.5,33.5,33.0,33.1,708847500,[1 0]
20041125,33.65,33.8,32.9,33.21,291391900,[0 1]
20041124,34.0,34.0,32.99,33.84,506845100,[1 1]
20041123,34.16,34.5,33.91,34.0,1095474100,[1 1]
20041122,34.56,34.6,33.7,34.3,467641200,[0 0]
20041119,33.2,35.0,33.0,34.59,644181100,[1 1]
20041118,33.2,33.2,32.7,33.0,860360100,[0 0]
20041228,30.6,31.69,30.6,31.5,652162900,[0 0]
20041227,30.6,30.6,30.2,30.5,1639142800,[0 1]
20041223,30.5,30.54,30.35,30.54,171014900,[0 0]
20041222,30.69,30.69,30.25,30.5,507889900,[0 0]
20041221,30.49,30.67,30.2,30.5,906056200,[0 0]
20041220,30.56,30.66,30.15,30.4,916226500,[1 0]
20041217,31.55,31.8,30.18,30.5,479726900,[1 0]
20041216,32.01,32.05,31.36,31.55,467258000,[1 0]
20041215,32.0,32.0,31.65,32.0,704544900,[1 0]
20041214,32.4,32.5,31.9,32.0,314891200,[1 1]
20041213,32.2,32.4,31.8,32.0,274747600,[0 0]
20041210,33.0,33.1,31.5,32.49,881735600,[1 0]
20041209,33.75,33.9,32.5,32.5,670514300,[1 0]
20041208,32.51,33.98,32.5,33.98,465884800,[0 0]
20041230,31.3,31.6,31.26,31.5,161954800,[0 1]
20041229,31.51,31.9,31.0,31.26,457678600,[0 1]
20050103,31.6,32.4,31.5,32.3,487694100,[0 1]
20050104,32.0,32.85,32.0,32.5,358526100,[0 0]
20050105,32.3,33.1,32.03,33.0,236704700,[0 1]
20050106,33.39,33.4,33.0,33.15,575514600,[1 0]
20050107,33.13,33.35,32.6,33.35,597694700,[0 0]
20050110,33.35,34.5,33.1,33.1,881620400,[0 0]
20050111,33.16,33.75,32.99,33.0,69216600,[1 1]
20050112,33.0,34.0,33.0,34.0,156538700,[0 0]
20050113,34.0,34.98,33.9,34.61,437394300,[0 0]
20050114,34.2,34.4,34.19,34.4,325027000,[0 1]
20050117,34.39,34.39,33.82,34.0,213381000,[0 1]
20050118,33.5,34.0,33.0,33.9,75564900,[1 0]
20050119,33.7,34.0,33.55,33.9,198744400,[0 1]
20050120,33.2,33.2,32.5,32.9,1136727400,[0 1]
20050121,32.39,33.0,31.41,33.0,138074700,[0 0]
20050124,32.49,32.49,31.09,31.35,712245700,[0 0]
20050126,31.2,31.3,30.37,31.0,981109900,[1 0]
20050127,31.2,31.2,30.1,30.5,374920100,[0 0]
20050128,30.3,30.3,29.5,30.0,547074100,[0 0]
20050131,30.01,30.05,29.0,29.49,318568300,[0 0]
20050201,29.99,29.99,28.6,28.6,268519600,[0 0]
20050202,28.89,29.5,28.89,29.2,1226776500,[1 1]
20050203,29.5,29.5,28.4,28.89,875346100,[1 1]
20050204,28.99,29.35,28.9,29.0,463641700,[0 1]
20050209,29.8,29.95,28.85,28.99,115689000,[0 1]
20050210,29.0,29.4,28.88,29.1,402914400,[1 1]
20050211,29.3,30.3,29.1,29.1,555262600,[0 0]
20050214,29.3,29.9,29.3,29.7,421143500,[0 0]
20050215,29.69,29.69,29.2,29.44,173407900,[1 1]
20050216,30.0,30.1,29.5,29.8,260604200,[1 0]
20050217,29.99,30.5,29.6,29.9,672359100,[0 1]
20050218,29.9,29.9,29.51,29.6,524814500,[1 1]
20050221,29.6,29.8,29.02,29.39,87210800,[1 0]
20050222,29.01,29.55,29.0,29.4,241804200,[0 0]
20050223,29.5,29.5,29.0,29.39,171893100,[0 0]
20050224,29.45,29.93,28.61,29.93,473238400,[0 0]
20050225,29.7,29.7,28.9,29.3,290920300,[1 0]
20050228,28.9,29.0,28.51,28.77,127435900,[0 0]
20050301,28.97,28.97,27.96,28.35,239327700,[1 0]
20050302,28.34,28.35,27.8,28.1,1006882800,[1 1]
20050303,28.1,28.37,27.4,28.15,622141800,[0 0]
20050304,27.9,27.9,27.5,27.5,616157800,[0 0]
20050307,28.01,28.01,27.6,27.6,268044900,[0 0]
20050308,27.65,27.65,27.2,27.3,873101400,[1 0]
20050309,27.12,27.49,26.83,27.44,262188600,[0 0]
20050310,27.1,27.1,26.7,26.96,264734800,[1 0]
20050311,27.1,27.1,26.85,26.94,134153000,[1 0]
20050314,26.8,26.8,25.02,26.3,625808600,[1 1]
20050315,26.3,27.35,26.01,27.35,903108400,[0 0]
20050316,26.81,28.5,26.79,27.5,333207600,[0 1]
20050317,26.7,26.75,23.61,24.51,1883313200,[1 0]
20050318,24.6,24.75,22.0,23.99,1044490300,[0 0]
20050321,24.3,24.3,23.5,23.6,326802200,[0 0]
20050322,23.95,23.95,20.97,21.5,951916900,[1 0]
20050323,21.6,21.6,20.06,20.76,405630100,[0 1]
20050324,21.5,21.99,20.7,21.59,240088500,[1 1]
20050328,22.2,22.2,21.0,22.12,117215700,[0 1]
20050329,22.1,22.41,21.25,21.8,236447900,[1 1]
20050330,21.8,22.0,20.95,21.35,582418600,[1 1]
20050331,21.9,21.9,20.9,21.3,566826300,[1 1]
20050401,21.89,22.01,20.96,21.1,153874100,[0 1]
20050404,20.6,21.0,20.57,21.0,235835200,[0 1]
20050405,21.0,21.2,21.0,21.09,258987000,[0 1]
20050406,21.0,21.0,20.5,20.7,50900500,[0 0]
20050407,20.9,21.3,20.7,20.99,89672500,[0 0]
20050408,20.5,21.0,20.0,21.0,197452800,[1 1]
20050411,20.6,21.0,20.6,20.9,165357100,[0 0]
20050412,20.89,20.9,19.7,20.5,57473700,[0 0]
20050413,20.2,21.0,20.2,21.0,820736900,[1 1]
20050414,21.0,21.6,20.55,20.55,374598500,[0 0]
20050415,20.8,21.3,20.2,21.3,39218700,[0 1]
20050418,21.0,21.0,20.46,20.84,128127500,[0 0]
20050502,16.99,17.2,16.5,16.97,26835000,[0 1]
20050503,16.95,17.0,16.03,16.74,55562300,[0 0]
20050504,17.0,17.2,16.25,16.3,246013500,[1 0]
20050505,16.3,16.7,16.3,16.7,84710400,[0 1]
20050506,16.7,16.8,16.59,16.7,108237400,[1 1]
20050509,16.65,16.7,16.4,16.6,28056300,[1 1]
20050510,16.12,16.5,16.05,16.3,57138300,[1 1]
20050511,16.1,16.1,14.8,14.8,203623700,[1 1]
20050512,15.2,15.48,13.9,13.9,138914200,[0 1]
20050513,13.8,14.0,13.2,13.6,42450800,[1 1]
20050516,13.51,13.51,12.91,13.3,99135700,[0 1]
20050517,13.48,13.48,12.51,13.3,38704200,[1 0]
20050518,13.3,13.3,13.0,13.29,110207900,[0 0]
20050519,13.0,14.2,13.0,14.19,539418700,[1 0]
20050520,14.49,15.4,14.49,14.8,253375900,[1 0]
20050523,15.0,15.45,14.7,15.1,188078800,[0 0]
20050524,15.3,15.98,14.95,15.2,290477200,[0 0]
20050525,15.25,15.45,15.15,15.2,263882200,[0 0]
20050527,15.5,15.5,15.28,15.42,118671200,[0 1]
20050530,15.5,15.5,15.0,15.05,40926600,[1 1]
20050531,15.2,15.3,15.0,15.2,237072500,[1 1]
20050601,15.2,15.59,15.2,15.59,349343000,[1 0]
20050602,15.5,16.75,15.5,16.6,372484400,[1 0]
20050603,16.5,16.5,16.25,16.32,84502500,[0 0]
20050606,16.78,16.78,15.1,16.0,177005500,[0 0]
20050607,15.5,16.0,15.5,15.9,182180100,[1 1]
20050608,16.1,16.4,15.75,15.9,158808000,[0 1]
20050609,15.6,16.1,15.6,16.1,399202700,[1 1]
20050610,15.81,16.4,15.81,16.4,138128900,[1 1]
20050613,16.35,16.75,16.35,16.7,156964600,[1 0]
20050614,16.7,16.7,16.5,16.7,42367400,[1 0]
20050615,16.2,16.69,16.2,16.65,185001400,[0 1]
20050616,16.79,17.25,16.7,17.15,74042600,[0 0]
20050617,17.24,17.97,17.24,17.6,125289400,[0 0]
20050620,17.65,18.15,17.6,18.0,401824900,[0 0]
20050621,18.15,18.3,17.55,18.19,422915400,[0 0]
20050622,18.19,18.99,17.8,18.06,346800500,[0 1]
20050623,18.0,18.25,17.5,18.02,208826300,[0 0]
20050624,17.5,18.0,17.5,17.8,205250400,[1 0]
20050627,17.4,17.8,17.39,17.45,78438100,[1 0]
20050628,17.5,17.59,17.1,17.45,260296600,[1 0]
20050629,17.1,17.3,17.0,17.19,129812000,[1 0]
20050630,17.09,17.1,15.7,16.26,317261700,[1 1]
20050701,16.69,16.69,16.2,16.28,76803400,[0 1]
20050704,16.25,16.25,16.05,16.14,259885600,[1 0]
20050705,16.0,16.2,16.0,16.1,242064300,[0 0]
20050706,15.95,16.27,15.8,16.0,118910000,[1 0]
20050707,15.5,16.4,15.45,16.4,474690900,[1 1]
20050708,16.3,16.4,16.1,16.3,191433800,[0 1]
20050711,16.35,16.6,16.29,16.5,204100800,[0 0]
20050712,16.89,16.94,16.3,16.6,69550500,[1 1]
20050713,17.0,17.0,16.35,16.35,92395600,[0 0]
20050714,16.5,16.5,15.61,16.29,55967700,[0 1]
20050715,16.01,16.1,15.99,16.08,23360400,[1 0]
20050718,15.85,16.15,15.56,16.0,156114000,[0 1]
20050719,15.6,15.97,15.59,15.97,10103600,[0 0]
20050720,15.9,15.97,15.65,15.9,95460400,[0 0]
20050721,15.89,16.0,15.61,16.0,234750700,[1 1]
20050722,16.25,16.25,15.95,16.0,39742300,[0 0]
20050725,15.6,15.99,15.55,15.99,22760300,[0 0]
20050726,15.21,15.95,14.79,15.95,150186500,[1 1]
20050727,16.0,16.0,15.53,16.0,10357300,[1 0]
20050728,16.0,16.0,15.75,15.9,237899000,[1 1]
20050729,16.0,16.15,16.0,16.05,121472200,[0 0]
20050801,16.15,16.5,15.99,16.0,269127400,[0 0]
20050802,16.1,16.55,16.1,16.35,138636800,[0 1]
20050803,16.25,16.57,16.0,16.44,222866700,[0 0]
20050804,16.5,16.5,15.8,15.81,119518700,[0 1]
20050805,15.4,15.7,15.39,15.59,748333200,[1 0]
20050808,15.96,15.96,15.4,15.59,128996800,[0 1]
20050809,15.95,15.95,15.4,15.88,69914000,[1 1]
20050810,15.88,15.9,15.7,15.9,47511700,[0 1]
20050811,15.89,15.9,15.5,15.8,51449600,[0 0]
20050812,15.4,15.8,15.3,15.8,175974700,[0 0]
20050815,15.8,15.8,15.45,15.58,353303800,[0 0]
20050816,15.79,15.8,15.4,15.5,517602300,[1 0]
20050817,15.79,15.79,15.35,15.4,764691100,[1 0]
20050818,15.8,15.8,15.5,15.64,548872200,[1 0]
20050819,15.6,15.6,15.2,15.6,5106500,[0 1]
20050822,15.4,15.59,15.4,15.45,83952800,[0 1]
20050823,15.4,15.6,15.4,15.5,237755900,[1 1]
20050824,15.41,15.68,15.4,15.68,310818900,[1 0]
20050825,15.53,16.39,15.51,16.39,317898700,[1 1]
20050826,16.35,16.35,16.0,16.05,29561900,[1 0]
20050829,16.1,16.29,16.0,16.2,98734900,[1 0]
20050830,16.1,16.45,16.0,16.45,103192500,[1 0]
20050831,16.42,16.6,16.22,16.6,150659100,[1 1]
20050901,16.79,17.0,16.4,16.9,31100600,[0 1]
20050902,16.89,17.5,16.7,17.3,133238700,[0 1]
20050905,17.49,17.49,17.2,17.4,22622100,[0 0]
20050906,17.25,17.8,17.0,17.8,244100800,[1 0]
20050908,17.83,17.83,17.3,17.69,36683600,[1 0]
20050909,17.5,18.2,17.4,18.01,142923000,[1 0]
20050912,17.65,17.7,17.5,17.53,39764300,[0 0]
20050913,17.51,18.99,17.5,18.49,60200100,[0 0]
20050914,19.19,19.19,18.0,18.1,16151800,[1 0]
20050915,18.01,18.3,17.81,18.3,73393200,[0 1]
20050916,18.0,18.3,18.0,18.05,36576500,[0 0]
20050919,18.0,18.0,17.78,18.0,10788300,[1 0]
20050920,18.0,18.0,17.15,17.2,21939700,[0 0]
20050921,17.15,17.2,16.6,16.6,112883100,[0 1]
20050922,16.57,16.79,15.9,16.79,88605700,[1 1]
20050923,17.0,17.2,16.9,17.0,242689800,[0 0]
20050926,17.1,17.1,16.55,16.55,150324400,[0 1]
20050927,16.5,16.5,16.2,16.4,263397200,[0 0]
20050928,16.5,16.9,16.3,16.32,188845000,[0 1]
20050929,16.22,16.5,16.1,16.15,120510100,[0 0]
20050930,16.38,16.38,16.1,16.2,611845400,[1 1]
20051003,16.4,16.4,16.2,16.3,200058600,[1 0]
20051004,16.3,17.0,16.25,16.26,331286200,[0 1]
20051005,16.3,16.55,16.1,16.15,485278300,[1 1]
20051006,16.3,16.3,15.65,15.8,221426700,[1 1]
20051007,16.0,16.2,15.8,15.9,421264400,[0 1]
20051010,16.1,16.2,15.65,15.65,34056800,[1 0]
20051011,15.71,16.1,15.55,15.55,502689200,[1 1]
20051013,15.77,15.77,14.71,14.99,460981100,[0 1]
20051014,15.49,15.85,14.5,15.8,1549451300,[0 0]
20051017,16.0,16.2,15.26,15.52,244760800,[0 0]
20051018,15.6,15.65,15.2,15.4,58374700,[0 1]
20051019,15.4,15.5,15.01,15.48,177409500,[1 1]
20051020,15.6,15.6,14.95,15.19,94869100,[1 0]
20051021,15.3,15.35,15.0,15.1,501652600,[1 1]
20051024,15.5,15.69,15.3,15.5,164300600,[1 1]
20051025,15.48,16.08,15.25,15.99,222385100,[1 1]
20051026,15.89,16.4,15.51,16.0,339683100,[0 1]
20051027,16.16,16.39,16.04,16.29,48616900,[1 0]
20051028,16.37,17.19,16.37,17.19,564488300,[0 1]
20051031,17.8,17.9,17.5,17.71,299476500,[1 1]
20051114,19.2,19.3,18.65,18.95,147635200,[1 0]
20051116,18.88,19.8,18.88,19.75,901022600,[1 1]
20051117,19.9,20.4,19.8,20.4,1044190900,[0 0]
20051118,20.23,20.25,19.9,20.25,444929200,[0 0]
20051121,20.36,21.2,20.2,21.19,651781500,[1 0]
20051122,21.16,21.76,20.7,21.6,539207600,[0 0]
20051123,22.0,22.75,22.0,22.6,898563300,[0 1]
20051124,22.51,22.7,22.1,22.4,360249200,[0 0]
20051125,22.6,22.6,22.0,22.5,250132600,[1 1]
20051128,22.6,23.45,22.6,22.8,1116859800,[1 0]
20051129,22.85,23.3,22.5,22.6,898079700,[1 1]
20051130,22.75,22.75,21.7,22.0,383299000,[1 1]
20051201,22.0,22.0,21.1,21.79,436884700,[1 0]
20051202,21.5,22.3,21.5,22.3,304776400,[1 1]
20051205,22.4,22.4,21.7,22.0,98032100,[1 0]
20051206,22.1,22.25,21.8,22.25,559515700,[0 0]
20051207,22.19,22.84,21.12,21.99,288243700,[1 1]
20051208,21.99,21.99,19.99,21.2,417270500,[0 1]
20051209,21.0,21.0,20.16,21.0,209068600,[0 0]
20051212,21.0,21.4,20.7,20.89,43962400,[0 1]
20051213,20.41,20.85,20.0,20.76,669061300,[1 1]
20051214,20.5,21.0,20.16,20.2,216825300,[0 0]
20051215,20.05,20.38,19.51,19.8,618865400,[1 1]
20051216,19.86,19.99,19.3,19.51,341709600,[1 0]
20051219,19.49,19.99,19.23,19.98,250164500,[0 0]
20051220,20.0,21.0,19.71,21.0,909134300,[1 1]
20051221,21.4,21.9,21.2,21.55,452632300,[0 0]
20051222,21.75,22.0,21.23,21.59,202614200,[1 1]
20051223,21.5,22.0,21.0,21.9,113921000,[1 1]
20051226,21.9,22.0,21.7,22.0,90870100,[0 0]
20051227,22.1,22.3,21.5,21.5,127311800,[1 0]
20051228,21.99,22.5,21.5,22.5,315396100,[1 1]
20051229,22.5,22.65,22.1,22.46,301286200,[1 1]
20060102,22.47,22.49,21.7,22.2,92486200,[0 0]
20060103,22.25,22.49,21.45,22.0,517249600,[1 1]
20060104,22.19,22.25,21.6,21.89,385203400,[0 1]
20060105,21.6,21.7,21.2,21.5,239148400,[1 0]
20060106,21.25,22.0,21.12,21.95,453842700,[0 0]
20060109,21.92,22.29,21.9,22.0,155184200,[0 0]
20060110,22.05,22.19,21.5,22.0,729419400,[0 0]
20060111,22.0,22.49,22.0,22.39,576720000,[0 1]
20060112,22.0,22.9,21.9,22.5,533619800,[1 0]
20060113,22.89,23.0,22.21,22.74,139444700,[1 1]
20060116,22.76,22.99,22.5,22.9,472942800,[1 0]
20060117,22.7,23.45,22.6,22.95,355121400,[1 0]
20060118,22.61,24.6,22.6,24.2,1186574100,[0 1]
20060119,24.8,25.1,23.6,23.99,1780678200,[1 0]
20060120,23.99,24.3,23.85,24.0,808759300,[0 0]
20060123,24.24,24.39,23.3,23.8,400745000,[0 0]
20060124,24.0,24.19,23.5,23.63,145246300,[0 1]
20060126,23.99,24.3,23.75,24.3,258256900,[0 1]
20060127,24.3,24.75,23.7,23.99,295917400,[0 1]
20060130,23.32,23.65,23.05,23.3,207174600,[0 0]
20060131,23.05,23.46,21.52,22.4,508953900,[1 1]
20060201,22.4,22.84,21.75,22.15,608485400,[1 0]
20060202,22.01,22.4,21.07,21.7,364044600,[0 1]
20060203,21.99,21.99,20.1,21.3,826991400,[0 0]
20060206,21.3,21.6,20.31,20.7,346856800,[0 1]
