date,open,max,min,close,volume,y
20090630,2.96,3.0,2.65,2.74,78275200,[1 0]
20090701,2.8,3.09,2.41,3.01,384937700,[0 0]
20090702,3.02,3.07,2.9,2.93,96727300,[0 1]
20090703,2.96,2.97,2.83,2.85,37017300,[0 0]
20090706,2.86,2.86,2.72,2.72,21996000,[0 1]
20090707,2.79,2.79,2.61,2.67,19754200,[1 1]
20090708,2.69,2.85,2.61,2.74,41673900,[0 0]
20090710,2.77,2.84,2.67,2.67,12834800,[1 0]
20090713,2.79,2.79,2.62,2.63,32632600,[0 0]
20090714,2.7,2.7,2.61,2.61,17340500,[0 1]
20090715,2.65,2.78,2.61,2.62,14658500,[1 0]
20090716,2.65,2.68,2.59,2.64,19716500,[0 0]
20090717,2.68,3.04,2.68,2.9,159881100,[0 1]
20090720,2.95,3.03,2.86,2.86,49875900,[0 1]
20090721,2.96,2.96,2.72,2.79,19337500,[0 1]
20090722,2.78,2.91,2.72,2.82,28695100,[0 0]
20090723,2.82,2.89,2.8,2.81,69318100,[0 0]
20090724,2.8,2.86,2.75,2.77,8319100,[0 1]
20090727,2.77,2.8,2.68,2.75,31255700,[0 1]
20090728,2.76,2.79,2.7,2.74,23343800,[0 1]
20090729,2.73,2.96,2.73,2.9,52369000,[0 1]
20090730,2.94,3.5,2.85,3.5,448128600,[1 0]
20090731,3.55,3.73,3.31,3.35,465477700,[0 1]
20090803,3.35,3.47,3.18,3.25,125066300,[0 0]
20090804,3.25,3.36,3.16,3.16,71834800,[1 0]
20090805,3.18,3.24,3.11,3.13,58250800,[0 0]
20090806,3.25,3.45,3.18,3.33,88161200,[0 1]
20090807,3.4,3.44,3.27,3.27,37532200,[0 1]
20090810,3.3,3.38,3.27,3.31,22240300,[0 0]
20090811,3.36,3.36,3.19,3.19,11385000,[0 1]
20090812,3.27,3.28,3.2,3.21,12848300,[0 1]
20090813,3.26,3.28,3.13,3.16,19309100,[0 0]
20090814,3.26,3.26,3.12,3.14,13487200,[0 1]
20090817,3.14,3.15,2.92,3.02,25778700,[0 0]
20090818,3.08,3.16,3.01,3.01,18708600,[1 0]
20090819,3.05,3.05,2.9,2.98,30878500,[1 1]
20090820,3.0,3.2,3.0,3.06,17733200,[0 1]
20090821,3.08,3.08,2.93,2.99,30610400,[1 0]
20090824,3.22,3.32,3.05,3.06,141248600,[0 1]
20090825,3.14,3.14,3.03,3.03,14579600,[0 0]
20090826,3.07,3.23,3.07,3.12,57731600,[0 1]
20090827,3.15,3.15,3.04,3.07,14436000,[0 1]
20090828,3.16,3.16,3.07,3.1,11841100,[0 0]
20090831,3.16,3.2,3.06,3.18,23084100,[0 1]
20090901,3.21,3.27,3.05,3.05,45026400,[0 0]
20090902,3.08,3.08,3.0,3.0,38648400,[0 1]
20090903,3.08,3.13,3.0,3.02,6856100,[0 0]
20090904,3.05,3.07,2.99,3.01,21781500,[0 0]
20090908,3.05,3.12,2.99,2.99,17382100,[0 0]
20090909,3.02,3.02,2.98,3.0,18636000,[0 1]
20090910,3.02,3.03,2.98,2.98,10592100,[0 0]
20090911,2.99,2.99,2.95,2.96,13773300,[1 0]
20090914,2.95,2.97,2.94,2.94,13084200,[0 1]
20090915,2.95,2.99,2.9,2.93,27614500,[0 0]
20090916,2.93,3.0,2.92,2.95,26323500,[1 0]
20090917,2.92,2.95,2.86,2.87,23108100,[1 1]
20090918,2.87,3.1,2.78,3.1,110212700,[0 1]
20090921,3.05,3.12,3.0,3.01,41623200,[0 0]
20090922,3.02,3.1,3.01,3.01,24245200,[1 1]
20090923,3.02,3.06,2.9,2.9,17462800,[0 0]
20090924,2.91,2.95,2.91,2.91,10487600,[0 1]
20090925,2.92,2.92,2.86,2.89,13603400,[1 0]
20090928,2.92,2.92,2.89,2.9,9504600,[1 0]
20090929,2.94,2.94,2.87,2.9,8839700,[0 0]
20090930,2.87,2.89,2.85,2.86,11864200,[1 1]
20091001,2.86,2.86,2.78,2.78,20407800,[0 1]
20091002,2.8,2.85,2.78,2.79,13157800,[1 0]
20091005,2.8,2.8,2.73,2.77,34402900,[1 1]
20091006,2.78,2.82,2.73,2.77,18129000,[0 0]
20091007,2.8,2.8,2.75,2.78,8417200,[0 0]
20091008,2.76,2.8,2.75,2.75,6754000,[0 1]
20091009,2.74,2.97,2.74,2.79,47501000,[0 0]
20091013,2.8,2.89,2.79,2.82,7333000,[0 1]
20091014,2.85,2.88,2.79,2.8,25127300,[0 0]
20091015,2.82,2.96,2.8,2.9,47588700,[1 1]
20091016,2.9,3.3,2.9,3.3,388972900,[1 0]
20091019,3.21,3.32,3.12,3.12,89868200,[0 1]
20091020,3.05,3.09,2.81,2.9,68583600,[1 0]
20091021,2.97,3.1,2.97,3.0,43848300,[1 1]
20091022,3.01,3.11,2.82,2.95,19979900,[0 1]
20091023,2.94,3.0,2.9,2.95,12598100,[0 0]
20091026,2.95,2.95,2.87,2.87,12747300,[0 0]
20091027,2.92,3.17,2.86,2.97,115955300,[1 0]
20091028,2.97,2.97,2.76,2.87,40134700,[0 0]
20091029,2.93,3.02,2.89,2.89,9474900,[0 1]
20091030,2.89,2.91,2.81,2.85,8866100,[0 0]
20091103,2.8,2.87,2.77,2.84,19760500,[1 0]
20091104,2.88,2.94,2.81,2.83,23275500,[1 0]
20091105,2.88,2.95,2.83,2.9,6897900,[1 1]
20091106,2.9,2.92,2.85,2.87,7847000,[1 0]
20091109,2.95,2.96,2.85,2.85,12115100,[0 0]
20091110,2.84,2.89,2.8,2.81,41908200,[0 0]
20091111,2.85,2.91,2.83,2.88,25383800,[1 1]
20091112,2.9,2.91,2.82,2.85,7931600,[1 0]
20091113,2.85,2.85,2.78,2.84,7308300,[1 0]
20091116,2.86,2.88,2.81,2.84,14476600,[1 0]
20091117,2.83,2.85,2.78,2.82,7721700,[0 1]
20091118,2.82,2.82,2.78,2.8,14279700,[0 0]
20091119,2.8,2.8,2.7,2.75,25911800,[1 1]
20091123,2.76,2.78,2.7,2.75,9249700,[1 1]
20091124,2.79,2.79,2.7,2.76,12900200,[0 0]
20091125,2.76,2.79,2.75,2.75,7514200,[0 1]
