date,open,max,min,close,volume,y
20071029,11.0,11.25,10.8,11.0,1740886100,[0 0]
20071030,10.85,11.0,10.85,10.99,268218600,[1 1]
20071031,11.0,11.0,10.8,10.9,273315200,[0 1]
20071101,10.9,11.0,10.9,10.95,167558300,[0 0]
20071105,10.95,11.05,10.75,11.0,54854600,[0 1]
20071106,10.99,11.0,10.9,10.96,37062700,[0 0]
20071107,10.95,11.0,10.8,11.0,190232600,[0 0]
20071108,11.0,11.0,10.85,10.95,60181800,[1 1]
20071109,10.9,10.9,10.6,10.85,399747000,[0 1]
20071112,10.85,10.85,10.65,10.7,9735100,[0 1]
20071113,10.6,11.0,10.6,10.9,52193800,[0 1]
20071114,10.95,10.95,10.6,10.8,44611800,[0 1]
20071116,10.8,10.95,10.42,10.78,1358045100,[0 1]
20071119,10.79,10.8,10.6,10.75,70517900,[1 0]
20071121,10.6,10.6,10.1,10.44,280919900,[1 0]
20071122,10.2,10.6,10.2,10.5,8382500,[0 0]
20071123,10.5,10.6,10.48,10.6,19425800,[1 0]
20071126,10.89,10.99,10.5,10.5,937875700,[0 1]
20071127,10.55,10.99,10.55,10.99,444473100,[0 1]
20071128,10.99,11.0,10.6,10.6,53172000,[1 0]
20071129,11.0,11.0,10.8,10.89,369138400,[0 0]
20071130,10.98,10.98,10.7,10.8,538892700,[0 0]
20071203,10.81,11.49,10.81,11.31,34638700,[1 0]
20071204,11.6,11.6,11.05,11.15,9687600,[1 0]
20071205,11.4,11.4,11.05,11.4,18743500,[0 0]
20071206,11.4,11.4,11.3,11.3,82613000,[0 0]
20071207,11.4,11.65,11.2,11.5,114415900,[1 1]
20071210,11.25,11.8,11.25,11.8,55225400,[0 1]
20071211,11.8,12.08,11.6,11.6,54633600,[1 1]
20071212,11.8,11.8,11.62,11.7,2709400,[0 1]
20071213,11.5,11.5,11.3,11.4,37925000,[0 0]
20071214,11.4,11.4,11.2,11.25,16262500,[0 1]
20071217,11.29,11.29,11.0,11.0,109375700,[1 1]
20071218,11.1,11.15,11.05,11.15,115320500,[1 0]
20071219,11.18,11.18,11.1,11.1,5556400,[1 1]
20071220,11.1,11.25,11.1,11.1,13213400,[0 1]
20071221,11.25,11.25,11.25,11.25,787500,[1 1]
20071226,11.25,11.25,11.05,11.11,114409100,[1 0]
20071227,11.11,11.15,11.11,11.14,42534200,[1 1]
20071228,11.49,11.49,11.15,11.48,38489800,[0 1]
20080102,11.21,11.4,11.21,11.4,1217516200,[0 1]
20080103,11.22,11.22,11.22,11.22,112200,[0 1]
20080104,11.25,11.3,11.2,11.2,232687500,[1 1]
20080107,11.29,11.29,11.2,11.2,22513300,[0 0]
20080108,11.2,11.2,11.15,11.15,193841000,[1 0]
20080109,11.15,11.3,11.15,11.3,7227400,[0 0]
20080110,11.3,11.3,11.3,11.3,904000,[1 0]
20080111,11.3,11.4,11.15,11.4,117779400,[0 0]
20080114,11.4,11.4,11.15,11.15,117581500,[0 0]
20080115,11.0,11.01,11.0,11.0,1052402800,[0 1]
20080116,10.9,10.9,10.5,10.9,94495600,[0 1]
20080117,10.5,10.85,10.2,10.2,86357100,[0 1]
20080118,10.5,10.5,10.0,10.0,133122800,[0 0]
20080121,10.0,10.0,9.0,9.2,112936700,[0 1]
20080122,9.3,10.89,9.29,9.61,32748700,[0 0]
20080123,9.5,9.99,9.2,9.2,263763400,[1 0]
20080124,9.09,9.3,9.09,9.3,262744900,[0 0]
20080128,9.4,9.4,9.4,9.4,188000000,[0 0]
20080129,9.98,10.6,9.61,9.99,3464700,[1 0]
20080131,9.9,9.9,9.3,9.6,42373100,[0 1]
20080201,9.5,10.11,9.5,9.9,140258000,[0 0]
20080206,10.58,10.58,9.9,9.9,411700,[1 1]
20080207,10.31,10.6,10.0,10.0,33563900,[0 1]
20080208,10.35,10.35,10.0,10.0,44344000,[0 0]
20080211,10.0,10.33,10.0,10.19,406300,[1 1]
20080212,10.3,10.3,10.3,10.3,14214000,[1 0]
20080213,10.6,10.6,10.3,10.55,3997500,[0 0]
20080214,10.59,10.6,10.55,10.6,26280700,[1 0]
20080215,10.6,11.6,10.2,10.2,104404200,[1 0]
20080228,11.3,11.3,11.0,11.1,9277000,[0 1]
20080229,11.25,11.25,11.0,11.2,566639000,[1 0]
20080303,11.0,11.2,11.0,11.2,202106000,[1 0]
20080304,11.31,11.42,11.1,11.3,195694600,[0 1]
20080305,11.4,11.5,11.1,11.4,170121100,[0 1]
20080306,11.6,12.0,11.4,11.9,301024600,[1 0]
20080307,12.15,12.15,11.7,11.95,171261600,[0 0]
20080310,11.95,11.95,11.7,11.9,3328800,[0 0]
20080311,11.9,12.1,11.9,12.1,50652300,[0 0]
20080312,12.15,12.37,12.0,12.35,73336200,[0 1]
20080313,12.37,12.4,12.0,12.0,123221600,[1 1]
20080314,12.4,12.4,12.25,12.35,16633000,[0 1]
20080317,12.25,12.25,12.19,12.19,49258200,[0 0]
20080318,12.31,12.31,12.0,12.29,189653600,[0 0]
20080319,12.31,12.31,12.1,12.1,30147300,[0 1]
20080320,12.4,12.49,12.0,12.25,43884900,[0 1]
20080324,12.5,12.85,12.0,12.35,118476900,[0 0]
20080325,12.4,12.5,12.4,12.4,234798000,[0 0]
20080326,12.69,12.69,12.05,12.2,59369300,[0 1]
20080327,12.36,12.47,12.0,12.19,11531900,[0 1]
20080328,12.4,12.4,12.1,12.2,2677600,[0 0]
20080331,12.0,12.0,12.0,12.0,15720000,[0 1]
20080401,12.25,12.25,11.8,11.9,9163000,[0 1]
20080402,11.8,11.9,11.79,11.79,23006600,[0 0]
20080403,12.1,12.1,11.8,11.8,832000,[1 1]
20080404,12.09,12.09,11.6,11.8,4671500,[0 0]
20080407,12.05,12.05,11.6,11.6,17986500,[0 1]
20080408,11.4,11.88,11.2,11.2,18739300,[0 0]
20080409,11.68,11.68,10.8,10.8,21144500,[0 0]
20080410,11.2,11.2,10.8,10.8,69204000,[0 0]
20080411,11.15,11.15,10.75,10.75,1746000,[1 0]
20080414,11.07,11.07,11.07,11.07,1107000,[0 1]
20080415,10.8,10.8,10.5,10.5,65220000,[1 0]
20080416,10.8,10.8,10.8,10.8,29160000,[0 0]
20080417,10.75,10.9,10.3,10.3,14830100,[1 0]
20080418,10.8,10.8,10.3,10.49,7891100,[1 0]
20080422,10.3,10.3,10.29,10.29,4631500,[1 0]
20080423,10.3,10.3,10.16,10.2,38927100,[0 0]
20080424,10.38,10.38,10.0,10.0,5930100,[1 0]
20080425,10.37,10.37,9.97,9.97,34215500,[0 1]
20080428,10.38,10.38,9.2,9.63,128373000,[0 1]
20080429,9.78,9.92,9.2,9.3,100177100,[0 1]
20080430,9.7,10.0,9.0,9.9,65960800,[0 0]
20080502,9.9,10.99,9.9,10.47,83183400,[1 1]
20080505,10.5,10.5,10.35,10.4,110530000,[0 0]
20080506,10.09,10.39,9.95,10.37,110123900,[1 0]
20080507,10.1,10.39,10.1,10.35,79500600,[0 0]
20080508,10.35,10.35,10.1,10.25,62151000,[0 0]
20080509,10.1,10.48,9.6,10.48,68466400,[0 0]
20080512,10.1,10.2,10.0,10.0,148375900,[0 1]
20080513,9.99,10.14,9.77,10.0,98696800,[0 1]
20080514,9.82,9.82,9.46,9.7,48108300,[0 0]
20080515,9.49,9.7,9.4,9.49,117141600,[1 0]
20080516,9.41,9.5,9.1,9.15,98688400,[0 1]
20080519,9.3,9.6,9.03,9.34,134421600,[1 0]
20080520,9.34,9.4,8.78,9.4,452697000,[0 1]
20080521,9.45,9.5,9.11,9.4,63169300,[0 0]
20080523,9.5,9.8,9.12,9.55,11576700,[0 1]
20080526,9.55,9.69,9.2,9.5,20682700,[1 1]
20080527,9.59,9.59,9.12,9.35,38476900,[0 0]
20080528,9.08,9.75,9.01,9.55,42972400,[0 0]
20080529,9.9,9.9,9.5,9.75,99494900,[1 0]
20080530,9.85,9.9,9.8,9.9,256317000,[1 0]
20080602,9.78,9.8,9.5,9.8,5185600,[0 1]
20080603,9.85,9.85,9.45,9.7,47660500,[0 0]
20080604,9.6,9.6,9.32,9.6,14405500,[0 1]
20080605,9.32,9.69,9.32,9.69,8030800,[0 0]
20080606,9.4,9.69,9.35,9.5,4870600,[0 1]
20080609,9.3,9.68,9.1,9.68,6089600,[0 1]
20080610,9.15,9.63,9.15,9.33,18170300,[1 0]
20080611,9.68,9.68,9.03,9.24,2852500,[0 0]
20080612,9.02,9.65,9.02,9.4,9844400,[1 0]
20080613,9.04,9.55,9.04,9.55,3093900,[0 0]
20080616,9.55,9.55,9.05,9.4,33207500,[1 1]
20080617,9.39,9.55,9.15,9.55,9023000,[0 0]
20080618,9.16,9.46,9.08,9.14,25632100,[1 0]
20080619,9.06,9.06,8.9,9.0,10170600,[0 0]
20080620,8.99,9.12,8.99,9.12,3458300,[0 0]
20080623,8.99,9.14,8.99,9.07,11831800,[0 0]
20080624,9.03,9.48,9.03,9.3,59740300,[1 1]
20080625,9.29,9.45,9.29,9.4,7813700,[1 1]
20080626,9.08,9.4,9.07,9.4,5272300,[1 1]
20080630,9.2,9.44,9.2,9.34,4642600,[0 1]
20080701,9.01,9.01,8.0,8.05,75202000,[0 1]
20080702,8.6,8.6,7.8,7.8,18328000,[0 1]
20080703,7.8,8.1,7.55,7.8,75579600,[0 0]
20080704,8.2,8.2,7.49,7.65,41365000,[0 1]
20080707,7.8,7.8,7.2,7.4,140932100,[0 0]
20080708,8.19,8.19,7.37,7.37,3928200,[0 0]
20080710,7.3,7.6,7.2,7.59,13272900,[1 1]
20080711,8.2,8.2,7.5,7.65,9186600,[1 1]
20080714,7.7,7.8,7.41,7.8,53269100,[0 1]
20080715,7.41,7.8,7.41,7.8,44961400,[1 0]
20080716,7.6,8.3,7.45,8.3,24043100,[0 0]
20080718,7.99,7.99,7.55,7.89,49109400,[0 1]
20080721,7.9,7.9,7.4,7.65,16711100,[1 1]
20080722,7.87,8.0,7.4,7.55,17382600,[0 0]
20080723,7.4,7.4,7.0,7.15,175130000,[1 0]
20080724,7.24,7.24,6.9,6.9,18603000,[1 0]
20080725,6.8,7.0,6.8,6.99,3275500,[0 1]
20080728,7.0,7.0,6.8,6.8,3155000,[1 0]
20080729,6.71,7.29,6.41,7.29,20148900,[0 0]
20080730,7.14,7.14,6.75,7.0,32125700,[1 1]
20080731,7.0,7.0,6.97,6.97,22743800,[0 1]
20080801,7.09,7.09,6.51,6.77,93332700,[1 1]
20080804,6.9,6.95,6.55,6.67,8356500,[1 1]
20080805,6.9,6.9,6.41,6.5,4230200,[1 0]
20080806,6.4,6.68,6.4,6.68,3457200,[1 1]
20080807,6.73,6.73,6.06,6.16,29964500,[1 0]
20080808,6.21,7.49,6.21,6.7,79312100,[0 0]
20080811,6.9,6.99,6.41,6.7,11592600,[1 1]
20080812,6.9,6.9,6.41,6.69,2310800,[0 1]
20080813,7.48,7.48,6.68,6.68,786200,[0 1]
20080814,6.93,6.93,6.7,6.7,2652700,[0 0]
20080815,6.79,6.79,6.2,6.2,29112600,[0 1]
20080818,6.58,6.58,6.2,6.3,50784600,[0 1]
20080819,6.3,6.3,5.9,5.99,66364100,[0 0]
20080820,6.0,6.45,5.9,5.9,24957300,[1 0]
20080821,6.29,6.29,5.55,5.99,24652400,[1 1]
20080822,6.0,6.0,6.0,6.0,2400000,[1 0]
20080825,5.99,6.05,5.76,6.0,2014800,[0 1]
20080826,6.13,6.13,6.0,6.0,11606000,[1 0]
20080827,5.99,6.0,5.99,6.0,1319800,[1 1]
20080828,6.1,6.45,6.0,6.1,1711800,[0 1]
20080829,6.89,6.89,5.68,5.89,42748000,[0 1]
20080901,6.18,6.18,5.75,5.85,88876800,[1 0]
20080902,5.85,5.85,5.27,5.45,85547900,[0 1]
20080903,5.4,5.5,4.98,4.98,127289900,[1 0]
20080904,5.0,5.0,4.7,4.7,4150000,[1 0]
20080905,4.6,4.7,4.1,4.2,25116300,[1 1]
20080908,4.8,4.8,4.2,4.38,29914100,[0 1]
20080909,4.38,4.38,3.8,4.15,11929100,[1 1]
20080910,4.18,4.39,4.0,4.14,69401900,[1 1]
20080911,4.14,4.25,4.07,4.15,21940900,[1 1]
20080912,4.39,4.39,4.2,4.25,1121700,[0 1]
20080915,4.19,4.19,3.8,4.02,28500200,[1 1]
20080916,3.99,3.99,3.55,3.6,20011700,[1 1]
20080917,3.56,3.56,2.97,2.97,671538100,[1 0]
20080918,3.0,3.1,2.9,3.1,291133700,[0 0]
20080919,3.9,3.99,2.91,3.1,448878300,[0 0]
20080922,3.11,3.8,3.11,3.59,40431800,[1 0]
20080923,3.59,3.6,3.25,3.37,22409600,[1 1]
20080924,3.41,3.7,3.4,3.55,169634900,[1 1]
20080925,3.6,3.6,3.5,3.55,100837500,[0 1]
20080926,3.56,3.59,3.31,3.49,9313700,[0 1]
20080929,3.36,3.49,3.21,3.37,19958200,[1 0]
20080930,3.31,3.53,3.31,3.5,67242200,[1 0]
20081001,3.8,3.8,3.32,3.4,149060700,[1 0]
20081002,3.36,3.36,3.15,3.25,75609300,[1 1]
20081003,3.34,3.43,3.33,3.4,80808300,[0 1]
20081006,3.34,3.34,2.9,3.19,22817800,[1 0]
20081007,3.19,3.79,3.15,3.4,2111400,[0 0]
20081008,3.4,3.4,3.4,3.4,1054000,[0 0]
20081009,3.4,3.6,3.4,3.5,377000,[1 1]
20081010,3.45,3.5,3.01,3.5,2627700,[1 0]
20081013,3.5,3.75,3.5,3.5,1484700,[1 0]
20081014,3.5,5.39,3.5,3.89,143020100,[1 1]
20081015,3.89,4.0,3.6,3.96,770600,[0 1]
20081016,3.8,3.94,3.52,3.94,7474600,[0 0]
20081017,3.89,3.9,3.87,3.89,47065900,[0 1]
20081020,4.18,4.18,3.89,4.0,13485400,[0 1]
20081021,4.14,4.14,3.7,3.8,9023000,[1 1]
20081022,3.7,3.7,3.45,3.7,3926000,[1 1]
20081023,3.7,3.7,3.5,3.5,52332000,[0 1]
20081024,3.39,3.39,3.0,3.0,74664400,[1 0]
20081027,2.95,3.0,2.87,3.0,25977900,[1 0]
20081028,3.06,3.06,2.8,2.99,11916400,[0 0]
20081029,2.9,2.9,2.71,2.8,46315000,[1 0]
20081030,2.7,2.9,2.5,2.8,135910300,[1 1]
20081031,2.88,2.95,2.61,2.9,7875600,[1 1]
20081103,2.92,2.92,2.75,2.89,17635200,[1 1]
20081104,3.0,3.0,3.0,3.0,780000,[0 0]
20081105,3.07,3.07,2.9,3.0,7745000,[0 1]
20081106,2.95,3.1,2.8,2.9,26876800,[0 1]
20081107,3.0,3.0,3.0,3.0,5280000,[0 1]
20081110,3.09,3.09,3.0,3.0,8461500,[0 0]
20081111,3.0,3.0,2.87,2.95,35322800,[0 1]
20081112,3.0,3.0,2.8,2.99,4618900,[1 0]
20081113,3.08,3.1,3.0,3.0,2024100,[0 0]
20081114,3.0,3.0,2.85,3.0,9099000,[1 0]
20081117,2.95,2.95,2.9,2.94,440400,[0 1]
20081118,2.95,2.95,2.78,2.95,18837200,[1 0]
20081119,2.93,2.95,2.8,2.95,20891000,[0 1]
20081121,2.78,2.78,2.63,2.7,37273300,[1 0]
20081124,2.52,2.65,2.52,2.64,217881600,[1 1]
20081125,2.6,2.69,2.6,2.66,681100,[1 1]
20081126,2.7,2.93,2.7,2.75,41948500,[1 1]
20081127,2.98,2.98,2.98,2.98,59600,[1 0]
20081128,2.9,2.9,2.9,2.9,11020000,[1 0]
20081202,2.87,2.95,2.87,2.9,72526700,[0 1]
20081203,2.8,2.9,2.79,2.9,124448300,[0 1]
20081204,2.85,2.9,2.75,2.75,100472100,[1 0]
20081205,2.75,2.9,2.71,2.9,36087200,[1 1]
20081208,2.9,2.9,2.8,2.9,156751500,[1 0]
20081210,2.99,2.99,2.97,2.97,775600,[0 1]
20081211,2.95,2.96,2.95,2.96,206800,[0 0]
20081212,2.99,2.99,2.94,2.94,588700,[1 1]
