date,open,max,min,close,volume,y
20071029,11.23,11.23,10.8,11.0,18741155,[0 1]
20071030,11.0,11.0,10.82,10.99,1959577,[0 1]
20071031,11.0,11.0,10.8,11.0,1726110,[0 0]
20071101,10.9,11.0,10.0,11.0,768505,[0 1]
20071105,11.0,11.05,10.53,11.05,618017,[0 0]
20071106,10.54,10.95,10.54,10.9,379918,[1 0]
20071107,10.71,10.71,10.7,10.7,115627,[0 1]
20071108,10.94,10.95,10.6,10.6,162979,[0 1]
20071109,10.95,10.95,10.95,10.95,16425,[0 0]
20071112,10.74,10.85,10.65,10.85,223266,[1 0]
20071113,10.6,10.78,10.5,10.78,413367,[1 0]
20071114,10.85,10.89,10.32,10.85,323696,[1 0]
20071116,10.31,10.6,9.94,10.6,168868,[1 1]
20071121,10.75,10.75,10.01,10.01,220142,[0 0]
20071122,10.01,10.45,10.0,10.45,345167,[0 1]
20071123,10.3,10.33,10.3,10.32,122288,[0 0]
20071126,10.5,10.8,9.41,9.41,386065,[1 1]
20071127,10.5,10.9,10.41,10.9,1754954,[0 0]
20071128,10.8,10.98,10.5,10.7,445943,[0 1]
20071129,10.89,10.9,10.5,10.9,215131,[1 0]
20071130,10.85,10.89,10.52,10.52,205343,[1 0]
20071203,10.9,11.49,10.27,11.49,1817838,[0 0]
20071204,11.45,11.55,11.2,11.35,501283,[1 0]
20071205,11.0,11.4,11.0,11.4,502369,[1 0]
20071206,11.29,11.4,11.29,11.4,113408,[0 1]
20071207,11.4,11.5,10.8,11.5,622528,[0 0]
20071211,11.55,11.9,11.48,11.8,351787,[1 0]
20071212,11.48,11.6,11.48,11.6,115568,[0 1]
20071213,11.47,11.47,11.3,11.4,114247,[0 1]
20071214,10.81,10.81,10.81,10.81,79994,[1 0]
20071217,11.2,11.2,11.2,11.2,30240,[0 1]
20071218,11.1,11.19,11.1,11.19,140061,[1 0]
20071219,11.01,11.01,11.0,11.0,19809,[0 0]
20071220,11.06,11.2,11.0,11.2,221734,[0 0]
20071221,11.05,11.05,9.5,9.5,4110,[0 0]
20071226,11.25,11.5,11.0,11.5,153825,[0 0]
20071228,11.48,11.48,10.33,11.2,114349,[1 0]
20080102,11.2,11.2,10.53,10.53,48476,[0 1]
20080104,11.1,11.2,11.1,11.2,111040,[0 0]
20080107,11.0,11.5,10.64,11.5,133130,[1 0]
20080108,11.0,11.0,11.0,11.0,9900,[0 1]
20080109,11.0,11.5,11.0,11.5,273794,[0 0]
