date,open,max,min,close,volume,y
20070507,1.01,1.2,0.95,1.2,738000,[1 0]
20070508,1.34,1.81,1.3,1.6,26888000,[0 1]
20070509,1.68,1.68,1.49,1.55,52663000,[0 1]
20070510,1.62,1.68,1.39,1.39,21865000,[0 1]
20070511,1.45,1.59,1.45,1.49,16858000,[0 0]
20070514,1.5,1.58,1.4,1.48,13883000,[1 0]
20070515,1.46,1.7,1.36,1.55,36295000,[0 1]
20070516,1.7,1.7,1.43,1.48,25414000,[0 1]
20070517,1.49,1.5,1.35,1.5,4856000,[1 0]
20070518,1.41,1.51,1.41,1.47,2465000,[0 0]
20070521,1.33,1.43,1.3,1.3,16787000,[1 1]
20070522,1.42,1.51,1.3,1.33,12609000,[1 0]
20070523,1.32,1.4,1.22,1.25,11657000,[0 0]
20070524,1.28,1.3,1.19,1.19,6872000,[1 0]
20070525,1.26,1.3,1.25,1.25,2031000,[0 0]
20070528,1.23,1.37,1.19,1.19,12591000,[1 0]
20070529,1.25,1.29,1.24,1.24,7946000,[1 0]
20070530,1.25,1.28,1.25,1.25,628000,[0 0]
20070531,1.27,1.28,1.19,1.2,20895000,[1 0]
20070601,1.26,1.26,1.2,1.2,11133000,[1 1]
20070604,1.2,1.22,1.18,1.18,6337000,[0 1]
20070605,1.2,1.21,1.2,1.21,482000,[1 0]
20070606,1.21,1.25,1.18,1.24,3384000,[0 0]
20070608,1.25,1.34,1.22,1.28,105790000,[1 0]
20070611,1.61,1.79,1.28,1.28,388690000,[1 1]
20070612,1.36,1.37,1.12,1.19,97453000,[0 0]
20070613,1.21,1.21,1.14,1.14,43198000,[0 0]
20070614,1.2,1.21,1.11,1.15,35033000,[1 0]
20070615,1.17,1.17,1.09,1.1,39905000,[0 1]
20070618,1.1,1.1,0.99,1.04,22082000,[0 0]
20070619,1.06,1.06,1.01,1.01,8032000,[1 0]
20070620,1.02,1.09,1.02,1.09,4962000,[0 0]
20070621,1.09,1.11,1.04,1.05,11646000,[1 0]
20070622,1.09,1.15,1.06,1.11,11107000,[0 0]
20070625,1.08,1.09,1.05,1.08,8937000,[0 0]
20070626,1.06,1.07,1.03,1.03,4507000,[0 1]
20070627,1.03,1.04,0.91,0.99,12510000,[1 1]
20070628,1.04,1.04,0.99,1.02,2401000,[0 0]
20070629,1.03,1.03,0.99,0.99,3532000,[0 0]
20070702,1.0,1.06,1.0,1.02,6254000,[1 0]
20070703,1.04,1.06,1.0,1.03,8764000,[0 0]
20070704,1.01,1.03,0.99,1.0,10947000,[0 1]
20070705,1.03,1.13,1.0,1.01,28261000,[1 0]
20070706,1.07,1.15,1.04,1.1,46952000,[0 0]
20070710,1.14,1.14,1.06,1.06,14890000,[1 0]
20070711,1.08,1.08,1.04,1.04,13452000,[1 0]
20070712,1.04,1.04,1.01,1.01,6981000,[1 0]
20070713,1.01,1.03,1.01,1.03,3595000,[1 1]
20070716,1.03,1.07,1.01,1.02,11384000,[0 0]
20070717,1.05,1.11,1.03,1.03,41812000,[0 0]
20070718,1.08,1.1,1.04,1.06,9499000,[0 0]
20070719,1.05,1.06,1.03,1.04,4998000,[0 0]
20070720,1.03,1.04,1.02,1.03,14594000,[1 1]
20070723,1.03,1.05,1.0,1.03,10521000,[0 0]
20070724,1.01,1.02,0.96,0.98,19505000,[0 1]
20070725,0.98,1.01,0.93,1.01,3872000,[1 1]
20070726,0.95,0.95,0.87,0.93,15110000,[0 0]
20070727,0.9,0.91,0.87,0.91,5437000,[0 0]
20070730,0.91,0.92,0.91,0.92,1647000,[0 0]
20070731,0.91,0.93,0.88,0.88,9459000,[0 0]
20070801,0.88,0.88,0.87,0.87,2721000,[0 0]
20070802,0.91,0.91,0.89,0.89,3534000,[0 1]
20070803,0.9,0.91,0.75,0.86,7637000,[0 0]
20070806,0.86,0.86,0.8,0.8,12709000,[0 0]
20070807,0.84,0.85,0.8,0.8,4338000,[0 0]
20070808,0.83,0.85,0.77,0.81,7475000,[1 0]
20070809,0.8,0.81,0.78,0.8,3814000,[0 1]
20070810,0.8,0.8,0.75,0.8,3477000,[0 0]
20070813,0.77,0.78,0.72,0.77,2512000,[1 0]
20070814,0.77,0.77,0.7,0.73,3789000,[0 0]
20070815,0.73,0.73,0.64,0.66,3509000,[0 1]
20070816,0.65,0.65,0.6,0.61,3853000,[0 0]
20070817,0.6,0.72,0.6,0.66,3404000,[1 1]
20070820,0.72,0.79,0.72,0.76,1437000,[0 0]
20070821,0.78,0.84,0.78,0.83,3777000,[0 1]
20070822,0.85,0.85,0.75,0.78,4215000,[0 1]
20070823,0.76,0.76,0.73,0.76,2168000,[1 0]
20070824,0.75,0.75,0.74,0.74,224000,[0 1]
20070827,0.74,0.74,0.71,0.71,725000,[0 0]
20070828,0.71,0.73,0.71,0.73,874000,[1 0]
20070830,0.71,0.73,0.71,0.71,1286000,[1 0]
20070831,0.71,0.73,0.7,0.71,1791000,[1 1]
20070903,0.71,0.71,0.68,0.7,906000,[0 0]
20070904,0.69,0.73,0.69,0.7,992000,[0 0]
20070905,0.71,0.76,0.71,0.74,1407000,[0 0]
20070906,0.75,0.75,0.73,0.75,445000,[1 0]
20070910,0.7,0.76,0.7,0.74,802000,[1 0]
20070911,0.7,0.73,0.67,0.73,1125000,[1 0]
20070912,0.7,0.72,0.69,0.69,906000,[1 1]
20070913,0.69,0.75,0.68,0.74,1789000,[0 0]
20070914,0.73,0.8,0.7,0.73,6664000,[1 1]
20070917,0.71,0.76,0.7,0.74,2002000,[0 0]
20070918,0.71,0.72,0.69,0.7,5737000,[0 0]
20070919,0.71,0.73,0.71,0.73,718000,[0 0]
20070920,0.7,0.7,0.7,0.7,2094000,[1 0]
20070921,0.7,0.72,0.7,0.72,775000,[1 0]
20070924,0.74,0.76,0.73,0.74,4169000,[0 0]
20070925,0.72,0.72,0.72,0.72,720000,[0 1]
20070926,0.7,0.73,0.7,0.7,3156000,[0 0]
20070927,0.7,0.71,0.69,0.7,3358000,[0 1]
20070928,0.69,0.69,0.68,0.69,1574000,[0 1]
20071001,0.68,0.68,0.66,0.67,1676000,[0 1]
20071002,0.68,0.68,0.64,0.64,1511000,[0 0]
20071003,0.64,0.65,0.64,0.64,1746000,[0 0]
20071005,0.68,0.69,0.64,0.64,2304000,[0 0]
20071008,0.64,0.65,0.63,0.65,1539000,[0 0]
20071009,0.65,0.67,0.62,0.67,2200000,[1 1]
20071010,0.66,0.66,0.65,0.65,845000,[0 0]
20071011,0.65,0.65,0.55,0.6,4013000,[1 0]
20071015,0.62,0.62,0.6,0.6,1351000,[0 0]
20071016,0.61,0.61,0.61,0.61,183000,[1 0]
20071017,0.63,0.81,0.62,0.75,17918000,[0 1]
20071018,0.82,0.91,0.76,0.81,147095000,[0 1]
20071019,0.83,0.83,0.76,0.79,22401000,[1 1]
20071022,0.8,0.8,0.71,0.76,5724000,[0 1]
20071023,0.75,0.75,0.71,0.71,3959000,[1 0]
20071024,0.7,0.7,0.67,0.67,1093000,[0 0]
20071025,0.67,0.67,0.61,0.65,8303000,[1 0]
20071026,0.64,0.64,0.6,0.63,3320000,[0 0]
20071029,0.62,0.62,0.6,0.62,3360000,[0 0]
20071030,0.61,0.63,0.61,0.62,1913000,[1 0]
20071031,0.61,0.71,0.61,0.62,7954000,[0 1]
20071101,0.64,0.65,0.62,0.62,2355000,[0 0]
20071105,0.62,0.62,0.6,0.6,425000,[1 0]
20071106,0.61,0.64,0.61,0.63,1871000,[1 0]
20071107,0.63,0.63,0.59,0.61,5612000,[1 1]
20071108,0.6,0.62,0.58,0.59,4509000,[1 1]
20071109,0.59,0.61,0.59,0.59,1772000,[0 0]
20071112,0.61,0.61,0.57,0.57,1560000,[0 1]
20071113,0.57,0.57,0.57,0.57,171000,[1 0]
20071114,0.59,0.6,0.55,0.55,566000,[0 1]
20071116,0.6,0.61,0.56,0.6,6160000,[0 0]
20071119,0.61,0.61,0.54,0.57,2498000,[0 0]
20071121,0.54,0.54,0.53,0.53,2526000,[0 0]
20071122,0.51,0.55,0.5,0.55,933000,[0 1]
20071123,0.56,0.57,0.52,0.55,3451000,[0 0]
20071126,0.56,0.56,0.45,0.45,2457000,[0 1]
20071127,0.51,0.62,0.51,0.58,14194000,[0 0]
20071128,0.56,0.56,0.55,0.56,445000,[0 1]
20071203,0.56,0.56,0.55,0.55,111000,[0 1]
20071204,0.52,0.52,0.51,0.52,569000,[0 0]
20071205,0.52,0.52,0.52,0.52,676000,[0 0]
20071206,0.55,0.64,0.55,0.58,6825000,[0 0]
20071207,0.57,0.61,0.55,0.56,2894000,[0 1]
20071210,0.56,0.56,0.5,0.51,9415000,[0 0]
20071211,0.53,0.55,0.53,0.53,2220000,[0 0]
20071212,0.54,0.61,0.52,0.56,4167000,[0 0]
20071213,0.53,0.56,0.53,0.53,962000,[1 0]
20071214,0.53,0.57,0.53,0.53,1652000,[0 0]
20071217,0.53,0.53,0.47,0.48,1568000,[1 1]
20071218,0.53,0.53,0.5,0.5,1563000,[0 1]
20071219,0.5,0.5,0.5,0.5,3600000,[1 1]
20071220,0.51,0.51,0.51,0.51,3111000,[0 0]
20071221,0.54,0.68,0.53,0.57,30108000,[0 0]
20071226,0.55,0.6,0.55,0.57,4688000,[1 1]
20071227,0.6,0.6,0.55,0.55,1123000,[0 0]
20071228,0.55,0.58,0.53,0.58,2321000,[0 0]
20080102,0.55,0.56,0.53,0.54,1407000,[0 0]
20080103,0.56,0.56,0.53,0.53,818000,[0 0]
20080104,0.54,0.54,0.54,0.54,432000,[0 0]
20080107,0.54,0.54,0.5,0.5,887000,[0 1]
20080108,0.51,0.52,0.5,0.51,1035000,[0 0]
20080109,0.51,0.51,0.48,0.48,2944000,[0 0]
20080110,0.48,0.53,0.48,0.5,451000,[0 0]
20080111,0.51,0.51,0.51,0.51,102000,[1 0]
20080114,0.5,0.5,0.5,0.5,900000,[0 0]
20080115,0.49,0.49,0.48,0.48,2555000,[0 0]
20080116,0.47,0.48,0.47,0.48,568000,[0 1]
20080117,0.48,0.48,0.47,0.48,333000,[0 1]
20080118,0.48,0.48,0.48,0.48,960000,[1 1]
20080121,0.48,0.48,0.43,0.43,985000,[0 1]
20080122,0.44,0.45,0.44,0.45,356000,[0 1]
20080123,0.44,0.44,0.42,0.42,130000,[0 0]
20080124,0.42,0.48,0.42,0.44,266000,[1 0]
20080128,0.44,0.44,0.44,0.44,132000,[0 0]
20080129,0.45,0.46,0.45,0.46,320000,[1 0]
