date,open,max,min,close,volume,y
20070508,1.12,1.9,1.12,1.66,211154,[0 1]
20070509,1.5,1.5,1.5,1.5,75000,[0 0]
20070510,1.6,1.6,1.54,1.55,273517,[1 0]
20070511,1.65,1.65,1.55,1.55,8825,[0 0]
20070514,1.5,1.5,1.5,1.5,45000,[0 0]
20070515,1.47,1.75,1.47,1.65,172049,[1 0]
20070516,1.75,1.75,1.45,1.48,435425,[1 1]
20070521,1.4,1.47,1.34,1.47,140569,[1 0]
20070522,1.43,1.43,1.4,1.4,73448,[0 0]
20070523,1.4,1.4,1.28,1.28,93848,[0 0]
20070528,1.28,1.28,1.2,1.2,45640,[0 1]
20070529,1.27,1.29,1.27,1.29,120853,[0 1]
20070531,1.26,1.26,1.19,1.19,121793,[0 1]
20070601,1.2,1.2,1.2,1.2,23280,[0 1]
20070608,1.24,1.29,1.23,1.23,388443,[0 1]
20070611,1.75,1.9,1.3,1.3,7345258,[0 0]
20070612,1.35,1.35,1.15,1.15,1081863,[1 1]
20070613,1.2,1.2,1.15,1.15,551269,[0 0]
20070614,1.1,1.2,1.1,1.15,397726,[1 0]
20070615,1.15,1.15,1.1,1.1,441018,[1 1]
20070618,1.11,1.11,1.01,1.05,563088,[0 0]
20070619,1.07,1.07,1.02,1.02,144680,[0 0]
20070620,1.03,1.08,1.0,1.06,155752,[0 0]
20070621,1.08,1.17,1.0,1.05,152828,[0 1]
20070622,1.09,1.18,1.09,1.12,160677,[1 0]
20070625,1.12,1.12,1.06,1.06,216520,[0 1]
20070626,1.1,1.1,1.1,1.1,110,[0 1]
20070627,1.05,1.05,0.95,0.97,455363,[0 0]
20070628,1.03,1.03,1.0,1.03,76065,[0 1]
20070629,1.02,1.02,1.0,1.0,57902,[0 0]
20070702,1.06,1.06,1.06,1.06,54590,[0 1]
20070703,1.08,1.08,1.0,1.0,29900,[1 0]
20070704,1.0,1.0,1.0,1.0,30000,[0 0]
20070705,1.02,1.04,1.02,1.04,56800,[0 0]
20070706,1.05,1.13,1.05,1.13,347492,[1 0]
20070710,1.06,1.07,1.06,1.07,78145,[1 1]
20070711,1.09,1.09,1.04,1.04,133776,[0 0]
20070712,1.05,1.05,1.05,1.05,10500,[0 1]
20070713,1.03,1.03,1.03,1.03,92420,[0 1]
20070716,1.02,1.06,1.02,1.06,147684,[0 1]
20070717,1.05,1.08,1.05,1.08,145752,[0 1]
20070718,1.08,1.08,1.08,1.08,18144,[0 0]
20070719,1.06,1.06,1.03,1.03,27103,[0 0]
20070720,1.04,1.04,1.03,1.03,103500,[0 0]
20070723,1.03,1.03,1.01,1.01,113320,[0 1]
20070724,1.01,1.01,0.98,0.98,296230,[0 1]
20070725,0.98,0.98,0.97,0.98,153576,[0 0]
20070726,1.01,1.01,0.83,0.83,123340,[0 1]
20070727,0.9,0.9,0.9,0.9,99000,[1 1]
20070730,0.97,0.97,0.97,0.97,970,[1 0]
20070731,0.96,0.96,0.91,0.91,45666,[0 0]
20070801,0.9,0.9,0.87,0.87,88443,[0 0]
20070802,0.89,0.91,0.88,0.91,58075,[1 1]
20070803,0.9,0.9,0.8,0.8,179714,[0 0]
20070806,0.84,0.84,0.83,0.83,3584,[0 0]
20070808,0.82,0.82,0.81,0.82,114335,[0 1]
20070809,0.81,0.81,0.8,0.81,89700,[0 0]
20070810,0.79,0.79,0.78,0.78,29343,[0 0]
20070813,0.75,0.79,0.7,0.79,99673,[0 1]
20070814,0.75,0.75,0.73,0.73,74000,[0 1]
20070815,0.73,0.73,0.66,0.66,214176,[1 1]
20070816,0.65,0.65,0.6,0.6,206105,[0 1]
20070817,0.64,0.64,0.64,0.64,19200,[1 0]
20070821,0.79,0.8,0.79,0.8,114320,[0 0]
20070822,0.83,1.0,0.79,0.79,140937,[0 0]
20070823,0.75,0.75,0.75,0.75,9225,[0 0]
20070824,0.7,0.7,0.7,0.7,35000,[1 0]
20070829,0.7,0.7,0.7,0.7,70,[0 1]
20070830,0.7,0.7,0.68,0.68,41438,[0 0]
20070831,0.73,0.73,0.71,0.72,47285,[0 1]
20070903,0.71,0.71,0.7,0.7,70376,[0 0]
20070904,0.72,0.72,0.72,0.72,21600,[1 0]
20070905,0.75,0.75,0.75,0.75,9300,[1 0]
20070906,0.7,0.74,0.7,0.74,19070,[0 1]
20070910,0.75,0.75,0.73,0.73,48750,[0 1]
20070911,0.71,0.71,0.67,0.67,25141,[0 1]
20070912,0.68,0.7,0.68,0.7,25910,[0 0]
20070913,0.65,0.68,0.65,0.68,15145,[1 0]
20070914,0.73,0.74,0.73,0.74,73600,[1 0]
20070917,0.65,0.7,0.65,0.7,45595,[0 1]
20070919,0.72,0.72,0.72,0.72,7200,[0 1]
20070920,0.71,0.71,0.66,0.66,37974,[1 0]
20070924,0.69,0.76,0.69,0.76,72100,[1 0]
20070926,0.7,0.7,0.69,0.69,32381,[0 0]
20070927,0.69,0.69,0.69,0.69,40020,[0 0]
20070928,0.68,0.68,0.68,0.68,34000,[0 0]
20071001,0.68,0.68,0.68,0.68,34000,[1 0]
20071002,0.67,0.7,0.66,0.66,101300,[0 0]
20071003,0.65,0.65,0.65,0.65,91260,[0 0]
20071004,0.6,0.61,0.6,0.61,60425,[1 1]
20071005,0.67,0.67,0.67,0.67,35041,[1 0]
20071008,0.7,0.7,0.62,0.62,31070,[1 0]
20071009,0.69,0.69,0.62,0.69,29604,[1 0]
20071010,0.64,0.64,0.64,0.64,8960,[1 0]
20071011,0.68,0.68,0.6,0.6,160219,[0 1]
20071015,0.65,0.65,0.6,0.6,57770,[0 0]
20071017,0.65,0.79,0.65,0.68,386104,[0 0]
20071018,0.8,0.88,0.78,0.78,1180868,[0 1]
20071019,0.81,0.81,0.75,0.8,508147,[1 0]
20071022,0.7,0.85,0.7,0.85,71328,[1 0]
20071023,0.84,0.84,0.72,0.72,50484,[1 0]
20071024,0.7,0.7,0.7,0.7,1400,[0 1]
20071025,0.65,0.65,0.64,0.64,59300,[1 0]
20071026,0.61,0.63,0.61,0.63,88813,[1 1]
20071029,0.61,0.61,0.6,0.6,62847,[0 1]
20071030,0.64,0.65,0.64,0.65,26808,[0 0]
20071031,0.61,0.69,0.61,0.69,71898,[0 0]
20071101,0.65,0.65,0.62,0.62,26100,[1 0]
20071105,0.62,0.62,0.62,0.62,47864,[0 1]
20071106,0.61,0.62,0.6,0.62,76172,[0 1]
20071107,0.6,0.6,0.6,0.6,57360,[1 1]
20071109,0.6,0.6,0.59,0.59,35420,[0 0]
20071112,0.62,0.62,0.62,0.62,1237,[0 0]
20071113,0.62,0.62,0.62,0.62,992,[1 0]
20071114,0.62,0.62,0.56,0.56,56130,[0 0]
20071116,0.56,0.56,0.56,0.56,94080,[0 0]
20071119,0.56,0.56,0.55,0.55,11068,[0 0]
20071121,0.55,0.55,0.54,0.54,5420,[0 0]
20071122,0.58,0.6,0.5,0.6,75740,[1 0]
20071123,0.56,0.56,0.54,0.54,66200,[0 0]
20071126,0.57,0.57,0.57,0.57,42978,[1 0]
20071127,0.59,0.65,0.53,0.6,335280,[0 1]
20071128,0.62,0.62,0.62,0.62,62,[0 0]
20071205,0.55,0.55,0.45,0.54,26384,[1 0]
20071206,0.53,0.6,0.52,0.57,156610,[0 0]
20071207,0.6,0.6,0.6,0.6,1800,[0 1]
20071210,0.6,0.6,0.57,0.57,2097,[0 0]
20071211,0.6,0.6,0.55,0.55,7794,[0 0]
20071212,0.6,0.6,0.54,0.55,48020,[0 1]
20071214,0.54,0.54,0.53,0.53,18672,[0 1]
20071217,0.53,0.53,0.53,0.53,742,[0 0]
20071218,0.5,0.5,0.5,0.5,15950,[1 1]
20071219,0.5,0.5,0.5,0.5,7450,[0 0]
20071221,0.55,0.7,0.55,0.59,599865,[0 0]
20071226,0.6,0.6,0.58,0.58,29060,[0 0]
20071227,0.6,0.6,0.56,0.57,28262,[0 1]
20071228,0.55,0.58,0.54,0.58,147178,[0 1]
20080102,0.55,0.55,0.54,0.54,43546,[0 0]
20080103,0.54,0.54,0.54,0.54,21708,[0 0]
20080104,0.54,0.54,0.52,0.52,31600,[1 0]
20080107,0.54,0.54,0.54,0.54,35262,[0 1]
20080109,0.5,0.5,0.5,0.5,22500,[1 1]
20080110,0.49,0.49,0.49,0.49,2058,[0 0]
20080111,0.56,0.56,0.56,0.56,56,[0 0]
20080114,0.51,0.51,0.5,0.5,3051,[1 0]
20080115,0.54,0.54,0.54,0.54,216,[0 0]
20080116,0.48,0.48,0.48,0.48,16608,[1 0]
20080117,0.45,0.45,0.45,0.45,4770,[0 1]
20080118,0.54,0.54,0.54,0.54,108,[0 1]
20080121,0.44,0.44,0.35,0.35,66684,[0 1]
20080122,0.44,0.44,0.44,0.44,7436,[0 0]
20080131,0.45,0.45,0.44,0.44,34245,[0 1]
20080206,0.53,0.55,0.53,0.55,16388,[0 0]
20080207,0.49,0.49,0.49,0.49,1960,[0 0]
20080208,0.45,0.45,0.45,0.45,22500,[1 0]
20080211,0.44,0.48,0.44,0.48,15168,[1 1]
20080212,0.46,0.46,0.46,0.46,13800,[0 0]
20080213,0.5,0.57,0.5,0.5,290239,[0 0]
20080214,0.48,0.48,0.48,0.48,480,[0 1]
20080215,0.46,0.46,0.45,0.45,9183,[0 1]
20080218,0.45,0.47,0.45,0.47,27256,[0 0]
20080220,0.46,0.46,0.44,0.44,13686,[0 0]
20080225,0.48,0.48,0.48,0.48,12000,[1 0]
20080226,0.49,0.49,0.49,0.49,441,[1 0]
20080227,0.48,0.48,0.48,0.48,7248,[0 0]
20080303,0.49,0.51,0.49,0.51,75343,[1 0]
20080304,0.46,0.5,0.46,0.5,20794,[0 0]
20080305,0.46,0.46,0.46,0.46,2852,[0 0]
20080306,0.46,0.46,0.46,0.46,25944,[0 0]
20080307,0.46,0.46,0.46,0.46,9108,[0 0]
20080312,0.45,0.45,0.45,0.45,10035,[0 0]
20080313,0.45,0.45,0.45,0.45,90,[0 0]
20080318,0.45,0.45,0.44,0.44,44325,[0 1]
20080319,0.47,0.47,0.47,0.47,47,[0 1]
20080325,0.4,0.4,0.4,0.4,2000,[0 0]
20080326,0.4,0.4,0.4,0.4,440,[0 1]
20080328,0.35,0.4,0.35,0.4,20350,[0 1]
20080401,0.36,0.36,0.36,0.36,11448,[0 0]
20080402,0.36,0.36,0.35,0.35,14015,[1 0]
20080403,0.4,0.47,0.4,0.4,2687,[0 0]
20080404,0.41,0.41,0.41,0.41,6314,[0 1]
20080407,0.47,0.47,0.47,0.47,47,[0 0]
20080408,0.4,0.47,0.38,0.38,41052,[1 0]
20080409,0.41,0.41,0.41,0.41,41,[0 1]
20080410,0.4,0.4,0.38,0.38,7602,[1 0]
20080411,0.45,0.45,0.45,0.45,45,[1 0]
20080414,0.37,0.37,0.37,0.37,44400,[0 1]
20080415,0.47,0.47,0.47,0.47,47,[0 1]
20080416,0.45,0.45,0.45,0.45,45,[0 0]
20080417,0.4,0.4,0.37,0.37,22018,[0 1]
20080418,0.4,0.4,0.4,0.4,40,[0 1]
20080422,0.4,0.4,0.4,0.4,40,[1 0]
20080423,0.39,0.39,0.39,0.39,39,[1 0]
20080424,0.35,0.38,0.34,0.38,17139,[1 0]
20080425,0.39,0.39,0.38,0.38,19039,[0 1]
20080428,0.39,0.39,0.36,0.36,21900,[0 0]
20080429,0.39,0.39,0.38,0.38,38039,[1 0]
20080430,0.39,0.41,0.39,0.4,4718,[1 0]
20080502,0.45,0.45,0.39,0.39,123,[1 1]
20080505,0.39,0.43,0.39,0.42,23341,[1 1]
20080506,0.43,0.43,0.4,0.41,3644,[0 1]
20080507,0.42,0.42,0.42,0.42,42,[0 1]
20080508,0.41,0.41,0.41,0.41,41,[1 1]
20080512,0.39,0.39,0.37,0.37,224,[1 1]
20080513,0.4,0.4,0.4,0.4,800,[0 0]
20080514,0.41,0.41,0.41,0.41,984,[0 0]
20080515,0.35,0.42,0.35,0.35,112,[1 0]
20080516,0.43,0.43,0.42,0.43,36559,[0 0]
20080519,0.44,0.44,0.44,0.44,44,[0 0]
20080520,0.44,0.44,0.43,0.43,9762,[0 0]
20080521,0.44,0.44,0.44,0.44,44,[0 0]
20080526,0.44,0.44,0.44,0.44,17644,[0 1]
20080528,0.43,0.43,0.43,0.43,43,[0 0]
20080529,0.44,0.44,0.42,0.43,19614,[1 0]
20080530,0.43,0.43,0.38,0.43,732,[0 1]
20080602,0.45,0.45,0.45,0.45,45,[0 0]
20080603,0.44,0.44,0.44,0.44,44,[0 1]
20080604,0.44,0.44,0.37,0.37,15993,[0 1]
20080605,0.4,0.4,0.4,0.4,40,[0 1]
20080606,0.4,0.4,0.4,0.4,61520,[0 0]
20080609,0.42,0.42,0.42,0.42,42,[1 0]
20080610,0.41,0.43,0.41,0.43,20732,[0 0]
20080611,0.5,0.96,0.5,0.69,2978359,[1 1]
20080612,0.8,0.8,0.55,0.55,909294,[1 0]
20080613,0.5,0.59,0.49,0.49,112846,[0 0]
20080616,0.5,0.5,0.46,0.46,104050,[1 0]
