date,open,max,min,close,volume,y
20040819,1.7,1.7,1.7,1.7,255000,[1 0]
20040817,1.8,1.8,1.8,1.8,288000,[0 1]
20040816,1.8,1.8,1.8,1.8,36000,[1 0]
20040812,1.8,1.8,1.8,1.8,18000,[0 0]
20040729,1.9,1.9,1.9,1.9,19000,[1 0]
20040716,2.2,2.2,2.2,2.2,22000,[0 0]
20040810,1.92,1.92,1.92,1.92,19200,[1 1]
20040809,1.92,1.92,1.92,1.92,19200,[0 1]
20040806,1.92,1.92,1.92,1.92,19200,[0 0]
20040715,2.2,2.2,2.2,2.2,22000,[0 0]
20040909,2.2,2.2,2.19,2.19,65900,[0 1]
20040910,2.0,2.0,2.0,2.0,1180000,[0 0]
20040913,2.0,2.0,2.0,2.0,20000,[0 1]
20040916,2.15,2.15,2.15,2.15,107500,[0 0]
20040920,2.2,2.2,2.2,2.2,22000,[1 0]
20040923,2.01,2.01,2.01,2.01,100500,[1 0]
20041005,2.2,2.2,2.2,2.2,704000,[1 0]
20041007,2.2,2.2,2.2,2.2,110000,[1 0]
20041014,1.92,1.92,1.91,1.91,229900,[0 0]
20041116,1.81,1.81,1.81,1.81,108600,[0 0]
20041201,1.81,1.81,1.81,1.81,18100,[0 0]
20041217,1.51,1.51,1.51,1.51,15100,[0 1]
20041221,1.6,1.6,1.6,1.6,80000,[1 1]
20050107,1.6,1.6,1.6,1.6,1456000,[0 0]
20050110,1.6,1.6,1.6,1.6,320000,[1 1]
20050120,1.5,1.5,1.5,1.5,450000,[0 1]
20050221,1.7,1.7,1.7,1.7,102000,[0 0]
20050223,1.7,1.7,1.7,1.7,34000,[1 1]
20050228,1.7,1.7,1.7,1.7,527000,[0 0]
20050310,1.79,1.79,1.79,1.79,89500,[1 1]
20050314,1.51,1.51,1.5,1.5,30100,[0 1]
20050321,1.8,1.8,1.8,1.8,540000,[1 0]
20050331,1.59,1.59,1.55,1.55,252800,[1 1]
20050408,1.6,1.6,1.6,1.6,80000,[1 1]
20050414,1.6,1.6,1.6,1.6,160000,[0 1]
20050420,1.77,1.77,1.77,1.77,17700,[1 0]
20050524,1.7,1.7,1.69,1.7,866000,[0 0]
20050608,1.7,1.7,1.7,1.7,136000,[0 0]
20050621,1.7,1.7,1.7,1.7,85000,[1 0]
20050622,1.55,1.55,1.54,1.54,139000,[0 1]
20050624,1.51,1.51,1.51,1.51,45300,[0 0]
20050628,1.51,1.51,1.5,1.5,315200,[0 0]
20050704,1.5,1.5,1.5,1.5,345000,[1 1]
20050727,1.49,1.49,1.49,1.49,44700,[0 0]
20050728,1.5,1.5,1.5,1.5,570000,[1 1]
20050802,1.59,1.59,1.59,1.59,47700,[1 1]
