date,open,max,min,close,volume,y
20101025,1205.0,1220.0,1105.04,1167.0,59090046900,[0 1]
20101026,1140.01,1170.0,1125.0,1125.0,16394450400,[0 1]
20101027,1125.0,1160.0,1110.12,1135.0,8409709400,[1 1]
20101028,1135.5,1135.5,1105.0,1125.0,6501852600,[1 1]
20101029,1130.0,1145.0,1120.0,1137.0,1875234500,[0 0]
20101101,1142.0,1188.99,1142.0,1175.0,2134449500,[1 0]
20101103,1188.0,1210.0,1170.17,1195.0,4794579500,[0 0]
20101104,1195.0,1209.99,1190.02,1198.0,3322741500,[1 1]
20101105,1197.98,1222.0,1197.98,1220.0,13337518600,[0 1]
20101108,1220.0,1220.0,1200.0,1200.0,2388785000,[1 1]
20101109,1200.01,1230.0,1180.0,1180.0,3616046800,[0 1]
20101110,1210.0,1210.0,1161.02,1185.0,1094100800,[0 0]
20101111,1160.0,1192.0,1160.0,1180.0,2556164600,[1 1]
20101112,1179.99,1184.99,1165.61,1170.0,812191600,[1 1]
20101116,1150.0,1160.0,1110.0,1112.05,2839390900,[0 1]
20101117,1112.05,1136.99,1112.01,1130.0,2370611200,[0 0]
20101118,1145.0,1204.0,1145.0,1200.01,3080526500,[1 0]
20101119,1175.0,1205.0,1175.0,1200.0,3489087100,[1 1]
20101122,1202.01,1202.01,1190.0,1201.0,1953606000,[1 0]
20101123,1200.0,1220.0,1195.0,1210.0,2498463400,[0 0]
20101124,1230.0,1350.0,1230.0,1350.0,2749765700,[1 1]
20101125,1380.0,1380.0,1330.0,1350.0,1574103300,[0 0]
20101126,1331.0,1435.0,1331.0,1390.0,4063656700,[1 1]
20101129,1390.0,1418.0,1371.0,1385.0,2965507200,[1 0]
20101130,1360.0,1400.0,1332.52,1354.0,1386108000,[0 1]
20101201,1354.01,1399.99,1350.01,1399.99,2732709600,[1 1]
20101202,1400.0,1497.3,1390.0,1480.0,4500513500,[1 1]
20101203,1499.0,1589.99,1465.1,1561.6,8067710100,[1 1]
20101206,1555.01,1630.0,1555.01,1624.98,18178382700,[0 0]
20101207,1625.0,1698.99,1600.0,1600.0,4942535900,[0 0]
20101208,1625.0,1667.99,1610.01,1640.0,6704403600,[1 1]
20101209,1655.0,1655.0,1580.0,1600.0,9702817200,[1 1]
20101210,1615.0,1615.0,1521.0,1530.0,6481453000,[0 1]
20101213,1535.01,1560.0,1532.04,1560.0,3412472300,[1 0]
20101214,1554.98,1554.98,1532.0,1540.0,4729818600,[1 0]
20101215,1530.0,1550.0,1520.22,1546.75,4921809600,[0 0]
20101216,1550.01,1557.0,1546.0,1555.0,2266832100,[0 1]
20101217,1555.0,1650.0,1555.0,1650.0,3954958700,[1 0]
20101220,1650.01,1650.01,1610.0,1610.0,2672712100,[1 1]
20101221,1605.0,1620.0,1580.01,1599.98,1012439800,[1 1]
20101222,1600.0,1620.0,1570.0,1575.05,2642960700,[0 0]
20101223,1610.0,1610.0,1590.0,1590.0,255441900,[0 0]
20101227,1580.01,1630.0,1580.0,1610.0,692276300,[1 0]
20101228,1635.0,1635.0,1610.0,1610.0,129880200,[1 0]
20101229,1629.5,1630.0,1587.01,1587.01,273675100,[1 1]
20101230,1600.0,1610.0,1580.0,1590.0,367686200,[1 0]
20110103,1590.01,1655.0,1580.0,1640.0,2535144000,[1 0]
20110104,1650.0,1690.0,1645.0,1680.0,935816100,[1 1]
20110105,1679.97,1680.0,1621.0,1621.0,1421759500,[0 0]
20110106,1620.0,1620.0,1545.0,1575.0,2035965500,[1 0]
20110107,1600.0,1600.0,1550.0,1580.0,1993211100,[0 0]
20110110,1593.96,1635.0,1580.0,1635.0,3574749500,[0 0]
20110111,1659.79,1669.99,1620.0,1655.0,5492320300,[0 1]
20110112,1655.02,1737.0,1655.02,1700.0,8356445800,[1 0]
20110113,1710.0,1800.0,1710.0,1781.0,10172288000,[0 1]
20110114,1800.0,1827.28,1755.24,1785.0,3421644000,[1 1]
20110117,1810.0,1820.0,1770.0,1813.0,1299344100,[0 0]
20110118,1815.0,1820.0,1790.0,1800.0,2930356900,[0 0]
20110119,1791.01,1791.01,1730.05,1765.0,1746657300,[0 0]
20110120,1770.0,1770.0,1730.0,1730.0,4935731600,[1 0]
20110121,1730.0,1730.0,1710.0,1710.0,1427790400,[0 1]
20110124,1700.0,1800.0,1700.0,1780.0,2057931100,[1 0]
20110126,1800.0,1824.99,1765.04,1794.99,4449717400,[0 0]
20110127,1799.99,1820.0,1785.01,1810.0,3960870800,[0 0]
20110128,1819.99,1834.13,1780.02,1825.0,11114748600,[1 1]
20110131,1825.0,1830.01,1802.0,1818.0,9043298700,[1 1]
20110201,1820.01,1860.0,1815.02,1845.0,6730013300,[0 0]
20110202,1845.0,1879.99,1840.01,1850.0,2843630300,[0 1]
20110203,1849.99,1850.01,1805.0,1830.0,2889328400,[0 1]
20110204,1827.99,1870.0,1827.99,1840.99,4050560900,[0 0]
20110207,1840.01,1869.99,1784.0,1825.0,1987269800,[0 0]
20110208,1840.0,1840.0,1724.99,1724.99,6828947300,[0 0]
20110209,1740.0,1779.99,1650.01,1665.0,5143943300,[1 1]
20110210,1700.0,1700.0,1620.01,1665.0,4454182000,[0 1]
20110211,1700.0,1775.0,1700.0,1730.0,12225293300,[1 0]
20110214,1730.0,1809.99,1730.0,1794.0,8549871000,[0 1]
20110215,1790.01,1798.01,1752.75,1780.0,10072345900,[1 1]
20110216,1800.0,1800.0,1760.0,1790.0,5933963100,[0 0]
20110217,1794.99,1869.99,1793.99,1830.0,6638274000,[0 1]
20110218,1880.0,1942.88,1840.02,1915.0,7810127700,[1 1]
20110221,1905.01,1969.99,1905.0,1959.94,3227769600,[1 1]
20110222,1960.0,1989.98,1930.02,1944.99,5316364200,[1 1]
20110223,1960.0,1960.0,1836.01,1900.0,4612778600,[1 0]
20110224,1900.0,1900.0,1800.0,1839.99,15678108600,[1 1]
20110225,1750.0,1800.0,1705.01,1800.0,26574016300,[1 0]
20110228,1799.96,1874.99,1791.0,1874.99,86328162700,[0 0]
20110301,1849.98,1887.49,1830.0,1854.98,8866846300,[1 0]
20110302,1854.98,1918.61,1830.0,1902.0,15509740900,[1 0]
20110303,1920.0,1924.97,1870.0,1890.0,10105423000,[0 0]
20110304,1900.0,1999.99,1900.0,1978.01,7279945100,[0 0]
20110309,1975.0,2069.99,1975.0,2027.0,3529895100,[1 1]
20110310,2027.0,2050.0,1980.0,2029.97,3596997600,[0 0]
20110311,1980.0,2028.99,1950.0,2027.99,4358825200,[0 0]
20110314,2037.0,2095.0,2030.01,2075.0,2510579300,[1 0]
20110315,2034.0,2060.01,1988.0,2049.99,5013739200,[1 0]
20110316,2054.99,2140.0,2035.0,2122.0,5946722500,[0 1]
20110317,2130.0,2200.0,2085.01,2170.0,11762355200,[0 0]
20110318,2170.0,2220.0,2050.01,2100.0,6223583500,[1 1]
20110321,2140.01,2140.01,1986.0,1986.0,6557887100,[0 0]
20110322,2005.01,2099.89,1950.01,2060.0,6352664000,[0 1]
20110323,2080.0,2115.99,2050.0,2060.0,4827220800,[0 1]
20110324,2058.0,2058.0,2007.99,2007.99,4147582700,[0 1]
20110325,2008.0,2035.0,1990.0,1990.0,2446553500,[1 0]
20110328,1999.99,2005.0,1940.0,1945.01,2157382700,[1 0]
20110329,2003.0,2003.0,1785.06,1815.0,11578734900,[0 0]
20110330,1820.0,1820.0,1661.0,1690.0,17922437100,[1 1]
20110331,1690.0,1719.99,1690.0,1701.0,5495683800,[0 0]
20110401,1700.01,1746.97,1700.0,1740.0,5319448300,[1 0]
20110404,1730.0,1764.28,1713.0,1730.0,9428080800,[1 0]
20110405,1700.01,1749.99,1685.0,1710.0,6859641800,[0 0]
20110406,1720.0,1798.98,1716.01,1790.0,9180619500,[1 1]
20110407,1800.0,1824.02,1775.01,1800.0,7063101500,[0 1]
20110408,1799.0,1824.99,1799.0,1810.0,4116206900,[0 0]
20110411,1805.0,1830.0,1799.79,1800.0,3657700800,[0 1]
20110412,1800.01,1819.98,1749.99,1760.0,5848129400,[1 0]
20110413,1770.0,1785.0,1750.0,1750.0,4650548700,[1 0]
20110414,1740.0,1770.0,1718.01,1730.0,4278578700,[1 1]
20110415,1749.99,1749.99,1705.0,1720.0,4956327700,[0 1]
20110418,1705.2,1705.2,1550.0,1550.0,11228205200,[1 1]
20110419,1580.0,1600.0,1555.0,1580.0,8041976100,[0 0]
20110504,1500.0,1507.0,1412.01,1445.02,6453162900,[1 1]
20110505,1430.0,1467.99,1395.0,1415.0,4701658900,[1 0]
20110506,1457.0,1500.01,1400.01,1430.0,3552380100,[1 0]
20110509,1470.0,1600.0,1470.0,1526.0,8894043200,[1 1]
20110510,1540.0,1570.0,1495.01,1503.0,5236772500,[1 0]
20110511,1529.99,1529.99,1430.0,1450.0,8041984500,[0 0]
20110512,1435.04,1450.0,1400.0,1435.0,5730692400,[1 0]
20110513,1445.0,1445.0,1385.01,1428.99,6491711600,[0 0]
20110516,1424.99,1424.99,1390.02,1411.0,1609051100,[1 0]
20110517,1420.0,1420.0,1375.0,1414.0,2985108200,[1 1]
20110518,1417.0,1450.0,1410.0,1445.0,4609017600,[0 0]
20110519,1444.96,1461.99,1430.0,1450.0,3453121300,[1 1]
