date,open,max,min,close,volume,y
20080418,16.85,16.95,15.85,16.7,8181929800,[0 0]
20080422,16.5,17.05,16.11,16.3,5350193300,[0 0]
20080423,16.2,16.3,15.5,15.5,2099218500,[0 0]
20080424,15.28,15.95,15.0,15.5,1503625200,[0 1]
20080425,15.26,15.67,15.13,15.5,231426600,[0 0]
20080428,15.55,15.73,15.5,15.5,182367100,[0 1]
20080429,15.5,15.6,15.49,15.5,654636900,[0 1]
20080430,15.4,15.58,15.21,15.5,192019100,[1 1]
20080502,15.56,16.9,15.55,16.9,656991600,[1 0]
20080505,16.9,16.9,16.25,16.59,142128200,[1 0]
20080506,16.59,16.59,16.3,16.3,43224000,[0 1]
20080507,16.19,16.34,16.11,16.3,68454700,[1 1]
20080508,16.2,16.45,16.15,16.4,73341700,[1 1]
20080509,16.3,16.9,16.3,16.35,81732200,[1 1]
20080512,16.55,16.89,16.32,16.89,65061000,[1 1]
20080513,16.8,17.09,16.8,17.04,221271400,[1 1]
20080514,16.99,17.65,16.99,17.35,416612700,[1 0]
20080515,17.34,18.05,17.22,17.7,361154100,[0 0]
20080516,17.6,18.0,17.5,17.6,288345600,[1 0]
20080519,17.9,18.5,17.7,17.7,104919800,[0 0]
20080520,17.45,17.45,17.22,17.3,180775800,[0 0]
20080521,17.39,17.4,17.0,17.29,132442600,[0 0]
20080523,17.02,17.94,17.0,17.3,49597100,[0 0]
20080526,17.64,18.5,17.59,17.6,113137900,[1 0]
20080527,17.56,17.98,17.31,17.85,195536900,[0 0]
20080528,18.0,19.5,18.0,19.45,564880800,[0 1]
20080529,19.14,22.0,18.9,21.0,442811300,[1 1]
20080530,21.2,22.0,20.51,21.99,519690700,[0 1]
20080602,21.82,24.65,21.82,23.31,695927200,[0 0]
20080603,24.0,24.95,23.2,23.5,713032700,[0 0]
20080604,23.09,24.0,22.9,24.0,383859200,[0 1]
20080605,24.0,24.9,23.95,24.39,640735500,[1 1]
20080606,24.0,24.4,23.8,24.4,408251200,[1 0]
20080609,24.2,24.8,22.6,24.6,377048500,[1 0]
20080610,24.6,24.6,23.02,23.5,336319400,[0 0]
20080611,23.3,23.5,23.0,23.0,48847100,[0 0]
20080612,23.0,23.51,22.6,22.9,155169300,[1 1]
20080613,23.0,23.0,22.51,22.99,43140100,[0 0]
20080616,23.0,23.0,22.1,22.6,24913100,[0 0]
20080617,22.5,22.75,22.12,22.35,315501300,[0 0]
20080618,22.35,22.75,20.3,21.0,247417600,[1 0]
20080619,21.1,21.1,20.35,20.8,427112500,[1 1]
20080620,20.49,20.6,20.0,20.3,169676400,[0 1]
20080623,20.5,20.5,20.24,20.25,27440000,[0 1]
20080624,20.3,20.3,19.0,19.7,199832000,[1 0]
20080625,19.99,20.0,19.6,19.63,138274500,[0 1]
20080626,19.77,20.1,19.5,19.5,315776600,[0 0]
