date,open,max,min,close,volume,y
20080418,16.75,16.89,15.9,16.4,588618119,[0 0]
20080422,16.5,17.07,15.95,16.2,91098869,[1 0]
20080423,16.3,16.3,15.2,15.3,35730653,[0 0]
20080424,15.16,15.98,14.99,15.55,33872979,[0 1]
20080425,15.45,15.6,15.1,15.55,11660239,[1 0]
20080428,15.36,15.6,15.36,15.53,16523791,[1 1]
20080429,15.49,15.54,15.31,15.5,10483077,[0 1]
20080430,15.25,15.51,15.21,15.5,10991150,[1 1]
20080502,15.51,16.79,15.51,16.6,31578420,[1 0]
20080505,16.6,16.8,16.23,16.74,17253106,[1 0]
20080506,16.7,16.7,16.28,16.29,4830265,[0 1]
20080507,16.22,16.47,16.1,16.3,3448981,[1 1]
20080508,16.0,16.49,16.0,16.49,5702377,[1 1]
20080509,16.29,16.8,16.29,16.3,9368018,[1 1]
20080512,16.3,16.8,16.3,16.8,8581318,[0 1]
20080513,16.9,17.05,16.61,17.03,21845063,[1 0]
20080514,17.0,17.6,17.0,17.21,24384103,[1 0]
20080515,17.49,17.98,17.22,17.85,17209834,[0 0]
20080516,17.5,17.9,17.35,17.53,5590994,[0 0]
20080519,17.97,18.0,17.01,17.8,7813825,[0 1]
20080520,17.62,17.62,17.26,17.4,1441854,[0 0]
20080521,17.2,17.34,16.94,17.05,1807286,[1 0]
20080523,17.0,17.65,16.81,17.65,3215949,[1 1]
20080526,17.3,18.47,17.17,17.71,8623588,[0 1]
20080527,17.31,17.9,17.31,17.8,1551897,[0 0]
20080528,17.9,19.45,17.9,19.45,19756242,[0 0]
20080529,19.16,21.0,18.75,20.5,13566176,[1 1]
20080530,21.2,21.9,21.16,21.8,7000670,[0 1]
20080602,21.95,25.0,21.83,23.78,7486628,[0 0]
20080603,23.78,24.92,23.32,23.32,6776887,[0 0]
20080604,22.5,24.0,22.5,24.0,5836502,[1 1]
20080605,24.7,24.89,23.81,24.4,3697658,[1 1]
20080606,23.6,24.44,23.6,24.35,1449024,[1 0]
20080609,24.5,24.5,22.81,24.4,2704240,[1 1]
20080610,24.39,24.5,22.81,23.85,1470492,[0 0]
20080611,23.3,24.0,22.95,23.11,566966,[1 0]
20080612,23.0,23.34,22.51,22.8,1322040,[1 0]
20080613,22.8,22.8,22.5,22.6,684389,[0 0]
20080616,23.0,23.5,22.05,22.5,1517531,[0 1]
20080617,22.5,22.5,22.12,22.12,576344,[0 1]
20080618,22.36,22.6,20.4,22.24,2019912,[0 1]
20080619,20.7,20.8,20.06,20.07,1711500,[1 0]
20080620,20.3,20.45,20.0,20.0,457700,[0 1]
20080623,20.44,21.0,20.35,20.35,146090,[0 0]
20080624,20.25,20.25,19.0,19.67,786840,[0 1]
20080625,18.91,20.0,18.91,19.7,194685,[0 0]
20080626,19.65,19.98,16.02,19.98,453267,[0 1]
20080627,19.32,19.65,18.01,19.3,472297,[0 1]
20080630,19.3,19.99,18.01,19.5,442443,[1 1]
20080701,19.0,19.0,18.01,18.66,196386,[0 0]
20080702,19.0,19.5,18.36,18.36,568443,[0 0]
20080703,18.0,18.0,17.9,17.9,44760,[1 0]
20080704,17.5,17.75,17.5,17.75,404947,[0 0]
20080707,18.0,19.09,17.21,18.15,1076312,[1 0]
20080708,18.75,19.4,17.51,19.4,658668,[0 1]
20080710,19.4,19.4,18.51,18.51,137651,[0 1]
20080711,18.51,19.5,17.97,19.5,426464,[0 1]
20080714,19.45,19.79,18.5,18.75,274384,[0 1]
20080715,19.0,19.0,18.5,18.59,432593,[1 0]
20080716,18.4,18.5,18.21,18.21,97477,[0 1]
20080717,18.0,18.0,17.2,17.2,508031,[0 1]
20080721,18.01,18.4,17.8,17.8,227209,[0 0]
20080722,18.0,18.0,18.0,18.0,234000,[0 1]
20080723,17.8,18.36,17.8,18.36,407910,[1 0]
20080724,18.4,18.79,18.39,18.79,811569,[1 0]
20080725,18.9,18.99,18.55,18.98,572416,[1 1]
20080728,18.5,19.5,18.1,18.1,808550,[1 0]
20080729,19.5,20.2,18.51,18.51,818611,[1 0]
20080730,19.05,19.76,18.6,19.2,432149,[0 0]
20080731,18.9,18.9,18.0,18.45,248579,[1 0]
20080801,18.9,21.0,17.61,17.61,288106,[0 0]
20080804,17.61,18.69,17.49,18.2,456728,[0 0]
20080805,18.0,18.0,18.0,18.0,136800,[1 0]
20080806,18.55,18.7,18.5,18.7,109560,[1 0]
20080807,18.7,18.7,18.7,18.7,1870,[0 0]
20080808,17.99,18.6,17.9,17.9,237575,[1 1]
20080811,18.0,18.02,17.5,17.5,371168,[1 1]
20080812,17.5,17.5,16.0,16.0,348883,[0 0]
