date,open,max,min,close,volume,y
20000804,9.3,9.3,9.3,9.3,930000,[1 0]
20000807,9.7,9.7,9.65,9.65,386500,[1 0]
20000825,9.22,9.25,9.2,9.25,1293200,[0 1]
20000808,9.6,9.69,9.3,9.69,1044600,[1 0]
20000809,9.55,9.6,9.55,9.6,669000,[0 1]
20000810,9.45,9.45,9.3,9.3,9394500,[0 0]
20000811,9.59,9.59,9.59,9.59,2972900,[0 1]
20000814,9.6,9.6,9.6,9.6,1344000,[0 0]
20000815,9.29,9.29,9.29,9.29,650300,[0 0]
20000816,9.29,9.29,9.28,9.29,928900,[0 0]
20000817,9.34,9.37,9.34,9.36,1309800,[0 0]
20000818,9.36,9.36,9.28,9.3,745100,[0 0]
20000821,9.35,9.35,9.27,9.27,1673900,[0 1]
20000822,9.3,9.3,9.22,9.22,3888500,[1 0]
20000823,9.3,9.31,9.3,9.3,1302400,[1 0]
20000824,9.1,9.26,9.1,9.2,1291700,[0 0]
20000828,9.2,9.2,9.18,9.18,1655400,[0 0]
20000829,9.21,9.21,9.0,9.0,15162500,[1 0]
20000718,10.8,11.05,10.6,11.0,12052500,[1 0]
20000719,10.4,10.99,10.4,10.99,31459900,[1 1]
20000720,10.6,10.8,10.6,10.8,35143900,[0 0]
20000721,10.6,10.6,10.6,10.6,742000,[0 1]
20000724,10.1,10.1,10.1,10.1,1010000,[1 0]
20000726,10.1,10.1,10.1,10.1,303000,[0 1]
20000727,10.1,10.1,9.8,10.1,499100,[0 1]
20000728,10.0,10.0,10.0,10.0,100000,[0 0]
20000731,9.8,9.8,9.5,9.5,1464000,[0 1]
20000803,9.5,9.8,9.5,9.7,2627000,[0 1]
20000801,9.3,9.3,9.3,9.3,465000,[0 0]
20000802,9.3,9.5,9.3,9.5,15565000,[1 0]
20000608,14.7,15.5,14.1,14.21,190806500,[0 0]
20000609,14.5,14.5,13.1,13.6,60326400,[0 1]
20000612,13.2,13.2,12.11,12.8,18103100,[0 1]
20000613,12.6,12.65,12.0,12.5,13795200,[0 0]
20000614,12.0,12.5,12.0,12.4,6772300,[0 0]
20000615,12.5,13.0,12.4,12.8,20912800,[0 1]
20000616,12.49,12.49,12.2,12.48,11510600,[0 0]
20000619,12.2,12.5,12.2,12.5,22252200,[0 1]
20000620,12.3,12.65,12.3,12.5,91616400,[0 0]
20000621,12.75,12.75,12.0,12.55,10863200,[0 0]
20000623,12.7,12.7,12.7,12.7,127000,[1 0]
20000626,12.6,12.69,12.1,12.5,4361900,[1 0]
20000627,12.39,12.5,12.0,12.5,6608800,[0 0]
20000628,12.0,12.5,12.0,12.4,369000,[0 1]
20000630,12.3,12.5,12.3,12.5,2480000,[0 0]
20000703,12.8,12.8,12.77,12.78,1150100,[0 0]
