date,open,max,min,close,volume,y
20010103,2.2,2.2,2.2,2.2,11000,[0 1]
20010105,1.8,1.8,1.8,1.8,2160,[0 0]
20010131,3.33,3.33,3.33,3.33,26640,[0 0]
20010212,2.25,2.25,2.25,2.25,4500,[0 1]
20010508,1.3,1.3,1.25,1.25,6550,[0 1]
20010509,1.25,1.25,1.25,1.25,4750,[0 1]
20010713,0.78,0.78,0.78,0.78,4290,[0 1]
20011001,0.67,0.67,0.67,0.67,1273,[0 0]
20011015,1.0,1.0,1.0,1.0,1500,[1 0]
20020108,0.76,0.76,0.76,0.76,1140,[1 0]
20020109,0.86,0.86,0.86,0.86,344,[0 0]
20020220,0.51,0.51,0.51,0.51,1836,[1 0]
20020312,0.72,0.8,0.72,0.8,9312,[0 0]
20020424,0.5,0.5,0.5,0.5,800,[0 0]
20020510,0.58,0.58,0.58,0.58,1740,[1 1]
20020524,0.58,0.58,0.58,0.58,928,[0 1]
20020715,0.27,0.27,0.27,0.27,1026,[0 1]
20020730,0.55,0.55,0.55,0.55,2090,[0 1]
20021003,0.46,0.46,0.46,0.46,46,[0 1]
20021021,0.48,0.48,0.48,0.48,48,[0 1]
20021025,0.48,0.48,0.48,0.48,48,[0 0]
20021030,0.48,0.48,0.48,0.48,48,[1 1]
20021031,0.3,0.3,0.3,0.3,30,[1 0]
20021120,0.5,0.5,0.5,0.5,50,[1 1]
20021121,0.45,0.45,0.45,0.45,45,[0 1]
20021219,0.38,0.39,0.36,0.39,6177,[0 1]
20021220,0.36,0.36,0.36,0.36,36,[0 0]
20030508,0.22,0.22,0.22,0.22,418,[0 1]
20030513,0.2,0.2,0.2,0.2,40,[0 0]
20030117,0.38,0.38,0.38,0.38,3534,[1 0]
20030612,0.44,0.44,0.44,0.44,792,[1 0]
20030123,0.33,0.33,0.33,0.33,2013,[0 0]
20030613,0.44,0.65,0.44,0.65,1683,[1 0]
20030124,0.4,0.4,0.4,0.4,1560,[0 1]
20030623,0.6,0.6,0.6,0.6,60,[0 1]
20030130,0.34,0.34,0.34,0.34,34,[1 1]
