date,open,max,min,close,volume,y
20070726,17.5,17.65,17.0,17.5,28171000,[1 1]
20070727,17.44,17.89,17.44,17.89,20334800,[0 1]
20070730,18.99,18.99,17.99,17.99,739600,[0 0]
20070731,17.5,17.5,17.5,17.5,11966700,[0 1]
20070801,17.7,17.7,17.7,17.7,354000,[0 0]
20070802,17.75,17.75,17.68,17.68,13272600,[0 0]
20070803,17.5,17.63,17.5,17.5,20830200,[0 1]
20070807,17.17,17.71,17.17,17.5,9452900,[0 1]
20070808,17.59,17.6,17.59,17.6,9149900,[0 0]
20070809,17.6,17.6,17.6,17.6,13200000,[0 0]
20070813,17.54,17.55,17.5,17.5,2625900,[0 1]
20070815,17.4,17.4,17.3,17.3,1909000,[0 1]
20070816,16.16,17.3,16.16,17.3,6973000,[0 0]
20070817,15.89,16.89,15.89,16.7,4366700,[1 0]
20070820,17.49,17.49,17.3,17.3,1039900,[0 1]
20070821,16.3,17.3,16.3,17.3,6620000,[1 0]
20070822,17.4,17.4,17.4,17.4,174000,[1 1]
20070824,17.0,17.0,17.0,17.0,170000,[1 0]
20070827,16.5,17.0,16.5,17.0,1675000,[1 0]
20070830,17.0,17.0,17.0,17.0,170000,[1 1]
20070904,16.5,16.5,16.5,16.5,165000,[1 0]
20070905,16.2,17.0,16.2,16.3,1471000,[1 0]
20070906,16.0,17.2,16.0,17.2,1488000,[0 1]
20070912,17.0,17.0,17.0,17.0,170000,[0 0]
20070913,17.4,17.6,17.0,17.6,15629000,[0 0]
20070917,17.59,17.59,17.59,17.59,175900,[0 0]
20070919,16.05,17.5,16.05,17.5,671000,[0 0]
20071002,20.98,20.98,20.98,20.98,209800,[0 0]
20071003,20.5,20.5,20.5,20.5,205000,[1 1]
20071004,20.0,20.0,20.0,20.0,1000000,[0 1]
20071005,20.5,20.5,20.5,20.5,5535000,[0 0]
20071011,21.0,21.5,20.5,21.5,44345800,[1 1]
20071015,22.97,22.97,21.5,21.5,444700,[0 0]
20071016,21.5,21.7,21.5,21.7,44095600,[0 1]
20071017,21.5,21.85,21.5,21.85,338393500,[1 1]
20071018,21.35,21.99,21.35,21.99,433400,[0 0]
20071022,21.98,21.98,21.95,21.95,4172600,[0 1]
20071023,22.54,22.78,22.54,22.78,2935000,[0 1]
20071024,22.78,22.78,22.78,22.78,5467200,[1 0]
20071025,22.99,24.0,22.99,24.0,26352900,[1 0]
20071026,24.2,24.46,24.19,24.46,3164100,[0 0]
20071029,24.79,24.8,24.0,24.8,31630900,[0 1]
