date,open,max,min,close,volume,y
19980505,50.02,50.02,50.02,50.02,5907,[0 0]
19980819,15.0,15.0,15.0,15.0,1500,[1 1]
19990721,1.29,1.29,1.29,1.29,2193,[0 0]
19990917,5.56,5.56,5.56,5.56,9452,[0 0]
19991103,7.99,8.0,7.99,8.0,119975,[1 1]
19991220,8.0,8.0,8.0,8.0,544800,[1 0]
20010126,25.0,32.0,25.0,32.0,246500,[1 0]
20010129,30.0,30.0,30.0,30.0,24000,[1 0]
20010409,20.0,20.0,20.0,20.0,28000,[1 0]
20010529,22.99,23.0,22.99,23.0,64386,[1 1]
20010604,30.0,30.0,30.0,30.0,3000,[1 0]
20010906,6.3,6.3,6.3,6.3,6930,[1 0]
20020131,14.0,14.0,14.0,14.0,1400,[0 1]
20020424,6.5,6.5,6.5,6.5,35750,[1 0]
20020610,5.0,5.0,4.5,4.5,48750,[0 0]
20020829,6.8,6.8,6.8,6.8,17000,[1 0]
20020905,6.65,6.65,6.65,6.65,665,[1 0]
20030417,7.0,7.0,7.0,7.0,25900,[1 1]
20040106,5.22,5.22,5.22,5.22,39150,[0 0]
20040316,5.4,5.4,5.4,5.4,540,[1 0]
20040910,6.03,6.03,6.0,6.0,60120,[0 0]
20041111,7.0,7.0,7.0,7.0,24500,[1 0]
20041207,10.5,10.5,10.5,10.5,63000,[1 1]
20041217,8.0,8.0,8.0,8.0,48000,[0 1]
20050330,11.0,11.0,11.0,11.0,1100,[1 0]
20050401,10.5,10.5,10.5,10.5,46200,[0 1]
20050408,11.0,11.0,11.0,11.0,9900,[0 1]
20050606,9.0,9.0,9.0,9.0,12600,[0 0]
20050808,9.0,9.0,9.0,9.0,12600,[0 0]
20051010,17.01,17.01,17.01,17.01,1701,[1 1]
20051028,16.3,16.3,16.3,16.3,115730,[1 0]
20051220,9.0,9.0,9.0,9.0,12600,[0 0]
20060206,10.5,10.5,10.5,10.5,46200,[1 1]
20060208,15.0,15.0,15.0,15.0,19500,[0 1]
20060216,12.5,12.5,12.5,12.5,100000,[1 0]
20060221,15.0,15.0,15.0,15.0,130500,[0 1]
20060222,18.0,18.0,18.0,18.0,23400,[0 0]
20060302,18.0,18.0,18.0,18.0,19800,[1 0]
20060412,17.85,17.85,17.85,17.85,10710,[0 0]
20060504,18.5,18.5,18.5,18.5,9250,[1 0]
20060508,18.5,18.5,18.5,18.5,94350,[1 0]
20060629,15.2,15.2,15.2,15.2,9120,[1 1]
20060804,15.0,15.0,15.0,15.0,67500,[1 0]
20061003,9.0,9.0,9.0,9.0,3600,[0 1]
20070131,17.0,17.0,17.0,17.0,134300,[0 0]
20070215,18.0,18.0,18.0,18.0,10800,[0 1]
20070223,18.5,18.5,18.5,18.5,70300,[0 0]
20070307,16.3,16.3,16.3,16.3,22820,[1 0]
20070419,18.0,18.0,18.0,18.0,23400,[1 0]
20070427,22.45,22.45,22.45,22.45,47145,[1 0]
20070503,18.05,18.05,18.05,18.05,64980,[1 1]
20070504,18.15,18.15,18.0,18.0,108690,[0 0]
20070507,18.0,19.5,18.0,19.5,28950,[0 1]
20070508,17.6,17.6,17.6,17.6,1760,[1 0]
20070509,18.0,18.0,18.0,18.0,12600,[1 1]
20070511,18.0,18.0,18.0,18.0,41400,[1 1]
20070515,17.0,17.0,17.0,17.0,45900,[0 1]
20070517,16.51,16.51,16.0,16.0,23063,[1 0]
20070521,16.0,16.0,15.5,15.5,58700,[0 1]
20070522,17.0,17.0,16.2,16.2,166640,[0 1]
20070523,16.7,16.7,16.7,16.7,16700,[0 0]
20070528,16.6,17.1,16.6,17.1,25600,[1 0]
20070601,15.0,15.0,14.9,14.9,22360,[1 1]
20070606,14.6,14.6,14.0,14.0,42060,[0 0]
20070608,13.6,13.6,13.5,13.5,60760,[0 1]
20070613,16.0,16.0,16.0,16.0,33600,[0 1]
20070618,15.0,18.1,15.0,18.1,460664,[1 0]
20070620,16.0,16.0,16.0,16.0,67200,[0 0]
20070625,17.01,17.01,17.01,17.01,3402,[1 0]
20070628,17.1,17.1,17.1,17.1,82080,[1 0]
20070702,17.03,17.03,17.0,17.0,105532,[1 0]
20070703,17.0,17.0,17.0,17.0,85000,[0 1]
20070717,17.1,17.1,17.1,17.1,23940,[1 0]
20070719,17.02,17.02,16.6,16.6,33704,[0 0]
20070723,16.5,16.5,16.5,16.5,143550,[0 0]
20070730,17.0,17.0,17.0,17.0,22100,[0 0]
20070813,15.0,15.0,15.0,15.0,36000,[1 0]
20070815,14.5,14.5,14.0,14.0,5650,[0 0]
20070816,12.0,12.0,12.0,12.0,1200,[1 0]
20070820,13.0,13.0,13.0,13.0,59800,[0 1]
20070824,12.52,13.0,12.5,13.0,191370,[0 1]
20070827,13.65,13.65,13.65,13.65,28665,[0 0]
20070830,12.0,12.0,10.5,10.5,62250,[0 1]
20070831,13.3,13.3,12.0,12.0,58930,[0 0]
20070903,12.3,12.3,12.3,12.3,41820,[0 1]
20070904,13.25,13.25,13.25,13.25,21200,[0 0]
20070905,13.25,13.25,13.25,13.25,1325,[0 0]
20070910,12.0,12.0,9.7,10.0,190175,[1 0]
20070911,10.2,10.2,9.5,9.5,219041,[0 0]
20070913,11.0,11.0,8.0,8.6,454884,[1 1]
20070914,9.0,9.44,8.25,8.25,360952,[0 1]
20070917,8.6,8.6,7.49,7.49,153841,[0 1]
20070918,8.5,9.44,8.45,9.44,128351,[1 1]
20070921,8.35,8.49,8.3,8.49,136632,[1 0]
20070924,8.95,9.05,7.33,7.33,32938,[0 0]
20070925,8.74,9.1,8.74,9.1,178625,[0 0]
20070926,9.5,10.2,9.5,10.0,129550,[0 1]
20070927,10.33,10.57,9.5,9.5,95976,[1 1]
20071001,10.2,10.2,10.2,10.2,46920,[0 0]
20071002,9.5,9.5,9.5,9.5,28500,[0 1]
20071003,9.05,9.05,9.05,9.05,41630,[0 1]
20071009,9.15,9.15,9.15,9.15,4575,[0 0]
20071010,9.2,9.2,9.2,9.2,9200,[0 1]
20071015,9.25,9.25,9.02,9.02,70492,[1 0]
20071016,8.91,8.91,8.91,8.91,8019,[0 0]
20071017,9.98,10.99,9.98,10.99,101443,[1 0]
20071018,10.0,11.0,10.0,11.0,174500,[0 1]
20071019,11.4,11.4,11.01,11.01,78990,[1 0]
20071022,10.5,10.5,10.5,10.5,5250,[0 0]
20071023,10.7,12.25,10.7,12.25,80015,[1 1]
20071024,12.4,12.7,11.0,12.7,194500,[0 1]
20071025,12.7,12.98,12.7,12.98,199006,[0 1]
20071029,13.0,13.15,13.0,13.15,105925,[0 1]
20071030,12.68,12.68,12.68,12.68,60864,[0 0]
20071031,13.4,13.4,13.1,13.1,104280,[0 0]
20071105,12.69,13.4,12.69,13.4,123800,[0 0]
20071107,13.2,13.2,13.2,13.2,3960,[1 0]
20071113,12.24,12.8,12.24,12.8,21200,[1 0]
20071116,12.9,13.12,12.9,13.12,20882,[0 1]
20071119,12.0,12.2,12.0,12.2,133520,[1 1]
20071123,13.15,13.15,13.15,13.15,65750,[0 0]
20071203,12.6,12.6,12.6,12.6,6300,[0 1]
20071204,12.0,12.0,12.0,12.0,12000,[0 0]
20071210,12.01,12.01,12.01,12.01,42035,[0 1]
20071221,11.89,12.0,10.0,10.0,166974,[0 1]
20071226,12.46,14.0,11.9,11.9,828685,[0 1]
20071227,12.3,12.3,12.09,12.09,148338,[0 1]
20071228,11.21,11.21,11.0,11.0,95020,[0 1]
20080103,11.0,11.0,11.0,11.0,75900,[0 1]
20080107,11.1,11.1,10.6,10.6,41180,[0 0]
20080114,9.0,9.0,8.98,8.98,18868,[0 1]
20080115,8.0,8.0,7.52,7.52,27936,[0 0]
20080116,7.53,7.53,7.53,7.53,55688,[1 1]
20080118,7.98,9.0,7.98,9.0,17592,[1 0]
20080121,8.0,8.0,8.0,8.0,28000,[0 0]
20080122,8.0,8.0,8.0,8.0,11200,[0 0]
20080128,7.5,7.5,7.5,7.5,22500,[1 1]
20080130,8.0,8.0,7.51,7.51,78138,[1 1]
20080201,7.51,7.51,7.51,7.51,5257,[1 0]
20080208,8.6,9.1,8.6,9.1,146660,[0 0]
20080212,9.0,9.0,9.0,9.0,4500,[1 0]
20080213,9.49,9.49,9.49,9.49,15184,[0 0]
20080214,7.7,7.7,7.4,7.4,228108,[1 1]
20080218,8.0,8.0,6.01,6.01,81996,[1 1]
20080219,7.0,7.0,6.4,6.4,58120,[0 1]
20080220,6.79,6.79,6.79,6.79,83517,[0 0]
20080222,6.45,6.8,6.01,6.01,105742,[1 1]
20080225,6.01,6.01,6.0,6.0,71306,[0 0]
20080226,6.02,6.02,5.9,5.9,77354,[0 0]
20080227,6.0,6.0,5.81,5.81,65175,[0 1]
20080228,5.6,5.6,5.0,5.0,167426,[1 1]
20080229,5.0,5.0,4.5,4.5,49515,[0 1]
20080303,4.51,4.51,4.0,4.0,65043,[0 1]
20080304,4.3,4.3,4.25,4.25,20560,[0 0]
20080306,4.05,4.05,4.0,4.0,40100,[0 0]
20080307,4.0,4.0,3.81,4.0,81143,[0 0]
20080310,3.6,3.6,3.5,3.5,24133,[0 0]
20080311,3.82,4.99,3.82,4.99,159813,[0 1]
20080312,4.46,4.72,4.1,4.2,41412,[0 0]
20080319,3.26,3.26,3.26,3.26,326,[0 1]
20080320,3.45,4.05,3.45,4.05,35985,[1 1]
20080325,4.07,4.07,3.25,3.54,29290,[0 0]
20080326,3.58,3.58,3.58,3.58,5370,[0 1]
20080327,3.58,3.58,3.58,3.58,11814,[1 0]
20080331,3.5,3.5,3.5,3.5,700,[0 1]
20080401,3.48,3.48,3.01,3.01,27855,[0 1]
20080402,3.35,3.36,3.35,3.36,28780,[1 1]
20080403,3.39,3.5,3.2,3.2,35828,[0 0]
20080408,2.85,3.08,2.85,3.0,55412,[1 0]
20080409,2.97,2.97,2.74,2.74,36610,[0 0]
20080410,2.94,4.4,2.94,4.4,378525,[1 0]
20080411,4.5,6.5,4.19,4.4,1546810,[1 0]
20080414,4.7,5.3,4.16,4.25,475797,[0 1]
20080415,4.4,4.4,3.01,3.51,56433,[0 0]
20080416,3.55,3.55,3.01,3.2,235938,[1 1]
20080417,3.35,3.45,3.15,3.22,129316,[0 0]
20080418,3.05,3.05,2.88,2.92,109815,[1 1]
20080422,2.98,2.98,2.86,2.86,82548,[0 0]
20080423,2.86,2.86,2.67,2.67,115310,[0 0]
20080424,2.65,2.75,2.65,2.75,27170,[0 1]
20080425,3.04,3.04,2.6,3.04,44415,[1 1]
20080428,3.14,3.14,2.74,2.74,27914,[0 0]
20080429,2.65,2.8,2.65,2.8,31420,[0 1]
20080430,2.75,2.75,2.65,2.65,28632,[1 1]
20080502,2.8,2.8,2.65,2.8,46579,[0 0]
20080505,2.8,2.89,2.77,2.89,115463,[0 1]
20080506,3.44,3.44,2.68,3.44,130676,[0 0]
20080507,4.95,6.0,3.9,4.2,1894782,[0 1]
20080508,4.89,4.89,3.63,3.65,470548,[0 0]
20080509,3.3,3.6,3.3,3.59,106567,[1 0]
20080512,3.9,3.9,3.4,3.4,90960,[0 1]
20080513,3.49,3.49,3.25,3.25,87417,[1 0]
20080514,3.08,3.25,3.04,3.25,83670,[0 1]
20080515,3.03,3.23,3.03,3.15,27927,[0 0]
20080516,3.15,3.3,3.15,3.2,71629,[0 0]
20080519,3.34,3.5,3.28,3.28,100602,[0 0]
20080520,3.28,3.47,3.28,3.3,66905,[1 0]
20080521,3.4,3.4,3.2,3.2,46200,[0 0]
20080526,3.18,3.2,3.18,3.2,22698,[1 0]
20080527,3.13,3.13,3.13,3.13,2504,[0 0]
20080528,3.1,3.29,3.1,3.29,35657,[0 0]
20080529,3.23,3.23,3.12,3.12,66601,[0 1]
20080530,3.2,3.2,3.2,3.2,20480,[1 0]
20080602,3.11,3.11,3.11,3.11,13373,[0 1]
20080603,3.01,3.1,3.01,3.1,31512,[0 0]
20080604,3.19,3.19,3.01,3.01,13653,[1 1]
20080605,3.09,3.09,3.05,3.05,20390,[0 0]
20080606,3.13,4.29,3.13,3.72,304164,[1 0]
20080609,3.75,3.81,3.5,3.5,79719,[1 1]
20080610,3.25,3.25,3.01,3.01,16976,[0 0]
20080611,3.01,3.01,3.01,3.01,1505,[0 0]
20080612,3.06,3.1,3.06,3.1,18082,[0 1]
20080613,3.13,3.24,3.1,3.1,63212,[1 0]
20080616,3.1,3.12,2.8,2.8,44881,[1 0]
20080617,3.1,3.1,3.1,3.1,3100,[1 1]
20080618,3.15,3.8,3.1,3.75,560124,[0 1]
20080619,4.09,4.09,3.4,3.48,224111,[1 1]
20080620,3.45,3.45,3.2,3.2,107463,[1 1]
