date,open,max,min,close,volume,y
20070207,33.55,34.5,33.0,33.6,25051476100,[0 0]
20070208,33.6,33.6,33.0,33.1,3261708100,[1 1]
20070209,33.13,33.2,33.0,33.0,2405571800,[1 0]
20070212,33.11,33.11,33.0,33.02,1908299200,[1 0]
20070213,33.02,33.45,33.0,33.05,1050229200,[1 1]
20070214,33.06,33.5,33.0,33.5,1919147600,[1 0]
20070215,33.1,33.25,33.0,33.1,1908174600,[0 0]
20070216,33.08,33.45,32.1,33.45,955448900,[0 0]
20070221,33.0,33.3,32.51,33.05,285919600,[1 1]
20070222,33.29,34.0,33.05,34.0,523833100,[1 1]
20070223,33.95,34.5,33.4,34.47,208327200,[0 1]
20070226,34.5,35.0,33.81,35.0,590580600,[0 0]
20070227,33.8,34.48,32.3,33.0,640053600,[0 1]
20070228,33.12,33.12,31.5,32.0,1895526900,[0 1]
20070301,32.0,32.0,30.0,31.0,323717900,[0 0]
20070302,30.7,30.8,30.0,30.0,299262000,[0 0]
20070305,30.0,30.0,28.5,29.0,1902527800,[1 0]
20070306,29.7,30.99,29.7,30.35,1277395200,[1 1]
20070307,31.3,31.99,30.11,30.82,497465000,[1 0]
20070308,30.86,31.38,30.85,31.0,516787100,[0 1]
20070309,31.5,31.5,30.99,31.1,1751912200,[0 1]
20070312,31.11,31.45,31.0,31.1,34902700,[1 0]
20070313,32.0,32.0,31.0,31.2,198859000,[0 0]
20070314,30.99,31.0,30.55,30.9,358727700,[0 1]
20070315,30.75,30.75,30.39,30.39,120339000,[1 1]
20070316,31.0,31.0,29.75,29.75,966010600,[0 1]
20070319,30.5,31.0,30.01,30.25,405091800,[1 0]
20070320,30.64,30.98,29.0,30.0,536767700,[0 1]
20070321,30.25,30.4,30.02,30.3,439628300,[0 1]
20070322,30.32,30.4,30.05,30.1,66062300,[0 1]
20070323,30.1,30.42,29.3,30.0,638621800,[1 1]
20070326,30.3,30.3,29.91,30.0,375056300,[1 0]
20070327,30.0,30.1,28.88,28.9,371000900,[1 1]
20070328,28.55,29.99,28.55,29.5,964573100,[1 0]
20070329,29.5,29.97,29.1,29.35,307496500,[1 1]
20070330,29.35,30.7,29.35,30.5,633010800,[1 1]
20070402,30.75,32.0,30.75,31.35,664887100,[0 0]
20070403,31.8,32.4,31.8,31.9,432403200,[0 0]
20070404,32.0,32.0,30.8,31.2,291132800,[0 1]
20070405,31.59,31.59,30.4,30.75,1011463900,[0 0]
20070409,31.29,31.3,30.7,30.8,139566100,[0 0]
20070410,30.7,30.9,30.49,30.5,302876500,[1 1]
20070411,30.5,30.7,30.3,30.6,324323600,[0 0]
20070412,30.5,31.1,30.4,30.9,212948900,[1 0]
20070413,31.0,31.01,30.4,30.88,77931700,[0 1]
20070416,31.0,31.0,30.75,30.8,324596100,[1 0]
20070417,30.7,31.17,30.67,30.78,134793700,[1 0]
20070418,31.1,31.1,30.46,30.6,847657200,[0 0]
20070419,30.3,31.2,30.3,31.2,321015000,[0 1]
20070420,31.0,31.89,31.0,31.8,269720600,[0 0]
20070423,31.5,32.45,31.5,31.97,279469200,[0 1]
20070424,31.97,32.0,31.67,31.95,22694400,[0 0]
20070425,31.96,32.3,31.96,32.2,112138100,[0 1]
20070509,33.45,33.45,33.0,33.3,90524800,[0 0]
20070510,33.15,33.3,33.0,33.0,36004700,[0 1]
20070511,33.49,33.49,33.0,33.0,165525200,[0 0]
20070514,33.0,33.95,33.0,33.05,796466800,[1 0]
20070515,33.05,33.2,32.5,32.96,37906100,[1 1]
20070516,32.97,33.3,32.51,33.14,253474200,[0 1]
20070517,33.14,33.2,32.62,33.0,333960500,[1 0]
20070518,32.9,33.5,32.9,33.2,400507500,[0 0]
20070521,33.05,33.95,33.05,33.79,118421700,[1 0]
20070522,33.7,34.99,33.7,34.1,427172500,[0 1]
20070523,34.49,34.78,34.3,34.5,55148700,[1 1]
20070524,33.8,34.49,33.8,34.3,33367800,[1 0]
20070525,34.01,35.95,34.01,35.95,346866000,[1 1]
20070528,35.5,37.0,35.5,36.79,453829100,[1 1]
20070529,37.04,37.05,36.65,36.82,65385500,[0 0]
20070530,36.5,36.5,36.14,36.5,156463800,[0 0]
20070531,36.5,36.9,36.2,36.88,426648600,[1 1]
20070601,36.94,38.54,36.94,37.54,305691000,[0 1]
20070604,37.54,38.2,37.54,37.55,720245200,[0 1]
20070605,38.2,38.8,37.0,37.7,879336200,[0 0]
20070606,38.0,38.0,37.0,37.69,780829500,[0 1]
20070608,37.0,37.1,36.85,37.1,182122900,[0 0]
20070611,37.2,37.2,36.5,37.05,777473600,[0 1]
20070612,36.89,36.89,35.52,35.95,174367500,[1 0]
20070613,35.51,36.0,34.67,35.0,258132500,[1 0]
20070614,35.5,35.5,34.5,35.09,437089200,[0 0]
20070615,35.5,35.5,34.8,34.89,214039600,[0 1]
20070618,35.0,35.0,34.0,34.89,163669900,[0 1]
20070619,34.41,34.79,33.99,34.4,333574900,[1 0]
20070620,34.69,35.0,33.5,34.0,554129500,[0 1]
20070621,33.86,34.49,33.01,34.4,208758900,[0 0]
20070622,34.8,34.8,34.2,34.5,72227400,[1 0]
20070625,34.7,34.7,33.0,34.0,123726300,[1 0]
20070626,33.9,34.1,33.81,33.9,593689500,[0 1]
20070627,33.81,35.5,33.3,35.45,4326950800,[0 1]
20070628,35.4,36.1,34.8,35.29,329358000,[0 0]
20070629,35.99,36.0,34.82,35.29,79429500,[1 1]
20070702,35.69,35.99,35.2,35.3,63440500,[0 0]
20070703,35.3,35.7,35.01,35.5,349578100,[0 0]
20070704,35.6,36.5,34.5,34.5,267748500,[1 1]
20070705,34.3,34.9,34.3,34.77,200517800,[1 0]
20070706,34.77,34.8,33.65,33.7,620030400,[0 0]
20070710,33.7,33.7,32.7,32.7,393372200,[1 1]
20070711,33.01,33.01,31.0,31.4,983381700,[1 1]
20070712,31.42,32.0,30.0,31.4,1250125000,[1 0]
20070713,31.5,32.5,31.5,31.99,273526200,[0 0]
20070716,32.0,32.19,30.85,31.97,1557238300,[1 0]
20070717,31.97,32.0,30.85,31.3,566509800,[1 1]
20070718,31.82,31.98,30.3,30.85,879312100,[0 0]
20070719,31.4,32.1,31.0,32.1,2427993000,[0 1]
20070720,32.39,32.5,31.85,32.0,642057300,[0 1]
20070723,32.0,32.2,32.0,32.0,377414300,[0 0]
20070724,32.0,32.1,30.7,30.7,98765100,[0 1]
20070725,30.75,32.0,30.6,31.3,294036000,[0 0]
20070726,30.7,31.2,29.5,31.2,157302900,[1 1]
20070727,31.18,31.3,30.41,30.5,323293900,[1 0]
20070730,30.5,30.8,30.3,30.5,1199470200,[0 0]
20070731,31.35,32.0,30.25,32.0,291102400,[0 1]
20070801,31.99,31.99,30.42,31.0,259602500,[1 1]
20070802,30.98,30.98,29.65,29.65,259789000,[0 1]
20070803,30.0,30.35,29.3,29.75,309519800,[1 1]
20070806,29.89,29.89,28.57,29.25,183483800,[0 1]
20070807,29.25,29.7,29.0,29.7,61921200,[1 0]
20070808,29.7,31.5,29.7,31.15,572482400,[1 0]
20070809,30.3,30.8,30.3,30.8,850724600,[0 1]
20070810,29.8,31.0,29.8,31.0,153882800,[1 1]
20070813,31.25,31.25,30.75,31.1,1318362900,[1 1]
20070814,31.1,31.1,30.0,30.7,33663000,[0 1]
20070815,29.5,30.1,28.06,29.1,424457900,[0 0]
20070816,27.99,27.99,26.5,26.8,434445600,[0 0]
20070817,27.2,27.2,26.0,27.2,359877900,[1 0]
20070820,27.2,27.7,26.85,26.89,354634600,[0 1]
20070821,26.8,26.8,26.3,26.3,285553100,[0 0]
20070822,26.5,27.0,26.25,26.49,836271700,[1 1]
20070823,26.5,27.3,26.5,26.95,296994000,[0 1]
20070824,27.0,28.3,27.0,27.1,274577000,[0 1]
20070827,27.7,27.85,27.5,27.7,33863200,[0 0]
20070828,27.8,27.8,27.0,27.64,278828000,[0 1]
20070829,27.5,27.75,27.1,27.74,218532800,[0 0]
20070830,27.75,28.2,27.52,28.0,419043000,[0 0]
20070831,27.8,29.19,27.8,29.19,623354000,[1 0]
20070903,29.19,30.7,29.19,30.7,180523000,[0 1]
20070904,30.5,30.5,29.8,30.0,241801900,[0 0]
20070905,30.0,30.0,28.31,28.9,1386879400,[1 0]
20070906,29.0,29.0,28.31,28.79,126963100,[1 1]
20070910,28.45,28.6,27.3,27.64,140104600,[0 0]
20070911,27.8,27.8,27.2,27.8,144242500,[1 0]
20070912,27.8,28.0,27.8,27.9,645112100,[0 0]
20070913,27.9,28.01,27.75,27.9,527729400,[1 0]
20070914,27.99,28.25,27.7,28.25,68669600,[0 0]
20070917,28.15,28.15,27.7,28.0,324611100,[0 0]
20070918,28.4,29.5,28.4,29.5,114152900,[0 1]
20070919,29.57,30.0,28.7,28.7,218672100,[0 1]
20070920,28.99,29.0,27.45,28.3,496204900,[0 0]
20070921,28.3,28.3,27.71,27.71,36123300,[0 0]
20070924,27.99,28.49,27.65,27.8,278056700,[1 0]
20070925,27.8,27.81,27.4,27.4,27825000,[0 0]
20070926,27.4,27.91,27.25,27.4,334755800,[0 0]
20070927,27.4,27.75,26.7,27.38,121918700,[0 1]
20070928,27.58,27.58,27.0,27.45,439307900,[0 1]
20071011,30.15,30.5,28.85,28.85,192008700,[0 0]
20071015,29.0,29.0,27.41,27.41,73540400,[0 0]
20071016,27.7,29.0,27.7,29.0,176242600,[0 0]
20071017,29.2,29.2,28.0,28.0,16686800,[0 0]
20071018,28.0,28.15,27.75,28.0,47801300,[0 1]
20071019,28.0,28.0,27.7,28.0,54260900,[0 0]
20071022,28.1,28.1,27.8,27.9,162243500,[0 1]
20071023,28.06,28.06,27.75,28.05,269322500,[0 0]
20071024,28.1,28.2,27.35,27.7,109879800,[0 1]
20071025,28.0,28.0,27.36,28.0,27344700,[0 0]
