date,open,max,min,close,volume,y
20070207,33.38,34.5,32.51,33.69,1946482335,[0 0]
20070208,33.5,33.55,32.7,33.08,135987102,[0 1]
20070209,33.1,33.16,32.9,33.05,47431891,[1 1]
20070212,33.0,33.07,32.7,33.0,83869745,[0 1]
20070213,33.01,33.25,32.95,33.07,69094128,[1 1]
20070214,33.05,33.2,32.9,33.15,35780659,[1 0]
20070215,33.04,33.24,33.0,33.16,28195278,[0 0]
20070216,33.02,33.26,32.02,33.1,34886671,[1 0]
20070221,33.07,33.2,32.7,33.15,13869248,[1 1]
20070222,33.0,33.75,32.81,33.75,41547256,[1 0]
20070223,33.59,34.29,33.36,33.9,23404523,[1 0]
20070226,34.3,34.5,33.54,34.47,23183651,[0 1]
20070227,33.99,34.0,32.22,32.95,15632471,[0 0]
20070228,33.01,33.01,31.45,32.1,8014484,[0 1]
20070301,32.0,32.0,30.0,30.66,9505904,[0 0]
20070302,30.51,30.9,30.3,30.87,2380563,[1 0]
20070305,28.15,29.25,28.01,29.0,5889704,[1 0]
20070306,30.0,30.79,30.0,30.1,4725300,[1 1]
20070307,30.8,31.5,30.36,31.2,3780749,[1 0]
20070308,30.9,31.49,30.9,31.49,3908697,[0 1]
20070309,30.66,31.49,30.66,31.05,2008186,[0 0]
20070312,30.7,31.5,30.7,31.5,6098083,[1 0]
20070313,30.66,31.48,30.66,31.48,4769982,[1 0]
20070314,30.7,31.0,30.5,30.5,2992571,[1 1]
20070315,30.5,30.75,30.4,30.7,1667209,[1 1]
20070316,30.7,30.7,30.0,30.7,3127082,[0 1]
20070319,30.5,30.94,29.76,30.25,4423036,[1 0]
20070320,30.17,30.49,29.3,30.0,3324920,[1 0]
20070321,30.0,30.25,29.51,30.25,6379312,[1 1]
20070322,30.0,30.3,30.0,30.19,3054061,[0 0]
20070323,29.3,30.3,29.0,29.0,4752657,[1 1]
20070326,29.99,30.29,29.36,29.56,4273366,[0 0]
20070327,30.0,30.0,29.1,29.1,3279807,[1 1]
20070328,29.0,29.8,29.0,29.5,3637713,[0 0]
20070329,29.0,29.45,29.0,29.35,3273212,[1 1]
20070330,29.1,30.55,29.0,30.0,10967847,[0 0]
20070402,28.0,31.94,28.0,31.7,14522579,[1 0]
20070403,31.8,32.3,31.06,32.3,13736478,[0 0]
20070404,31.75,31.75,30.66,30.66,3014846,[0 0]
20070405,31.3,31.3,30.03,30.35,1858174,[0 1]
20070409,30.31,31.0,30.3,30.67,5554726,[0 0]
20070410,30.7,30.8,30.5,30.5,2625228,[1 1]
20070411,30.59,30.6,30.01,30.01,4452262,[0 0]
20070412,30.4,31.0,30.0,30.73,3957840,[1 0]
20070413,30.95,30.95,30.3,30.4,3845651,[0 1]
20070416,30.52,31.0,30.52,30.8,7952868,[1 0]
20070417,30.5,30.99,30.42,30.42,6598038,[0 0]
20070418,30.85,30.99,30.5,30.5,3188750,[0 0]
