date,open,max,min,close,volume,y
20070517,25.0,25.0,25.0,25.0,250000,[1 0]
20070518,49.99,49.99,49.99,49.99,499900,[1 0]
20070801,30.3,31.01,30.3,31.01,5207800,[0 0]
20070803,50.95,51.0,50.95,51.0,1019500,[1 1]
20070808,50.95,50.95,50.95,50.95,509500,[1 0]
20070831,40.0,40.0,40.0,40.0,400000,[0 0]
20071016,100.0,100.0,100.0,100.0,1000000,[1 0]
20080430,27.0,30.0,27.0,30.0,41191000,[1 1]
20080502,40.0,40.0,34.98,34.98,21797600,[1 1]
20080505,36.0,39.0,36.0,36.0,2550000,[1 1]
20080506,36.0,36.0,36.0,36.0,1080000,[0 1]
20080507,38.0,38.0,34.0,34.0,2460000,[1 1]
20080508,31.01,31.5,29.0,30.5,569065800,[1 1]
20080509,31.2,32.34,30.0,31.31,247961100,[1 1]
20080512,31.5,31.51,30.5,30.8,31998300,[1 0]
20080513,30.4,31.48,30.13,31.0,192072500,[0 0]
20080514,30.8,38.0,30.6,37.0,585515300,[0 1]
20080515,38.0,43.0,37.0,41.89,601948900,[1 1]
20080516,41.8,43.0,40.0,43.0,225514600,[0 1]
20080519,42.0,44.4,42.0,43.99,194279500,[1 0]
20080521,44.5,46.0,42.5,46.0,252621900,[1 0]
20080527,43.5,45.9,42.5,44.98,20313100,[0 0]
20080528,45.0,45.99,44.8,45.99,589886000,[0 1]
20080529,45.99,47.99,45.99,46.0,162367500,[0 1]
20080530,47.0,55.0,47.0,52.5,129521700,[1 0]
20080602,59.98,59.98,55.01,55.01,35719000,[0 0]
20080603,56.01,59.99,56.0,58.0,80332200,[1 0]
20080604,57.99,59.0,55.01,59.0,56007400,[0 1]
20080605,59.0,59.5,56.0,59.49,7003000,[0 0]
20080606,58.79,59.98,58.79,59.98,169992500,[1 0]
20080609,58.01,59.49,57.99,59.0,17604600,[0 0]
20080610,58.41,59.0,58.41,59.0,5888700,[0 0]
20080612,58.89,61.99,58.89,59.0,10127700,[1 0]
20080613,58.5,58.9,58.5,58.9,11176000,[0 0]
20080616,59.0,61.0,57.01,61.0,53228900,[1 0]
20080617,58.01,61.5,58.01,61.5,18212900,[1 0]
20080618,61.99,62.0,61.98,62.0,10537900,[0 0]
20080619,61.49,61.5,60.0,61.5,15299700,[0 0]
20080620,60.99,70.0,60.99,69.97,97670300,[1 0]
20080623,69.9,71.0,69.9,71.0,2807000,[0 1]
20080625,67.0,69.98,67.0,69.98,2069600,[1 0]
20080630,68.5,75.0,68.5,70.0,11960000,[0 0]
20080703,68.5,69.9,65.0,69.9,60298700,[0 0]
20080704,67.5,67.5,67.5,67.5,1350000,[1 0]
20080707,62.0,67.9,60.0,67.4,30475000,[0 0]
20080708,64.1,64.9,64.1,64.9,11546000,[0 0]
20080710,61.5,66.9,61.5,66.9,12276200,[1 0]
20080711,66.9,66.9,66.7,66.7,20737000,[0 0]
20080714,66.0,67.39,66.0,67.39,10607800,[0 0]
20080715,66.5,68.9,66.5,68.9,11379000,[0 0]
20080717,65.5,67.5,65.0,67.5,16714500,[0 0]
20080722,66.0,67.5,64.0,67.5,27889200,[0 0]
20080724,64.0,67.5,64.0,67.5,6038500,[0 1]
20080725,62.0,68.0,62.0,68.0,7105000,[1 1]
20080731,66.89,67.0,63.06,67.0,60991800,[0 0]
20080804,63.04,67.0,63.0,65.99,12364000,[0 0]
20080805,66.0,66.0,66.0,66.0,7920000,[0 1]
20080806,65.99,66.0,65.99,65.99,32995500,[0 0]
20080807,65.99,65.99,65.9,65.9,9896700,[1 0]
20080811,62.04,65.99,62.0,65.99,9601300,[0 0]
20080812,62.5,64.97,62.0,64.97,14581300,[0 1]
20080813,62.04,64.0,56.4,63.5,44653500,[1 0]
20080814,63.45,63.45,63.45,63.45,1269000,[0 1]
20080818,61.6,63.3,61.0,63.0,21098700,[1 0]
20080819,61.04,62.99,60.5,60.99,39635200,[0 1]
20080820,62.99,62.99,60.0,61.4,9777200,[1 1]
20080821,63.3,65.0,59.99,60.39,27636100,[0 0]
20080825,58.5,58.95,58.0,58.95,4103500,[1 1]
20080827,54.0,58.7,54.0,58.39,65902200,[0 1]
20080828,58.79,58.79,58.79,58.79,2351600,[1 0]
20080901,58.0,58.0,57.0,57.95,76145000,[0 1]
20080902,58.0,58.0,58.0,58.0,20880000,[0 0]
20080903,53.0,57.99,53.0,57.99,31275400,[0 1]
20080904,52.5,54.9,52.5,54.4,17614600,[0 0]
20080908,53.9,57.8,51.0,52.49,18179200,[1 1]
20080909,52.79,52.79,50.0,50.0,8946400,[0 0]
20080911,53.0,53.0,45.0,49.89,20687700,[1 1]
20080912,50.0,50.0,50.0,50.0,5500000,[0 1]
20080915,49.99,49.99,49.99,49.99,499900,[1 0]
20080916,49.99,49.99,48.0,49.99,1964800,[1 0]
20080918,49.99,52.5,49.99,52.49,4099300,[0 1]
20080922,50.0,53.5,50.0,53.5,9609700,[1 0]
20080923,53.5,53.5,49.99,51.0,36040000,[1 0]
20080926,52.0,52.0,46.0,50.0,83237700,[1 1]
20080929,45.1,49.0,45.1,48.99,15287900,[0 0]
20080930,48.59,48.59,48.59,48.59,971800,[1 0]
20081001,46.99,46.99,46.99,46.99,469900,[0 0]
20081002,49.9,49.9,48.99,48.99,2948500,[0 1]
20081006,44.5,48.0,38.0,48.0,20160400,[0 0]
20081007,44.99,47.0,40.0,47.0,250071300,[1 0]
20081008,43.5,43.5,40.99,40.99,9069100,[1 0]
20081009,44.0,44.0,37.7,37.99,8151500,[0 0]
20081010,36.0,37.9,34.98,37.9,5657000,[0 0]
20081013,36.0,38.9,36.0,38.5,4474000,[1 1]
20081014,38.5,38.5,36.0,37.9,6616000,[1 1]
20081015,35.99,35.99,35.99,35.99,3239100,[0 0]
20081017,31.1,33.99,31.1,33.99,3538600,[1 1]
20081020,32.99,33.0,32.99,32.99,18479400,[0 0]
20081021,32.88,32.88,32.88,32.88,38469600,[1 1]
20081022,33.0,33.0,25.0,25.0,63725600,[1 0]
20081024,25.0,25.0,25.0,25.0,250000,[0 0]
20081029,24.75,24.75,24.74,24.74,5444500,[1 1]
20081030,24.1,24.71,24.1,24.71,2428300,[1 1]
20081031,24.2,24.2,23.99,23.99,1923400,[0 0]
20081103,24.7,24.78,21.99,21.99,58644200,[1 0]
20081104,20.0,21.99,20.0,21.99,1739300,[1 0]
20081105,22.0,22.2,22.0,22.2,4880000,[0 0]
