date,open,max,min,close,volume,y
20050912,700.0,700.0,700.0,700.0,770000,[0 1]
20080514,34.5,37.5,34.5,36.0,375150,[1 0]
20080515,37.5,42.0,37.5,41.49,632085,[1 1]
20080516,41.95,42.0,41.95,42.0,386040,[1 1]
20080519,40.0,40.0,40.0,40.0,16000,[1 0]
20080527,42.5,42.5,42.5,42.5,306000,[1 0]
20080528,45.0,45.0,45.0,45.0,434400,[1 1]
20080530,47.5,55.0,47.5,52.25,678552,[1 0]
20080602,53.2,55.0,53.2,55.0,16140,[0 0]
20080604,58.0,58.0,58.0,58.0,145000,[0 1]
20080605,51.0,51.0,51.0,51.0,306000,[1 0]
20080606,59.0,59.0,59.0,59.0,5900,[1 1]
20080616,58.5,59.0,58.5,59.0,17600,[1 0]
20080618,60.0,60.0,60.0,60.0,384000,[0 0]
20080812,62.9,63.0,62.9,63.0,472250,[0 1]
20080820,65.0,65.0,65.0,65.0,6500,[1 0]
20080904,55.0,55.0,55.0,55.0,143000,[0 1]
20081119,20.0,20.0,20.0,20.0,20000,[1 0]
20081124,17.0,17.0,17.0,17.0,5100,[1 0]
20081128,11.9,11.9,11.9,11.9,3570,[0 1]
20081205,12.18,13.0,12.18,13.0,122620,[1 0]
20081208,13.0,14.9,13.0,14.9,221300,[0 1]
20081212,14.0,14.0,14.0,14.0,4200,[1 0]
20081218,17.5,17.5,17.5,17.5,119000,[1 1]
20081223,14.07,19.5,14.07,19.5,157967,[1 0]
20090102,21.49,21.49,21.49,21.49,38682,[0 0]
20090211,19.01,19.01,19.01,19.01,9505,[0 0]
20090313,17.1,17.5,17.1,17.5,173740,[0 0]
20090326,17.0,17.0,17.0,17.0,280500,[1 1]
20090403,15.4,15.4,15.4,15.4,46200,[0 1]
20090413,16.5,16.5,16.5,16.5,31350,[1 1]
20090414,21.46,21.46,21.46,21.46,98716,[1 1]
20090420,19.0,19.0,19.0,19.0,5700,[0 0]
20090428,17.5,17.5,17.01,17.01,174325,[0 0]
20090429,17.51,17.51,17.51,17.51,26265,[1 1]
20090505,20.0,20.0,18.41,18.41,189782,[0 1]
20090508,17.03,17.03,17.03,17.03,45981,[1 0]
20090512,17.41,17.41,17.41,17.41,26115,[1 1]
20090515,17.11,17.11,16.97,16.97,187938,[1 1]
20090518,16.8,16.8,16.8,16.8,48720,[0 1]
20090520,17.74,17.74,17.74,17.74,21288,[1 1]
20090525,19.5,19.5,19.5,19.5,97500,[1 0]
20090526,19.5,19.5,19.5,19.5,48750,[1 1]
20090528,19.5,19.5,19.5,19.5,19500,[1 0]
20090529,19.51,20.0,19.51,20.0,126432,[1 1]
20090601,20.0,21.85,20.0,21.85,204080,[1 1]
20090602,21.85,21.85,21.85,21.85,17480,[1 0]
20090603,23.8,23.8,23.8,23.8,42840,[1 1]
20090604,28.0,28.0,28.0,28.0,19600,[0 1]
20090605,30.0,30.0,30.0,30.0,54000,[1 1]
20090608,27.2,27.2,27.2,27.2,5440,[1 0]
20090610,27.2,27.2,27.2,27.2,19040,[1 0]
20090612,30.0,30.0,26.0,26.0,88320,[0 1]
20090615,26.0,26.0,26.0,26.0,109200,[0 1]
20090619,25.7,25.7,25.7,25.7,107940,[1 1]
20090622,25.8,25.8,25.0,25.0,251110,[1 0]
20090707,24.5,24.5,24.5,24.5,71050,[1 1]
20090716,25.45,25.45,25.45,25.45,22905,[0 1]
20090727,26.8,26.8,26.8,26.8,24120,[0 1]
20090728,26.7,26.7,26.6,26.6,266740,[0 0]
20090803,27.0,27.0,27.0,27.0,2700,[0 0]
20090804,28.0,28.0,28.0,28.0,2800,[0 1]
20090806,28.1,28.1,28.1,28.1,56200,[0 1]
20090810,28.0,28.25,28.0,28.25,135400,[1 0]
20090814,29.1,29.1,29.1,29.1,84390,[1 0]
20090817,28.6,28.6,28.6,28.6,31460,[1 0]
20090819,28.6,28.6,28.6,28.6,25740,[1 1]
20090827,28.0,28.0,28.0,28.0,25200,[0 1]
20090910,28.0,28.0,28.0,28.0,98000,[1 1]
20090922,29.99,30.0,29.99,30.0,20997,[0 1]
20090923,31.5,31.5,30.1,30.1,380796,[0 0]
20091002,29.0,29.0,29.0,29.0,58000,[0 0]
20091006,30.3,30.3,30.3,30.3,33330,[1 0]
20091009,29.5,30.5,29.5,30.5,388500,[1 0]
20091013,29.9,29.9,29.9,29.9,2990,[0 1]
20091016,35.0,35.0,33.25,33.25,715900,[1 1]
20091019,34.0,34.0,33.2,33.8,524220,[0 0]
20091023,34.2,34.2,34.0,34.0,371260,[0 0]
20091026,35.25,37.0,35.25,37.0,162625,[1 0]
20091029,36.6,36.6,36.6,36.6,73200,[1 1]
20091030,37.3,40.0,37.3,40.0,63730,[1 0]
20091105,40.0,40.1,40.0,40.1,360150,[1 0]
20091109,44.0,44.0,44.0,44.0,26400,[1 0]
20091110,44.99,47.99,44.99,47.99,176099,[1 1]
20091111,44.2,44.7,44.2,44.7,387040,[1 0]
20091112,45.8,45.8,45.8,45.8,4580,[0 1]
20091127,5.88,5.88,5.88,5.88,5880,[0 1]
20091201,5.9,5.97,5.9,5.97,52923,[0 0]
20091203,5.1,5.1,5.1,5.1,10200,[1 0]
20091204,5.82,5.82,5.49,5.49,27693,[1 1]
20091208,5.3,5.8,5.3,5.8,25600,[1 0]
20091209,5.98,5.98,5.98,5.98,2392,[1 0]
20091229,6.1,6.1,6.0,6.0,50665,[0 0]
20091230,6.15,6.15,6.1,6.1,99731,[0 0]
20100104,6.2,6.2,6.0,6.0,42444,[1 1]
20100105,6.2,6.2,6.2,6.2,8680,[0 0]
20100106,6.4,6.78,6.4,6.78,31600,[1 0]
20100107,6.6,6.6,6.6,6.6,1980,[0 1]
20100108,6.91,7.35,6.91,7.35,136578,[0 0]
20100111,7.3,7.4,7.3,7.4,63240,[1 0]
20100112,7.65,7.65,7.65,7.65,1530,[0 1]
20100114,7.99,8.2,7.9,7.9,105607,[0 1]
20100115,8.3,8.3,7.2,7.2,137096,[0 0]
20100118,7.26,8.0,7.26,8.0,29036,[1 1]
20100119,7.8,7.8,7.8,7.8,18720,[1 0]
20100120,7.71,7.71,7.5,7.5,76125,[0 0]
20100121,7.7,7.7,7.7,7.7,40040,[1 1]
20100205,6.2,6.61,6.2,6.61,15372,[0 0]
20100209,6.8,6.8,6.8,6.8,8160,[0 1]
20100218,7.0,7.0,7.0,7.0,39900,[0 0]
20100222,7.15,7.15,7.15,7.15,43615,[0 0]
20100223,7.05,7.5,7.05,7.5,28245,[1 1]
20100805,4.75,4.75,4.75,4.75,10925,[1 0]
20100806,4.75,4.9,4.7,4.9,10940,[1 0]
20100809,5.0,5.0,5.0,5.0,500,[1 1]
20100812,4.6,4.6,4.51,4.51,41040,[0 0]
20100813,4.61,4.61,4.61,4.61,22128,[0 1]
20100816,4.78,4.78,4.5,4.5,23424,[0 0]
20100817,5.2,5.2,5.2,5.2,13000,[0 0]
20100819,5.16,5.16,5.1,5.1,51324,[1 0]
20100823,4.51,5.1,4.51,5.09,85236,[0 0]
20100824,5.09,5.09,5.09,5.09,6617,[1 0]
20100825,5.09,5.09,5.09,5.09,1527,[1 1]
20100826,4.51,4.51,4.51,4.51,34276,[0 1]
20100827,5.0,5.0,4.61,4.61,48830,[1 0]
20100902,4.61,4.61,4.61,4.61,24433,[0 0]
20100909,4.7,4.7,4.7,4.7,14570,[1 1]
20100913,4.9,4.9,4.9,4.9,4900,[0 0]
20100914,4.8,4.8,4.8,4.8,11040,[1 0]
20100923,5.2,5.2,5.2,5.2,18200,[0 0]
20101007,4.61,4.98,4.61,4.98,31354,[0 0]
20101014,5.0,5.0,5.0,5.0,21000,[1 1]
20101026,4.8,5.0,4.6,4.6,28800,[0 1]
20101028,5.01,5.01,5.01,5.01,1503,[0 1]
20101029,4.99,5.49,4.99,5.49,50500,[1 0]
20101104,5.01,5.34,5.01,5.01,15360,[1 1]
20101105,5.5,5.6,5.5,5.6,33500,[0 1]
20101109,5.99,5.99,5.7,5.7,43688,[1 0]
20101111,6.0,6.05,6.0,6.0,69700,[0 1]
20101112,5.9,5.9,5.9,5.9,17110,[1 0]
20101118,5.85,6.2,5.85,6.2,32880,[0 1]
20101125,5.65,6.2,5.65,6.2,56720,[1 1]
20101130,5.58,5.58,5.31,5.31,110376,[0 1]
20101201,5.31,5.31,5.31,5.31,32391,[0 1]
20101208,5.0,5.0,5.0,5.0,15000,[0 1]
20101227,5.5,6.04,5.5,6.04,13740,[0 0]
20101229,5.7,5.75,5.7,5.75,42525,[0 1]
20110104,5.9,5.9,5.9,5.9,47200,[0 0]
20110105,5.0,5.57,5.0,5.57,59560,[0 1]
20110106,5.01,5.01,5.01,5.01,4509,[1 1]
20110111,5.5,5.5,5.5,5.5,11000,[0 1]
20110112,5.65,5.65,5.6,5.6,48260,[0 0]
20110113,5.46,5.72,5.45,5.72,234155,[1 0]
