date,open,max,min,close,volume,y
20000710,3.4,3.4,3.4,3.4,340000,[0 0]
20010320,2.8,2.8,2.8,2.8,560000,[0 1]
20010328,2.3,2.3,2.3,2.3,230000,[0 0]
20010329,2.31,2.31,2.3,2.3,692000,[0 0]
20010403,2.31,2.31,2.31,2.31,231000,[0 0]
20010730,2.31,2.31,2.31,2.31,1386000,[0 0]
20010829,2.29,2.29,2.29,2.29,229000,[1 0]
20010831,2.29,2.29,2.29,2.29,1145000,[1 0]
20011126,2.29,2.29,2.29,2.29,687000,[1 0]
20030523,2.19,2.19,2.19,2.19,219000,[1 1]
20030904,2.18,2.18,2.18,2.18,654000,[0 0]
20041105,0.1,0.25,0.1,0.25,796200,[1 1]
20041108,0.23,0.26,0.18,0.2,579800,[0 1]
20041109,0.23,0.28,0.23,0.25,249400,[0 1]
20041110,0.23,0.26,0.22,0.24,167300,[1 0]
20041112,0.25,0.25,0.25,0.25,17500,[0 0]
20041116,0.23,0.23,0.22,0.23,400500,[1 0]
20041117,0.25,0.26,0.25,0.26,117600,[0 1]
20041119,0.26,0.27,0.24,0.24,306000,[0 1]
20041122,0.25,0.25,0.25,0.25,25000,[1 0]
20041123,0.26,0.26,0.26,0.26,2600,[0 0]
20041124,0.25,0.25,0.25,0.25,30000,[1 0]
20041129,0.24,0.24,0.24,0.24,48000,[0 0]
20041202,0.24,0.28,0.24,0.28,764400,[0 0]
20041214,0.3,0.3,0.3,0.3,60000,[0 1]
20041217,0.27,0.27,0.27,0.27,108000,[0 0]
20041227,0.3,0.3,0.3,0.3,30000,[0 0]
20041228,0.3,0.3,0.3,0.3,675000,[0 0]
20041229,0.35,0.4,0.35,0.4,115000,[1 0]
20041230,0.35,0.54,0.35,0.54,411800,[0 1]
20050103,0.54,0.54,0.39,0.39,694800,[0 0]
20050104,0.38,0.38,0.38,0.38,163400,[0 1]
20050105,0.38,0.38,0.36,0.36,189600,[0 0]
20050106,0.5,0.5,0.5,0.5,50000,[0 1]
20050118,0.47,0.47,0.47,0.47,131600,[0 0]
20050203,0.27,0.32,0.27,0.32,59000,[1 1]
20050211,0.32,0.33,0.32,0.33,6500,[1 0]
20050216,0.24,0.24,0.24,0.24,4800,[0 0]
20050218,0.26,0.26,0.26,0.26,2600,[0 1]
20050321,0.3,0.3,0.3,0.3,84000,[0 0]
20050323,0.3,0.3,0.3,0.3,15000,[0 0]
20050420,0.25,0.25,0.16,0.17,45600,[0 0]
20050422,0.18,0.18,0.17,0.17,89600,[1 0]
20050425,0.2,0.2,0.2,0.2,2000,[0 0]
20050427,0.19,0.19,0.19,0.19,19000,[1 1]
20050502,0.19,0.19,0.17,0.17,18000,[1 1]
20050503,0.17,0.17,0.17,0.17,17000,[0 1]
20050504,0.17,0.17,0.17,0.17,85000,[0 1]
20050505,0.17,0.17,0.17,0.17,85000,[1 0]
20050506,0.17,0.17,0.17,0.17,42500,[0 0]
20050602,0.2,0.2,0.2,0.2,40000,[0 0]
20050608,0.2,0.2,0.2,0.2,2000,[0 0]
20050614,0.2,0.2,0.2,0.2,16000,[1 0]
20050629,0.19,0.19,0.19,0.19,19000,[0 0]
20050711,0.19,0.19,0.19,0.19,102600,[0 0]
20050713,0.18,0.18,0.18,0.18,14400,[0 1]
20050727,0.17,0.17,0.17,0.17,1700,[1 0]
20050825,0.2,0.2,0.2,0.2,14000,[0 0]
20050831,0.2,0.2,0.2,0.2,60000,[0 1]
20050905,0.19,0.19,0.19,0.19,3800,[0 0]
20050926,0.2,0.2,0.2,0.2,16000,[0 1]
20051026,0.19,0.2,0.19,0.2,40000,[0 0]
20051103,0.19,0.2,0.19,0.2,24800,[0 1]
20051123,0.06,0.12,0.06,0.12,27600,[0 0]
20051124,0.18,0.18,0.18,0.18,1800,[1 0]
