date,open,max,min,close,volume,y
20010126,6.42,6.43,6.42,6.42,37276,[0 0]
20010131,6.42,6.42,6.01,6.2,40998,[0 0]
20010201,5.56,6.16,5.56,6.05,42059,[1 0]
20010202,6.0,6.0,6.0,6.0,57000,[1 1]
20010205,5.58,5.79,5.58,5.79,26214,[0 0]
20010206,5.95,6.1,5.95,6.1,60410,[1 0]
20010207,5.56,5.8,5.56,5.8,89052,[0 1]
20010209,6.0,6.0,6.0,6.0,26400,[1 0]
20010212,6.2,6.2,6.2,6.2,24180,[0 1]
20010213,5.79,5.79,5.79,5.79,1737,[0 0]
20010214,6.0,6.0,5.68,5.68,88602,[0 1]
20010215,5.8,5.8,5.8,5.8,9860,[1 0]
20010216,5.67,5.67,5.44,5.44,34634,[1 0]
20010301,5.41,5.42,5.41,5.41,49830,[0 1]
20010302,5.3,5.5,5.3,5.5,65790,[0 0]
20010305,5.8,5.8,5.8,5.8,29000,[0 1]
20010306,5.7,5.8,5.7,5.8,17830,[0 1]
20010319,5.18,5.18,5.18,5.18,34188,[0 0]
20010320,5.39,5.39,5.39,5.39,43120,[1 1]
20010321,5.01,5.01,5.01,5.01,10020,[0 0]
20010330,4.82,4.82,4.82,4.82,10604,[0 0]
20010403,4.74,4.74,4.74,4.74,474,[0 1]
20010405,5.09,5.09,5.05,5.05,45205,[0 0]
20010409,5.1,5.1,5.1,5.1,510,[0 0]
20010410,4.74,4.74,4.74,4.74,15168,[0 0]
20010411,5.1,5.1,5.1,5.1,3060,[1 0]
20010416,4.68,4.68,4.68,4.68,28080,[1 0]
20010417,4.54,4.54,4.5,4.5,34830,[0 1]
20010419,4.81,4.81,4.81,4.81,14911,[0 1]
20010424,4.77,4.77,4.77,4.77,477,[0 0]
20010426,4.77,4.77,4.77,4.77,37683,[0 1]
20010427,4.77,4.77,4.77,4.77,3339,[1 0]
20010430,5.0,5.0,5.0,5.0,1000,[0 0]
20010502,4.41,4.41,4.41,4.41,441,[0 1]
20010507,4.8,5.0,4.8,5.0,27940,[0 1]
20010508,4.8,4.95,4.74,4.74,34787,[1 0]
20010509,4.95,4.95,4.64,4.64,15369,[0 0]
20010510,4.75,4.75,4.65,4.65,44550,[0 1]
20010515,4.75,4.75,4.75,4.75,6650,[1 0]
20010518,4.6,4.64,4.6,4.64,12952,[0 0]
20010521,4.6,4.6,4.6,4.6,20240,[0 1]
20010522,4.6,4.6,4.6,4.6,7820,[0 1]
20010525,4.6,4.6,4.6,4.6,12880,[1 0]
20010529,4.0,4.0,4.0,4.0,3600,[0 0]
20010530,4.08,4.2,4.08,4.2,35100,[0 1]
20010531,4.06,4.06,4.06,4.06,406,[0 1]
20010604,4.2,4.2,4.0,4.0,41980,[0 1]
20010607,3.81,3.81,3.81,3.81,1143,[1 0]
20010613,3.53,3.53,3.53,3.53,3530,[1 1]
20010615,3.53,3.53,3.53,3.53,7060,[1 1]
20010619,3.6,3.6,3.41,3.41,32304,[1 1]
20010620,3.72,3.72,3.72,3.72,9672,[0 0]
20010621,3.47,3.47,3.47,3.47,15615,[0 1]
20010622,3.9,3.9,3.9,3.9,34710,[0 1]
20010625,3.69,3.69,3.69,3.69,4428,[0 1]
20010626,3.69,3.69,3.69,3.69,4059,[1 0]
20010627,4.1,4.1,4.1,4.1,5330,[1 1]
20010629,3.85,3.85,3.85,3.85,19250,[1 1]
20010704,3.9,3.9,3.9,3.9,7800,[0 1]
20010705,3.79,3.79,3.79,3.79,1516,[0 0]
20010710,3.71,3.71,3.71,3.71,371,[0 1]
20010717,3.65,3.65,3.65,3.65,17520,[0 0]
20010718,3.85,3.85,3.85,3.85,3080,[0 1]
20010719,3.98,3.98,3.98,3.98,398,[1 0]
20010723,3.62,3.62,3.62,3.62,1086,[1 0]
20010724,3.62,3.62,3.6,3.6,40872,[0 0]
20010725,3.6,3.6,3.6,3.6,6480,[1 0]
20010727,3.4,3.4,3.4,3.4,1700,[0 1]
20010802,3.8,3.8,3.8,3.8,6840,[1 0]
20010803,3.45,3.45,3.45,3.45,6900,[1 0]
20010807,3.8,3.8,3.8,3.8,52060,[1 0]
20010809,3.88,3.9,3.88,3.9,7398,[0 1]
20010814,3.65,3.65,3.65,3.65,20075,[1 0]
20010828,3.6,3.6,3.6,3.6,18360,[1 1]
20010829,3.5,3.5,3.5,3.5,9100,[0 1]
20010830,3.38,3.38,3.38,3.38,2028,[0 0]
20010906,3.5,3.5,3.5,3.5,17500,[1 0]
20010912,3.59,3.6,3.59,3.6,3955,[1 0]
20010919,3.2,3.2,3.2,3.2,10240,[1 0]
20010924,3.4,3.4,2.76,2.76,6688,[1 0]
20011001,2.6,2.6,2.6,2.6,21320,[0 0]
20011003,2.5,2.5,2.5,2.5,1250,[0 1]
20011005,2.87,2.87,2.87,2.87,574,[0 1]
20011009,2.5,2.5,2.5,2.5,2000,[0 0]
20011010,2.85,2.85,2.85,2.85,2850,[0 0]
20011015,2.89,2.89,2.89,2.89,15028,[0 1]
20011016,2.7,2.8,2.7,2.8,17350,[0 1]
20011018,2.7,2.7,2.7,2.7,4860,[1 1]
20011019,2.7,2.7,2.7,2.7,270,[1 0]
20011023,2.7,2.7,2.7,2.7,1350,[0 1]
20011026,3.39,3.39,2.99,2.99,18041,[0 0]
20011105,2.66,2.66,2.66,2.66,1064,[1 1]
20011106,3.1,3.1,3.0,3.0,1510,[0 1]
20011108,2.7,2.71,2.7,2.7,7571,[1 0]
20011109,2.8,2.8,2.77,2.77,22943,[1 0]
20011112,2.8,2.9,2.8,2.9,40410,[0 0]
20011113,2.66,2.66,2.66,2.66,4522,[0 1]
20011119,2.68,2.68,2.68,2.68,2144,[0 1]
20011120,2.71,2.71,2.71,2.71,17073,[0 0]
20011121,2.89,2.89,2.89,2.89,2312,[0 0]
20011122,2.9,2.9,2.9,2.9,13050,[1 1]
20011126,2.91,2.91,2.91,2.91,4365,[1 0]
20011127,3.02,3.02,3.02,3.02,21442,[0 0]
20011203,2.67,2.67,2.67,2.67,26700,[1 1]
20011204,2.67,2.67,2.67,2.67,2670,[1 0]
20011205,2.35,2.5,2.35,2.5,19235,[1 1]
20011206,2.5,2.7,2.36,2.7,35068,[0 1]
20011207,2.75,2.75,2.38,2.38,11889,[0 0]
20011211,2.85,2.85,2.85,2.85,3705,[0 1]
20011214,2.8,3.0,2.8,2.81,26310,[1 0]
20011218,3.0,3.0,3.0,3.0,2100,[0 1]
20011219,3.1,3.1,3.1,3.1,8060,[1 0]
20011228,2.37,2.37,2.37,2.37,16353,[0 0]
20020103,2.9,3.0,2.9,3.0,12180,[1 0]
20020107,3.01,3.61,3.01,3.2,74926,[0 0]
20020108,3.65,3.65,3.45,3.45,17105,[1 1]
20020109,4.6,4.6,4.6,4.6,31280,[0 0]
20020115,3.6,3.6,3.45,3.45,12810,[1 1]
20020117,3.5,3.5,3.5,3.5,1050,[0 1]
20020128,3.5,3.5,3.5,3.5,8400,[1 1]
20020130,3.3,3.3,3.3,3.3,330,[0 0]
20020131,3.3,3.3,3.3,3.3,13530,[1 1]
20020204,3.4,3.4,3.4,3.4,17680,[0 0]
20020206,3.3,3.3,3.2,3.2,2620,[0 1]
20020208,3.03,3.03,3.03,3.03,2121,[0 1]
20020214,3.03,3.03,2.73,2.9,4385,[0 1]
20020219,2.61,3.12,2.61,3.1,21113,[0 0]
20020220,3.0,3.11,3.0,3.11,15911,[1 0]
20020225,3.07,3.07,3.03,3.03,3648,[1 1]
20020226,3.32,3.32,3.32,3.32,22244,[1 0]
20020227,3.3,3.3,3.3,3.3,23100,[1 0]
20020228,3.22,3.22,3.22,3.22,644,[0 0]
20020301,3.4,3.4,3.2,3.2,24753,[0 0]
20020304,3.4,3.4,3.4,3.4,29920,[1 0]
20020305,3.3,3.3,3.3,3.3,15510,[0 1]
20020307,3.0,3.0,3.0,3.0,5100,[0 1]
20020312,3.06,3.15,3.06,3.15,6912,[0 0]
20020313,3.16,3.22,3.16,3.22,19026,[1 0]
20020401,2.98,2.98,2.95,2.97,32975,[0 0]
20020403,3.0,3.0,3.0,3.0,888,[1 1]
20020404,2.84,2.95,2.84,2.95,31953,[0 0]
20020408,3.05,3.05,3.05,3.05,1830,[1 1]
20020409,3.05,3.05,3.05,3.05,5185,[0 0]
20020410,3.0,3.0,2.82,2.82,8166,[0 1]
20020415,3.07,3.07,3.07,3.07,1228,[0 1]
20020417,3.07,3.3,3.07,3.3,49100,[0 1]
20020419,3.25,3.25,3.25,3.25,13650,[0 1]
20020423,3.26,3.26,3.26,3.26,2608,[0 0]
20020424,3.3,3.3,3.3,3.3,1980,[1 1]
20020425,3.3,3.3,3.3,3.3,26400,[0 1]
20020426,3.39,3.39,3.39,3.39,11187,[0 0]
20020430,3.06,3.2,3.06,3.2,11184,[1 1]
20020503,3.2,3.2,3.1,3.1,33940,[0 1]
20020506,3.15,3.25,3.15,3.21,51531,[1 0]
20020507,3.0,3.11,3.0,3.11,5510,[0 1]
20020509,3.3,3.3,3.3,3.3,16830,[1 0]
20020510,3.15,3.15,3.15,3.15,26775,[1 0]
20020514,3.33,3.45,3.33,3.45,15616,[0 0]
20020515,3.45,3.45,3.45,3.45,11385,[0 0]
20020520,3.55,3.55,3.55,3.55,4970,[0 0]
20020521,3.12,3.12,3.12,3.12,17784,[1 0]
20020524,2.9,2.9,2.9,2.9,7250,[0 0]
20020527,2.9,2.9,2.9,2.9,16820,[0 0]
20020528,2.8,2.8,2.8,2.8,10920,[0 0]
20020605,2.9,2.9,2.9,2.9,580,[0 1]
20020606,2.69,2.9,2.69,2.9,10604,[1 1]
20020610,2.99,2.99,2.99,2.99,10166,[0 0]
20020612,2.8,2.99,2.8,2.99,35836,[0 0]
20020617,2.88,2.88,2.88,2.88,2016,[0 1]
20020618,2.85,2.85,2.85,2.85,10260,[1 0]
20020619,2.8,2.8,2.8,2.8,5040,[0 1]
20020620,2.4,2.4,2.4,2.4,8640,[0 1]
20020621,2.7,2.7,2.7,2.7,1080,[0 0]
20020624,2.7,2.7,2.5,2.66,66291,[0 0]
20020626,2.76,2.76,2.76,2.76,3036,[1 1]
20020628,2.9,2.9,2.9,2.9,580,[0 1]
20020702,3.0,3.0,3.0,3.0,28800,[1 0]
20020704,3.05,3.05,3.05,3.05,2135,[1 0]
20020717,2.85,2.85,2.85,2.85,14535,[0 0]
20020719,2.75,2.75,2.75,2.75,3300,[1 0]
20020722,2.8,2.8,2.8,2.8,3080,[1 0]
20020723,2.68,2.68,2.68,2.68,536,[0 0]
20020724,2.5,2.5,2.31,2.31,12731,[1 0]
20020725,2.5,2.5,2.32,2.32,11642,[1 0]
20020731,2.5,2.6,2.5,2.6,9570,[0 0]
20020816,2.4,2.4,2.4,2.4,1200,[0 0]
20020823,2.7,2.7,2.7,2.7,1890,[0 1]
20020826,2.75,2.75,2.75,2.75,550,[0 1]
20020912,2.5,2.5,2.5,2.5,1000,[0 0]
20020916,2.62,2.62,2.62,2.62,25676,[1 1]
20020924,2.56,2.56,2.56,2.56,2304,[0 0]
20020925,2.5,2.5,2.5,2.5,500,[0 0]
20020930,2.3,2.3,2.3,2.3,2760,[1 0]
20021008,2.3,2.3,2.3,2.3,13800,[1 0]
20021009,2.51,2.51,2.51,2.51,11295,[0 0]
20021011,2.3,2.3,2.3,2.3,4140,[1 0]
20021014,2.45,2.45,2.45,2.45,18620,[1 0]
20021015,2.45,2.45,2.45,2.45,3675,[1 0]
20021021,2.42,2.42,2.15,2.15,2016,[0 0]
20021024,2.2,2.2,2.1,2.1,6610,[1 0]
20021101,2.11,2.11,2.0,2.0,2521,[0 0]
20021104,2.11,2.11,2.11,2.11,633,[1 0]
20021106,2.3,2.57,2.3,2.57,18950,[1 0]
20021108,2.67,2.7,2.67,2.7,20724,[0 0]
20021112,2.68,2.68,2.68,2.68,804,[1 0]
20021119,2.31,2.31,2.3,2.3,4849,[0 1]
20021120,2.3,2.3,2.3,2.3,10350,[0 1]
20021121,2.64,2.65,2.64,2.65,12719,[1 1]
20021122,2.49,2.75,2.49,2.75,22092,[0 0]
20021125,2.9,2.9,2.9,2.9,5800,[1 0]
20021129,2.65,2.65,2.55,2.55,17350,[1 1]
20021216,2.46,2.6,2.46,2.6,10738,[1 1]
20021219,2.7,2.7,2.7,2.7,5940,[0 1]
20021223,2.5,2.5,2.5,2.5,500,[1 0]
20021226,2.7,2.7,2.7,2.7,540,[1 1]
20030310,2.5,2.5,2.5,2.5,7250,[1 0]
20030317,2.3,2.5,2.3,2.5,32538,[0 1]
20030318,2.32,2.5,2.32,2.5,4820,[0 0]
20030319,2.5,2.6,2.5,2.6,9100,[1 0]
20030320,2.7,2.7,2.7,2.7,8100,[0 1]
20030321,2.33,2.65,2.33,2.65,8826,[0 0]
20030325,2.65,2.65,2.65,2.65,22525,[0 0]
20030326,2.5,2.7,2.5,2.7,2310,[1 0]
20030401,2.8,2.8,2.8,2.8,1120,[1 0]
20030404,2.8,2.8,2.8,2.8,1960,[0 1]
20030407,2.8,2.8,2.7,2.7,26290,[0 1]
20030408,2.8,2.8,2.22,2.22,26840,[1 0]
20030409,2.89,2.9,2.89,2.9,6959,[0 0]
20030410,2.7,2.8,2.7,2.8,13990,[1 0]
20030411,2.5,2.7,2.5,2.5,26020,[1 1]
20030414,2.6,2.6,2.5,2.5,7260,[0 0]
20030415,3.01,3.01,3.01,3.01,6622,[0 0]
20030416,3.5,3.5,3.5,3.5,1400,[0 1]
20030417,3.15,3.15,3.15,3.15,10080,[0 1]
20030422,3.0,3.0,3.0,3.0,7200,[0 1]
20030423,3.5,3.5,3.5,3.5,9100,[1 0]
20030424,3.55,3.55,3.55,3.55,10295,[1 0]
20030428,3.5,3.5,3.4,3.4,3100,[1 0]
20030429,3.48,3.48,3.48,3.48,45240,[0 0]
20030430,3.49,3.49,3.49,3.49,16403,[1 0]
20030502,3.7,3.7,3.7,3.7,3700,[1 0]
20030505,3.7,3.7,3.7,3.7,3700,[1 0]
20030507,3.01,3.01,3.01,3.01,15050,[1 0]
20030508,3.65,3.65,3.65,3.65,7665,[0 1]
20030509,3.7,3.7,3.7,3.7,18500,[0 1]
20030514,3.65,3.65,3.65,3.65,10585,[0 0]
20030519,3.5,3.65,3.5,3.65,4990,[0 0]
20030522,3.55,3.55,3.55,3.55,9940,[1 0]
20030523,3.91,3.91,3.91,3.91,15640,[0 1]
20030114,2.5,2.5,2.5,2.5,500,[0 1]
20030602,3.6,3.6,3.6,3.6,6480,[0 0]
20030603,3.55,3.6,3.55,3.6,6765,[1 0]
20030604,3.65,3.65,3.65,3.65,29565,[0 0]
20030117,2.75,2.8,2.75,2.8,3875,[1 1]
20030120,2.7,2.7,2.7,2.7,5400,[0 0]
20030610,3.55,3.55,3.55,3.55,10650,[0 0]
20030611,3.02,3.02,3.02,3.02,3624,[1 0]
20030613,3.13,3.13,3.05,3.05,16830,[0 1]
20030616,3.06,3.06,3.06,3.06,2754,[0 1]
20030618,3.65,3.65,3.65,3.65,3285,[0 0]
20030128,2.5,2.5,2.5,2.5,5000,[1 0]
20030620,3.95,3.95,3.95,3.95,17775,[0 1]
20030623,3.82,3.82,3.82,3.82,11460,[0 0]
20030624,3.6,3.71,3.6,3.71,21570,[1 0]
20030130,2.72,2.72,2.72,2.72,6800,[1 0]
20030131,2.65,2.65,2.6,2.6,22635,[1 0]
20030203,2.6,2.6,2.6,2.6,1040,[0 1]
20030630,3.2,3.2,3.1,3.11,28481,[1 0]
20030701,3.1,3.1,3.02,3.02,42292,[0 0]
20030205,2.6,2.6,2.6,2.6,3120,[0 0]
20030703,3.1,3.1,3.1,3.1,4030,[0 0]
20030206,2.35,2.35,2.35,2.35,2820,[1 0]
20030704,3.11,3.11,3.02,3.02,10191,[1 1]
20030707,3.02,3.02,3.02,3.02,906,[0 0]
20030207,2.7,2.7,2.7,2.7,6750,[1 0]
20030710,3.2,3.55,3.2,3.55,34140,[1 0]
20030211,2.7,2.7,2.7,2.7,810,[1 0]
20030212,2.7,2.7,2.7,2.7,4320,[0 1]
20030213,2.7,2.7,2.7,2.7,11070,[0 0]
20030715,3.04,3.04,3.04,3.04,1216,[0 0]
20030716,3.3,3.41,3.3,3.41,31944,[1 0]
20030717,3.41,3.41,3.41,3.41,20801,[0 1]
20030217,2.7,2.7,2.65,2.65,13275,[0 1]
20030721,3.4,3.4,3.4,3.4,13260,[0 0]
20030722,3.45,3.45,3.45,3.45,10005,[1 0]
20030723,3.3,3.45,3.3,3.45,24420,[0 1]
20030724,3.2,3.2,3.2,3.2,1600,[1 0]
20030221,2.5,2.5,2.5,2.5,5750,[0 0]
20030725,3.03,3.03,3.01,3.01,18687,[1 1]
20030224,2.06,2.06,2.05,2.05,3701,[0 0]
20030225,2.5,2.5,2.5,2.5,4240,[1 0]
20030226,2.5,2.5,2.5,2.5,5000,[1 0]
20030730,3.2,3.33,3.2,3.25,18415,[1 1]
20030228,2.3,2.77,2.3,2.77,22924,[1 0]
20030804,3.1,3.27,3.1,3.27,9449,[1 0]
20030805,3.15,3.15,3.15,3.15,3150,[1 0]
20030307,2.31,2.31,2.31,2.31,924,[0 0]
20030808,3.2,3.2,3.15,3.15,29405,[1 0]
20031229,3.22,3.22,3.22,3.22,2254,[0 1]
20030811,3.04,3.11,3.0,3.0,16839,[0 1]
20031230,3.21,3.21,3.21,3.21,12198,[0 0]
20030812,3.11,3.11,3.11,3.11,311,[0 0]
20030813,3.08,3.08,3.02,3.02,17842,[0 0]
20030814,3.1,3.1,3.1,3.1,16430,[0 1]
20030827,3.08,3.26,3.0,3.26,34739,[0 1]
20030829,3.11,3.11,3.11,3.11,311,[0 0]
20030902,3.14,3.2,3.14,3.2,98484,[1 0]
20030905,3.38,3.38,3.38,3.38,1014,[0 0]
20030908,3.38,3.38,3.15,3.15,52808,[1 0]
20030910,3.15,3.15,3.14,3.14,9449,[0 1]
20030912,3.27,3.27,3.2,3.2,1607,[0 0]
20030915,3.31,3.31,3.31,3.31,331,[0 0]
20030916,3.17,3.17,3.17,3.17,16484,[0 0]
20030918,3.23,3.23,3.23,3.23,1938,[0 0]
20030919,3.4,3.4,3.17,3.17,11486,[1 0]
20030924,3.17,3.17,3.17,3.17,7608,[0 0]
20030925,3.17,3.17,3.16,3.16,8537,[1 1]
20030929,3.16,3.16,3.15,3.15,25592,[1 0]
20030930,3.15,3.15,3.15,3.15,7245,[1 0]
20031001,3.15,3.15,3.13,3.13,43057,[1 0]
20031003,3.13,3.13,3.13,3.13,8451,[0 0]
20031006,3.13,3.25,3.13,3.25,7292,[1 1]
20031007,3.13,3.13,3.13,3.13,5008,[1 0]
20031008,3.13,3.13,3.13,3.13,2191,[0 0]
20031010,3.13,3.13,3.12,3.12,15918,[1 1]
20031013,3.11,3.11,3.11,3.11,27990,[1 0]
20031014,3.11,3.11,3.11,3.11,1555,[1 0]
20031022,3.11,3.11,3.1,3.1,27337,[1 0]
20031023,3.1,3.1,3.1,3.1,2790,[0 0]
