date,open,max,min,close,volume,y
19980316,0.94,0.97,0.93,0.96,65024000,[1 0]
19980317,0.96,1.0,0.95,1.0,452843000,[0 0]
19980318,1.0,1.0,0.97,1.0,120085000,[0 0]
19980319,1.0,1.0,0.97,1.0,96684000,[1 1]
19980320,0.99,0.99,0.98,0.99,150199000,[1 0]
19980323,0.97,0.99,0.96,0.99,229717000,[0 0]
19980324,0.98,0.99,0.97,0.97,63261000,[1 0]
19980325,0.97,0.98,0.97,0.98,51605000,[1 0]
19980326,0.97,0.99,0.97,0.99,294020000,[0 1]
19980327,0.98,1.0,0.97,1.0,108058000,[1 1]
19980330,0.98,1.0,0.97,1.0,84077000,[1 0]
19980331,1.0,1.0,0.98,0.99,78700000,[1 0]
19980401,0.97,0.99,0.97,0.99,37755000,[0 1]
19980402,0.98,1.0,0.96,1.0,115179000,[0 0]
19980403,1.0,1.0,0.95,0.96,259844000,[0 0]
19980406,0.98,1.0,0.95,1.0,124279000,[0 1]
19980407,1.0,1.0,0.97,0.99,71501000,[0 0]
19980408,0.98,0.98,0.96,0.98,65368000,[0 0]
19980413,0.97,1.0,0.97,1.0,132505000,[0 0]
19980414,1.03,1.03,1.0,1.02,322736000,[0 0]
19980415,1.01,1.03,0.97,1.03,129199000,[0 1]
19980416,1.02,1.05,1.02,1.05,291265000,[0 0]
19980417,1.07,1.07,1.02,1.04,150060000,[1 0]
19980420,1.04,1.08,1.03,1.08,147187000,[0 0]
19980422,1.04,1.04,1.03,1.03,41923000,[0 0]
19980423,1.03,1.03,0.98,0.98,163552000,[0 0]
19980424,1.01,1.03,0.99,1.01,326818000,[0 1]
19980427,1.01,1.01,0.97,0.98,335806000,[0 0]
19980428,0.99,0.99,0.94,0.97,188608000,[1 0]
19980429,0.97,0.97,0.96,0.97,53391000,[1 0]
19980430,0.97,0.97,0.95,0.97,151184000,[0 1]
19980504,0.95,0.97,0.95,0.97,193746000,[0 0]
19980505,0.95,1.0,0.95,1.0,649602000,[0 1]
19980506,1.01,1.04,1.0,1.0,267299000,[0 1]
19980507,0.99,1.0,0.97,0.98,127551000,[1 0]
19980508,0.99,0.99,0.96,0.98,76255000,[0 0]
