date,open,max,min,close,volume,y
19980316,0.92,0.92,0.91,0.92,145231,[1 1]
19980317,0.97,0.97,0.97,0.97,54708,[0 0]
19980318,1.0,1.0,1.0,1.0,12200,[0 1]
19980319,0.96,0.98,0.96,0.98,113616,[0 1]
19980320,0.98,0.98,0.9,0.91,57867,[1 0]
19980323,0.9,0.96,0.9,0.9,73708,[0 0]
19980324,0.97,0.97,0.96,0.96,38600,[0 0]
19980326,0.95,0.97,0.92,0.92,88449,[1 1]
19980327,0.96,0.96,0.96,0.96,107328,[0 1]
19980330,0.95,0.98,0.95,0.97,228020,[1 0]
19980331,0.98,0.98,0.95,0.95,45982,[0 0]
19980401,0.97,0.97,0.95,0.95,60270,[0 1]
19980402,0.97,0.97,0.94,0.95,72827,[0 1]
19980406,0.96,0.97,0.94,0.94,138413,[0 1]
19980407,0.93,0.93,0.93,0.93,67983,[0 1]
19980408,0.95,0.95,0.95,0.95,28690,[0 0]
19980414,0.98,1.0,0.98,0.99,121413,[0 0]
19980415,0.95,0.95,0.95,0.95,29450,[1 1]
19980416,1.02,1.02,1.02,1.02,56100,[0 0]
19980420,1.03,1.03,1.03,1.03,67156,[1 0]
19980423,1.0,1.0,0.98,0.98,194835,[1 0]
19980424,0.97,1.03,0.95,0.95,128126,[1 1]
19980427,1.01,1.01,0.95,0.95,168105,[0 0]
19980428,0.95,0.95,0.94,0.95,158995,[0 0]
19980429,0.97,0.97,0.96,0.96,47194,[1 1]
19980430,0.94,0.96,0.9,0.9,170004,[0 1]
19980504,0.96,0.96,0.93,0.96,333660,[0 1]
19980505,0.97,0.97,0.95,0.95,37170,[1 0]
19980506,1.0,1.0,0.96,0.96,28328,[1 1]
19980507,0.97,0.97,0.94,0.94,126272,[0 1]
19980511,0.9,0.95,0.9,0.95,57910,[0 1]
19980513,0.88,0.88,0.88,0.88,84832,[0 0]
19980514,0.92,0.92,0.87,0.87,108024,[1 0]
19980515,0.88,0.88,0.87,0.87,68052,[0 0]
19980518,0.86,0.86,0.82,0.82,33400,[1 0]
19980519,0.85,0.88,0.85,0.87,68838,[1 0]
19980522,0.89,0.89,0.89,0.89,356,[0 0]
19980525,0.87,0.87,0.84,0.84,102828,[1 0]
19980527,0.84,0.84,0.81,0.81,88980,[0 1]
19980528,0.85,0.85,0.84,0.84,88495,[1 0]
19980529,0.81,0.81,0.81,0.81,15552,[0 0]
19980602,0.82,0.82,0.82,0.82,86756,[0 0]
19980603,0.79,0.79,0.72,0.75,109236,[1 1]
19980604,0.76,0.76,0.76,0.76,44992,[0 0]
19980605,0.78,0.79,0.78,0.79,190459,[1 1]
19980608,0.81,0.81,0.78,0.78,84279,[0 0]
19980609,0.78,0.78,0.78,0.78,47268,[1 1]
19980612,0.75,0.75,0.75,0.75,35475,[0 0]
19980615,0.68,0.74,0.68,0.72,134284,[1 1]
19980617,0.77,0.77,0.73,0.75,105200,[1 1]
19980701,0.77,0.77,0.77,0.77,46200,[0 0]
19980702,0.72,0.72,0.71,0.71,74084,[0 0]
19980703,0.73,0.73,0.73,0.73,36500,[1 1]
19980706,0.75,0.75,0.72,0.72,144037,[1 0]
19980707,0.76,0.76,0.76,0.76,16720,[0 1]
19980708,0.77,0.78,0.76,0.78,77073,[1 0]
19980713,0.75,0.75,0.75,0.75,55800,[1 1]
19980714,0.75,0.8,0.75,0.77,143412,[0 0]
19980716,0.78,0.78,0.78,0.78,33384,[0 0]
19980717,0.76,0.76,0.76,0.76,38152,[0 0]
19980720,0.77,0.79,0.77,0.79,73534,[0 1]
19980721,0.8,0.8,0.73,0.75,177366,[0 0]
19980722,0.76,0.76,0.76,0.76,60800,[1 1]
19980723,0.76,0.76,0.76,0.76,15428,[0 0]
19980724,0.76,0.76,0.76,0.76,50616,[1 1]
19980727,0.74,0.77,0.74,0.77,75388,[1 1]
19980728,0.7,0.77,0.7,0.77,85540,[0 0]
19980729,0.76,0.76,0.76,0.76,3268,[1 0]
19980730,0.76,0.76,0.74,0.74,54080,[0 1]
19980731,0.76,0.76,0.75,0.75,73675,[0 1]
19980803,0.76,0.76,0.72,0.72,83245,[0 1]
19980804,0.74,0.74,0.74,0.74,25974,[0 1]
19980807,0.7,0.7,0.68,0.68,7910,[1 0]
19980810,0.66,0.66,0.65,0.66,62606,[0 0]
19980824,0.66,0.66,0.65,0.65,98876,[0 1]
19980825,0.67,0.67,0.67,0.67,6700,[1 0]
19980828,0.66,0.66,0.6,0.6,15318,[1 1]
19980831,0.6,0.6,0.6,0.6,6000,[0 1]
19980901,0.6,0.64,0.6,0.63,137344,[1 0]
19980902,0.66,0.66,0.64,0.66,68498,[0 0]
19980903,0.64,0.64,0.64,0.64,61056,[0 0]
19980908,0.54,0.54,0.51,0.51,145528,[0 0]
19980909,0.5,0.52,0.5,0.5,94472,[0 1]
19980910,0.48,0.48,0.43,0.43,50585,[0 1]
19980911,0.53,0.53,0.43,0.43,27474,[1 1]
19980914,0.49,0.53,0.47,0.53,78142,[1 1]
19980915,0.58,0.58,0.56,0.56,70366,[0 1]
19980916,0.58,0.58,0.56,0.56,65590,[1 1]
19980917,0.55,0.55,0.52,0.52,24945,[1 1]
19980918,0.56,0.56,0.55,0.55,19297,[1 0]
19980921,0.55,0.6,0.54,0.6,76600,[1 1]
19980922,0.6,0.6,0.57,0.58,7982,[0 0]
19981016,0.56,0.58,0.53,0.53,77202,[1 0]
19981022,0.64,0.64,0.64,0.64,33344,[0 0]
19981026,0.65,0.65,0.64,0.65,80544,[0 1]
19981028,0.61,0.61,0.61,0.61,95221,[1 1]
19981029,0.54,0.54,0.54,0.54,32400,[0 1]
19981030,0.62,0.62,0.62,0.62,12400,[0 0]
19981103,0.63,0.63,0.63,0.63,16065,[1 0]
19981106,0.72,0.72,0.72,0.72,53640,[0 0]
19981109,0.74,0.74,0.73,0.73,74960,[0 0]
19981110,0.68,0.72,0.68,0.72,34300,[0 0]
19981111,0.71,0.71,0.71,0.71,102950,[0 1]
19981112,0.66,0.68,0.66,0.68,64168,[0 0]
19981113,0.71,0.71,0.65,0.65,70769,[1 0]
19981116,0.67,0.67,0.67,0.67,4020,[1 0]
19981117,0.72,0.72,0.72,0.72,144,[0 0]
19981118,0.73,0.75,0.73,0.75,87966,[0 1]
19981119,0.74,0.75,0.74,0.75,19533,[1 0]
19981120,0.75,0.75,0.69,0.69,75375,[1 1]
19981123,0.75,0.75,0.75,0.75,17700,[0 1]
19981124,0.8,0.8,0.8,0.8,23920,[1 0]
19981125,0.78,0.78,0.78,0.78,26832,[1 0]
19981126,0.85,0.85,0.81,0.81,101510,[0 0]
19981127,0.86,0.86,0.86,0.86,45064,[1 1]
19981130,0.85,0.85,0.85,0.85,8840,[1 0]
19981201,0.83,0.83,0.77,0.77,142239,[1 0]
19981207,0.75,0.75,0.75,0.75,15000,[1 1]
19981209,0.74,0.74,0.73,0.73,43964,[1 1]
19981210,0.73,0.73,0.73,0.73,29200,[0 0]
19981211,0.68,0.68,0.68,0.68,4012,[1 1]
19981214,0.67,0.67,0.63,0.66,226714,[1 1]
19981215,0.65,0.68,0.65,0.68,89996,[1 1]
19981216,0.68,0.68,0.66,0.66,42316,[0 1]
19981218,0.66,0.66,0.63,0.63,81936,[1 0]
19981221,0.64,0.64,0.64,0.64,32000,[0 0]
19981222,0.66,0.66,0.66,0.66,85404,[1 0]
19990111,0.6,0.6,0.56,0.56,113992,[0 1]
19990114,0.51,0.51,0.48,0.48,70245,[1 0]
19990119,0.59,0.59,0.59,0.59,5900,[1 1]
19990121,0.6,0.6,0.6,0.6,27300,[0 1]
19990126,0.65,0.65,0.65,0.65,21190,[0 1]
19990129,0.66,0.71,0.66,0.71,150818,[0 1]
19990201,0.71,0.71,0.71,0.71,35784,[0 1]
19990202,0.77,0.78,0.7,0.7,126620,[0 1]
19990203,0.82,0.82,0.82,0.82,20500,[0 0]
19990204,0.81,0.81,0.77,0.77,64510,[1 0]
19990205,0.6,0.76,0.6,0.75,96350,[0 0]
19990211,0.77,0.8,0.77,0.77,157186,[1 0]
19990212,0.8,0.81,0.71,0.71,76547,[0 0]
19990218,0.83,0.83,0.81,0.81,21758,[1 1]
19990219,0.79,0.8,0.79,0.8,58328,[0 0]
19990222,0.81,0.82,0.78,0.82,108096,[0 0]
19990223,0.82,0.82,0.8,0.8,53440,[0 1]
19990224,0.82,0.82,0.82,0.82,27224,[1 0]
19990226,0.82,0.84,0.82,0.84,50000,[0 0]
19990301,0.8,0.82,0.8,0.82,82722,[0 1]
19990302,0.82,0.82,0.82,0.82,47642,[0 1]
19990303,0.82,0.82,0.82,0.82,4920,[0 0]
19990304,0.84,0.86,0.8,0.8,114964,[1 0]
19990305,0.83,0.84,0.83,0.84,16700,[0 0]
19990308,0.86,0.87,0.86,0.87,51700,[0 1]
