date,open,max,min,close,volume,y
20070514,0.33,0.33,0.33,0.33,14256,[1 0]
20070515,0.34,0.34,0.34,0.34,11322,[0 1]
20070516,0.33,0.33,0.33,0.33,33,[0 0]
20070517,0.31,0.31,0.31,0.31,15500,[0 0]
20070518,0.31,0.68,0.31,0.68,1003,[1 0]
20070523,0.31,0.31,0.31,0.31,3100,[1 1]
20070524,0.69,0.69,0.29,0.29,19798,[1 0]
20070605,0.38,0.38,0.29,0.29,1633,[0 0]
20070608,0.28,0.28,0.28,0.28,1820,[1 0]
20070612,0.29,0.29,0.29,0.29,6235,[0 1]
20070613,0.28,0.28,0.28,0.28,41580,[0 0]
20070615,0.3,0.3,0.3,0.3,21000,[1 0]
20070620,0.31,0.32,0.31,0.32,17336,[1 0]
20070621,0.32,0.55,0.32,0.48,276378,[0 1]
20070622,0.57,0.57,0.4,0.47,226800,[0 1]
20070625,0.43,0.43,0.43,0.43,4300,[1 0]
20070628,0.41,0.41,0.4,0.4,53220,[0 0]
20070629,0.42,0.42,0.42,0.42,14784,[1 1]
20070702,0.44,0.47,0.4,0.4,216658,[0 1]
20070704,0.4,0.4,0.37,0.37,35853,[0 1]
20070705,0.39,0.42,0.39,0.42,15642,[0 0]
20070706,0.41,0.41,0.41,0.41,41,[0 0]
20070710,0.37,0.37,0.35,0.35,21642,[0 0]
20070711,0.36,0.36,0.36,0.36,1800,[1 0]
20070712,0.36,0.38,0.35,0.35,39828,[1 0]
20070713,0.38,0.38,0.38,0.38,38,[1 0]
20070717,0.38,0.38,0.38,0.38,38,[0 0]
20070718,0.37,0.37,0.37,0.37,37,[1 0]
20070719,0.37,0.4,0.37,0.4,35799,[0 1]
20070720,0.4,0.4,0.37,0.37,28197,[0 1]
20070723,0.47,0.47,0.39,0.42,97896,[0 1]
20070724,0.45,0.54,0.45,0.48,348186,[0 0]
20070725,0.53,0.53,0.46,0.46,141693,[0 1]
20070726,0.45,0.45,0.45,0.45,6255,[1 0]
20070727,0.43,0.43,0.38,0.38,16421,[1 0]
20070730,0.44,0.44,0.44,0.44,44,[1 0]
20070731,0.38,0.48,0.37,0.48,31395,[0 1]
20070801,0.44,0.44,0.39,0.39,434,[0 0]
20070802,0.44,0.44,0.44,0.44,24024,[0 0]
20070803,0.38,0.38,0.38,0.38,13338,[0 1]
20070806,0.46,0.46,0.46,0.46,46,[0 0]
20070807,0.46,0.46,0.46,0.46,46,[0 0]
20070808,0.44,0.44,0.44,0.44,44,[0 1]
20070809,0.43,0.43,0.43,0.43,43,[0 0]
20070810,0.43,0.43,0.43,0.43,43,[0 1]
20070813,0.42,0.42,0.42,0.42,42,[1 0]
20070814,0.38,0.38,0.34,0.34,57491,[0 1]
20070815,0.34,0.36,0.33,0.36,51096,[0 0]
20070816,0.3,0.3,0.3,0.3,1500,[0 1]
20070817,0.33,0.33,0.33,0.33,33,[1 0]
20070820,0.33,0.33,0.33,0.33,3333,[1 0]
20070821,0.33,0.35,0.33,0.35,68,[0 0]
20070822,0.35,0.35,0.35,0.35,35,[0 0]
20070823,0.35,0.35,0.35,0.35,35,[0 0]
20070824,0.35,0.35,0.34,0.34,17035,[1 0]
20070827,0.35,0.35,0.35,0.35,35,[0 1]
20070828,0.35,0.35,0.35,0.35,70,[1 0]
20070829,0.35,0.35,0.34,0.34,69,[1 0]
20070830,0.35,0.35,0.35,0.35,13615,[1 1]
20070831,0.38,0.38,0.31,0.31,13678,[1 0]
20070903,0.34,0.42,0.34,0.42,53636,[0 0]
20070904,0.38,0.38,0.34,0.34,37576,[1 0]
20070910,0.38,0.38,0.38,0.38,38,[0 0]
20070912,0.33,0.33,0.33,0.33,16500,[0 0]
20070914,0.34,0.34,0.33,0.33,3037,[0 1]
20070917,0.32,0.32,0.31,0.31,1724,[0 0]
20070919,0.38,0.38,0.32,0.32,66656,[0 1]
20070920,0.33,0.33,0.33,0.33,14553,[0 1]
20070921,0.33,0.33,0.31,0.31,16478,[1 0]
20070924,0.33,0.33,0.33,0.33,27027,[0 1]
20070925,0.32,0.32,0.32,0.32,32000,[0 1]
20070926,0.33,0.33,0.33,0.33,3300,[0 1]
20071002,0.32,0.32,0.31,0.31,13628,[0 0]
20071004,0.31,0.31,0.31,0.31,3100,[0 0]
20071005,0.34,0.34,0.34,0.34,1972,[1 0]
20071008,0.32,0.32,0.32,0.32,10176,[1 0]
20071009,0.31,0.31,0.31,0.31,12431,[0 1]
20071015,0.31,0.31,0.31,0.31,6913,[0 0]
20071017,0.31,0.31,0.31,0.31,21886,[0 0]
20071030,0.28,0.28,0.26,0.26,6350,[0 1]
20071101,0.3,0.3,0.3,0.3,3000,[0 1]
20071105,0.3,0.3,0.28,0.28,42880,[0 1]
20071106,0.28,0.28,0.28,0.28,28,[1 0]
