date,open,max,min,close,volume,y
20070511,0.24,0.24,0.23,0.24,17644000,[0 0]
20070514,0.24,0.25,0.23,0.24,13897000,[0 0]
20070515,0.24,0.24,0.23,0.24,14665000,[0 0]
20070516,0.23,0.24,0.23,0.24,4584000,[0 0]
20070517,0.23,0.24,0.23,0.24,7583000,[0 0]
20070518,0.24,0.25,0.23,0.24,28027000,[0 0]
20070521,0.23,0.24,0.23,0.24,9340000,[0 0]
20070522,0.24,0.24,0.23,0.24,27831000,[0 0]
20070523,0.23,0.24,0.23,0.23,17182000,[1 0]
20070524,0.24,0.24,0.22,0.23,9263000,[0 1]
20070525,0.23,0.24,0.22,0.23,20021000,[0 0]
20070528,0.23,0.24,0.23,0.23,26144000,[0 1]
20070529,0.23,0.24,0.22,0.23,3710000,[0 1]
20070530,0.23,0.23,0.22,0.23,1534000,[1 1]
20070531,0.23,0.23,0.22,0.22,6131000,[0 0]
20070601,0.23,0.23,0.22,0.22,5720000,[0 0]
20070604,0.22,0.23,0.22,0.22,6538000,[1 1]
20070605,0.23,0.23,0.22,0.23,8907000,[0 0]
20070606,0.23,0.23,0.22,0.22,4130000,[0 0]
20070608,0.22,0.23,0.22,0.22,13731000,[0 0]
20070611,0.22,0.23,0.22,0.23,9095000,[1 0]
20070612,0.23,0.23,0.22,0.23,6176000,[0 0]
20070613,0.22,0.23,0.22,0.23,8581000,[0 0]
20070614,0.23,0.23,0.22,0.23,27245000,[1 0]
20070615,0.24,0.27,0.24,0.26,167494000,[0 0]
20070618,0.26,0.26,0.24,0.24,47116000,[1 0]
20070619,0.25,0.26,0.24,0.25,28098000,[0 1]
20070620,0.26,0.29,0.25,0.28,219689000,[0 1]
20070621,0.29,0.34,0.27,0.34,356667000,[0 0]
20070622,0.36,0.37,0.32,0.33,573069000,[1 0]
20070625,0.34,0.35,0.31,0.32,105411000,[0 0]
20070626,0.32,0.33,0.28,0.29,128147000,[1 0]
20070627,0.29,0.31,0.27,0.29,150952000,[0 0]
20070628,0.3,0.31,0.29,0.31,55415000,[0 1]
20070629,0.31,0.33,0.3,0.32,112505000,[1 0]
20070702,0.31,0.32,0.3,0.31,39654000,[1 0]
20070703,0.31,0.32,0.3,0.31,42237000,[1 0]
20070704,0.3,0.32,0.3,0.31,60045000,[0 1]
20070705,0.3,0.3,0.29,0.3,41238000,[0 0]
20070706,0.29,0.3,0.28,0.29,40399000,[1 0]
20070710,0.29,0.29,0.27,0.28,52928000,[0 1]
20070711,0.27,0.3,0.26,0.29,91636000,[1 0]
20070712,0.29,0.3,0.28,0.29,35374000,[1 0]
20070713,0.28,0.3,0.28,0.28,43163000,[0 0]
20070716,0.29,0.29,0.27,0.28,43949000,[0 1]
20070717,0.28,0.28,0.27,0.28,22706000,[0 0]
20070718,0.28,0.28,0.26,0.28,26316000,[0 0]
20070719,0.28,0.33,0.27,0.3,315487000,[0 1]
20070720,0.31,0.31,0.28,0.3,55487000,[0 1]
20070723,0.3,0.3,0.28,0.3,27041000,[0 0]
20070724,0.3,0.32,0.29,0.29,162577000,[0 0]
20070725,0.3,0.31,0.28,0.3,33512000,[0 0]
20070726,0.29,0.29,0.27,0.28,35988000,[0 0]
20070727,0.28,0.29,0.27,0.27,17240000,[0 0]
20070730,0.28,0.29,0.27,0.29,10584000,[0 0]
20070731,0.29,0.29,0.27,0.28,23094000,[0 0]
20070801,0.28,0.29,0.27,0.29,40657000,[0 1]
20070802,0.29,0.3,0.28,0.29,50997000,[0 0]
20070803,0.3,0.3,0.28,0.28,53368000,[1 0]
20070806,0.29,0.29,0.27,0.29,37197000,[0 1]
20070807,0.29,0.29,0.27,0.29,27513000,[1 0]
20070808,0.28,0.29,0.28,0.29,25426000,[0 0]
20070809,0.28,0.29,0.27,0.27,64684000,[1 0]
20070810,0.26,0.28,0.26,0.28,40861000,[0 1]
20070813,0.28,0.28,0.26,0.27,19420000,[0 1]
20070814,0.26,0.28,0.25,0.26,40827000,[0 0]
20070815,0.26,0.26,0.22,0.23,88711000,[1 1]
20070816,0.22,0.22,0.18,0.2,85656000,[0 0]
20070817,0.21,0.23,0.21,0.22,22011000,[0 0]
20070820,0.23,0.24,0.23,0.23,35924000,[0 0]
20070821,0.24,0.24,0.22,0.23,7963000,[0 0]
20070822,0.23,0.24,0.22,0.24,17585000,[0 0]
20070823,0.24,0.24,0.22,0.23,8148000,[0 0]
20070824,0.23,0.24,0.23,0.24,7544000,[0 0]
20070827,0.24,0.24,0.23,0.23,5380000,[1 0]
20070828,0.23,0.23,0.22,0.22,6869000,[0 0]
20070829,0.23,0.23,0.22,0.23,6879000,[0 0]
20070830,0.23,0.24,0.23,0.23,16239000,[0 1]
20070831,0.23,0.24,0.23,0.23,11215000,[0 0]
20070903,0.24,0.24,0.23,0.24,29998000,[1 0]
20070904,0.24,0.24,0.23,0.23,17302000,[0 0]
20070905,0.23,0.24,0.23,0.23,17104000,[0 0]
20070906,0.23,0.27,0.23,0.25,121963000,[1 0]
20070910,0.24,0.26,0.24,0.26,43471000,[0 0]
20070911,0.26,0.27,0.25,0.25,64902000,[0 0]
20070912,0.27,0.27,0.25,0.26,23490000,[0 0]
20070913,0.26,0.27,0.25,0.26,17143000,[0 0]
20070914,0.25,0.26,0.24,0.25,17064000,[0 1]
20070917,0.25,0.26,0.24,0.25,6345000,[0 0]
20070918,0.25,0.26,0.24,0.25,19025000,[0 0]
20070919,0.27,0.28,0.26,0.26,55981000,[0 1]
20070920,0.27,0.27,0.25,0.25,31650000,[0 0]
20070921,0.26,0.26,0.25,0.25,17059000,[0 1]
20070924,0.25,0.26,0.25,0.25,5440000,[0 0]
20070925,0.25,0.26,0.24,0.25,13253000,[1 0]
20070926,0.25,0.26,0.24,0.24,13175000,[0 0]
20070927,0.25,0.26,0.24,0.25,11506000,[0 0]
20070928,0.24,0.25,0.24,0.24,7986000,[0 0]
20071001,0.24,0.25,0.24,0.25,24362000,[0 1]
20071002,0.24,0.25,0.23,0.24,29622000,[0 0]
20071003,0.24,0.24,0.23,0.24,11415000,[0 0]
20071004,0.23,0.24,0.23,0.23,13739000,[0 1]
20071005,0.24,0.24,0.23,0.23,8540000,[0 0]
20071008,0.23,0.24,0.23,0.23,17771000,[0 0]
20071009,0.23,0.23,0.22,0.23,23443000,[1 0]
20071010,0.22,0.23,0.22,0.23,17932000,[0 0]
20071011,0.23,0.23,0.22,0.23,8027000,[0 0]
20071015,0.23,0.23,0.22,0.23,4888000,[1 0]
20071016,0.23,0.23,0.22,0.23,6658000,[1 0]
20071017,0.23,0.24,0.22,0.23,23560000,[0 1]
20071030,0.23,0.23,0.21,0.23,10441000,[0 0]
20071031,0.22,0.23,0.21,0.23,14370000,[0 0]
20071101,0.23,0.23,0.22,0.23,3567000,[0 0]
20071105,0.22,0.23,0.21,0.22,14633000,[0 0]
20071106,0.23,0.23,0.22,0.23,6038000,[0 1]
20071107,0.23,0.23,0.22,0.23,10018000,[1 0]
20071108,0.23,0.23,0.21,0.21,36068000,[0 0]
20071109,0.22,0.22,0.21,0.22,24443000,[0 0]
20071112,0.22,0.23,0.22,0.22,8416000,[0 0]
20071113,0.22,0.23,0.21,0.21,23208000,[0 0]
20071114,0.22,0.23,0.21,0.22,12177000,[1 0]
20071116,0.21,0.23,0.21,0.23,15022000,[0 0]
20071119,0.23,0.23,0.2,0.21,19860000,[0 1]
20071121,0.2,0.21,0.19,0.19,15464000,[0 0]
20071122,0.19,0.2,0.19,0.19,8383000,[1 0]
20071123,0.2,0.2,0.19,0.2,6067000,[0 1]
20071126,0.2,0.2,0.19,0.2,6183000,[0 0]
20071127,0.19,0.19,0.18,0.18,16534000,[0 0]
20071128,0.19,0.19,0.18,0.19,3157000,[0 0]
20071129,0.19,0.2,0.18,0.19,7031000,[0 0]
20071130,0.2,0.21,0.19,0.2,15847000,[0 0]
20071203,0.21,0.21,0.19,0.2,7897000,[0 0]
20071204,0.21,0.21,0.19,0.19,10149000,[0 1]
20071205,0.2,0.21,0.2,0.2,10261000,[1 0]
20071206,0.2,0.25,0.19,0.22,196348000,[0 1]
20071207,0.22,0.23,0.2,0.21,37766000,[0 0]
20071210,0.21,0.22,0.2,0.21,4577000,[0 0]
20071211,0.21,0.21,0.2,0.2,16873000,[0 0]
20071212,0.2,0.21,0.2,0.2,9481000,[0 0]
20071213,0.19,0.2,0.19,0.2,3908000,[0 0]
20071214,0.2,0.2,0.19,0.19,2424000,[1 0]
20071217,0.19,0.2,0.19,0.19,19674000,[0 0]
20071218,0.2,0.2,0.18,0.19,12589000,[0 0]
20071219,0.19,0.19,0.18,0.19,3368000,[0 0]
20071220,0.18,0.19,0.18,0.19,3109000,[0 0]
20071221,0.19,0.19,0.18,0.19,10426000,[0 1]
20071226,0.19,0.19,0.18,0.19,13574000,[0 0]
20071227,0.18,0.19,0.18,0.18,5475000,[0 0]
20071228,0.19,0.19,0.17,0.17,24912000,[0 1]
20080102,0.18,0.2,0.18,0.19,53946000,[0 1]
20080103,0.2,0.2,0.19,0.19,26797000,[0 0]
20080104,0.2,0.2,0.17,0.18,43350000,[0 1]
20080107,0.19,0.19,0.18,0.18,10636000,[0 0]
20080108,0.18,0.18,0.18,0.18,7776000,[0 1]
20080109,0.18,0.19,0.17,0.18,6689000,[0 0]
20080110,0.18,0.19,0.17,0.18,7297000,[0 0]
20080111,0.18,0.19,0.18,0.19,6608000,[0 0]
20080114,0.18,0.18,0.17,0.18,19842000,[1 0]
20080115,0.18,0.18,0.17,0.17,8208000,[0 0]
20080116,0.17,0.18,0.16,0.18,26561000,[0 1]
20080117,0.17,0.18,0.16,0.17,8643000,[0 0]
20080118,0.18,0.18,0.16,0.16,6744000,[0 0]
20080121,0.17,0.17,0.15,0.16,17304000,[1 0]
20080122,0.16,0.16,0.15,0.16,12269000,[1 0]
20080123,0.16,0.16,0.14,0.14,21893000,[0 0]
20080124,0.16,0.18,0.16,0.17,34947000,[0 0]
20080128,0.16,0.17,0.15,0.16,22848000,[0 0]
20080129,0.16,0.17,0.15,0.16,16318000,[0 1]
20080130,0.16,0.16,0.15,0.16,21303000,[0 0]
20080131,0.16,0.16,0.15,0.16,13510000,[0 1]
20080201,0.15,0.16,0.14,0.15,5659000,[0 0]
20080206,0.15,0.16,0.15,0.15,14848000,[0 0]
20080207,0.15,0.15,0.14,0.15,4988000,[0 0]
20080208,0.15,0.15,0.14,0.15,8947000,[1 0]
20080211,0.15,0.15,0.14,0.15,12792000,[0 0]
20080212,0.15,0.16,0.14,0.15,19677000,[0 1]
20080213,0.15,0.16,0.15,0.16,14423000,[0 0]
20080214,0.15,0.16,0.15,0.16,10811000,[0 0]
20080215,0.15,0.16,0.15,0.16,6913000,[0 0]
20080218,0.15,0.16,0.15,0.16,11398000,[0 1]
20080219,0.16,0.16,0.15,0.16,12702000,[0 0]
20080220,0.16,0.16,0.15,0.15,7990000,[0 0]
20080221,0.16,0.16,0.15,0.16,4753000,[1 0]
20080222,0.16,0.16,0.14,0.16,12781000,[0 0]
20080225,0.16,0.16,0.15,0.16,6143000,[0 1]
20080226,0.16,0.16,0.15,0.15,6843000,[0 0]
20080227,0.15,0.16,0.15,0.16,15570000,[1 0]
20080228,0.15,0.16,0.15,0.15,9303000,[0 0]
20080229,0.15,0.16,0.14,0.14,13292000,[0 0]
20080303,0.14,0.16,0.14,0.15,4423000,[0 0]
20080304,0.15,0.16,0.14,0.15,9505000,[1 0]
20080305,0.15,0.16,0.14,0.15,2890000,[0 0]
20080306,0.16,0.16,0.14,0.15,12525000,[0 0]
20080307,0.15,0.15,0.14,0.15,1444000,[0 0]
20080310,0.15,0.15,0.13,0.15,34832000,[0 0]
20080311,0.14,0.15,0.14,0.14,4459000,[0 1]
20080312,0.15,0.15,0.14,0.14,3065000,[0 0]
20080313,0.15,0.15,0.14,0.14,14326000,[0 0]
20080314,0.15,0.15,0.14,0.15,3624000,[0 1]
20080317,0.14,0.15,0.13,0.15,4842000,[0 0]
20080318,0.15,0.15,0.13,0.15,5312000,[1 0]
20080319,0.14,0.14,0.13,0.13,34548000,[0 0]
20080320,0.14,0.14,0.12,0.13,8456000,[0 0]
20080324,0.13,0.14,0.12,0.13,2671000,[0 0]
20080325,0.13,0.14,0.13,0.14,4519000,[0 0]
20080326,0.13,0.14,0.12,0.14,2546000,[0 0]
20080327,0.14,0.14,0.13,0.14,1914000,[0 1]
20080328,0.13,0.13,0.12,0.13,6644000,[0 0]
20080331,0.13,0.14,0.12,0.12,5995000,[0 0]
20080401,0.13,0.14,0.12,0.13,10835000,[1 0]
20080402,0.13,0.14,0.13,0.13,3316000,[0 0]
20080403,0.13,0.13,0.13,0.13,5551000,[0 0]
20080404,0.14,0.14,0.13,0.13,3395000,[0 0]
20080407,0.13,0.13,0.12,0.13,4219000,[1 0]
20080408,0.13,0.13,0.12,0.12,304000,[1 0]
20080409,0.13,0.14,0.12,0.13,8921000,[1 0]
20080410,0.13,0.13,0.12,0.12,22179000,[0 1]
20080411,0.12,0.13,0.12,0.13,4098000,[0 0]
20080414,0.12,0.13,0.11,0.12,6876000,[0 0]
20080415,0.13,0.13,0.11,0.12,4225000,[0 0]
20080416,0.12,0.13,0.11,0.13,2246000,[1 0]
20080417,0.12,0.13,0.12,0.13,4831000,[0 0]
20080418,0.13,0.13,0.12,0.13,1972000,[0 1]
20080422,0.12,0.13,0.12,0.12,9513000,[0 0]
20080423,0.13,0.13,0.12,0.12,1727000,[0 0]
20080424,0.13,0.13,0.12,0.12,5389000,[1 1]
20080425,0.12,0.13,0.12,0.12,4601000,[0 0]
20080428,0.12,0.13,0.12,0.12,2319000,[1 0]
20080429,0.12,0.13,0.12,0.12,4019000,[0 0]
20080430,0.13,0.13,0.12,0.12,5213000,[0 0]
20080514,0.14,0.14,0.13,0.13,5002000,[0 1]
20080515,0.14,0.14,0.13,0.14,9632000,[0 0]
20080516,0.13,0.14,0.13,0.14,10029000,[0 0]
20080519,0.14,0.14,0.13,0.13,10518000,[0 0]
20080520,0.14,0.14,0.13,0.13,4807000,[0 1]
20080521,0.13,0.14,0.13,0.13,14161000,[0 1]
20080523,0.13,0.14,0.13,0.13,5768000,[0 1]
20080526,0.13,0.14,0.12,0.13,17168000,[0 0]
20080527,0.13,0.14,0.12,0.13,11829000,[0 1]
20080528,0.12,0.13,0.12,0.13,6612000,[0 0]
20080529,0.13,0.13,0.12,0.13,11850000,[0 0]
20080530,0.13,0.14,0.13,0.14,6033000,[0 0]
20080602,0.13,0.14,0.12,0.13,8611000,[0 0]
20080603,0.13,0.13,0.12,0.13,5323000,[1 0]
20080604,0.12,0.13,0.12,0.12,5211000,[0 0]
20080605,0.13,0.13,0.12,0.12,5749000,[1 0]
20080606,0.12,0.13,0.12,0.13,20408000,[1 0]
20080609,0.13,0.13,0.12,0.13,11180000,[0 0]
20080610,0.12,0.13,0.12,0.12,42873000,[1 0]
20080611,0.12,0.13,0.12,0.13,8441000,[0 0]
20080612,0.13,0.13,0.12,0.12,7028000,[0 1]
20080613,0.12,0.12,0.12,0.12,2352000,[0 0]
20080616,0.12,0.13,0.12,0.13,3161000,[0 0]
20080617,0.12,0.13,0.11,0.13,11892000,[1 0]
20080618,0.12,0.13,0.11,0.12,7608000,[1 0]
20080619,0.13,0.13,0.12,0.12,1509000,[0 0]
20080620,0.12,0.12,0.11,0.12,5711000,[0 0]
20080623,0.12,0.12,0.11,0.12,1273000,[1 0]
20080624,0.11,0.11,0.11,0.11,24750000,[0 0]
20080625,0.11,0.11,0.1,0.11,45366000,[0 0]
20080626,0.11,0.11,0.1,0.1,5182000,[1 0]
20080627,0.1,0.11,0.1,0.1,11414000,[1 0]
20080630,0.1,0.11,0.1,0.1,2331000,[0 1]
20080701,0.1,0.1,0.09,0.09,25406000,[0 1]
20080702,0.09,0.1,0.07,0.08,21090000,[0 0]
20080703,0.08,0.08,0.06,0.06,20438000,[0 0]
20080704,0.07,0.09,0.07,0.08,27781000,[0 0]
20080707,0.09,0.09,0.08,0.09,14374000,[0 1]
20080708,0.08,0.09,0.07,0.08,4188000,[0 0]
20080710,0.08,0.08,0.07,0.07,3417000,[1 0]
20080711,0.08,0.08,0.07,0.08,2968000,[0 0]
20080714,0.08,0.08,0.07,0.08,926000,[0 1]
20080715,0.08,0.08,0.07,0.08,10358000,[1 0]
20080716,0.08,0.09,0.07,0.08,6536000,[0 0]
20080717,0.08,0.08,0.08,0.08,2960000,[0 0]
20080718,0.08,0.08,0.07,0.08,2450000,[0 0]
20080721,0.08,0.08,0.07,0.08,1642000,[0 0]
20080722,0.07,0.08,0.07,0.08,744000,[0 0]
20080723,0.07,0.08,0.07,0.08,2949000,[0 0]
20080724,0.08,0.08,0.07,0.08,3394000,[1 0]
20080725,0.07,0.08,0.07,0.07,2149000,[0 0]
20080728,0.07,0.08,0.07,0.08,3062000,[0 0]
20080729,0.07,0.08,0.07,0.08,2837000,[0 0]
20080730,0.08,0.08,0.07,0.08,5317000,[0 0]
20080731,0.07,0.08,0.07,0.08,1915000,[1 0]
20080801,0.07,0.08,0.07,0.08,1915000,[0 1]
20080804,0.07,0.08,0.07,0.07,12874000,[0 1]
20080805,0.07,0.08,0.07,0.07,2569000,[0 0]
20080806,0.07,0.07,0.07,0.07,1288000,[0 0]
20080807,0.07,0.07,0.06,0.07,7018000,[0 0]
20080808,0.07,0.07,0.06,0.06,1018000,[0 0]
20080811,0.07,0.07,0.06,0.06,139000,[0 0]
20080812,0.06,0.07,0.06,0.07,4095000,[0 0]
20080813,0.06,0.07,0.06,0.06,4927000,[0 0]
20080814,0.06,0.07,0.06,0.06,2714000,[0 0]
20080815,0.07,0.07,0.06,0.06,591000,[0 1]
20080818,0.06,0.06,0.06,0.06,954000,[0 0]
20080819,0.06,0.07,0.06,0.06,661000,[0 0]
20080820,0.07,0.07,0.06,0.07,1606000,[1 0]
20080821,0.07,0.07,0.06,0.06,247000,[0 0]
20080822,0.06,0.07,0.06,0.07,378000,[0 1]
20080825,0.07,0.07,0.06,0.06,874000,[0 0]
20080826,0.06,0.07,0.06,0.06,2793000,[0 0]
20080827,0.07,0.07,0.06,0.06,7597000,[0 0]
20080828,0.07,0.07,0.06,0.07,662000,[0 0]
20080829,0.07,0.07,0.06,0.07,853000,[0 0]
20080901,0.06,0.07,0.06,0.06,505000,[0 0]
20080902,0.07,0.07,0.06,0.06,2543000,[1 0]
20080903,0.06,0.07,0.06,0.07,571000,[0 0]
20080904,0.06,0.07,0.06,0.06,13498000,[0 0]
20080905,0.06,0.07,0.05,0.06,2015000,[0 0]
20080908,0.06,0.07,0.06,0.06,2757000,[1 0]
20080909,0.06,0.06,0.05,0.06,453000,[0 0]
20080910,0.06,0.06,0.05,0.06,1081000,[1 0]
20080911,0.06,0.06,0.05,0.05,1591000,[0 1]
20080912,0.06,0.07,0.06,0.07,4372000,[0 0]
20080915,0.06,0.07,0.06,0.06,7938000,[1 1]
20080916,0.06,0.06,0.05,0.06,2223000,[0 1]
20080917,0.05,0.06,0.05,0.05,4406000,[0 0]
20080918,0.06,0.06,0.05,0.05,2134000,[1 1]
20080919,0.06,0.06,0.05,0.06,4515000,[0 1]
20080922,0.06,0.06,0.05,0.05,1960000,[1 0]
20080923,0.06,0.06,0.05,0.05,274000,[1 0]
20080924,0.06,0.06,0.05,0.05,275000,[0 1]
20080925,0.05,0.06,0.05,0.05,10617000,[0 0]
20080926,0.05,0.06,0.05,0.06,2120000,[0 1]
20080929,0.05,0.06,0.04,0.05,10755000,[1 0]
20080930,0.05,0.06,0.05,0.06,2184000,[0 0]
