date,open,max,min,close,volume,y
20070329,7.98,7.98,7.0,7.0,24473326100,[1 0]
20070330,7.1,7.79,6.55,7.6,9710798400,[1 0]
20070402,7.5,7.65,7.35,7.5,3167439400,[1 1]
20070403,7.54,7.7,7.35,7.7,1198879300,[0 0]
20070404,7.56,7.7,7.48,7.55,1271053700,[1 0]
20070405,7.51,7.58,7.47,7.58,383348000,[0 0]
20070409,7.51,7.7,7.51,7.7,688213000,[1 1]
20070410,7.58,7.6,7.52,7.58,568309900,[1 0]
20070411,7.43,7.56,7.29,7.45,1420868600,[1 1]
20070412,7.4,7.8,7.38,7.8,2091702400,[0 1]
20070413,7.7,7.9,7.62,7.8,2065317900,[0 1]
20070416,7.7,7.89,7.7,7.75,2489649200,[1 1]
20070417,7.79,7.79,7.63,7.74,885867000,[0 0]
20070418,7.61,7.75,7.61,7.75,1551247900,[0 0]
20070419,7.7,7.8,7.46,7.8,892084100,[1 1]
20070420,7.7,8.0,7.67,8.0,1073529300,[0 0]
20070423,7.91,8.0,7.9,7.9,675124600,[1 0]
20070424,7.84,7.95,7.84,7.95,988003900,[0 1]
20070425,7.9,8.0,7.85,8.0,828682400,[0 1]
20070426,7.9,7.95,7.73,7.8,1201741600,[0 1]
20070427,7.68,8.0,7.52,8.0,2725590100,[1 1]
20070430,7.8,7.91,7.8,7.8,340942600,[1 1]
20070502,7.81,7.95,7.8,7.85,863346800,[0 1]
20070503,7.85,7.96,7.69,7.95,998710600,[0 1]
20070504,7.95,8.0,7.8,8.0,555254500,[0 1]
20070507,8.0,8.01,7.95,7.98,355817600,[0 1]
20070508,7.98,8.05,7.75,7.89,1098453400,[0 0]
20070509,7.8,7.88,7.64,7.64,366921000,[0 1]
20070510,7.75,7.79,7.29,7.45,708025200,[1 1]
20070511,7.5,7.6,7.5,7.59,223617200,[1 0]
20070514,7.64,7.7,7.4,7.6,735414300,[0 1]
20070515,7.55,7.68,7.51,7.6,711191500,[1 1]
20070516,7.58,7.65,7.37,7.45,301331300,[1 0]
20070517,7.49,7.5,7.21,7.5,1404822300,[0 1]
20070518,7.57,7.64,7.26,7.3,1610584800,[0 1]
20070521,7.35,7.39,7.03,7.03,1830794900,[0 1]
20070522,7.09,7.18,7.05,7.05,745368700,[0 0]
20070523,7.14,7.14,6.93,6.96,551396500,[1 0]
20070524,6.98,7.1,6.97,7.1,274089700,[1 1]
20070525,7.1,7.14,7.01,7.05,477698200,[0 1]
20070528,7.13,7.39,7.06,7.31,880212300,[1 1]
20070529,7.7,7.7,7.37,7.39,6665875800,[0 0]
20070530,7.38,7.8,7.17,7.8,7672257700,[1 0]
20070531,8.0,8.18,7.93,8.1,8590854500,[0 0]
20070601,8.25,8.94,8.25,8.4,8141033100,[1 0]
20070604,8.5,8.8,7.65,7.65,6798414800,[0 1]
20070605,8.05,8.24,8.0,8.08,8250953900,[1 1]
20070606,8.08,8.18,8.0,8.0,2957227800,[0 0]
20070608,7.8,8.09,7.61,8.09,3606570300,[1 1]
20070611,8.14,8.2,7.9,7.94,882184700,[1 0]
20070612,7.89,8.09,7.77,7.99,1499713500,[0 0]
20070613,7.9,8.0,7.83,7.85,762418400,[0 0]
20070614,7.8,7.95,7.8,7.87,3107638500,[1 0]
20070615,7.9,7.95,7.45,7.48,2382707400,[1 0]
