date,open,max,min,close,volume,y
20070329,7.85,7.85,6.52,6.94,199394298,[1 0]
20070330,7.0,7.77,6.53,7.59,59621798,[1 0]
20070402,7.2,7.59,7.2,7.3,10810568,[1 0]
20070403,7.37,7.68,7.32,7.68,14369006,[1 0]
20070404,7.4,7.68,7.4,7.52,8250263,[1 1]
20070405,7.5,7.56,7.4,7.55,7485267,[0 1]
20070409,7.56,7.64,7.44,7.53,12053202,[1 1]
20070410,7.55,7.59,7.5,7.58,5608710,[1 0]
20070411,7.4,7.55,7.27,7.4,7281839,[0 1]
20070412,7.41,7.75,7.36,7.7,15882110,[0 1]
20070413,7.51,7.9,7.51,7.8,10345627,[0 1]
20070416,7.69,7.82,7.48,7.6,6260953,[1 0]
20070417,7.69,7.75,7.64,7.7,6215702,[1 0]
20070418,7.69,7.71,7.61,7.71,5095292,[0 0]
20070419,7.65,7.79,7.5,7.79,7017861,[1 0]
20070420,7.7,7.95,7.66,7.95,11039787,[1 0]
20070423,7.91,7.98,7.8,7.93,5776496,[1 0]
20070424,7.85,7.91,7.79,7.79,4048800,[0 0]
20070425,7.9,7.98,7.87,7.98,8925539,[0 1]
20070426,7.9,7.95,7.74,7.88,3824000,[1 1]
20070427,7.73,7.96,7.33,7.96,2374917,[1 1]
20070430,7.75,7.9,7.75,7.75,1804215,[1 1]
20070502,7.8,7.91,7.75,7.77,4033621,[0 1]
20070503,7.8,7.95,7.69,7.95,4498073,[0 0]
20070504,7.9,7.99,7.76,7.87,8521455,[0 1]
20070507,7.98,8.0,7.81,7.91,4647370,[0 0]
20070508,7.98,8.01,7.77,7.86,9112197,[0 0]
20070509,7.82,7.83,7.68,7.68,1359601,[0 1]
20070510,7.75,7.75,7.31,7.43,1880658,[0 1]
20070511,7.51,7.59,7.41,7.54,1550208,[1 0]
20070514,7.59,7.65,7.37,7.48,1739340,[0 1]
20070515,7.6,7.6,7.5,7.59,1425876,[1 1]
20070516,7.59,7.6,7.35,7.47,1667827,[1 0]
20070517,7.47,7.5,7.23,7.5,2112691,[0 1]
20070518,7.55,7.64,7.26,7.3,1985364,[0 1]
20070521,7.33,7.35,7.12,7.23,2595593,[0 1]
20070522,7.12,7.2,7.05,7.06,1886201,[0 0]
20070523,7.18,7.18,6.92,6.96,2421500,[1 0]
20070524,6.98,7.1,6.95,7.0,1333730,[1 1]
20070525,7.1,7.15,7.02,7.04,888490,[0 1]
