date,open,max,min,close,volume,y
20070412,8.05,8.39,8.01,8.3,4351216300,[0 0]
20070413,8.2,8.25,8.01,8.2,370758300,[0 0]
20070416,8.05,8.16,8.05,8.15,95270800,[1 0]
20070417,8.15,8.2,8.14,8.15,57114400,[0 1]
20070418,8.06,8.11,8.05,8.1,35704000,[0 0]
20070419,8.1,8.19,8.09,8.15,54347800,[1 0]
20070420,8.1,8.2,8.1,8.15,179338900,[1 1]
20070423,8.14,8.31,8.1,8.15,280532400,[0 0]
20070424,8.02,8.35,8.02,8.3,166872900,[0 1]
20070425,8.2,8.3,8.15,8.25,663293200,[0 1]
20070426,8.07,8.25,8.05,8.25,16180600,[1 1]
20070427,8.25,8.3,8.25,8.3,18599200,[0 0]
20070430,8.25,8.3,8.25,8.3,5224600,[1 1]
20070502,8.3,8.5,8.3,8.5,132891700,[1 0]
20070503,8.5,8.8,8.4,8.8,338971200,[1 1]
20070504,8.8,8.8,8.65,8.66,124462200,[0 0]
20070507,8.65,8.65,8.55,8.55,1295500,[1 1]
20070508,8.48,8.55,8.4,8.4,2286800,[0 0]
20070509,8.25,8.55,8.25,8.5,11437700,[1 0]
20070510,8.3,8.5,8.3,8.3,10224300,[0 1]
20070511,8.3,8.4,8.15,8.4,3642500,[0 1]
20070514,8.35,8.42,8.35,8.42,2852700,[0 0]
20070515,8.26,8.5,8.26,8.5,6422000,[0 0]
20070516,8.5,8.5,8.15,8.4,77474100,[0 0]
20070517,8.59,8.59,8.35,8.35,37996900,[0 1]
20070518,8.5,8.6,8.5,8.6,50595000,[1 0]
20070521,8.7,9.19,8.6,9.1,716135400,[1 0]
20070522,9.12,9.8,9.12,9.7,721744600,[1 1]
20070523,9.75,10.1,9.71,10.0,212707400,[1 0]
20070524,10.1,11.0,9.8,10.8,1532378000,[1 1]
20070525,11.1,12.0,11.0,12.0,1200905300,[0 0]
20070528,12.0,12.0,11.2,11.39,47314800,[0 0]
20070529,11.5,11.5,10.9,10.9,40010400,[1 0]
20070530,10.9,11.42,10.6,11.42,20707000,[1 1]
20070531,11.4,11.51,11.4,11.51,1435847200,[1 0]
20070601,11.3,11.51,11.0,11.3,377193200,[0 0]
20070604,11.1,11.2,11.0,11.2,15725100,[0 0]
20070605,11.2,11.61,11.2,11.51,59528900,[1 0]
20070606,11.2,11.29,11.0,11.2,453081100,[0 0]
20070608,10.76,11.2,10.75,11.2,8777000,[1 0]
20070611,11.2,11.99,11.2,11.8,1550825400,[1 0]
20070612,11.98,11.98,11.5,11.5,4961800,[1 0]
20070613,11.8,12.0,11.8,11.9,66878200,[0 1]
20070614,11.9,11.9,11.85,11.9,42720500,[0 1]
20070615,11.2,11.89,11.2,11.5,198390300,[0 0]
20070618,11.5,11.7,11.45,11.45,57249700,[0 1]
20070619,11.2,11.6,11.2,11.3,24011000,[1 0]
20070620,11.0,11.2,11.0,11.2,280211600,[0 0]
20070621,11.2,11.2,10.85,10.9,336587600,[1 1]
20070622,11.0,11.0,10.75,10.75,194822000,[1 0]
20070625,10.75,10.77,10.75,10.76,861100,[0 0]
20070626,10.8,11.1,10.75,10.86,46390900,[1 0]
20070627,10.81,10.81,10.55,10.72,116437300,[0 1]
20070628,10.75,11.4,10.75,11.4,171523400,[0 1]
20070629,11.2,11.4,11.2,11.25,590776000,[1 0]
20070702,11.2,11.89,11.2,11.6,29798000,[0 0]
20070703,11.8,12.11,11.8,12.0,281576900,[1 1]
20070704,11.79,12.15,11.79,12.15,35151000,[0 1]
20070705,12.15,12.2,11.8,11.81,1548600,[1 0]
20070706,12.15,12.15,12.0,12.0,34774500,[0 1]
20070710,12.0,12.2,11.95,12.2,3245673600,[1 0]
20070711,12.0,12.0,12.0,12.0,5280000,[0 0]
20070712,12.1,12.1,11.99,12.0,2158500,[0 0]
20070713,11.7,11.7,11.7,11.7,33228000,[0 1]
20070716,11.2,11.51,11.2,11.51,1256200,[0 0]
20070717,11.5,11.98,11.5,11.98,625619700,[0 0]
20070718,11.5,11.55,11.5,11.55,10394500,[0 0]
20070719,11.56,11.93,11.5,11.93,601495600,[0 0]
20070720,11.6,11.99,11.6,11.95,101222000,[0 1]
20070723,11.97,12.5,11.97,12.3,132350900,[1 0]
20070724,12.11,12.6,12.11,12.16,108110900,[1 0]
20070725,12.0,12.15,12.0,12.05,187814000,[0 0]
20070726,11.97,11.97,11.7,11.79,17575700,[0 0]
20070727,11.7,11.7,10.75,11.6,374569000,[0 1]
20070730,11.4,11.4,11.4,11.4,7980000,[0 0]
20070731,11.5,11.6,11.0,11.45,24481900,[1 0]
20070801,11.4,11.4,11.0,11.0,68303200,[0 1]
20070802,11.0,11.0,10.99,11.0,109008900,[1 0]
20070803,10.75,11.0,10.75,10.8,299194500,[0 0]
20070806,10.8,11.9,10.8,11.9,11636000,[1 1]
20070807,11.7,11.9,11.7,11.9,5103300,[1 0]
20070808,12.0,12.1,11.99,12.0,370449500,[1 0]
20070809,12.0,12.0,11.6,11.6,24378000,[0 1]
20070810,11.5,12.55,11.5,12.55,157554000,[1 0]
20070813,12.5,12.5,12.0,12.0,1236483500,[0 1]
20070814,11.75,11.75,11.75,11.75,179422500,[0 1]
20070815,11.74,12.0,11.74,11.9,44865600,[0 0]
20070817,11.8,11.8,11.04,11.04,34002500,[1 0]
20070820,11.04,11.04,9.55,9.9,53543200,[1 1]
20070821,9.75,9.75,9.41,9.44,2851000,[1 0]
20070822,10.05,10.05,9.4,9.4,164125000,[1 1]
20070823,9.5,9.5,9.09,9.1,645480400,[1 0]
20070824,9.2,9.5,9.05,9.25,1257842000,[0 0]
20070827,9.25,9.7,9.25,9.7,56836100,[1 0]
20070828,9.65,9.65,9.24,9.25,83477900,[0 1]
20070829,9.25,9.25,9.2,9.2,152861500,[1 0]
20070830,9.19,9.3,9.15,9.15,7131900,[0 1]
20070831,9.12,9.6,8.78,9.6,577890600,[1 0]
20070903,9.6,9.78,9.6,9.78,3098100,[0 0]
20070904,9.85,10.0,9.85,9.85,84696900,[1 1]
20070905,9.86,9.86,9.75,9.8,243772400,[0 1]
20070906,9.85,9.85,9.75,9.75,109691500,[1 0]
20070910,9.75,9.75,9.1,9.2,76473100,[0 0]
20070911,9.25,9.26,9.25,9.25,57719700,[0 1]
20070912,9.25,9.5,9.25,9.25,69192500,[1 0]
20070913,9.3,9.4,9.1,9.1,81540500,[0 0]
20070914,9.25,9.3,9.25,9.3,1390000,[0 0]
20070917,9.25,9.25,9.1,9.1,195381200,[0 0]
20070918,9.1,9.25,9.05,9.2,148115100,[0 0]
20070919,9.2,9.8,9.2,9.8,228072100,[0 0]
20070920,9.8,9.8,9.67,9.67,106727500,[1 1]
20070921,10.0,10.05,9.8,10.0,51177000,[1 1]
20070924,10.0,10.0,9.81,10.0,55309700,[0 1]
20070925,9.9,9.9,9.83,9.83,126482100,[0 0]
20070926,9.85,10.1,9.81,9.95,36177600,[1 0]
20070927,10.0,10.0,9.55,9.57,6037300,[0 1]
20070928,9.7,9.94,9.59,9.77,1661600,[1 1]
20071001,10.0,10.0,9.5,9.9,1463500,[0 1]
20071002,9.5,9.5,9.49,9.5,1329800,[0 1]
20071003,9.3,9.5,9.05,9.4,378556300,[0 0]
20071004,9.5,9.5,9.4,9.49,16500500,[1 1]
20071005,9.5,10.2,9.5,9.95,32656600,[0 0]
20071008,9.55,9.95,9.51,9.51,2032400,[0 1]
20071009,9.51,9.65,9.35,9.45,10102800,[0 1]
20071010,9.65,9.65,9.25,9.45,177040200,[1 0]
20071011,9.45,9.5,9.0,9.0,2036977000,[1 0]
20071015,9.5,9.5,8.99,9.0,123320900,[1 0]
20071016,9.0,9.0,9.0,9.0,19620000,[1 1]
20071017,9.2,9.2,9.0,9.2,113623600,[0 1]
20071018,9.19,9.2,9.0,9.1,33019600,[0 0]
20071019,9.0,9.0,9.0,9.0,4500000,[1 0]
20071022,8.99,9.0,8.99,9.0,15029500,[1 1]
20071023,9.0,9.1,8.99,9.0,601670900,[1 1]
20071024,8.81,8.81,8.4,8.7,12786700,[1 1]
20071025,8.7,8.7,8.25,8.25,3035200,[1 0]
20071026,8.11,8.5,8.11,8.17,3071100,[0 0]
20071029,8.18,8.2,8.0,8.0,13135800,[0 1]
20071030,8.2,8.55,8.0,8.0,180505000,[0 1]
20071031,8.49,8.65,8.2,8.2,30357400,[0 0]
20071101,8.01,8.45,8.0,8.45,27496900,[1 0]
20071105,8.4,8.4,7.81,7.81,56435700,[0 0]
20071106,8.0,8.28,8.0,8.28,20484300,[0 0]
20071107,8.27,8.28,8.01,8.01,11896900,[1 1]
20071108,8.02,8.02,8.0,8.01,73728800,[1 0]
20071109,8.02,8.03,7.6,7.8,398664400,[1 0]
20071112,7.84,7.84,7.49,7.49,8272900,[0 1]
20071113,7.35,7.35,7.35,7.35,8251771500,[1 0]
20071114,7.36,7.36,5.72,6.1,3848968700,[1 0]
20071116,6.09,6.69,6.09,6.5,392682500,[0 1]
20071119,6.53,6.65,6.2,6.5,106562800,[0 0]
20071121,6.49,6.49,6.1,6.15,74667500,[1 0]
20071122,6.29,6.3,6.15,6.3,13274900,[0 1]
