date,open,max,min,close,volume,y
20070412,8.02,8.36,8.0,8.15,82367224,[1 0]
20070413,8.2,8.24,8.02,8.18,10086327,[1 1]
20070416,8.1,8.15,8.05,8.05,4527965,[1 1]
20070417,8.15,8.18,8.1,8.1,2511754,[0 1]
20070418,8.06,8.11,8.04,8.11,1752544,[0 1]
20070419,8.0,8.15,7.96,8.15,1784449,[1 0]
20070420,8.1,8.16,8.09,8.16,1927607,[1 1]
20070423,8.1,8.3,8.01,8.16,2975189,[0 0]
20070424,8.0,8.31,8.0,8.31,2492914,[0 1]
20070425,8.2,8.32,8.03,8.2,985067,[0 1]
20070426,8.05,8.25,7.9,8.25,281050,[0 1]
20070427,8.24,8.3,8.24,8.3,552646,[0 1]
20070430,8.18,8.31,8.18,8.3,661798,[1 1]
20070502,8.28,8.42,8.1,8.42,1721573,[1 1]
20070503,8.45,8.7,8.4,8.7,1405790,[0 1]
20070504,8.65,8.8,8.56,8.56,842902,[0 0]
20070507,8.5,8.55,8.5,8.55,191325,[0 1]
20070508,7.92,8.5,7.92,7.93,273696,[0 0]
20070509,8.25,8.55,8.24,8.55,470876,[1 0]
20070510,8.35,8.45,8.11,8.35,249450,[1 0]
20070511,8.3,8.4,8.11,8.4,245470,[1 1]
20070514,8.35,8.4,8.35,8.4,159319,[1 0]
20070515,8.01,8.5,8.01,8.5,297796,[1 0]
20070516,8.2,8.21,8.2,8.21,82025,[1 1]
20070517,8.4,8.5,8.4,8.5,509150,[0 0]
20070518,8.0,8.6,8.0,8.6,184975,[0 1]
20070521,8.6,9.12,8.6,9.12,1822533,[1 1]
20070522,9.12,9.86,9.12,9.86,734637,[0 1]
20070523,9.92,10.2,9.49,9.95,524915,[0 1]
20070524,9.9,10.95,9.8,10.9,1459996,[0 0]
20070525,11.2,12.0,11.1,12.0,1385140,[1 1]
20070528,12.09,12.22,11.4,11.7,647725,[0 1]
20070529,11.4,11.4,11.4,11.4,85500,[1 0]
20070530,10.6,11.0,10.6,11.0,230926,[1 0]
20070531,11.4,11.5,11.01,11.3,310857,[0 0]
20070601,11.3,11.49,10.71,11.3,516999,[0 1]
20070604,11.0,11.2,11.0,11.2,276595,[0 0]
20070605,11.25,11.7,11.05,11.7,717500,[1 1]
20070606,11.51,11.51,11.0,11.0,274706,[0 1]
20070608,10.51,11.05,10.0,11.05,115542,[0 1]
20070611,11.2,11.75,10.61,10.61,418715,[0 0]
20070613,11.32,11.32,11.32,11.32,24904,[1 1]
20070614,11.5,11.5,11.5,11.5,1150,[0 0]
20070615,11.6,11.9,11.5,11.8,301830,[1 1]
20070618,11.5,11.6,11.45,11.45,167120,[1 0]
20070619,10.11,11.6,10.11,11.6,247608,[1 0]
20070620,11.0,11.94,10.21,10.21,336114,[1 1]
20070621,11.0,11.0,10.9,10.9,38250,[0 1]
20070622,11.1,11.1,10.8,10.95,98775,[0 1]
20070625,10.98,10.98,10.77,10.77,11868,[1 0]
20070626,10.76,10.76,10.0,10.75,201232,[1 0]
20070628,10.7,11.19,10.7,10.75,132470,[0 0]
20070629,11.2,11.2,11.1,11.1,101510,[0 1]
20070702,11.25,11.9,11.11,11.11,202695,[0 1]
20070703,11.7,12.1,11.7,12.1,680800,[1 0]
20070704,12.05,12.05,11.9,11.95,202010,[0 0]
20070710,11.9,12.0,11.9,12.0,351580,[1 0]
20070711,11.73,12.0,11.73,12.0,179055,[1 0]
20070712,12.1,12.1,12.1,12.1,157180,[0 0]
20070713,11.65,11.65,11.61,11.61,174158,[0 1]
20070716,11.45,11.45,11.45,11.45,85875,[0 1]
20070717,11.5,11.6,11.44,11.5,115010,[0 1]
20070718,11.9,11.9,11.9,11.9,1190,[0 0]
20070719,11.6,11.9,11.59,11.9,146268,[0 0]
20070720,11.65,12.0,11.65,12.0,346227,[1 1]
20070723,11.99,12.75,11.99,12.75,930112,[0 0]
20070724,12.29,12.3,12.11,12.11,160777,[1 0]
