date,open,max,min,close,volume,y
20100422,8.0,8.09,7.7,8.0,2561020100,[1 0]
20100423,8.01,8.05,8.01,8.02,303765700,[0 0]
20100426,8.0,8.03,7.8,8.01,363034600,[1 0]
20100427,8.0,8.0,7.91,7.95,739725500,[0 0]
20100428,8.0,8.0,7.9,7.95,185060400,[0 0]
20100429,7.96,8.37,7.96,8.37,297760000,[0 1]
20100430,8.05,8.33,8.0,8.33,267926100,[0 1]
20100503,8.25,8.25,8.08,8.09,241900600,[0 0]
20100504,8.1,8.1,7.96,8.0,1083194500,[1 0]
20100505,8.0,8.0,7.95,7.96,408664300,[0 0]
20100506,7.97,7.97,7.8,7.8,546763000,[0 1]
20100507,7.8,7.81,7.75,7.8,295904400,[0 1]
20100510,7.99,8.34,7.99,8.2,236321800,[0 0]
20100511,8.2,8.2,8.07,8.07,1942900,[1 0]
20100512,8.0,8.25,8.0,8.25,15403900,[1 1]
20100513,8.08,8.25,8.07,8.2,24040400,[0 0]
20100514,8.1,8.17,7.9,8.1,243090100,[1 0]
20100517,8.18,8.2,8.01,8.15,84195500,[0 1]
20100518,8.0,8.15,8.0,8.15,60776400,[1 0]
20100519,8.15,8.15,8.0,8.0,258247500,[0 0]
20100520,8.0,8.0,7.95,7.95,703032900,[0 1]
20100521,7.96,7.96,7.8,7.8,34828500,[1 0]
20100524,7.8,7.96,7.8,7.85,40100100,[0 1]
20100525,7.6,7.6,7.38,7.5,44863800,[0 1]
20100526,7.7,7.7,7.35,7.55,84557200,[1 1]
20100527,7.55,7.65,7.5,7.5,297222900,[0 1]
20100528,7.4,7.4,7.4,7.4,444000,[0 1]
20100531,7.45,7.9,7.45,7.9,8421000,[1 0]
20100601,7.89,7.9,7.78,7.78,28043300,[0 0]
20100602,7.9,7.9,7.85,7.85,552000,[0 1]
20100604,7.85,8.11,7.81,8.05,50038500,[0 1]
20100607,8.0,8.05,8.0,8.05,84738300,[0 1]
20100608,7.9,7.91,7.85,7.85,7958600,[1 0]
20100609,7.9,8.09,7.9,8.09,275759800,[0 0]
20100610,8.0,8.0,8.0,8.0,800000,[0 0]
20100611,8.09,8.09,7.75,7.75,1794000,[1 0]
20100614,8.0,8.05,8.0,8.05,4105000,[0 1]
20100615,8.0,8.08,8.0,8.06,7826800,[1 0]
20100616,8.06,8.06,8.06,8.06,322400,[1 0]
20100617,7.95,7.95,7.95,7.95,314979000,[0 1]
20100618,7.95,7.95,7.95,7.95,193582500,[0 0]
20100621,8.06,8.06,7.95,7.95,3658200,[0 0]
20100622,8.06,8.06,7.95,8.0,290095800,[1 1]
20100623,8.0,8.51,8.0,8.45,43814100,[0 0]
20100624,8.45,8.45,8.1,8.2,228392600,[0 0]
20100625,8.3,8.3,8.2,8.2,12199000,[1 1]
20100628,8.29,8.3,8.2,8.3,10490400,[1 0]
20100629,8.3,8.3,8.02,8.07,817300,[1 0]
20100630,8.2,8.3,8.11,8.2,392359100,[0 0]
20100701,8.11,9.0,8.11,8.45,54534600,[1 1]
20100702,8.7,9.0,8.43,8.7,82210600,[1 1]
20100705,8.5,8.5,8.35,8.35,31990200,[0 1]
20100706,8.52,8.55,8.48,8.52,43170300,[0 0]
20100707,8.45,8.54,8.45,8.45,92110600,[0 0]
20100708,8.54,8.69,8.5,8.55,173209100,[1 1]
20100712,8.42,8.65,8.42,8.65,13396800,[0 0]
20100713,8.7,8.7,8.6,8.6,12208000,[1 1]
20100714,8.6,8.6,8.51,8.51,108443300,[0 0]
20100715,8.45,8.45,8.45,8.45,8450000,[1 1]
20100716,8.6,8.85,8.41,8.45,1958600,[1 0]
20100719,8.6,8.6,8.54,8.54,1028300,[0 0]
20100720,8.5,8.5,8.41,8.41,61589100,[1 1]
20100721,8.6,8.6,8.45,8.45,3804600,[1 0]
20100722,8.45,8.6,8.4,8.45,151114200,[0 1]
20100723,8.45,8.6,8.39,8.48,21950200,[0 0]
20100726,8.59,8.59,8.4,8.55,137181000,[1 1]
20100727,8.63,8.69,8.4,8.44,67483000,[0 1]
20100728,8.5,8.5,8.4,8.44,104967800,[0 1]
20100729,8.5,8.5,8.25,8.25,35107500,[1 0]
20100730,8.3,8.3,8.2,8.2,169219100,[1 1]
20100802,8.2,8.25,8.1,8.1,79843500,[1 0]
20100803,8.2,8.2,8.19,8.19,12463700,[0 1]
20100804,8.19,8.2,8.15,8.16,1961800,[0 1]
20100805,8.31,8.31,8.14,8.14,215446500,[0 1]
20100806,8.32,8.32,8.13,8.22,82371800,[0 0]
20100809,8.22,8.33,8.22,8.33,101590800,[1 0]
20100810,8.28,8.38,8.1,8.25,518239700,[0 0]
20100811,8.05,8.7,8.05,8.5,128744200,[1 1]
20100812,8.75,8.75,8.5,8.5,2736300,[1 0]
20100813,8.59,8.73,8.5,8.5,280699600,[1 1]
20100816,8.5,8.99,8.5,8.72,94776500,[1 1]
20100817,8.86,8.86,8.58,8.58,78146300,[1 0]
20100818,8.59,8.6,8.4,8.4,11999100,[0 1]
20100819,8.6,8.6,8.4,8.4,88586000,[0 1]
20100820,7.86,8.4,7.86,8.27,66810100,[1 0]
20100823,8.3,8.99,8.3,8.5,53119300,[1 1]
20100824,8.72,8.98,8.5,8.67,91805600,[0 1]
20100825,8.8,8.8,8.5,8.5,53176000,[1 0]
20100826,8.5,8.69,8.45,8.5,168261500,[0 1]
20100827,8.5,8.5,8.5,8.5,12920000,[0 0]
20100830,8.4,8.42,8.36,8.36,13356400,[1 0]
20100831,8.55,8.55,8.48,8.5,67277900,[1 0]
20100901,8.75,8.75,8.6,8.68,216793700,[1 1]
20100902,8.7,8.79,8.6,8.69,154155800,[0 1]
20100903,8.7,8.79,8.61,8.61,50285100,[0 0]
20100906,8.79,8.79,8.69,8.69,16077500,[0 0]
20100908,8.54,8.54,8.5,8.5,58346600,[0 0]
20100909,8.55,8.55,8.35,8.5,95526000,[0 0]
20100910,8.48,8.48,8.3,8.45,26459600,[0 0]
20100913,8.36,8.55,8.36,8.5,1869100,[1 0]
20100914,8.78,8.78,8.49,8.61,22563500,[0 0]
20100915,8.79,8.79,8.6,8.65,321522400,[0 0]
20100916,8.65,8.82,8.64,8.75,52262100,[1 0]
20100917,8.83,8.86,8.63,8.63,225000300,[0 1]
20100920,8.85,8.85,8.65,8.65,3043300,[0 0]
20100921,8.7,8.7,8.6,8.65,81890500,[0 1]
20100922,8.7,8.77,8.65,8.65,629702200,[1 0]
20100923,8.84,8.84,8.6,8.65,30282500,[0 0]
20100924,8.7,8.7,8.5,8.5,5220700,[1 0]
20100927,8.69,8.69,8.51,8.51,16913500,[0 0]
20100928,8.6,8.63,8.52,8.52,5559500,[0 0]
20100929,8.5,8.6,8.35,8.5,97503700,[1 0]
20100930,8.42,8.42,8.21,8.21,88665500,[1 0]
20101001,8.35,8.35,8.3,8.35,23112900,[0 0]
20101004,8.36,8.45,8.34,8.45,88855700,[0 0]
20101005,8.49,8.49,8.34,8.38,60473100,[1 0]
20101006,8.37,8.37,8.34,8.35,43838400,[0 1]
20101007,8.34,8.43,8.3,8.4,227490300,[0 1]
20101008,8.43,8.7,8.43,8.65,48171800,[0 1]
20101011,8.85,8.85,8.68,8.73,19386200,[1 1]
20101013,8.81,8.81,8.7,8.7,463601400,[1 0]
20101014,8.7,8.7,8.64,8.69,66661000,[0 0]
20101015,8.65,8.65,8.6,8.62,176342100,[1 0]
20101018,8.65,8.85,8.65,8.7,962662900,[0 1]
20101019,8.75,8.9,8.53,8.8,239937700,[0 0]
20101020,8.81,9.5,8.74,9.05,347860000,[0 1]
20101021,9.05,9.08,8.89,9.0,41736400,[0 0]
20101022,8.95,9.02,8.94,8.95,190302900,[0 1]
20101025,8.8,8.96,8.75,8.96,77254500,[0 1]
20101026,8.95,8.95,8.78,8.8,62432000,[0 1]
20101027,9.09,9.09,8.6,8.6,94142700,[1 1]
20101028,8.9,8.9,8.67,8.67,4552000,[1 1]
20101029,8.84,9.1,8.7,8.9,200516300,[0 0]
20101101,8.75,8.82,8.6,8.8,42600000,[1 1]
20101103,8.84,9.2,8.84,9.0,373344600,[0 1]
20101104,9.0,9.03,8.95,9.0,628752600,[0 1]
20101105,9.0,9.1,8.95,9.1,126135700,[0 1]
20101108,9.25,9.4,9.07,9.35,61818000,[0 1]
20101109,9.35,9.43,9.15,9.25,103994200,[1 1]
20101110,9.26,9.3,9.2,9.3,151856600,[1 1]
20101111,9.35,9.7,9.3,9.38,352153000,[0 0]
20101112,9.39,10.15,9.39,9.85,666742700,[1 1]
20101116,9.86,9.9,9.65,9.84,140846900,[1 0]
20101117,9.86,10.0,9.8,10.0,782607100,[0 1]
20101118,10.0,10.2,9.9,9.99,590365800,[0 0]
20101119,10.08,10.1,10.02,10.04,259797300,[0 1]
20101122,10.05,10.06,9.8,9.81,774590000,[0 1]
20101123,9.75,9.75,9.37,9.59,91118200,[0 0]
20101124,9.4,9.85,9.4,9.75,301767300,[1 0]
20101125,9.85,9.85,9.7,9.71,214641100,[0 0]
20101126,9.7,10.0,9.7,10.0,168370400,[0 1]
20101129,10.0,10.0,9.83,9.9,165513500,[0 0]
20101130,10.0,10.49,9.89,10.49,540906500,[0 1]
20101201,10.35,10.4,10.15,10.29,223936800,[0 1]
20101202,10.39,10.39,10.0,10.04,137023700,[0 1]
20101203,10.04,10.19,10.0,10.19,339026300,[1 0]
20101206,10.2,10.42,10.2,10.42,296516700,[0 1]
20101207,10.3,10.94,10.3,10.5,128314100,[0 1]
20101208,10.41,10.46,10.1,10.1,135487200,[0 1]
20101209,10.15,10.32,10.08,10.15,181865700,[1 1]
20101210,10.32,10.32,10.07,10.2,313152300,[1 0]
20101213,10.32,10.75,10.21,10.75,45046300,[0 1]
20101214,10.85,10.85,10.51,10.85,140242300,[1 1]
20101215,10.91,11.5,10.71,11.44,406680200,[0 1]
20101216,11.45,11.45,11.2,11.2,101622700,[0 1]
20101217,11.49,11.5,10.8,10.8,218717800,[0 1]
20101220,11.38,11.38,11.0,11.25,182206500,[1 0]
20101221,11.25,11.32,10.9,10.9,327351200,[0 1]
20101222,10.91,11.0,10.5,11.0,37591000,[1 1]
20101223,11.0,11.04,10.98,11.04,34581100,[0 0]
20101227,11.05,11.09,10.95,11.04,661781400,[1 1]
20101228,11.04,11.15,11.03,11.15,253691400,[1 0]
20101229,11.37,11.37,11.1,11.16,44500000,[1 1]
20101230,11.15,11.2,11.05,11.15,204945600,[0 0]
20110103,11.17,11.72,11.16,11.4,104080100,[0 0]
20110104,11.39,11.7,11.34,11.7,3133023300,[0 0]
20110105,11.62,11.64,11.36,11.64,60277900,[0 0]
20110106,11.64,11.64,11.49,11.5,161162300,[1 0]
20110107,11.75,11.75,11.41,11.6,9906200,[1 0]
20110110,11.6,11.6,11.45,11.6,137549100,[1 0]
20110111,11.5,11.55,11.5,11.5,34179500,[1 1]
20110112,11.5,11.9,11.5,11.6,282979400,[1 1]
20110113,11.5,11.55,11.43,11.43,174656400,[1 0]
20110114,11.43,11.55,11.43,11.55,78556000,[0 0]
20110117,11.56,11.56,11.47,11.47,28297200,[0 1]
20110118,11.47,11.69,11.4,11.48,66645500,[1 1]
20110119,11.47,11.7,11.35,11.6,401029800,[1 1]
20110120,11.59,11.59,11.5,11.58,10883300,[0 0]
20110121,11.59,13.0,11.55,12.5,470675300,[0 0]
20110124,12.5,12.65,12.34,12.42,563618800,[0 0]
20110126,12.45,12.45,12.05,12.1,72578300,[1 0]
20110127,12.0,12.17,11.7,12.0,43321500,[1 0]
20110128,12.0,12.0,11.35,11.71,433772100,[1 1]
20110131,11.73,11.73,11.65,11.71,117301700,[1 0]
20110201,11.75,11.75,11.55,11.55,200924000,[1 0]
20110202,11.55,11.6,11.49,11.49,271925400,[1 0]
20110203,11.5,11.55,11.35,11.49,169322500,[1 0]
20110204,11.49,11.55,11.0,11.19,251138300,[0 1]
20110207,11.18,11.2,11.0,11.0,44292700,[0 0]
20110208,11.0,11.45,10.86,11.45,1026063200,[0 1]
20110209,11.44,11.44,11.2,11.4,65197900,[1 1]
20110210,11.3,11.3,11.01,11.12,274609800,[0 1]
20110211,11.12,11.27,10.89,10.98,229647900,[0 1]
20110214,10.95,10.95,10.68,10.72,39972900,[1 0]
20110215,10.72,10.91,10.45,10.5,380184600,[0 0]
20110216,10.41,10.9,10.4,10.7,254919400,[1 0]
20110217,10.7,10.78,10.65,10.67,465851100,[0 0]
20110218,10.66,10.8,10.5,10.63,215683600,[0 1]
20110221,10.65,10.7,10.65,10.69,14100400,[0 1]
20110222,10.66,10.66,10.4,10.5,37286400,[0 1]
20110223,10.5,10.5,10.26,10.48,104781100,[0 1]
20110224,10.47,10.47,9.98,10.2,202268300,[0 0]
20110225,10.35,10.63,10.35,10.58,53911900,[0 0]
20110228,10.79,11.4,10.74,11.2,121913100,[0 1]
20110301,11.2,11.2,10.82,11.2,128556100,[1 0]
20110302,11.2,11.35,10.73,11.2,106846300,[0 1]
20110303,11.3,11.3,10.92,11.0,214828300,[0 0]
20110304,11.0,11.4,10.95,11.4,361650700,[1 1]
20110309,11.4,11.4,11.13,11.17,325864000,[1 1]
20110310,11.17,11.18,11.01,11.09,91988000,[1 0]
20110311,11.09,11.2,10.98,11.0,99283000,[0 1]
20110314,11.01,11.01,10.95,11.0,104276600,[0 1]
20110315,10.87,10.88,10.43,10.85,39118500,[1 0]
20110316,10.85,10.9,10.69,10.9,143028000,[1 0]
20110317,10.88,10.91,10.7,10.76,216154300,[0 0]
20110318,10.81,11.45,10.81,11.45,85740400,[1 1]
20110321,11.5,11.5,11.26,11.45,227804100,[1 0]
20110322,11.3,11.35,11.0,11.0,126897500,[1 0]
20110323,11.0,11.07,10.8,10.99,83337600,[1 0]
20110324,10.99,10.99,10.61,10.61,38856200,[0 0]
20110325,10.55,10.9,10.2,10.2,235800300,[0 0]
20110328,10.4,10.4,9.37,9.75,519448400,[1 0]
20110329,9.75,9.95,9.52,9.71,226653200,[0 1]
20110330,9.76,10.08,9.76,10.0,66031200,[1 1]
20110331,10.1,10.3,9.89,9.89,301860500,[1 0]
20110401,9.95,10.2,9.95,10.0,358860900,[0 0]
20110404,10.0,10.04,9.8,9.81,542404200,[0 0]
20110405,9.82,10.0,9.82,10.0,61408100,[1 0]
20110406,10.0,10.13,10.0,10.03,13571800,[0 0]
20110407,10.04,10.46,10.04,10.35,117502300,[1 0]
20110408,10.34,10.5,10.15,10.5,124556700,[1 0]
20110411,10.89,10.95,10.65,10.85,82867300,[0 0]
20110412,10.82,10.82,10.64,10.8,13176600,[0 0]
20110413,10.79,10.8,10.65,10.8,18511700,[0 1]
20110414,10.79,10.92,10.67,10.7,194931700,[0 0]
20110415,10.7,11.05,10.7,11.0,66040200,[1 0]
20110418,10.95,10.95,10.7,10.9,74105700,[0 1]
20110419,10.9,10.94,10.7,10.89,125141200,[0 1]
20110420,10.94,11.15,10.83,11.15,118783200,[0 1]
20110425,11.14,11.14,10.95,11.09,24646300,[0 0]
20110426,11.08,11.08,10.9,10.92,9639800,[0 0]
20110427,10.93,11.05,10.8,10.91,97599500,[0 0]
20110428,10.91,11.44,10.76,11.25,127874500,[1 1]
20110429,11.24,11.24,10.95,11.15,88784000,[1 1]
20110512,11.25,11.3,11.1,11.1,20633700,[1 1]
20110513,11.05,11.08,10.76,11.0,143096200,[0 1]
20110516,11.0,11.09,10.95,11.03,44802700,[1 1]
20110517,11.03,11.03,10.72,10.72,69408800,[1 0]
20110518,10.71,11.26,10.7,10.77,124187300,[1 0]
20110519,10.78,10.78,10.2,10.3,104212300,[1 1]
20110520,10.29,10.53,10.22,10.53,215473200,[1 1]
20110523,10.4,10.6,10.35,10.6,207118000,[0 1]
20110524,10.6,10.98,10.55,10.84,42267300,[0 1]
20110525,10.81,10.95,10.74,10.95,224604800,[1 0]
20110526,10.9,11.0,10.85,11.0,124396600,[0 0]
20110527,10.91,10.98,10.82,10.82,30069000,[1 0]
20110530,10.81,10.81,10.78,10.8,6803900,[0 0]
20110531,10.85,11.3,10.85,11.2,167725900,[1 0]
20110601,11.2,11.35,11.17,11.29,177790800,[0 1]
20110602,11.17,11.27,11.17,11.25,103936100,[0 0]
20110603,11.24,11.4,11.15,11.4,139764400,[1 0]
20110606,11.5,11.52,11.07,11.23,57542100,[1 0]
20110607,11.6,11.6,11.26,11.5,198577300,[1 0]
20110608,11.5,11.55,11.3,11.35,231447700,[0 1]
20110609,11.5,11.55,11.0,11.49,15746900,[0 1]
20110610,11.51,11.55,11.0,11.15,54173500,[0 0]
20110613,11.38,11.38,11.13,11.21,129817900,[1 0]
20110614,11.38,11.38,11.18,11.25,48619800,[1 0]
20110615,11.29,11.53,11.09,11.4,67847200,[1 1]
20110616,11.4,11.62,11.27,11.45,123471900,[0 0]
20110617,11.45,11.9,11.35,11.5,144872100,[1 0]
20110620,11.27,11.5,11.27,11.3,65016500,[1 0]
20110621,11.27,11.5,11.15,11.15,169703800,[1 1]
20110622,11.3,11.5,11.18,11.2,92657500,[0 0]
20110624,11.2,11.33,11.15,11.32,40926800,[1 0]
20110627,11.5,11.5,11.32,11.5,55798200,[0 1]
20110628,11.5,11.5,11.45,11.5,119108800,[0 0]
20110629,11.5,11.5,11.42,11.47,71626700,[1 1]
20110630,11.5,11.5,11.46,11.5,99085600,[0 1]
20110701,11.5,11.5,11.39,11.5,318184100,[1 0]
20110704,11.5,11.51,11.48,11.5,67502600,[1 0]
20110705,11.45,11.51,11.18,11.38,98153400,[0 0]
20110706,11.64,11.67,11.5,11.5,14279100,[0 1]
20110707,11.5,11.89,11.31,11.38,188592200,[1 1]
20110708,11.3,11.4,11.05,11.4,45852000,[0 1]
20110711,11.4,11.4,10.63,11.0,243100000,[0 1]
20110712,11.48,11.48,10.8,11.0,89722800,[1 1]
20110713,10.91,11.65,10.91,11.41,127082200,[0 0]
20110714,11.45,11.5,11.06,11.39,63883300,[0 1]
20110715,11.39,11.41,11.01,11.25,53863300,[0 0]
20110718,11.01,11.03,10.61,10.61,84609400,[0 0]
20110719,10.81,10.89,10.56,10.56,90009000,[1 1]
20110720,10.8,10.8,10.44,10.65,72013000,[1 1]
20110721,10.85,10.85,10.31,10.33,75659300,[1 1]
20110722,10.62,10.62,9.99,10.1,478323500,[1 1]
20110725,9.93,10.22,9.93,10.1,139550200,[0 0]
20110726,10.0,10.15,9.95,10.15,132109200,[1 0]
20110727,10.15,10.39,10.02,10.1,34016600,[1 0]
20110728,10.09,10.15,10.02,10.12,50497800,[1 1]
20110729,10.04,10.1,9.94,10.0,187820300,[0 1]
20110801,10.0,10.59,10.0,10.14,137285600,[1 0]
20110802,10.1,10.22,9.53,9.65,177060300,[0 0]
20110803,9.67,9.71,9.12,9.15,199102700,[1 1]
20110804,9.15,9.15,8.85,8.9,640939700,[0 0]
20110805,8.85,9.02,8.85,9.0,265421300,[0 1]
20110808,9.09,9.09,8.55,8.55,82003700,[1 0]
20110809,8.63,9.0,8.44,8.85,237962000,[1 0]
20110810,9.19,9.19,8.61,8.85,42864900,[1 1]
20110811,8.85,9.15,8.85,9.0,234199600,[1 0]
20110812,9.0,9.11,9.0,9.09,124075800,[0 0]
20110815,9.4,9.75,9.12,9.75,16201300,[0 1]
20110816,9.7,9.76,9.22,9.76,37155100,[1 0]
20110817,9.74,9.74,9.5,9.6,30957200,[1 1]
20110818,9.6,9.6,9.08,9.29,58585100,[0 1]
20110819,9.01,9.36,9.0,9.36,52333600,[1 0]
20110822,9.5,9.7,9.43,9.54,44442300,[0 1]
20110823,9.75,9.75,9.55,9.6,9889700,[0 1]
20110824,9.71,9.71,9.52,9.6,7975100,[0 0]
20110825,9.69,9.7,9.5,9.7,47542500,[1 1]
20110826,9.55,9.69,9.41,9.5,44167000,[0 1]
20110829,9.86,9.86,9.49,9.61,48562400,[1 1]
20110830,9.85,9.85,9.45,9.45,20826900,[0 0]
