date,open,max,min,close,volume,y
20001122,1.0,1.0,1.0,1.0,10000,[0 0]
20010124,1.0,1.0,1.0,1.0,100000,[0 0]
20010717,1.0,1.0,1.0,1.0,100000,[0 1]
20010810,1.0,1.0,1.0,1.0,100000,[0 0]
20011130,1.0,1.0,1.0,1.0,720000,[1 1]
20020909,0.95,0.95,0.95,0.95,190000,[0 1]
20021204,1.11,1.11,1.11,1.11,222000,[0 1]
20030311,0.82,0.82,0.82,0.82,73800,[0 0]
20030312,0.82,0.82,0.82,0.82,16400,[0 0]
20030313,0.86,0.86,0.86,0.86,2924000,[0 0]
20030314,0.88,0.89,0.88,0.89,859700,[0 0]
20030317,0.88,0.88,0.88,0.88,105600,[0 1]
20030319,0.9,0.9,0.89,0.89,712100,[0 1]
20030324,0.89,0.89,0.89,0.89,97900,[1 0]
20030410,0.95,0.95,0.95,0.95,3325000,[1 0]
20030411,0.95,0.95,0.95,0.95,19000,[1 1]
20030415,0.95,0.95,0.95,0.95,190000,[0 1]
20030416,0.95,0.95,0.95,0.95,760000,[0 1]
20030423,0.93,0.93,0.93,0.93,930000,[1 0]
20030424,0.92,0.92,0.92,0.92,644000,[0 0]
20030425,0.92,0.92,0.92,0.92,634800,[1 0]
20030428,0.92,0.92,0.92,0.92,460000,[0 1]
20030430,0.92,0.92,0.92,0.92,460000,[0 0]
20030502,0.92,0.92,0.92,0.92,1306400,[1 0]
20030505,0.93,0.93,0.93,0.93,2325000,[1 0]
20030506,0.91,0.91,0.91,0.91,555100,[1 1]
20030515,1.01,1.01,1.01,1.01,20200,[1 1]
20030516,1.15,1.15,1.15,1.15,23000,[0 0]
20030519,1.15,1.25,0.97,1.05,1525000,[1 0]
20030520,1.25,1.25,1.15,1.25,2462500,[1 1]
20030522,1.24,1.24,1.24,1.24,248000,[0 0]
20030527,1.2,1.25,1.2,1.25,612500,[0 0]
20030528,1.29,1.29,1.29,1.29,103200,[1 0]
20030529,1.29,1.29,1.21,1.21,37100,[0 0]
20030609,1.22,1.3,1.22,1.3,2583000,[1 0]
20030613,1.3,1.3,1.3,1.3,143000,[0 0]
20030617,1.4,1.4,1.4,1.4,280000,[1 0]
20030620,1.42,1.42,1.42,1.42,13206000,[0 1]
20030623,1.42,1.42,1.42,1.42,4260000,[1 1]
20030624,1.41,1.41,1.4,1.4,1863200,[1 1]
20030625,1.4,1.4,1.4,1.4,2800000,[0 1]
20030630,1.4,1.45,1.4,1.45,3925000,[0 0]
20030704,1.4,1.45,1.4,1.45,663000,[1 1]
20030708,1.4,1.4,1.4,1.4,966000,[1 0]
20030714,1.45,1.45,1.45,1.45,1276000,[0 0]
20030226,1.08,1.08,1.08,1.08,216000,[1 0]
20030307,0.82,0.82,0.82,0.82,8200,[1 1]
20030812,1.49,1.6,1.49,1.6,1029000,[0 0]
20030815,1.6,1.7,1.6,1.6,968900,[0 1]
20030825,1.7,1.7,1.7,1.7,680000,[0 1]
20030827,1.7,1.7,1.7,1.7,34000,[0 1]
20030901,1.85,1.85,1.85,1.85,925000,[1 1]
20030902,2.0,2.0,2.0,2.0,20000000,[1 1]
20030903,2.1,2.15,2.1,2.1,28582000,[1 1]
20030904,2.1,2.2,2.1,2.2,1060000,[1 1]
20030905,2.2,2.2,2.19,2.19,263000,[0 0]
20030908,2.19,2.19,2.15,2.15,1358500,[0 1]
20030909,2.16,2.2,2.16,2.2,5086800,[0 1]
20030910,2.2,2.2,2.2,2.2,660000,[0 1]
20030911,2.35,2.35,2.35,2.35,1175000,[0 1]
20030912,2.5,2.5,2.49,2.5,1674900,[1 0]
20030915,2.5,2.5,2.5,2.5,1250000,[1 0]
20030918,2.5,2.5,2.5,2.5,250000,[1 0]
20030930,2.5,2.5,2.5,2.5,4300000,[1 0]
20031001,2.5,2.5,2.5,2.5,925000,[0 0]
20031003,2.55,2.55,2.55,2.55,790500,[0 0]
20031006,2.51,2.51,2.51,2.51,251000,[0 1]
20031007,2.51,2.51,2.51,2.51,803200,[0 1]
20031017,2.5,2.5,2.5,2.5,1000000,[0 0]
20031020,2.55,2.55,2.55,2.55,790500,[0 1]
20031021,2.55,2.55,2.4,2.5,1800100,[0 0]
20031028,2.5,2.5,2.5,2.5,25000,[0 0]
20031030,2.5,2.5,2.5,2.5,425000,[1 0]
20031031,2.5,2.55,2.5,2.55,1655000,[1 0]
20031103,2.55,2.55,2.55,2.55,25500,[1 1]
20031111,2.48,2.48,2.48,2.48,496000,[1 1]
20031118,2.5,2.5,2.5,2.5,825000,[0 0]
20031119,2.6,2.6,2.55,2.55,129500,[0 0]
20031120,2.63,2.63,2.63,2.63,447100,[0 0]
20031121,2.7,2.7,2.65,2.65,402500,[0 0]
20031124,2.7,2.7,2.7,2.7,27000,[1 0]
20031125,2.7,2.7,2.7,2.7,27000,[0 0]
20031127,2.66,2.71,2.65,2.71,1810000,[0 0]
20031128,2.75,2.75,2.7,2.7,710000,[1 0]
20031201,2.7,2.7,2.7,2.7,297000,[1 1]
20031202,2.75,2.75,2.75,2.75,137500,[0 1]
20031203,2.75,2.77,2.75,2.77,470700,[0 0]
20031204,2.77,2.8,2.77,2.8,1501800,[1 1]
20031205,2.84,2.84,2.69,2.8,961000,[0 0]
20031208,2.75,2.75,2.75,2.75,275000,[1 1]
20031209,2.75,2.75,2.75,2.75,550000,[1 0]
20031210,2.7,2.8,2.7,2.8,2500000,[0 0]
20031229,2.8,2.8,2.8,2.8,560000,[1 0]
20031223,2.51,2.85,2.51,2.85,53600,[0 1]
20040420,5.0,5.0,5.0,5.0,500000,[1 1]
20040422,5.0,5.0,5.0,5.0,250000,[1 0]
20040503,4.9,4.9,4.6,4.8,1256000,[1 1]
20040504,4.8,4.8,4.8,4.8,528000,[0 1]
20040510,4.6,4.85,4.6,4.85,945000,[0 0]
20040511,4.8,4.8,4.8,4.8,1056000,[1 0]
20040512,4.9,4.9,4.9,4.9,539000,[1 1]
20040513,4.9,4.9,4.8,4.8,729500,[0 1]
20040514,4.9,4.9,4.9,4.9,1421000,[1 1]
20040518,4.95,4.95,4.95,4.95,1287000,[1 0]
20040525,4.85,5.01,4.85,5.01,198200,[1 0]
20040526,5.02,5.02,5.02,5.02,150600,[0 1]
20040527,5.05,5.05,5.05,5.05,1010000,[0 0]
20040531,5.1,5.2,5.1,5.2,6195000,[0 1]
20040601,5.2,5.3,5.2,5.3,11315000,[1 1]
20040603,5.36,5.36,5.36,5.36,53600,[1 0]
20040604,5.5,5.5,5.5,5.5,110000,[0 0]
20040607,5.6,5.6,5.48,5.5,1765600,[1 0]
20040608,5.5,5.5,5.5,5.5,1100000,[0 0]
20040609,5.4,5.4,5.4,5.4,864000,[0 0]
20040614,5.1,5.5,5.1,5.5,3039600,[0 1]
20040615,5.5,5.5,5.5,5.5,330000,[1 0]
20040618,5.7,5.7,5.7,5.7,285000,[0 0]
20040621,5.5,5.7,5.5,5.7,1988800,[0 0]
20040624,5.8,5.8,5.8,5.8,116000,[0 0]
20040625,5.8,5.8,5.8,5.8,4930000,[0 1]
20040628,6.0,6.0,6.0,6.0,960000,[1 1]
20040629,5.51,6.15,5.51,6.15,4298200,[1 1]
20040630,6.14,6.14,5.7,5.7,2178200,[0 0]
20040702,5.8,5.8,5.8,5.8,348000,[1 0]
20040705,5.8,5.8,5.8,5.8,174000,[0 0]
20040706,5.8,6.0,5.8,6.0,1300000,[1 0]
20040126,3.7,3.7,3.5,3.5,1239000,[1 1]
20040121,3.75,3.75,3.5,3.6,6579500,[0 0]
20040120,3.31,3.5,3.31,3.5,301700,[1 1]
20040114,3.31,3.31,3.31,3.31,66200,[1 0]
20040113,3.3,3.3,3.3,3.3,10263000,[0 0]
20040112,3.3,3.3,3.2,3.2,65000,[1 0]
20040107,3.05,3.05,3.05,3.05,1525000,[1 1]
20040105,2.85,2.98,2.85,2.98,9510000,[0 0]
20040218,4.3,4.3,4.3,4.3,1032000,[1 0]
20040217,4.3,4.3,4.2,4.2,428000,[0 0]
20040216,4.31,4.31,4.3,4.3,1077000,[1 0]
20040213,4.3,4.3,4.3,4.3,258000,[0 0]
20040212,4.3,4.3,4.3,4.3,1075000,[0 0]
20040211,4.3,4.3,4.2,4.2,850000,[0 0]
20040210,4.0,4.3,4.0,4.3,10156000,[1 0]
20040206,4.2,4.2,4.2,4.2,1344000,[1 0]
20040205,4.0,4.0,4.0,4.0,4800000,[0 0]
20040202,3.75,3.75,3.75,3.75,675000,[1 0]
20040130,3.55,3.55,3.5,3.5,106000,[0 1]
20040128,3.75,3.75,3.74,3.75,7932000,[0 0]
20040127,3.75,3.75,3.74,3.74,1683500,[0 0]
20040325,4.35,4.35,4.35,4.35,870000,[1 0]
20040324,4.36,4.36,4.35,4.35,6961000,[0 0]
20040323,4.46,4.46,4.4,4.4,132600,[0 0]
20040322,4.46,4.46,4.46,4.46,446000,[0 0]
20040317,4.55,4.6,4.5,4.6,951000,[1 0]
20040311,4.7,4.7,4.7,4.7,658000,[1 0]
20040310,4.7,4.7,4.7,4.7,611000,[1 0]
20040305,4.7,4.7,4.7,4.7,1880000,[1 1]
20040303,4.7,4.7,4.7,4.7,188000,[0 0]
20040301,4.7,4.7,4.7,4.7,940000,[0 0]
20040227,4.7,4.7,4.7,4.7,1880000,[0 0]
20040225,4.7,4.7,4.7,4.7,611000,[0 1]
20040220,4.2,4.6,4.0,4.6,10291500,[0 0]
20040406,4.4,4.4,4.4,4.4,132000,[0 1]
20040405,4.2,4.49,4.2,4.49,1112700,[0 1]
20040402,4.4,4.4,4.4,4.4,484000,[1 0]
20040331,4.4,4.4,4.4,4.4,44000,[0 0]
20040330,4.2,4.4,4.2,4.4,128000,[1 0]
20040329,4.26,4.26,4.26,4.26,809400,[0 0]
20040326,4.4,4.4,4.26,4.26,607800,[0 0]
20040707,6.05,6.05,6.05,6.05,302500,[0 0]
