date,open,max,min,close,volume,y
20020307,1.27,1.3,1.26,1.27,135295000,[0 0]
20020308,1.27,1.27,1.24,1.26,109324000,[1 1]
20020311,1.26,1.27,1.22,1.23,68620000,[0 1]
20020312,1.24,1.27,1.23,1.27,104659000,[0 0]
20020313,1.27,1.3,1.26,1.3,55833000,[1 0]
20020314,1.3,1.3,1.27,1.28,11562000,[0 0]
20020315,1.27,1.3,1.27,1.3,74598000,[0 0]
20020318,1.3,1.3,1.27,1.28,22548000,[0 1]
20020319,1.29,1.29,1.25,1.26,88692000,[0 1]
20020320,1.27,1.3,1.24,1.3,34472000,[0 0]
20020321,1.25,1.25,1.22,1.24,25742000,[1 1]
20020322,1.25,1.26,1.2,1.22,136686000,[0 0]
20020325,1.2,1.22,1.17,1.17,20982000,[1 0]
20020326,1.21,1.21,1.15,1.16,29368000,[1 1]
20020327,1.16,1.16,1.15,1.15,26530000,[0 0]
20020328,1.14,1.15,1.1,1.11,15656000,[0 0]
20020401,1.11,1.2,1.06,1.2,25701000,[0 0]
20020402,1.19,1.19,1.13,1.16,10830000,[0 0]
20020403,1.14,1.21,1.14,1.17,66029000,[1 0]
20020404,1.17,1.19,1.14,1.15,28639000,[0 1]
20020405,1.17,1.17,1.08,1.09,75953000,[0 1]
20020408,1.09,1.12,1.08,1.12,3857000,[0 1]
20020409,1.13,1.13,1.13,1.13,4746000,[0 1]
20020410,1.11,1.12,1.1,1.12,62201000,[1 1]
20020411,1.12,1.12,1.08,1.08,12016000,[0 0]
20020412,1.12,1.12,1.09,1.12,7556000,[1 1]
20020415,1.1,1.12,1.06,1.08,33884000,[0 1]
20020416,1.1,1.12,1.07,1.09,13910000,[0 1]
20020417,1.1,1.14,1.1,1.12,128014000,[0 0]
20020418,1.1,1.12,1.09,1.11,23911000,[0 0]
20020419,1.1,1.12,1.08,1.1,19154000,[0 0]
20020422,1.07,1.08,1.05,1.08,25367000,[1 1]
20020423,1.08,1.1,1.05,1.06,25017000,[0 1]
20020424,1.08,1.09,1.04,1.05,18622000,[0 0]
20020425,1.03,1.04,1.0,1.04,35148000,[1 0]
20020426,1.03,1.05,1.02,1.02,26067000,[0 0]
20020429,1.03,1.04,1.02,1.02,34506000,[0 1]
20020430,1.01,1.07,0.99,1.07,85140000,[0 0]
20020502,1.02,1.03,0.98,1.0,49606000,[1 1]
20020503,1.0,1.0,0.95,0.95,31141000,[0 1]
20020506,0.98,1.07,0.96,1.06,13369000,[0 0]
20020507,1.07,1.07,0.97,0.99,52525000,[0 1]
20020508,0.99,1.02,0.99,1.0,13818000,[0 1]
20020509,0.98,0.98,0.93,0.93,13500000,[0 0]
20020510,0.92,1.05,0.92,1.04,34564000,[0 1]
20020513,1.04,1.04,1.0,1.0,9184000,[0 0]
20020514,1.0,1.08,1.0,1.05,26689000,[1 0]
20020515,1.04,1.1,1.02,1.1,84435000,[1 0]
20020516,1.1,1.15,1.1,1.15,39143000,[1 0]
20020517,1.15,1.15,1.11,1.11,32342000,[1 0]
20020520,1.11,1.11,1.05,1.06,12333000,[0 0]
20020521,1.1,1.1,1.07,1.09,15879000,[1 0]
20020522,1.07,1.1,1.03,1.1,32204000,[0 0]
20020523,1.04,1.07,1.04,1.07,9387000,[0 1]
20020524,1.07,1.08,1.05,1.08,10581000,[1 1]
20020527,1.08,1.1,1.05,1.07,28439000,[0 0]
20020528,1.06,1.1,1.06,1.1,8088000,[1 1]
20020529,1.1,1.11,1.06,1.09,12896000,[0 0]
20020531,1.07,1.08,1.07,1.08,4189000,[0 0]
20020603,1.07,1.07,1.02,1.03,62679000,[0 1]
20020604,1.04,1.04,1.02,1.03,4603000,[0 0]
20020605,1.03,1.03,1.02,1.02,91810000,[1 1]
20020606,1.0,1.0,0.94,0.94,74951000,[0 0]
20020607,0.93,0.99,0.93,0.98,39873000,[0 0]
20020610,1.0,1.02,0.99,1.02,58122000,[1 1]
20020611,1.02,1.03,0.95,0.97,33057000,[0 0]
20020612,0.98,1.0,0.96,1.0,28040000,[0 1]
20020613,1.0,1.03,0.99,0.99,54358000,[1 0]
20020614,0.97,1.0,0.95,0.99,21609000,[1 0]
20020617,1.0,1.05,0.97,1.04,77590000,[1 1]
20020618,1.04,1.04,0.99,1.0,8465000,[1 1]
20020619,0.96,1.03,0.96,0.97,31537000,[0 0]
20020620,0.97,0.97,0.93,0.94,27057000,[0 1]
20020621,0.96,0.99,0.89,0.9,31543000,[1 1]
20020624,0.9,1.0,0.9,0.93,166707000,[0 1]
20020625,0.94,0.96,0.9,0.9,18629000,[0 0]
20020626,0.9,0.91,0.88,0.88,13943000,[1 1]
20020627,0.89,0.93,0.89,0.93,20523000,[1 0]
20020628,0.95,0.98,0.95,0.96,20049000,[1 0]
20020701,0.98,0.98,0.88,0.89,25261000,[0 1]
20020702,0.89,0.92,0.88,0.92,26504000,[0 0]
20020703,0.89,0.92,0.85,0.88,79582000,[1 1]
20020704,0.89,0.89,0.86,0.87,28644000,[1 0]
20020705,0.88,0.88,0.85,0.86,21065000,[0 0]
20020708,0.87,0.88,0.86,0.88,6953000,[0 1]
20020710,0.88,0.88,0.84,0.85,37492000,[1 1]
20020711,0.85,0.89,0.84,0.87,18797000,[0 0]
20020712,0.86,0.87,0.83,0.87,60269000,[1 1]
20020715,0.87,0.87,0.84,0.85,7274000,[0 1]
20020716,0.84,0.85,0.84,0.84,7982000,[1 0]
20020717,0.85,0.87,0.84,0.87,20955000,[0 1]
20020718,0.86,0.89,0.85,0.86,86802000,[0 1]
20020719,0.87,0.89,0.86,0.86,53498000,[0 1]
20020214,1.17,1.19,1.16,1.19,74764000,[0 0]
20020218,1.18,1.19,1.18,1.18,51819000,[1 0]
20020219,1.18,1.19,1.18,1.19,74670000,[1 1]
20020220,1.18,1.2,1.18,1.19,41883000,[0 1]
20020221,1.2,1.22,1.19,1.21,54518000,[1 0]
20020222,1.19,1.21,1.18,1.18,14656000,[1 0]
20020225,1.2,1.27,1.2,1.27,151128000,[0 1]
20020226,1.26,1.27,1.25,1.27,84775000,[0 1]
20020227,1.28,1.28,1.26,1.27,46416000,[0 1]
20020228,1.28,1.29,1.24,1.25,29704000,[0 1]
20020301,1.25,1.3,1.25,1.3,187709000,[0 0]
20020304,1.3,1.3,1.27,1.29,69379000,[0 1]
20020305,1.29,1.29,1.27,1.27,37926000,[1 1]
20020306,1.27,1.28,1.26,1.27,25528000,[1 1]
20020102,1.05,1.05,1.02,1.04,36607000,[1 0]
20020103,1.03,1.14,1.03,1.14,140168000,[0 0]
20020104,1.14,1.19,1.09,1.17,134127000,[1 0]
20020107,1.17,1.24,1.13,1.24,74330000,[0 0]
20020108,1.21,1.24,1.16,1.21,92712000,[1 0]
20020109,1.19,1.22,1.17,1.19,50396000,[0 1]
20020110,1.19,1.23,1.14,1.23,44810000,[0 1]
20020111,1.19,1.28,1.19,1.25,47579000,[1 0]
20020114,1.19,1.23,1.19,1.19,38952000,[1 1]
20020128,1.16,1.21,1.16,1.18,87586000,[0 1]
20020215,1.19,1.19,1.17,1.18,16758000,[1 0]
20020129,1.2,1.21,1.14,1.14,51826000,[1 1]
20020130,1.15,1.15,1.13,1.14,48532000,[0 0]
20020131,1.15,1.18,1.15,1.15,298303000,[1 0]
20020201,1.16,1.17,1.11,1.12,15313000,[0 0]
20020204,1.12,1.12,1.05,1.06,40167000,[1 1]
20020205,1.09,1.15,1.07,1.15,50592000,[1 0]
