date,open,max,min,close,volume,y
20020306,1.27,1.27,1.27,1.27,6350,[1 0]
20020307,1.25,1.34,1.23,1.34,207055,[0 0]
20020308,1.29,1.3,1.24,1.29,106685,[0 0]
20020311,1.25,1.25,1.21,1.24,49100,[1 1]
20020312,1.23,1.3,1.22,1.22,101290,[1 0]
20020313,1.16,1.34,1.16,1.21,226725,[0 0]
20020314,1.26,1.3,1.21,1.21,110722,[0 0]
20020315,1.27,1.27,1.27,1.27,13970,[0 0]
20020318,1.27,1.3,1.27,1.3,102314,[0 1]
20020319,1.25,1.34,1.25,1.34,34916,[0 1]
20020320,1.27,1.27,1.27,1.27,6350,[0 1]
20020321,1.16,1.22,1.16,1.22,71400,[0 1]
20020322,1.16,1.2,1.16,1.2,175952,[0 0]
20020325,1.22,1.22,1.17,1.17,198689,[0 1]
20020326,1.17,1.17,1.17,1.17,99999,[1 0]
20020327,1.16,1.16,1.16,1.16,34800,[1 0]
20020328,1.15,1.15,1.1,1.1,129200,[0 1]
20020401,1.09,1.09,1.07,1.07,33720,[0 0]
20020402,1.2,1.2,1.11,1.11,46114,[0 1]
20020403,1.1,1.1,1.1,1.1,45100,[1 0]
20020404,1.2,1.2,1.17,1.17,48117,[1 0]
20020405,1.11,1.11,1.09,1.1,105990,[1 0]
20020408,1.12,1.12,1.12,1.12,19040,[1 1]
20020409,1.1,1.1,1.1,1.1,33000,[1 1]
20020410,1.13,1.13,1.13,1.13,50398,[0 1]
20020411,1.1,1.1,1.1,1.1,44000,[0 0]
20020412,1.09,1.09,1.09,1.09,981,[0 1]
20020415,1.09,1.09,1.08,1.08,188462,[1 0]
20020416,1.1,1.11,1.09,1.09,194166,[0 0]
20020417,1.12,1.12,1.11,1.11,162760,[0 0]
20020418,1.01,1.01,1.01,1.01,404,[1 0]
20020423,1.09,1.09,1.07,1.07,248520,[0 1]
20020424,1.06,1.06,1.06,1.06,116494,[1 0]
20020425,0.99,1.0,0.99,1.0,106334,[0 0]
20020426,1.03,1.03,1.03,1.03,6798,[0 0]
20020429,1.03,1.03,1.0,1.0,94700,[0 0]
20020430,1.01,1.01,0.98,0.98,150913,[1 0]
20020502,1.04,1.04,0.97,0.97,250433,[0 1]
20020503,0.99,0.99,0.99,0.99,21780,[0 0]
20020506,0.98,1.01,0.95,1.01,211330,[0 0]
20020507,1.06,1.06,0.97,0.97,141810,[1 0]
20020508,1.1,1.1,1.1,1.1,5500,[0 0]
20020509,0.99,0.99,0.96,0.96,163668,[1 0]
20020510,1.0,1.03,0.99,1.03,212481,[1 1]
20020513,1.01,1.02,1.0,1.0,147098,[1 0]
20020514,1.04,1.07,1.04,1.04,240272,[0 1]
20020515,1.02,1.08,1.02,1.08,138228,[0 0]
20020516,1.11,1.11,1.11,1.11,55500,[0 1]
20020517,1.16,1.16,1.12,1.13,206265,[0 1]
20020520,1.11,1.11,1.06,1.06,74368,[1 0]
20020521,1.07,1.1,1.07,1.1,277018,[0 1]
20020522,1.07,1.07,1.07,1.07,112350,[0 0]
20020527,1.07,1.07,1.04,1.07,121500,[1 1]
20020528,1.05,1.05,1.05,1.05,10500,[1 0]
20020529,1.08,1.09,1.08,1.09,117359,[1 1]
20020531,1.11,1.11,1.1,1.1,15440,[1 0]
20020603,1.07,1.07,1.03,1.03,235622,[0 0]
20020604,1.02,1.02,1.01,1.01,101901,[0 1]
20020605,1.01,1.01,1.0,1.0,194570,[0 0]
20020606,0.99,1.0,0.95,0.95,290649,[0 1]
20020607,0.94,0.94,0.94,0.94,114022,[0 1]
20020610,1.0,1.0,0.99,1.0,196800,[0 1]
20020611,1.0,1.0,1.0,1.0,75740,[0 1]
20020612,0.97,0.98,0.97,0.98,252186,[1 0]
20020614,0.96,0.99,0.96,0.99,195384,[1 0]
20020617,1.0,1.02,1.0,1.02,58600,[0 0]
20020618,1.03,1.04,0.99,0.99,161124,[0 0]
20020619,1.1,1.1,0.99,0.99,145750,[1 1]
20020620,0.95,0.95,0.95,0.95,67165,[0 0]
20020621,0.93,0.95,0.93,0.95,94998,[0 1]
20020624,0.95,0.95,0.9,0.92,100796,[0 1]
20020625,0.92,0.92,0.92,0.92,93932,[0 0]
20020626,0.93,0.93,0.9,0.91,101760,[0 0]
20020627,0.9,0.97,0.9,0.97,77370,[1 1]
20020628,0.97,0.97,0.97,0.97,77600,[1 1]
20020701,0.95,0.98,0.89,0.89,253707,[0 0]
20020702,0.92,0.92,0.92,0.92,9200,[0 1]
20020703,0.89,0.89,0.88,0.88,168200,[0 1]
20020704,0.87,0.87,0.86,0.86,86058,[0 0]
20020705,0.8,0.86,0.8,0.84,116466,[1 0]
20020710,0.86,0.86,0.83,0.83,170921,[0 1]
20020711,0.85,0.92,0.85,0.87,166922,[1 0]
20020712,0.86,0.87,0.84,0.87,220030,[1 1]
20020715,0.87,0.87,0.86,0.86,63010,[0 1]
20020716,0.84,0.84,0.84,0.84,33600,[0 0]
20020717,0.83,0.86,0.83,0.85,102355,[0 0]
20020718,0.83,0.83,0.83,0.83,6474,[1 0]
20020719,0.85,0.87,0.85,0.87,88430,[1 0]
20020205,1.06,1.13,1.06,1.13,194600,[0 0]
20020206,1.17,1.2,1.1,1.2,149432,[1 0]
20020208,1.16,1.16,1.16,1.16,64612,[1 1]
20020215,1.1,1.1,1.1,1.1,35750,[0 1]
20020218,1.2,1.2,1.2,1.2,12000,[0 1]
20020219,1.18,1.19,1.18,1.19,13030,[1 1]
20020220,1.19,1.19,1.19,1.19,216699,[1 0]
20020221,1.19,1.2,1.16,1.16,178478,[0 1]
20020222,1.19,1.21,1.16,1.21,254625,[0 0]
20020225,1.1,1.22,1.1,1.21,14948,[0 1]
