date,open,max,min,close,volume,y
20120314,3.26,3.26,3.26,3.26,14344,[0 0]
20120315,2.75,2.75,2.75,2.75,275,[1 0]
20120316,2.5,2.5,2.5,2.5,250,[0 0]
20120329,3.25,3.25,3.25,3.25,28925,[1 0]
20120503,3.25,3.25,3.25,3.25,1300,[0 1]
20120507,3.25,3.25,3.25,3.25,7150,[0 1]
20120608,2.21,2.21,2.21,2.21,2431,[1 0]
20120612,7.0,7.0,7.0,7.0,3500,[0 1]
20120618,2.21,2.21,2.21,2.21,1326,[0 0]
20120621,3.0,3.0,2.2,2.2,3800,[0 1]
20120626,2.2,2.4,2.2,2.4,38180,[1 0]
20120704,1.55,1.55,1.55,1.55,155,[0 1]
20120705,2.0,2.2,2.0,2.2,14540,[1 0]
20120719,2.2,3.0,2.2,3.0,1420,[1 0]
20120731,1.01,2.0,1.01,2.0,13903,[0 1]
20120801,1.9,1.9,1.9,1.9,1140,[0 0]
20120809,3.0,3.0,3.0,3.0,1200,[0 1]
20120919,2.8,2.8,2.8,2.8,10920,[1 0]
20120920,2.8,2.8,2.8,2.8,3360,[1 1]
20121015,2.2,2.2,2.2,2.2,10560,[0 0]
20121217,43.7,47.07,43.48,44.6,5047945,[0 1]
20121218,45.21,47.06,45.01,47.06,6814894,[0 1]
20121219,47.0,47.0,45.25,46.79,3563625,[1 1]
20121220,47.06,47.07,46.0,46.24,2792723,[1 1]
20121221,46.99,46.99,45.04,46.97,3901714,[0 1]
20121226,46.98,46.99,45.51,46.99,3493155,[1 1]
20121227,46.34,46.34,45.0,45.0,3219905,[0 1]
20121228,45.0,46.14,44.01,45.8,3875876,[0 1]
20130102,47.0,47.0,45.3,45.3,3472265,[1 0]
20130103,45.25,45.99,44.29,44.64,3848700,[1 0]
20130104,44.4,46.14,43.6,46.14,3224209,[1 1]
20130107,45.5,46.14,45.17,45.31,2591724,[1 0]
20130108,45.99,45.99,44.1,44.1,2544812,[0 1]
20130109,44.87,45.02,44.01,44.01,1840695,[1 0]
20130110,44.32,45.44,44.0,45.01,2158267,[0 0]
20130111,45.29,46.13,45.15,45.15,2009558,[1 0]
20130114,45.84,45.84,42.5,42.5,5518231,[1 0]
20130115,45.83,45.83,42.54,43.45,4648415,[0 1]
20130116,42.96,44.99,41.3,44.99,5317889,[1 0]
20130117,43.32,44.0,43.32,43.62,1566227,[1 0]
20130118,44.08,44.08,43.21,43.57,1040086,[1 0]
20130121,43.7,43.98,43.15,43.23,2521202,[0 0]
20130122,44.0,44.35,43.33,44.2,10260512,[0 1]
20130123,44.1,44.2,43.51,44.2,10220862,[1 0]
20130124,44.6,45.85,43.94,45.11,15538147,[1 0]
20130128,43.63,46.15,43.63,46.15,8306054,[0 1]
20130129,45.9,48.98,45.0,47.34,15256198,[1 1]
20130130,47.14,48.65,47.02,48.65,11942061,[1 0]
20130131,49.0,49.0,47.61,49.0,5759269,[0 1]
20130201,49.95,49.95,48.42,48.65,7351115,[0 0]
