date,open,max,min,close,volume,y
20070910,14.99,14.99,14.41,14.45,6848500,[1 1]
20070911,14.58,14.6,14.1,14.5,15473700,[1 0]
20070912,15.0,15.49,14.8,14.8,44755300,[1 1]
20070913,15.4,15.4,15.0,15.39,20993700,[1 0]
20070914,15.0,15.2,15.0,15.0,1206000,[0 1]
20070917,15.4,15.4,15.4,15.4,307000,[0 1]
20070918,15.39,15.6,15.39,15.6,19920200,[1 1]
20070919,15.68,15.99,15.65,15.72,69003100,[1 0]
20070920,16.0,16.0,15.65,15.65,11647700,[0 1]
20070921,15.74,15.74,15.5,15.5,8241800,[1 0]
20070924,15.6,15.65,15.4,15.6,4207500,[1 1]
20070925,15.4,15.5,15.21,15.5,13500800,[0 0]
20070926,15.3,15.74,15.3,15.74,312726100,[0 1]
20070927,15.85,16.14,15.85,16.1,982223100,[0 0]
20070928,16.11,16.35,15.97,16.35,233702100,[0 0]
20071001,16.35,16.89,16.35,16.88,35380700,[1 0]
20071002,16.79,16.79,16.7,16.7,6346900,[1 1]
20071003,16.7,17.0,16.6,16.7,181908000,[1 1]
20071004,16.7,16.89,16.35,16.89,75372000,[0 0]
20071005,16.89,17.3,16.8,17.0,49503600,[1 0]
20071008,17.0,17.0,16.84,16.99,3891400,[0 0]
20071009,16.99,17.51,16.95,17.51,186089300,[0 0]
20071010,17.51,18.0,17.5,18.0,158594400,[1 0]
20071011,18.0,18.0,16.5,18.0,8449100,[0 0]
20071015,18.0,18.0,17.19,17.99,9223500,[0 0]
20071016,17.72,17.72,17.2,17.7,1572900,[0 1]
20071017,17.89,17.89,17.0,17.88,15427700,[1 1]
20071018,17.24,17.5,17.24,17.5,7147200,[1 0]
20071019,17.5,17.5,17.0,17.4,5516000,[0 0]
20071022,16.98,17.3,16.98,17.3,147740000,[0 1]
20071023,17.35,17.39,17.15,17.15,373809900,[1 0]
20071024,17.0,17.5,17.0,17.5,3937500,[0 1]
20071025,17.4,17.5,17.0,17.34,4089399200,[1 0]
20071026,17.52,17.6,17.2,17.45,20876900,[1 0]
20071029,17.45,17.5,17.4,17.5,9618000,[0 1]
20071030,17.79,18.0,17.4,17.9,41532900,[0 1]
20071031,17.9,18.1,17.5,18.09,52485100,[1 1]
20071101,18.09,18.09,17.8,17.9,21481700,[0 0]
20071105,17.9,17.9,17.1,17.85,52715000,[0 0]
20071106,17.9,18.8,17.62,18.0,33529200,[0 1]
20071107,18.1,18.1,16.6,17.5,26458900,[0 1]
20071108,17.0,17.8,16.72,17.5,15086000,[0 1]
20071109,17.44,17.5,16.8,17.37,15600800,[1 0]
20071112,17.5,17.5,16.4,16.99,19225400,[0 1]
20071113,17.49,17.49,16.65,16.9,310356500,[0 1]
20071114,17.3,17.99,17.0,17.96,57367500,[0 1]
20071116,17.4,17.8,17.05,17.8,22566200,[0 0]
20071119,17.28,17.7,17.28,17.65,2632000,[1 0]
20071121,17.3,17.65,16.5,17.5,864954500,[1 1]
20071122,17.4,17.4,16.8,17.25,188688000,[0 0]
20071123,17.0,17.3,16.8,16.95,3400700,[1 0]
20071126,16.5,16.98,16.45,16.95,1836000,[0 1]
20071127,16.5,17.0,16.0,17.0,2753858900,[1 1]
20071128,16.5,17.3,16.5,17.15,29557800,[1 0]
20071129,17.3,17.3,16.8,17.2,14202200,[0 0]
20071130,17.5,17.5,16.8,17.5,12124500,[1 0]
20071213,17.0,17.39,16.5,17.39,77390900,[1 0]
20071214,17.2,17.2,16.5,16.93,117162800,[1 0]
20071217,16.5,16.51,16.0,16.0,272304600,[1 0]
20071218,16.9,16.9,15.99,15.99,69509800,[1 1]
20071219,16.0,16.5,16.0,16.2,714744000,[0 0]
