date,open,max,min,close,volume,y
20070910,15.0,15.0,14.5,14.5,195690,[0 1]
20070911,14.5,15.0,14.21,14.21,326889,[1 1]
20070912,15.0,15.01,14.55,14.55,216720,[0 1]
20070913,15.4,15.4,15.01,15.01,10741,[1 0]
20070914,15.1,15.1,15.1,15.1,1510,[0 0]
20070917,15.02,15.4,15.01,15.01,297608,[1 0]
20070918,15.3,15.6,15.3,15.6,66207,[1 1]
20070919,15.99,15.99,15.87,15.87,289211,[1 1]
20070920,16.0,16.5,15.6,15.8,152930,[1 0]
20070921,15.8,15.8,15.6,15.6,101950,[1 1]
20070924,15.5,15.59,15.42,15.59,73060,[1 0]
20070925,15.6,16.0,15.5,16.0,195936,[0 1]
20070926,15.65,15.7,15.59,15.59,327868,[0 0]
20070927,15.8,16.2,15.8,16.0,205195,[1 0]
20070928,16.1,16.1,15.95,16.02,570165,[0 1]
20071001,16.1,16.85,16.1,16.2,542180,[0 0]
20071002,16.5,16.5,16.5,16.5,1650,[1 1]
20071003,16.7,16.75,16.7,16.75,3345,[0 1]
20071004,16.9,16.9,16.4,16.7,887053,[1 0]
20071005,16.89,17.0,16.5,16.85,420817,[1 0]
20071008,17.0,17.0,16.8,17.0,172384,[1 1]
20071009,17.0,17.49,16.99,17.49,454411,[0 1]
20071010,17.5,18.0,17.2,17.2,309836,[1 0]
20071011,17.5,18.4,17.2,17.2,581474,[1 0]
20071015,17.5,17.5,17.5,17.5,115500,[1 0]
20071016,18.0,18.0,17.09,17.2,401786,[0 1]
20071017,17.5,17.88,17.0,17.0,216876,[1 1]
20071018,17.88,17.9,17.01,17.29,323818,[1 0]
20071019,17.5,17.5,17.0,17.0,236730,[0 0]
20071022,17.6,17.6,16.7,17.0,461692,[0 1]
20071023,17.3,17.3,17.3,17.3,10380,[0 0]
20071024,17.3,17.4,17.3,17.3,240660,[1 0]
20071025,17.05,17.2,17.05,17.2,119740,[1 1]
20071026,17.0,17.45,17.0,17.34,237695,[0 0]
20071029,17.34,17.6,17.34,17.6,140070,[0 0]
20071030,17.45,17.65,17.45,17.6,212260,[1 0]
20071031,17.88,18.1,17.65,17.65,989916,[1 0]
20071101,18.0,18.0,17.99,17.99,44985,[0 1]
20071105,18.0,18.0,17.35,17.35,301064,[0 0]
20071106,18.5,18.5,17.9,18.5,246590,[1 1]
20071107,18.0,18.0,17.01,17.01,341847,[1 0]
20071108,17.1,17.45,16.75,17.2,370291,[1 1]
20071109,17.01,17.58,17.0,17.58,142843,[1 0]
20071112,17.37,17.5,16.63,16.99,548568,[0 1]
20071113,17.5,17.5,16.6,17.3,492032,[0 1]
20071114,17.0,17.9,17.0,17.8,160465,[0 0]
20071116,17.91,17.91,17.4,17.4,157257,[1 1]
20071119,17.6,17.8,17.1,17.8,285690,[1 1]
20071121,17.8,17.8,16.68,17.0,170058,[1 0]
20071122,17.0,17.25,17.0,17.25,226410,[0 1]
20071123,18.0,18.0,16.81,16.81,60095,[1 0]
20071126,18.1,18.1,16.13,16.13,111831,[1 1]
20071127,16.7,16.7,16.7,16.7,1670,[1 0]
20071128,16.0,17.2,16.0,16.71,629465,[0 1]
20071129,17.1,17.1,16.8,17.1,279852,[1 1]
20071130,17.3,18.0,17.01,17.2,716653,[0 0]
20071213,17.1,17.1,16.6,16.87,252480,[0 1]
20071214,16.5,16.6,16.5,16.55,139165,[0 0]
20071217,17.3,17.5,16.1,16.1,961548,[0 1]
20071218,17.5,17.5,15.0,15.9,447336,[0 1]
20071219,15.99,16.9,15.99,16.9,90180,[1 0]
20071220,17.3,17.3,16.0,16.0,130310,[0 0]
20071221,16.0,17.0,16.0,16.0,166100,[0 1]
20071226,17.72,17.72,16.2,16.2,45920,[1 0]
20071227,16.0,16.0,15.35,15.4,169665,[0 0]
20071228,16.1,16.1,15.9,15.9,84370,[1 1]
20080103,16.7,16.7,16.5,16.5,182900,[0 1]
20080104,16.5,16.5,16.49,16.49,151798,[0 0]
20080107,16.5,16.5,15.5,15.5,165680,[1 0]
20080108,15.8,16.0,15.5,15.5,488550,[1 1]
20080109,16.0,16.0,15.35,15.35,237065,[0 1]
20080110,15.65,16.6,15.05,15.69,207468,[0 1]
20080111,15.5,15.5,13.73,15.09,266514,[0 1]
20080114,16.0,16.0,15.2,15.2,492536,[0 1]
20080115,15.99,15.99,14.5,14.62,230731,[1 0]
20080116,14.09,14.09,13.9,13.9,75583,[1 1]
20080117,14.25,14.25,13.0,14.0,192670,[0 1]
20080118,15.39,15.39,13.2,13.2,84255,[0 0]
20080121,13.0,13.0,12.0,12.0,42550,[1 0]
20080122,11.7,13.5,11.7,13.5,430714,[0 0]
20080124,13.77,13.77,13.77,13.77,6885,[0 1]
20080128,15.0,15.0,13.5,14.0,322481,[0 0]
20080129,13.51,14.0,13.0,13.0,220226,[1 0]
20080130,14.0,14.0,13.6,13.6,93760,[0 0]
20080131,14.2,14.3,14.0,14.01,125795,[1 1]
20080201,14.04,14.35,14.04,14.04,63211,[0 1]
20080207,13.9,13.9,13.9,13.9,34750,[0 0]
20080208,13.7,13.7,13.0,13.0,170940,[0 1]
20080211,13.1,14.0,13.03,14.0,283581,[0 1]
20080212,14.0,14.15,13.52,13.52,319392,[1 1]
20080213,13.8,14.8,13.52,14.8,148543,[0 0]
20080214,14.5,14.51,14.4,14.45,190857,[0 1]
20080215,14.35,14.35,12.93,14.0,321160,[1 1]
20080218,14.2,15.1,14.2,14.5,187430,[1 0]
20080219,14.51,14.51,14.51,14.51,50785,[0 1]
20080220,15.0,15.0,14.99,14.99,11993,[1 0]
20080221,15.1,16.0,15.1,15.5,798071,[0 0]
20080222,15.95,15.95,15.6,15.6,376921,[0 1]
20080225,15.5,15.5,15.3,15.3,167120,[1 0]
20080226,15.4,15.4,13.01,15.0,86647,[0 1]
20080227,15.85,15.85,15.7,15.7,247110,[0 0]
20080228,14.5,16.0,14.5,15.9,680470,[0 1]
20080229,15.8,15.8,15.11,15.2,68316,[0 1]
20080303,15.21,15.9,15.21,15.51,211410,[0 0]
20080304,15.5,15.9,15.11,15.7,152091,[0 0]
20080305,15.8,16.0,15.49,16.0,291712,[1 0]
20080306,16.0,16.0,16.0,16.0,1600,[1 1]
20080320,15.0,15.0,14.0,14.0,135020,[1 0]
20080325,13.9,14.01,13.9,14.01,80950,[1 0]
20080326,14.0,14.1,14.0,14.1,49200,[0 1]
20080327,14.05,14.4,13.5,14.4,330538,[1 0]
20080401,13.6,14.0,13.5,14.0,154380,[0 1]
20080402,14.0,14.2,14.0,14.0,223365,[0 0]
20080403,13.5,14.0,13.5,14.0,104500,[1 1]
20080404,14.2,14.2,14.16,14.16,2836,[0 1]
20080407,14.2,15.0,14.0,14.0,280830,[0 1]
20080408,14.1,14.1,13.9,13.99,181915,[0 1]
20080410,14.0,14.0,13.0,13.28,158494,[0 1]
20080411,14.0,14.0,13.1,13.4,243572,[0 1]
20080414,13.3,13.4,12.9,12.9,127500,[1 1]
20080415,12.9,15.0,12.63,13.25,282496,[0 1]
20080416,13.5,13.5,13.3,13.3,102580,[0 0]
20080417,13.0,13.0,13.0,13.0,59800,[0 1]
20080418,12.77,13.2,12.74,12.85,199159,[0 0]
20080422,13.0,13.0,12.85,12.85,121990,[0 0]
20080423,11.77,11.77,11.53,11.53,20874,[1 0]
20080424,12.65,12.65,11.5,12.3,242340,[0 0]
20080425,12.88,12.9,12.88,12.9,7730,[0 0]
20080428,13.19,13.19,12.81,12.82,6461,[1 1]
20080429,12.81,12.81,12.5,12.5,152059,[0 0]
20080430,12.5,12.5,11.5,11.5,118400,[0 0]
20080502,12.9,14.0,12.9,13.9,802213,[1 0]
20080505,13.8,15.01,13.8,14.5,625297,[1 0]
20080506,14.25,14.25,14.0,14.0,46575,[1 1]
20080507,14.8,14.95,13.95,14.21,255967,[1 0]
20080508,14.21,14.21,13.68,13.68,103713,[1 0]
20080509,13.5,13.5,12.9,12.9,869841,[0 1]
20080512,13.21,13.58,13.12,13.5,474548,[1 0]
20080513,13.5,13.5,12.8,12.8,449794,[1 0]
20080514,13.09,13.1,12.82,12.82,299234,[0 1]
20080515,13.0,13.1,13.0,13.1,2610,[1 0]
20080516,12.8,13.0,12.5,13.0,375600,[0 1]
20080519,13.1,13.2,12.9,13.18,357260,[0 1]
20080520,12.91,13.0,12.8,12.81,60517,[0 0]
20080521,12.99,13.0,12.81,13.0,158012,[0 0]
20080523,13.1,13.2,12.85,12.85,188640,[0 1]
20080526,13.1,13.1,12.96,12.99,71686,[1 0]
20080527,12.6,12.9,12.59,12.6,175852,[0 1]
20080528,12.95,12.95,12.65,12.7,140312,[1 1]
20080529,13.08,13.08,12.8,12.8,93840,[1 0]
20080530,12.9,12.9,12.5,12.5,118782,[1 1]
20080602,12.51,12.65,12.51,12.65,146503,[0 1]
20080603,12.8,12.8,12.8,12.8,35840,[0 1]
20080604,12.56,12.62,12.4,12.62,188366,[1 1]
20080605,13.0,13.0,13.0,13.0,1300,[1 0]
20080606,12.99,12.99,12.55,12.55,175179,[1 1]
20080609,12.5,12.5,12.4,12.4,54870,[1 1]
20080610,12.2,12.5,12.0,12.5,123630,[0 0]
20080611,11.97,11.97,11.97,11.97,20349,[0 1]
20080612,11.98,11.98,11.81,11.81,5973,[0 1]
20080613,11.98,11.98,11.81,11.81,156109,[1 0]
20080616,11.75,11.75,11.75,11.75,70500,[1 1]
20080617,12.0,12.5,11.76,12.5,115862,[1 1]
20080618,12.0,12.0,11.5,11.7,98500,[0 1]
20080619,11.2,11.2,11.2,11.2,40320,[0 0]
20080620,11.1,11.7,11.0,11.7,60774,[0 0]
20080623,11.2,11.25,11.2,11.25,17995,[0 1]
20080625,11.0,11.0,10.8,10.8,73820,[1 1]
20080626,11.0,11.0,10.6,10.6,170100,[0 0]
20080627,11.0,11.0,10.85,10.85,45750,[0 0]
20080630,11.0,11.0,10.9,10.9,23090,[1 0]
20080701,10.6,10.86,10.5,10.5,156645,[0 1]
20080702,10.9,11.0,10.9,11.0,30610,[1 0]
20080704,10.5,10.5,10.05,10.05,2055,[0 1]
20080707,10.05,10.05,10.05,10.05,1005,[0 1]
20080710,10.0,10.0,10.0,10.0,12000,[1 0]
20080711,10.5,11.54,10.5,11.54,62920,[0 1]
20080714,10.0,10.9,10.0,10.9,146890,[0 0]
20080715,10.6,11.0,10.6,11.0,66120,[1 1]
20080716,11.4,11.48,11.4,11.48,185686,[0 0]
20080717,11.99,11.99,11.99,11.99,21582,[1 1]
20080718,11.0,11.0,11.0,11.0,20900,[0 0]
20080722,10.0,10.0,10.0,10.0,15000,[1 0]
20080723,10.51,10.51,10.0,10.0,47510,[0 0]
20080725,10.35,10.35,10.35,10.35,62100,[1 0]
20080728,10.51,10.51,10.51,10.51,24173,[1 1]
20080729,11.0,11.0,10.5,11.0,107050,[0 1]
20080730,11.0,12.0,11.0,12.0,178201,[1 1]
20080731,11.88,11.94,11.88,11.94,14262,[1 0]
20080801,11.9,11.9,11.9,11.9,1190,[1 1]
20080805,11.99,11.99,11.99,11.99,33572,[0 1]
20080806,11.99,12.0,11.63,12.0,172014,[0 1]
20080807,12.0,12.9,12.0,12.0,81075,[0 1]
20080808,11.4,11.56,11.4,11.56,80600,[0 0]
20080811,11.55,11.9,11.55,11.55,21980,[1 0]
20080812,11.55,11.55,11.0,11.0,49562,[1 0]
20080813,11.0,11.01,11.0,11.01,52831,[0 1]
20080814,11.2,11.5,11.2,11.5,2270,[1 0]
20080815,11.0,11.5,10.5,11.5,114680,[1 0]
20080818,11.0,11.0,10.51,10.51,131870,[0 0]
20080819,10.91,11.5,10.89,11.5,67658,[0 0]
20080820,11.5,11.5,11.5,11.5,1150,[0 1]
20080821,10.95,11.0,10.51,11.0,131676,[0 1]
20080822,10.5,10.5,10.5,10.5,1050,[1 0]
20080825,10.51,11.5,10.51,11.5,124995,[0 1]
20080827,10.51,10.51,10.51,10.51,10510,[0 1]
20080828,10.8,10.8,10.8,10.8,1080,[1 0]
20080829,10.55,10.55,10.5,10.55,34800,[0 1]
20080901,9.8,10.4,9.8,10.1,162195,[0 1]
20080904,10.01,10.5,10.01,10.1,97736,[0 0]
20080905,10.01,10.01,10.0,10.0,27019,[1 0]
20080908,9.98,9.98,9.75,9.75,59728,[1 1]
20080909,10.85,10.85,10.85,10.85,42315,[1 0]
20080910,9.0,9.0,9.0,9.0,57600,[0 1]
20080912,9.2,9.2,9.2,9.2,7360,[0 1]
20080915,9.5,9.5,9.5,9.5,47500,[0 0]
20080916,10.44,10.44,10.44,10.44,40716,[1 1]
20080917,9.9,9.9,9.1,9.1,1900,[0 0]
20080918,9.5,9.5,9.0,9.0,50973,[1 0]
20080922,9.0,9.0,9.0,9.0,900,[1 1]
20080930,9.3,9.3,9.3,9.3,930,[1 0]
20081002,9.5,9.5,9.5,9.5,38000,[0 1]
20081003,9.5,9.5,8.5,8.5,80400,[1 1]
20081006,8.99,10.5,6.78,8.5,136966,[0 1]
20081007,8.5,9.0,8.5,8.56,69026,[1 0]
20081009,8.5,8.5,8.5,8.5,42500,[1 0]
20081010,8.0,8.0,8.0,8.0,800,[0 1]
20081013,8.4,8.4,8.4,8.4,840,[1 1]
20081014,8.5,8.7,8.5,8.7,10410,[1 0]
20081016,8.29,8.29,8.0,8.0,1629,[1 1]
20081020,8.5,8.5,8.5,8.5,850,[0 1]
20081021,8.0,8.0,7.51,7.51,44032,[1 1]
20081023,7.51,7.52,7.51,7.52,30821,[1 0]
20081024,7.51,7.51,7.5,7.5,28537,[0 0]
20081027,7.99,8.0,7.99,8.0,59188,[0 0]
20081028,7.0,8.0,7.0,8.0,42000,[0 1]
20081029,8.5,8.5,8.5,8.5,850,[1 1]
20081030,8.0,8.0,8.0,8.0,38400,[1 0]
20081031,8.39,8.4,8.39,8.4,53726,[0 1]
20081105,9.0,9.0,8.5,8.5,36850,[0 1]
20081110,8.5,8.8,8.5,8.8,42650,[0 1]
20081112,8.06,8.06,8.06,8.06,24180,[0 0]
20081114,9.0,9.0,9.0,9.0,900,[1 0]
