date,open,max,min,close,volume,y
20051007,42.7,42.7,42.7,42.7,106750,[0 0]
20051223,37.54,37.54,37.5,37.5,45036,[0 1]
20060314,37.02,37.02,37.02,37.02,40722,[0 1]
20060913,31.0,31.0,31.0,31.0,74400,[1 0]
20061024,32.73,32.73,32.73,32.73,29457,[1 0]
20061222,32.52,32.52,32.52,32.52,156096,[0 0]
20070108,34.0,34.0,34.0,34.0,6800,[1 0]
20070912,43.99,44.0,43.99,44.0,439960,[1 0]
20070913,44.0,44.0,44.0,44.0,158400,[1 0]
20070920,50.01,50.01,50.01,50.01,220044,[0 1]
20071114,50.01,50.01,50.01,50.01,15003,[1 0]
20071220,50.01,50.01,50.01,50.01,85017,[1 1]
20080428,41.0,41.0,41.0,41.0,196800,[1 0]
20090323,43.85,43.85,43.85,43.85,78930,[0 1]
20101021,139.69,139.69,139.69,139.69,27938,[0 0]
20110121,46.0,46.0,46.0,46.0,69000,[0 1]
20110126,45.02,45.02,45.02,45.02,225100,[1 0]
20110131,46.69,46.69,46.69,46.69,102718,[1 1]
20110202,44.3,44.3,44.0,44.0,114940,[1 0]
20110207,40.0,40.0,40.0,40.0,284000,[0 0]
20110217,41.02,41.02,41.02,41.02,4102,[1 0]
20110222,42.3,42.3,42.3,42.3,8460,[1 0]
20110228,40.55,40.55,40.55,40.55,369005,[0 0]
20110301,40.8,40.8,40.8,40.8,118320,[0 1]
20110303,41.0,41.0,41.0,41.0,151700,[0 1]
20110330,47.81,47.81,47.81,47.81,47810,[1 1]
20110401,41.0,41.0,40.2,40.2,77340,[1 0]
20110404,40.0,40.0,40.0,40.0,320000,[0 0]
20110418,42.94,42.94,42.94,42.94,21470,[1 0]
20110419,40.85,40.85,40.85,40.85,61275,[0 0]
20110426,40.85,40.85,40.85,40.85,155230,[1 0]
20110429,39.12,39.12,39.12,39.12,371640,[1 0]
20110506,42.0,42.0,42.0,42.0,420000,[1 0]
20110511,43.2,43.2,43.2,43.2,108000,[1 0]
20110513,44.8,44.8,43.0,43.0,301020,[0 0]
20110516,45.0,45.0,45.0,45.0,198000,[0 0]
20110517,48.46,48.46,45.56,45.56,324720,[0 0]
20110518,48.46,48.46,48.46,48.46,19384,[0 1]
20110524,47.3,47.3,47.3,47.3,23650,[1 1]
20110525,47.3,47.3,47.3,47.3,127710,[1 0]
20110531,47.3,47.3,47.3,47.3,99330,[1 1]
20110601,47.99,47.99,47.99,47.99,134372,[0 1]
20110602,47.12,47.12,47.12,47.12,18848,[1 0]
20110607,48.15,48.15,48.15,48.15,288900,[1 1]
20110608,47.97,47.97,47.97,47.97,105534,[1 1]
20110614,47.0,47.0,47.0,47.0,28200,[1 0]
20110616,45.0,45.0,45.0,45.0,225000,[0 0]
20110620,45.0,45.0,45.0,45.0,4500,[1 0]
20110628,48.0,48.0,48.0,48.0,4800,[1 0]
20110701,42.79,43.4,41.69,42.43,5680728,[1 0]
20110704,41.33,43.0,41.33,42.51,3436578,[1 0]
20110705,41.01,42.87,41.01,42.8,22048027,[1 0]
20110706,42.4,42.99,42.2,42.99,3703774,[1 1]
20110707,42.99,43.48,42.99,43.48,1979122,[0 1]
20110708,43.0,43.2,42.71,43.08,1785815,[1 1]
20110711,42.0,42.75,42.0,42.75,1062572,[1 0]
20110712,42.5,42.5,42.01,42.01,1084792,[0 0]
20110713,42.29,42.75,42.29,42.75,1565576,[0 1]
20110714,42.0,42.99,42.0,42.5,960985,[0 1]
20110715,42.8,42.8,42.3,42.3,579739,[0 1]
20110718,42.01,42.02,42.01,42.01,310893,[1 0]
20110719,42.2,42.2,42.0,42.2,160320,[1 0]
20110720,42.0,42.1,41.86,42.1,952132,[0 1]
20110721,42.2,42.46,42.0,42.46,1042002,[0 0]
20110722,42.3,42.3,41.85,41.85,231855,[1 1]
20110725,41.85,42.19,41.85,42.08,750681,[0 1]
20110726,42.1,42.1,41.03,41.03,420674,[1 1]
20110728,41.0,41.59,40.88,41.59,710179,[1 1]
20110729,40.88,41.53,40.13,41.53,709684,[0 1]
20110801,41.5,41.5,40.02,40.97,209679,[1 1]
20110802,41.0,41.09,40.5,40.5,702089,[0 1]
20110803,39.25,39.25,38.51,39.12,994381,[0 1]
20110804,37.02,37.99,37.01,37.99,517923,[0 1]
20110805,37.5,37.98,37.5,37.98,196056,[1 0]
20110808,36.6,36.6,35.0,35.0,274120,[0 0]
20110810,35.0,35.0,35.0,35.0,136500,[1 0]
20110811,36.01,36.01,36.0,36.0,140404,[1 0]
20110812,37.99,38.0,36.11,36.11,276654,[1 0]
20110815,38.0,38.0,36.24,36.8,1077116,[1 1]
20110826,35.0,42.0,35.0,42.0,154700,[0 1]
20110831,34.0,35.78,34.0,35.78,86068,[0 1]
20110901,36.01,37.4,36.01,37.4,207759,[0 0]
20110902,37.1,38.39,37.1,38.39,133029,[1 1]
20110905,38.8,39.01,35.22,35.22,682462,[1 0]
20110906,39.0,39.0,39.0,39.0,167700,[1 0]
20110908,39.49,39.49,39.1,39.2,282769,[1 0]
20110912,38.5,38.5,38.25,38.25,19150,[0 0]
20110913,38.35,38.35,38.35,38.35,38350,[1 1]
20110915,38.5,39.0,38.5,39.0,293950,[0 0]
20110916,40.0,40.0,40.0,40.0,432000,[1 1]
20110919,40.0,40.59,40.0,40.59,344059,[1 0]
20110921,41.0,41.0,41.0,41.0,397700,[1 1]
20110922,40.0,40.0,39.0,39.0,111709,[1 1]
20110923,39.0,39.0,39.0,39.0,3900,[1 0]
20110926,38.98,39.5,38.01,38.01,515061,[1 0]
20110927,38.21,40.7,38.21,40.7,442878,[1 1]
20110928,39.0,39.0,38.01,38.01,121731,[0 1]
20110929,39.98,39.98,39.98,39.98,7996,[1 1]
20110930,39.0,39.0,39.0,39.0,156000,[1 1]
20111003,39.0,40.0,39.0,40.0,381500,[1 0]
20111004,38.5,38.5,38.5,38.5,11550,[0 0]
20111007,41.79,41.79,40.5,40.68,468221,[1 0]
20111010,38.5,38.5,38.01,38.01,114128,[1 0]
20111011,41.1,41.5,41.0,41.0,1072130,[0 0]
20111014,40.0,40.0,40.0,40.0,252000,[1 1]
20111018,41.2,41.5,41.2,41.5,512050,[0 0]
20111019,41.5,42.22,41.5,42.22,885528,[0 0]
20111020,41.0,42.0,41.0,42.0,65900,[1 1]
20111021,42.22,42.3,42.22,42.3,616996,[1 0]
20111024,42.5,43.0,42.5,43.0,836144,[1 0]
20111025,43.0,43.2,43.0,43.2,693760,[1 0]
20111026,39.01,43.3,39.01,43.3,408394,[1 1]
20111027,43.39,44.0,43.0,43.0,474195,[0 1]
20111031,42.8,42.8,42.8,42.8,256800,[0 1]
20111104,41.5,42.48,41.5,42.48,751340,[1 0]
20111107,42.1,42.1,42.1,42.1,210500,[1 0]
20111110,43.0,44.0,43.0,44.0,532390,[1 0]
20111111,42.0,42.0,42.0,42.0,8400,[1 1]
20111114,43.4,44.3,43.4,44.3,88060,[0 0]
20111116,41.7,41.7,41.7,41.7,87570,[0 1]
