date,open,max,min,close,volume,y
20051004,41.0,41.8,41.0,41.69,7008900,[0 0]
20051005,41.7,41.7,41.0,41.69,30419800,[0 1]
20051006,41.7,41.7,39.0,40.99,25219400,[0 1]
20051007,41.0,41.5,40.94,40.94,18852200,[0 0]
20051010,40.5,41.0,40.5,41.0,6100000,[0 0]
20051011,40.98,40.99,40.98,40.99,52057200,[0 1]
20051013,40.01,41.0,40.01,41.0,1210200,[0 0]
20051014,40.5,40.5,40.0,40.4,4009000,[0 0]
20051017,40.4,40.4,40.0,40.0,26816000,[1 0]
20051018,40.0,43.0,38.06,40.0,155079900,[1 0]
20051019,39.0,40.3,38.0,39.85,60192200,[0 1]
20051020,39.05,39.5,38.0,39.0,14075500,[0 1]
20051021,39.0,39.5,38.5,39.5,15574000,[1 1]
20051024,39.0,39.49,39.0,39.49,10987600,[0 1]
20051025,39.49,39.49,38.5,39.2,7794900,[0 0]
20051026,38.5,38.7,37.5,38.7,16768100,[0 0]
20051027,39.0,39.0,38.0,38.6,3830000,[1 0]
20051028,38.8,38.8,38.5,38.79,1160900,[1 1]
20051031,39.5,39.59,37.65,38.69,91339500,[1 1]
20051101,39.2,40.0,38.2,39.8,28477900,[1 0]
20051103,39.8,39.8,38.5,38.79,48482700,[1 0]
20051104,39.0,39.0,37.0,38.69,14335100,[0 1]
20051107,39.2,39.5,38.0,38.8,8146700,[0 0]
20051108,38.0,38.7,38.0,38.6,5350000,[1 1]
20051109,38.6,41.0,38.5,38.99,107684300,[0 0]
20051110,40.0,40.0,38.5,39.7,23791000,[0 1]
20051111,40.0,40.5,38.89,40.0,10714100,[0 1]
20051114,39.49,39.5,39.49,39.5,789900,[0 0]
20051116,39.9,39.9,39.9,39.9,399000,[0 0]
20051117,39.5,39.5,39.4,39.5,24884000,[0 0]
20051118,39.0,39.4,38.5,39.4,6599000,[0 0]
20051121,39.5,39.5,38.5,38.9,4653000,[0 0]
20051122,37.5,37.98,37.0,37.9,14643300,[1 1]
20051123,38.4,38.5,38.4,38.4,19590900,[0 1]
20051124,38.0,38.4,37.59,38.1,95543500,[1 0]
20051125,38.49,38.49,38.0,38.2,28456900,[1 1]
20051128,38.49,39.5,38.49,39.4,310562300,[1 0]
20051129,39.4,41.8,39.4,41.0,158266500,[0 1]
20051130,40.8,42.5,40.8,42.0,176724700,[0 1]
20051201,42.5,42.79,41.6,42.2,47367400,[0 1]
20051202,42.19,43.05,41.0,41.95,21294500,[1 0]
20051205,41.7,42.2,41.5,42.0,27751800,[1 0]
20051206,42.5,42.9,39.0,40.9,177566500,[1 0]
20051219,36.8,38.0,36.8,36.9,9604000,[0 1]
20051220,36.65,39.6,35.8,37.0,93798100,[0 0]
20051221,37.0,37.0,35.85,36.85,60649300,[0 0]
20051222,37.0,37.0,36.78,36.79,16963200,[1 0]
20051223,36.8,36.99,36.8,36.99,76582000,[1 0]
20051226,37.49,37.49,37.49,37.49,11247000,[0 1]
20051227,37.05,37.05,36.0,36.87,21330000,[0 1]
20051228,36.8,36.8,36.0,36.3,5067800,[1 1]
20051229,36.99,37.0,36.3,36.3,9479900,[0 0]
20060102,36.7,36.9,36.3,36.49,9852000,[0 1]
20060103,36.8,36.98,35.6,36.4,69862300,[1 0]
20060104,36.79,36.79,35.5,36.5,30464500,[1 0]
20060105,36.49,36.5,36.0,36.5,155905500,[1 1]
20060106,36.5,36.5,36.0,36.5,25705000,[1 1]
20060109,36.5,36.5,36.0,36.0,5765000,[1 1]
20060110,35.5,35.8,35.0,35.0,46707300,[0 1]
20060111,35.0,35.0,34.0,34.5,58313400,[0 1]
20060112,34.2,34.51,34.0,34.3,81925100,[1 1]
20060113,34.0,34.4,34.0,34.1,16802000,[0 0]
20060116,35.0,35.0,34.0,34.0,17253100,[0 0]
20060117,33.8,34.5,33.8,34.0,30932000,[1 0]
20060118,34.0,34.0,33.5,34.0,10875000,[1 0]
20060119,34.0,35.5,33.5,34.5,168243800,[1 0]
20060120,35.0,35.5,34.5,35.4,33661400,[0 0]
20060123,35.4,35.4,34.5,35.4,8430000,[0 0]
20060124,35.39,36.0,35.39,36.0,46384800,[0 0]
20060126,36.0,36.5,36.0,36.01,31991700,[0 1]
20060127,36.5,37.0,35.2,35.2,32201600,[0 1]
20060130,36.0,36.5,32.01,36.3,62915900,[1 0]
20060131,36.0,38.0,36.0,37.5,510554100,[0 0]
20060201,37.0,38.39,37.0,38.39,96219700,[0 0]
20060202,38.4,38.4,37.4,38.0,72127700,[0 1]
20060203,37.5,38.0,37.5,38.0,63651800,[1 0]
20060206,37.25,38.1,37.25,38.1,18047000,[1 0]
20060207,38.0,38.0,37.5,37.95,97156700,[0 1]
20060208,37.99,38.15,37.51,38.0,72153100,[0 0]
20060209,38.0,38.49,38.0,38.0,60077800,[1 0]
20060210,38.4,38.99,38.4,38.4,16950800,[1 1]
20060213,39.0,39.2,38.5,38.9,10104100,[1 0]
20060214,38.8,38.89,38.5,38.8,20525100,[0 0]
20060215,39.0,39.1,38.85,39.0,38610400,[1 0]
20060216,39.2,39.2,38.8,39.0,33536500,[0 0]
