date,open,max,min,close,volume,y
20130208,30.01,32.0,30.01,32.0,25188220900,[0 0]
20130213,32.15,32.17,31.31,31.76,2074804600,[0 0]
20130214,31.66,31.9,31.0,31.05,1409740500,[0 1]
20130215,31.01,31.05,30.86,30.99,2364650500,[0 1]
20130218,30.94,30.95,30.0,30.7,242122500,[0 1]
20130219,30.5,30.95,30.5,30.56,631764300,[1 1]
20130220,30.56,31.0,30.56,31.0,74511100,[1 0]
20130221,30.53,30.8,30.4,30.8,443180200,[0 0]
20130222,30.54,30.99,30.5,30.99,455384400,[1 0]
20130225,30.8,31.17,30.65,30.7,395833300,[1 0]
20130226,30.51,30.99,30.51,30.9,78112700,[1 0]
20130227,30.99,31.28,30.87,31.2,266504400,[1 0]
20130228,31.04,31.99,31.04,31.99,179531200,[1 1]
20130301,31.52,32.49,31.5,32.49,76872400,[1 1]
20130304,32.2,32.99,31.99,32.2,117661800,[0 0]
20130305,32.5,32.95,32.2,32.2,341455500,[0 0]
20130306,32.4,33.16,31.08,31.52,565185800,[1 0]
20130307,31.9,32.02,31.45,31.61,32267300,[0 1]
20130308,31.42,31.89,31.09,31.3,214046200,[0 1]
20130311,31.32,32.49,31.2,32.49,43596300,[0 1]
20130312,32.1,32.45,31.69,31.75,97089000,[0 0]
20130313,31.75,32.89,31.46,32.89,55745900,[0 1]
20130314,32.11,32.39,31.9,32.0,1510299800,[1 0]
20130315,32.0,32.37,31.8,32.37,283559100,[1 1]
20130318,32.0,32.0,31.93,32.0,1080319300,[1 1]
20130319,32.06,32.55,32.06,32.31,2764981800,[1 0]
20130320,32.41,32.98,32.41,32.5,20306700,[1 1]
20130321,32.55,32.8,32.51,32.71,273328600,[1 1]
20130322,32.73,33.0,32.65,32.84,1505977100,[1 1]
20130325,32.89,32.89,32.3,32.3,1824898600,[0 0]
20130326,32.31,32.43,31.41,31.98,684804600,[0 1]
20130327,31.89,32.29,31.56,31.75,892338900,[1 0]
20130328,31.99,31.99,31.75,31.75,580424100,[1 0]
20130401,31.7,32.25,31.7,32.04,455499000,[1 0]
20130402,32.2,32.2,31.03,31.38,90567200,[1 0]
20130403,31.38,31.51,31.21,31.35,209151200,[0 1]
20130404,31.2,31.65,31.16,31.48,122532100,[0 0]
20130405,31.68,31.68,31.21,31.45,1729857800,[1 1]
20130408,31.75,32.45,31.1,32.45,1998048500,[1 0]
20130409,32.26,32.3,31.61,31.9,207392200,[0 0]
20130410,32.11,32.12,31.71,32.0,805082500,[0 1]
20130411,32.23,32.23,31.8,31.95,34186600,[0 1]
20130412,31.98,31.99,31.71,31.75,79423900,[1 1]
20130415,31.31,31.98,31.06,31.4,77260100,[0 1]
20130416,31.87,31.88,31.17,31.55,187031200,[1 0]
20130417,31.31,31.81,31.31,31.75,124078800,[1 0]
20130418,31.61,31.61,30.76,31.25,609308100,[0 1]
20130502,33.41,33.99,33.12,33.5,878708100,[1 1]
20130503,33.71,34.6,33.45,34.0,308057500,[1 1]
20130506,33.69,34.87,33.64,34.6,293888800,[0 0]
20130507,34.47,35.97,34.29,34.95,607826600,[1 0]
20130508,35.19,35.49,34.51,35.0,2378372300,[1 1]
20130509,34.94,35.0,34.3,34.6,344737200,[1 1]
20130510,34.99,35.79,34.99,35.5,2061527500,[1 0]
20130513,35.2,35.6,35.04,35.6,131843600,[1 0]
20130514,35.64,36.3,35.31,35.81,1337726200,[1 1]
20130515,35.71,37.11,35.71,36.5,1077781600,[1 0]
20130516,36.97,37.4,36.35,36.85,915197700,[1 1]
20130517,36.92,37.11,36.5,37.0,1306747400,[0 1]
20130520,37.0,37.0,36.58,36.8,95761600,[0 0]
20130521,36.78,37.0,36.35,36.7,227640100,[0 1]
20130522,36.79,36.8,35.76,35.76,401703700,[1 0]
20130523,35.74,36.8,35.74,36.0,344608500,[1 1]
20130524,36.11,37.9,35.91,37.9,617237300,[0 1]
20130527,37.15,38.36,36.5,37.8,227787600,[0 0]
20130528,38.14,38.94,37.4,38.7,311163900,[1 1]
20130529,38.52,38.52,37.51,37.6,255638400,[0 1]
20130531,37.67,38.95,36.9,38.0,3251319100,[0 0]
20130603,38.09,38.23,36.35,36.5,355227700,[1 0]
20130604,36.85,37.69,36.5,37.0,1275501500,[1 0]
20130605,37.1,37.29,36.12,36.12,213832500,[0 1]
20130606,36.0,36.29,35.44,36.0,162160300,[0 0]
20130607,35.71,37.45,35.16,37.22,565580300,[0 0]
20130610,37.22,37.8,36.71,36.91,135384300,[1 0]
20130611,36.13,36.42,35.13,35.13,478897900,[1 1]
20130612,35.43,36.0,34.75,35.51,165482000,[1 0]
20130613,35.4,35.9,35.4,35.9,323698200,[1 1]
20130614,35.74,36.66,35.52,36.5,161290600,[1 1]
20130617,36.49,36.6,36.25,36.5,127020900,[1 1]
20130618,36.11,36.5,36.1,36.18,165405000,[0 1]
20130619,36.17,36.4,35.71,35.71,2785958100,[1 0]
20130620,35.52,35.52,34.02,34.02,137417200,[1 1]
20130621,33.7,35.61,33.49,35.61,788106300,[0 1]
20130624,34.83,35.12,34.71,35.07,362514200,[1 1]
20130625,34.74,35.7,34.74,35.7,1989518900,[0 0]
20130626,35.3,36.5,35.3,35.9,702692900,[0 1]
20130627,35.94,37.99,35.81,37.3,1140571900,[0 1]
20130628,36.94,37.99,36.0,36.0,747580100,[1 0]
20130701,35.49,37.79,35.49,37.0,224943900,[1 0]
20130702,36.52,37.67,36.52,37.32,320098100,[1 0]
20130703,37.4,37.5,35.08,35.08,5281025300,[1 1]
20130704,35.43,36.0,35.36,36.0,106035500,[1 1]
20130705,36.01,36.01,35.2,35.2,292635200,[1 0]
20130708,35.01,35.94,33.77,33.77,1506820900,[1 0]
20130710,33.87,34.5,33.87,34.3,999503700,[1 1]
20130711,34.71,35.0,34.02,35.0,370244000,[0 1]
20130712,34.77,36.4,34.77,35.7,150660200,[1 0]
20130715,35.94,37.45,35.94,37.1,156070500,[1 1]
20130716,37.28,37.99,36.84,37.3,168858600,[0 1]
20130717,37.67,37.7,36.79,37.07,248458300,[0 1]
20130718,36.89,37.2,36.8,36.8,42455500,[0 0]
20130719,36.62,37.1,36.62,37.1,22235000,[0 0]
20130722,36.81,37.49,36.28,36.45,75421200,[0 1]
20130723,36.8,37.5,36.3,37.33,195054000,[1 0]
20130724,37.34,37.7,37.12,37.55,297404100,[1 0]
20130725,37.44,38.5,37.44,37.7,71181600,[0 0]
20130726,37.75,39.28,37.17,38.28,149213600,[0 1]
20130729,38.25,39.05,38.25,38.85,5510167700,[1 0]
20130730,38.99,38.99,37.64,37.64,315010300,[0 0]
20130731,37.55,37.8,37.02,37.79,1414895300,[1 1]
20130801,37.91,38.11,36.95,36.95,645634900,[0 0]
20130802,37.02,37.79,36.87,37.79,299675600,[1 1]
20130805,37.77,38.33,37.77,37.93,3984585700,[1 1]
20130806,37.95,38.69,37.84,38.23,423158300,[0 1]
20130807,37.86,38.49,37.86,38.0,104297300,[0 0]
20130808,38.52,39.99,38.28,39.06,715389800,[0 0]
20130809,39.6,41.49,39.38,40.26,628416300,[0 0]
20130812,39.87,40.57,39.86,40.01,65366400,[0 0]
20130813,39.8,41.69,39.8,40.21,973922900,[1 0]
20130814,39.95,41.78,39.65,39.82,268240700,[0 1]
20130815,39.22,40.01,39.22,39.7,76703100,[1 1]
20130816,39.7,39.7,37.07,37.07,161938000,[1 1]
20130819,38.0,39.6,38.0,39.1,411470500,[0 1]
20130820,38.71,39.5,38.71,39.4,147331400,[0 0]
20130821,39.16,39.73,38.5,39.0,288405700,[1 0]
20130822,39.45,39.55,39.06,39.55,85408200,[0 1]
20130823,39.99,40.0,39.0,40.0,126086700,[1 1]
20130826,39.99,39.99,38.9,39.05,593030700,[0 0]
20130827,38.51,39.29,38.51,39.1,148093200,[0 0]
20130828,38.56,39.05,38.56,38.91,37416100,[1 1]
20130829,38.57,39.23,38.57,38.75,214172000,[0 1]
20130830,38.75,38.81,38.13,38.8,363847000,[0 1]
20130902,38.8,39.35,38.7,38.91,118831700,[1 0]
20130903,38.66,38.9,38.31,38.73,502096300,[0 1]
20130904,38.26,39.09,38.26,38.85,91545700,[1 1]
20130905,39.14,39.15,38.3,38.3,176900900,[0 1]
20130906,38.25,38.57,38.14,38.23,1318949000,[0 0]
20130909,37.71,38.69,37.71,38.4,281641000,[0 0]
20130910,38.4,38.55,38.25,38.29,493212900,[1 0]
20130911,38.14,38.5,38.14,38.3,504095700,[1 0]
20130912,38.05,38.52,38.05,38.3,302161100,[1 0]
20130913,38.14,38.3,37.98,37.98,126294000,[1 1]
20130916,37.86,38.32,37.86,38.15,913904900,[0 1]
20130917,37.94,38.29,37.82,38.15,1904533200,[0 0]
20130918,38.02,38.18,37.71,37.99,117172900,[0 0]
20130919,37.82,37.92,37.1,37.38,700400000,[0 0]
20130920,37.11,37.49,36.71,36.71,1023458500,[0 1]
20130923,36.96,37.36,36.7,37.0,1931294600,[1 0]
20130924,36.77,37.19,36.77,36.9,706443400,[1 0]
20130925,36.76,37.13,36.76,37.0,2506134200,[1 1]
20130926,37.0,37.35,37.0,37.1,110019100,[0 1]
20130927,36.81,37.53,36.81,37.31,230019400,[1 1]
20130930,37.32,37.67,37.22,37.25,468903300,[1 1]
20131001,37.14,37.7,37.14,37.7,1068009300,[1 1]
20131002,37.52,37.98,37.52,37.75,162685900,[0 0]
20131003,37.72,38.2,37.6,38.1,190923700,[0 0]
20131004,37.92,38.71,37.92,38.45,3581172000,[1 1]
