date,open,max,min,close,volume,y
20130208,30.0,31.15,29.51,31.08,470689844,[1 0]
20130213,31.49,32.01,31.49,32.0,10967577,[1 0]
20130214,31.45,31.76,30.56,31.02,5331821,[0 0]
20130215,31.0,31.05,30.0,31.05,5100079,[0 1]
20130218,31.0,31.0,30.0,30.71,1394438,[0 1]
20130219,30.5,30.89,30.4,30.69,3504119,[1 1]
20130220,30.5,31.0,30.5,30.69,2013818,[1 1]
20130221,29.02,30.69,29.02,30.4,1684290,[0 0]
20130222,30.11,30.8,30.11,30.79,1108146,[1 0]
20130225,31.0,31.89,30.21,30.23,1167749,[1 1]
20130226,30.22,30.9,30.22,30.8,274181,[0 1]
20130227,30.4,31.89,30.4,31.01,2169053,[0 0]
20130228,31.45,31.5,31.01,31.4,628559,[1 1]
20130301,30.5,31.79,30.07,31.77,1745920,[1 1]
20130304,32.0,32.69,32.0,32.49,992173,[0 0]
20130305,31.0,33.0,31.0,32.3,842390,[1 0]
20130306,32.88,32.88,31.01,31.01,1300940,[1 0]
20130307,31.8,31.9,31.03,31.71,1271686,[0 1]
20130308,31.16,31.4,31.12,31.14,471106,[1 0]
20130311,31.55,31.55,31.3,31.3,522955,[1 1]
20130312,31.99,32.8,31.99,32.8,302095,[1 0]
20130313,31.0,31.0,31.0,31.0,18600,[0 0]
20130314,31.0,32.15,31.0,32.15,583560,[1 0]
20130315,32.05,32.05,32.05,32.05,208325,[1 1]
20130318,32.37,32.37,30.01,30.01,294096,[1 1]
20130319,31.9,32.1,31.9,32.0,86445,[0 0]
20130320,32.5,32.85,32.5,32.5,462478,[1 0]
20130321,32.7,32.7,32.7,32.7,120990,[1 1]
20130322,32.72,33.0,32.72,33.0,418278,[0 0]
20130325,32.7,32.7,32.58,32.58,531220,[1 0]
20130326,31.01,32.05,31.01,31.5,417601,[1 1]
20130327,31.7,32.0,31.7,31.76,515343,[1 1]
20130328,31.75,31.75,31.7,31.75,938945,[0 1]
20130401,31.75,32.2,31.75,31.98,1309852,[0 0]
20130402,31.75,31.9,31.0,31.0,445530,[1 1]
20130403,30.02,32.44,30.02,30.03,628046,[0 1]
20130404,30.02,31.35,30.02,31.35,131404,[0 0]
20130405,31.5,31.5,31.5,31.5,72450,[0 0]
20130408,31.4,32.97,30.05,31.31,805081,[1 0]
20130409,32.2,32.2,31.51,31.51,121641,[1 0]
20130410,32.0,32.3,32.0,32.3,391560,[0 0]
20130411,31.99,32.32,30.03,32.32,616332,[1 1]
