date,open,max,min,close,volume,y
19980401,0.06,0.06,0.06,0.06,360000,[1 1]
19980427,0.2,0.2,0.2,0.2,20000,[1 0]
19980428,0.22,0.32,0.22,0.32,172000,[0 1]
19980429,0.35,0.35,0.35,0.35,35000,[1 1]
19980526,0.29,0.29,0.29,0.29,29000,[0 0]
19980616,0.25,0.25,0.2,0.2,70000,[0 1]
19980617,0.18,0.22,0.18,0.22,381000,[1 1]
19980706,0.24,0.24,0.24,0.24,24000,[0 1]
19980805,0.26,0.26,0.26,0.26,26000,[1 0]
19990415,0.15,0.15,0.15,0.15,75000,[0 1]
19990505,0.1,0.1,0.1,0.1,10000,[1 0]
19991025,0.11,0.11,0.1,0.1,21000,[1 1]
19991028,0.14,0.15,0.14,0.15,29000,[1 0]
19991126,0.15,0.18,0.15,0.18,159000,[0 1]
19991202,0.2,0.24,0.2,0.24,260000,[0 0]
19991229,0.24,0.24,0.24,0.24,24000,[1 0]
20000509,0.4,0.4,0.4,0.4,200000,[0 1]
20000510,0.45,0.49,0.45,0.49,94000,[0 1]
20000825,0.46,0.46,0.46,0.46,46000,[1 1]
20000829,0.38,0.38,0.38,0.38,228000,[0 0]
20000830,0.45,0.45,0.45,0.45,45000,[0 0]
20000901,0.5,0.5,0.5,0.5,100000,[1 0]
20000107,0.26,0.26,0.26,0.26,78000,[0 0]
20000112,0.28,0.29,0.28,0.29,57000,[0 0]
20000208,0.33,0.33,0.33,0.33,33000,[0 0]
20000209,0.35,0.35,0.35,0.35,35000,[0 0]
20000210,0.35,0.35,0.35,0.35,210000,[0 0]
20000225,0.35,0.35,0.35,0.35,350000,[0 0]
20010202,0.4,0.4,0.4,0.4,40000,[1 1]
20010306,0.4,0.4,0.4,0.4,400000,[0 0]
20010323,0.41,0.41,0.4,0.4,407000,[0 0]
20010412,0.7,0.7,0.7,0.7,490000,[0 1]
20010827,0.7,0.7,0.7,0.7,350000,[1 0]
20011026,0.7,0.7,0.7,0.7,490000,[1 0]
20011029,0.99,0.99,0.99,0.99,99000,[1 0]
20011221,0.99,0.99,0.99,0.99,198000,[1 1]
20011228,1.29,1.29,1.2,1.2,738000,[0 0]
20020222,1.79,1.79,1.79,1.79,179000,[0 1]
20021118,1.9,2.45,1.9,2.45,1170000,[1 1]
20030604,1.99,1.99,1.99,1.99,199000,[0 0]
20030702,1.99,1.99,1.99,1.99,199000,[1 1]
20030917,1.99,1.99,1.99,1.99,597000,[0 0]
20031112,1.98,1.98,1.98,1.98,396000,[0 1]
20031218,1.99,1.99,1.99,1.99,796000,[0 0]
20040512,1.8,1.8,1.8,1.8,180000,[0 1]
20040831,1.5,1.5,1.5,1.5,300000,[0 0]
20041018,1.5,1.5,1.5,1.5,150000,[0 1]
20041020,1.5,1.5,1.5,1.5,1500000,[0 0]
20041130,1.5,1.5,1.5,1.5,1170000,[1 0]
20041214,1.5,1.5,1.5,1.5,300000,[0 1]
20041215,1.5,1.5,1.5,1.5,300000,[1 1]
20050119,1.5,1.5,1.5,1.5,150000,[1 0]
20050120,1.5,1.5,1.5,1.5,150000,[1 1]
20050203,1.5,1.5,1.5,1.5,300000,[0 0]
20050204,1.5,1.5,1.5,1.5,225000,[0 1]
20050307,1.5,1.5,1.5,1.5,750000,[0 1]
20050505,0.95,0.95,0.95,0.95,760000,[0 0]
20050624,3.0,3.0,3.0,3.0,30000,[1 0]
20050713,3.0,3.5,3.0,3.5,99900,[1 0]
20050714,2.5,2.5,2.5,2.5,125000,[0 1]
20050909,2.5,2.5,2.5,2.5,100000,[1 1]
20051019,1.5,1.5,1.5,1.5,150000,[1 1]
20051212,1.5,1.5,1.5,1.5,150000,[1 1]
20060124,1.5,1.5,1.5,1.5,30000,[0 1]
20060425,1.8,2.0,1.8,2.0,116000,[1 1]
20060426,2.1,2.1,2.1,2.1,126000,[1 0]
20060627,1.0,1.0,1.0,1.0,20000,[0 0]
20060628,1.02,1.05,1.01,1.05,224600,[1 1]
20060704,0.95,0.95,0.95,0.95,66500,[1 0]
20060705,0.99,0.99,0.99,0.99,99000,[0 0]
20060711,0.85,0.85,0.85,0.85,17000,[0 0]
20060727,0.87,0.87,0.87,0.87,87000,[0 0]
20060801,1.02,1.02,1.02,1.02,3468000,[1 0]
20060802,1.02,1.02,1.02,1.02,132600,[1 0]
20060825,0.95,0.95,0.95,0.95,285000,[1 0]
20060828,0.95,0.95,0.95,0.95,9500,[0 1]
20061003,1.0,1.0,1.0,1.0,190000,[0 1]
20061113,1.01,1.01,1.01,1.01,10100,[0 1]
20061116,1.05,1.98,1.05,1.98,40800,[0 0]
20061124,1.7,1.75,1.7,1.74,741500,[1 0]
20061128,1.55,1.65,1.55,1.65,268000,[1 0]
20061129,1.69,1.74,1.69,1.74,686000,[1 0]
20061130,1.79,1.83,1.79,1.83,412900,[1 1]
20061201,1.71,1.74,1.71,1.74,345000,[0 1]
20061212,1.46,1.51,1.46,1.51,599000,[0 1]
20061213,1.49,1.51,1.49,1.51,226100,[0 0]
20061214,1.51,1.55,1.51,1.55,457000,[0 0]
20061215,1.52,1.52,1.51,1.51,334200,[0 1]
20061218,1.51,1.51,1.51,1.51,271800,[0 1]
20061221,1.49,1.49,1.49,1.49,625800,[0 0]
20061222,1.51,1.51,1.51,1.51,302000,[0 0]
20061226,1.49,1.49,1.41,1.49,803800,[0 0]
20061227,1.49,1.49,1.49,1.49,745000,[0 1]
20061228,1.45,1.45,1.45,1.45,725000,[0 1]
20070110,1.48,1.48,1.48,1.48,103600,[1 0]
20070117,1.48,1.48,1.48,1.48,444000,[1 0]
20070122,1.48,1.48,1.48,1.48,740000,[0 0]
20070123,1.48,1.8,1.48,1.75,2303000,[0 1]
20070129,1.69,1.75,1.69,1.75,734500,[1 0]
20070206,1.59,1.59,1.59,1.59,318000,[1 1]
20070207,1.6,1.6,1.6,1.6,64000,[1 0]
20070209,1.69,1.77,1.69,1.77,1016500,[0 0]
20070212,1.79,1.85,1.79,1.85,1092000,[0 1]
20070213,1.99,2.0,1.9,1.9,437100,[0 0]
20070214,1.8,1.8,1.8,1.8,198000,[0 0]
20070223,1.91,2.94,1.91,2.94,8456400,[1 0]
20070226,3.15,4.52,3.15,3.33,25233200,[0 0]
20070227,3.4,3.4,2.51,3.05,5241100,[0 1]
20070228,3.35,3.35,2.8,2.85,1285400,[0 1]
20070305,2.5,2.5,2.5,2.5,25000,[0 1]
20070306,2.5,2.8,2.5,2.8,503000,[1 0]
20070307,2.5,2.5,2.5,2.5,125000,[0 0]
20070308,2.55,2.7,2.52,2.52,335100,[0 0]
20070309,2.41,2.43,2.41,2.43,217300,[0 1]
20070312,2.35,2.35,2.15,2.15,283500,[0 1]
20070313,2.18,2.23,2.16,2.2,2767400,[0 0]
20070314,2.05,2.19,2.05,2.19,342200,[1 0]
20070316,2.2,2.4,2.2,2.3,7417200,[0 0]
20070319,2.2,2.2,2.2,2.2,22000,[1 0]
20070320,2.23,2.23,2.2,2.2,749900,[1 1]
20070321,2.4,2.7,2.4,2.6,9298800,[0 1]
20070322,2.6,2.7,2.5,2.7,4225000,[0 0]
20070323,2.79,3.0,2.79,2.85,16778200,[0 1]
20070326,2.87,3.14,2.87,3.14,6356800,[1 0]
20070327,3.14,3.95,3.14,3.64,23215500,[0 0]
20070328,3.59,3.69,3.51,3.69,4564700,[1 0]
20070330,3.6,3.84,3.4,3.84,13274700,[0 0]
20070402,3.8,3.84,3.8,3.84,382900,[1 0]
20070403,3.84,3.98,3.79,3.98,1349900,[0 1]
20070404,4.0,4.4,4.0,4.2,1804800,[1 0]
20070405,4.35,4.99,4.35,4.99,11721300,[0 0]
