date,open,max,min,close,volume,y
20080429,6.0,6.0,5.4,5.4,2380006,[1 1]
20080430,5.6,5.65,5.3,5.65,692436,[0 0]
20080502,5.97,6.75,5.67,6.75,758382,[0 0]
20080505,6.75,6.8,6.3,6.61,1125549,[0 1]
20080506,6.79,6.79,6.4,6.51,487571,[0 0]
20080507,6.45,6.6,6.03,6.49,368113,[1 1]
20080508,6.52,6.52,6.01,6.01,92502,[1 0]
20080509,6.0,6.0,6.0,6.0,42000,[0 1]
20080512,5.76,6.15,5.7,6.15,154602,[1 1]
20080513,5.66,5.66,5.65,5.65,45815,[0 0]
20080514,5.86,5.86,5.6,5.6,93348,[0 1]
20080515,5.86,6.1,5.86,6.1,233072,[1 0]
20080516,5.85,6.5,5.85,6.15,133833,[0 1]
20080519,6.15,6.25,6.1,6.25,277808,[0 1]
20080520,6.0,6.0,6.0,6.0,18000,[0 0]
20080523,6.01,6.18,6.0,6.0,61993,[0 0]
20080526,6.05,6.19,6.05,6.19,64435,[0 0]
20080527,6.0,6.25,6.0,6.25,76575,[0 0]
20080528,6.4,6.65,6.01,6.65,252668,[0 1]
20080529,6.65,6.65,6.65,6.65,9975,[1 1]
20080530,6.5,6.5,6.5,6.5,39000,[1 0]
20080602,6.3,6.3,5.75,5.75,57650,[0 1]
20080604,6.29,6.29,6.0,6.0,74311,[0 0]
20080606,6.05,6.05,6.05,6.05,6050,[1 0]
20080610,6.0,6.0,6.0,6.0,48600,[1 1]
20080612,6.0,6.0,6.0,6.0,42000,[0 0]
20080616,6.2,6.2,6.2,6.2,6200,[0 0]
20080617,6.0,6.0,5.65,5.65,35981,[0 1]
20080618,6.0,6.0,6.0,6.0,30000,[0 1]
20080619,6.0,6.0,6.0,6.0,28800,[0 0]
20080620,5.9,5.9,5.9,5.9,8260,[0 0]
20080625,5.85,5.9,5.85,5.9,40680,[1 1]
20080626,5.8,5.8,5.8,5.8,4640,[1 0]
20080627,5.8,5.8,5.8,5.8,5800,[1 0]
20080630,5.75,5.75,5.75,5.75,2875,[1 0]
20080702,5.5,5.5,5.0,5.0,46650,[0 0]
20080703,4.98,4.98,4.98,4.98,8964,[1 0]
20080704,4.5,4.5,4.5,4.5,450,[1 0]
20080707,4.9,4.9,4.9,4.9,490,[0 1]
20080710,5.2,5.2,5.2,5.2,27040,[0 1]
20080716,5.25,5.25,5.25,5.25,2100,[1 0]
20080725,5.45,5.45,5.45,5.45,23435,[0 1]
20080728,5.45,5.45,5.45,5.45,43600,[1 0]
20080730,4.75,4.75,4.5,4.5,3200,[0 1]
20080801,4.75,4.75,4.75,4.75,1900,[0 0]
20080808,4.75,4.75,4.4,4.4,19570,[1 1]
20080826,4.1,4.1,4.1,4.1,7790,[0 1]
20080828,4.1,4.6,4.01,4.6,21976,[0 0]
20080901,4.6,4.6,4.2,4.2,12470,[0 1]
20080902,4.4,4.4,4.4,4.4,17600,[1 0]
20080903,4.5,4.5,4.5,4.5,19800,[0 1]
20080904,4.5,4.5,4.5,4.5,450,[1 1]
20080910,4.5,4.5,4.5,4.5,450,[1 1]
20080911,4.5,4.5,4.5,4.5,450,[1 0]
20080912,4.5,4.5,4.5,4.5,450,[0 0]
20080915,4.5,4.5,4.5,4.5,19800,[0 1]
20080916,4.6,4.6,4.6,4.6,6900,[0 0]
20080917,4.35,4.35,4.35,4.35,6525,[1 0]
20080922,4.36,4.36,4.36,4.36,12637,[1 0]
20080930,4.25,4.25,4.0,4.0,57139,[1 0]
20081001,4.0,4.0,4.0,4.0,38400,[0 1]
20081006,3.56,3.56,3.5,3.5,14712,[1 0]
20081007,3.0,3.0,3.0,3.0,17100,[1 0]
20081008,3.1,3.2,3.1,3.2,33450,[1 1]
20081014,3.4,3.4,3.4,3.4,10200,[1 1]
20081015,3.8,3.95,3.8,3.95,26075,[0 0]
20081017,3.35,3.35,3.35,3.35,20770,[0 1]
20081021,3.59,3.59,3.59,3.59,3949,[0 1]
20081023,3.25,3.25,3.25,3.25,8125,[0 0]
20081106,4.0,4.0,4.0,4.0,400,[1 0]
20081110,3.3,3.3,3.3,3.3,13200,[1 0]
20081111,3.1,3.1,3.1,3.1,13020,[0 1]
20081125,3.06,3.06,3.0,3.0,13260,[0 1]
20081126,3.95,3.95,3.95,3.95,395,[0 1]
20081128,3.0,3.0,3.0,3.0,1500,[0 1]
20081203,3.29,3.29,3.29,3.29,13489,[0 1]
20081208,3.0,3.0,3.0,3.0,24300,[0 1]
20081218,3.0,3.0,3.0,3.0,13200,[0 1]
20081222,3.45,3.45,3.45,3.45,3450,[0 1]
20081229,3.45,3.45,3.45,3.45,345,[1 0]
20081230,3.5,3.5,3.5,3.5,28350,[1 0]
