date,open,max,min,close,volume,y
20080728,3.98,4.6,3.98,4.48,230196,[1 1]
20080729,5.2,5.51,5.0,5.0,669259,[0 0]
20080730,5.37,5.72,5.05,5.25,799939,[0 0]
20080731,5.12,5.28,5.06,5.2,462675,[0 1]
20080801,5.11,5.11,4.45,4.55,483663,[1 0]
20080804,4.45,4.45,3.5,3.88,338536,[0 0]
20080805,3.55,3.55,3.27,3.27,401249,[1 0]
20080806,3.51,3.75,3.25,3.25,244124,[1 0]
20080807,3.6,4.19,3.6,4.0,424662,[1 1]
20080808,4.3,4.35,4.0,4.15,379462,[0 0]
20080811,4.07,4.19,3.76,3.86,160005,[0 0]
20080812,3.87,3.93,3.75,3.75,153983,[0 1]
20080813,3.63,3.63,3.4,3.45,306942,[1 0]
20080814,3.45,3.5,3.45,3.5,78130,[0 0]
20080815,3.51,3.7,3.5,3.5,100855,[0 0]
20080818,3.55,4.0,3.41,4.0,73806,[0 0]
20080819,3.5,3.54,3.32,3.32,262609,[1 1]
20080820,4.0,4.0,3.4,3.4,104227,[0 0]
20080821,3.8,4.0,3.61,3.8,336135,[1 1]
20080822,3.78,3.79,3.52,3.65,78826,[1 0]
20080825,3.65,3.75,3.63,3.63,106162,[0 1]
20080826,3.75,3.85,3.52,3.52,95230,[0 0]
20080827,3.65,3.65,3.4,3.5,27963,[0 1]
20080828,3.57,3.6,3.3,3.36,103196,[0 0]
20080829,3.42,3.5,3.4,3.4,251734,[0 0]
20080901,3.3,3.5,3.3,3.5,89229,[1 0]
20080902,3.41,3.41,3.32,3.32,124262,[0 0]
20080903,3.39,3.4,3.1,3.1,98549,[1 0]
20080904,3.4,3.4,2.9,2.9,20820,[0 0]
20080905,3.0,3.0,2.73,2.73,118930,[0 1]
20080908,2.77,2.77,2.26,2.26,171461,[1 0]
20080909,2.5,2.5,2.11,2.11,213748,[0 0]
20080910,2.3,2.3,1.9,1.92,87338,[0 1]
20080911,2.0,2.25,2.0,2.25,150744,[0 1]
20080912,2.2,2.33,2.11,2.27,45692,[1 1]
20080915,2.27,2.27,2.0,2.0,90839,[1 1]
20080916,2.01,2.05,1.81,1.9,119384,[0 1]
20080917,1.85,2.01,1.69,2.01,120829,[0 1]
20080918,2.05,2.5,2.02,2.5,209779,[0 0]
20080919,2.65,3.5,2.65,3.02,401663,[1 0]
20080922,3.05,3.06,2.75,2.75,110842,[0 1]
20080923,2.75,2.75,2.53,2.53,46110,[0 1]
20080924,2.69,2.7,2.69,2.7,42913,[0 1]
20080925,2.65,2.65,2.3,2.41,378310,[1 1]
20080926,2.3,2.3,2.09,2.1,168980,[0 0]
20080929,2.01,2.01,1.75,1.75,138791,[0 1]
20080930,1.9,1.9,1.67,1.84,88761,[0 1]
20081001,1.71,1.8,1.71,1.72,38683,[0 1]
20081002,1.8,1.8,1.63,1.63,63312,[1 0]
20081003,1.57,1.57,1.25,1.25,122770,[1 0]
20081006,1.21,1.21,0.82,0.85,53017,[1 1]
20081007,1.02,1.09,0.9,0.91,54005,[1 0]
20081008,0.88,0.9,0.85,0.88,32061,[0 0]
20081009,1.0,1.0,0.81,0.81,37801,[0 0]
20081010,0.82,0.9,0.74,0.76,35790,[1 0]
20081013,0.81,0.9,0.79,0.9,53734,[1 0]
20081014,0.96,0.96,0.86,0.86,39418,[1 0]
20081015,0.86,0.86,0.78,0.84,26913,[0 0]
20081016,0.84,0.84,0.79,0.84,10495,[0 0]
20081017,0.87,0.87,0.81,0.81,40914,[1 1]
20081020,0.9,0.9,0.77,0.84,22463,[0 0]
20081021,0.9,0.9,0.8,0.85,20294,[1 0]
20081022,0.75,0.77,0.75,0.77,9695,[1 0]
20081023,0.8,0.81,0.74,0.75,21073,[0 1]
20081024,0.7,0.7,0.65,0.65,22487,[0 0]
20081027,0.64,0.64,0.59,0.59,7365,[1 1]
20081028,0.66,0.66,0.53,0.62,21612,[0 1]
20081029,0.63,0.63,0.55,0.55,11189,[0 0]
20081030,0.63,0.64,0.6,0.64,18986,[0 0]
20081031,0.6,0.82,0.6,0.76,48150,[1 1]
20081103,0.79,1.09,0.79,1.0,105580,[0 0]
20081104,1.05,1.31,1.05,1.31,118481,[0 0]
20081105,1.5,1.9,1.36,1.51,493664,[0 1]
20081106,1.5,1.5,1.07,1.16,246753,[0 0]
20081107,1.15,1.41,1.15,1.33,121468,[0 0]
20081110,1.41,1.57,1.03,1.03,220699,[1 1]
20081111,1.25,1.33,1.11,1.33,70069,[1 1]
20081112,1.43,1.43,1.2,1.2,47214,[1 1]
20081113,1.24,1.24,1.08,1.2,63705,[1 0]
20081114,1.12,1.22,1.12,1.22,24596,[0 1]
20081117,1.1,1.21,1.06,1.07,56307,[0 1]
20081118,1.0,1.03,0.85,0.85,59918,[0 1]
20081119,0.97,0.97,0.85,0.86,70649,[0 1]
20081121,0.86,0.9,0.78,0.78,59696,[1 1]
20081124,0.86,0.87,0.79,0.79,62713,[0 0]
20081125,0.85,0.85,0.73,0.74,40995,[1 0]
20081126,0.74,0.99,0.74,0.95,99409,[0 1]
20081127,1.07,1.08,1.02,1.08,95217,[1 0]
20081128,1.02,1.17,0.98,1.12,116259,[1 0]
20081201,1.13,1.13,1.0,1.07,70139,[0 1]
20081202,1.05,1.13,1.05,1.05,51287,[1 1]
20081203,1.15,1.15,1.03,1.03,43619,[0 1]
20081204,1.13,1.13,1.01,1.1,28708,[1 1]
20081205,1.04,1.12,1.01,1.01,74549,[1 0]
20081208,1.2,1.2,1.07,1.07,42506,[0 0]
20081209,1.13,1.13,1.06,1.06,68340,[1 0]
20081210,1.1,1.21,1.05,1.21,114643,[0 1]
20081211,1.3,1.8,1.3,1.6,542075,[1 1]
20081212,1.64,1.78,1.55,1.6,170093,[0 0]
20081215,1.74,1.85,1.6,1.7,150226,[0 1]
20081216,1.75,1.76,1.55,1.55,72523,[1 1]
20081217,1.55,1.62,1.55,1.58,39575,[1 1]
20081218,1.71,1.74,1.65,1.65,63609,[1 1]
20081219,1.68,1.74,1.6,1.74,40501,[1 0]
20081222,1.72,1.78,1.7,1.7,9572,[1 0]
20081223,1.69,1.69,1.6,1.6,60285,[0 0]
20081226,1.64,1.64,1.52,1.58,18700,[1 1]
20081229,1.6,1.6,1.51,1.55,36231,[0 0]
20081230,1.51,1.55,1.31,1.31,28440,[1 1]
20090102,1.4,1.56,1.37,1.51,16061,[1 0]
20090105,1.55,1.55,1.4,1.47,36151,[0 1]
20090106,1.47,1.51,1.47,1.48,73249,[1 1]
20090107,1.5,1.5,1.38,1.38,72299,[0 0]
20090108,1.35,1.51,1.35,1.51,43280,[0 0]
20090109,1.7,1.7,1.48,1.48,91426,[0 1]
20090112,1.55,1.55,1.4,1.43,51417,[1 1]
20090113,1.44,1.44,1.38,1.38,44696,[0 1]
20090114,1.28,1.28,1.26,1.27,49878,[1 0]
20090115,1.24,1.25,1.22,1.24,21426,[1 0]
20090116,1.3,1.32,1.25,1.25,24660,[1 0]
20090119,1.35,1.35,1.26,1.29,10739,[1 1]
20090120,1.3,1.33,1.24,1.26,48374,[1 1]
20090121,1.25,1.25,1.2,1.2,7420,[1 0]
