date,open,max,min,close,volume,y
20070621,15.62,16.74,15.5,16.25,976963291,[0 0]
20070622,16.8,16.8,15.78,15.8,93575292,[1 0]
20070625,15.87,16.06,15.31,15.5,43314042,[0 1]
20070626,15.48,15.8,15.2,15.8,43086175,[1 0]
20070627,15.53,15.6,15.1,15.21,20732998,[1 0]
20070628,15.2,15.54,15.0,15.0,18315171,[1 0]
20070629,15.0,15.3,14.8,15.2,22087829,[1 0]
20070702,15.15,15.98,15.1,15.9,37220269,[0 0]
20070703,15.98,16.15,15.71,15.75,34176729,[0 0]
20070704,15.75,16.0,15.7,15.95,19581849,[0 0]
20070705,15.9,16.01,15.4,15.9,18855765,[1 0]
20070706,15.95,16.2,15.77,16.2,26118154,[1 0]
20070710,16.05,16.05,15.77,15.89,10867446,[0 1]
20070711,15.72,16.4,15.71,16.29,30218223,[0 0]
20070712,16.35,16.35,15.85,16.05,15634506,[0 0]
20070713,16.0,16.04,15.78,15.81,10636311,[0 1]
20070716,15.93,15.99,15.54,15.7,8171234,[1 0]
20070717,15.71,15.71,15.33,15.6,7911929,[0 0]
20070718,15.6,15.6,15.15,15.28,5493273,[0 0]
20070719,15.26,15.4,14.87,15.11,11771428,[0 1]
20070720,15.15,15.24,14.8,14.86,9035998,[0 0]
20070723,15.1,15.12,14.7,15.05,11253336,[1 0]
20070724,15.0,15.15,13.96,14.29,10520068,[1 0]
20070725,14.4,14.9,14.21,14.5,6979739,[0 1]
20070726,15.0,15.0,13.55,13.9,6577638,[0 1]
20070727,13.9,14.15,13.85,13.87,2422351,[1 0]
20070730,14.5,14.5,13.96,14.23,3222063,[1 0]
20070731,14.5,14.5,13.55,13.55,2840294,[0 0]
20070801,13.7,13.7,13.3,13.45,3977718,[1 1]
20070802,13.6,13.9,13.0,13.45,3289729,[0 0]
20070803,13.4,13.59,13.0,13.0,3115693,[0 1]
20070806,13.21,13.32,12.54,13.0,2385954,[1 0]
20070807,13.37,13.7,13.1,13.38,2435000,[0 1]
20070808,13.8,14.0,13.52,13.52,3807529,[1 0]
20070809,14.0,14.0,13.01,13.3,1287429,[1 1]
20070810,13.1,13.15,12.81,12.95,3712796,[0 0]
20070813,13.17,13.3,12.6,12.7,1826261,[0 1]
20070814,12.9,12.9,12.51,12.65,1638246,[1 1]
20070815,12.57,12.57,11.85,12.2,4825112,[0 0]
20070816,10.2,11.79,9.27,10.35,7576422,[1 0]
20070817,11.49,12.5,10.7,12.5,2992950,[1 0]
20070820,13.0,13.05,12.13,12.21,2390352,[0 0]
20070821,12.2,12.73,12.01,12.12,793796,[0 0]
20070822,12.5,12.65,12.0,12.64,1765464,[1 0]
20070823,12.7,12.79,12.06,12.44,2041677,[1 1]
20070824,12.3,12.65,12.25,12.64,1451694,[1 1]
20070827,12.68,12.68,12.2,12.45,1121636,[1 1]
20070828,12.44,12.44,11.9,12.2,1426744,[1 0]
20070829,12.4,12.4,12.0,12.31,1033272,[0 0]
20070830,12.3,12.45,12.1,12.1,1373331,[1 1]
20070831,12.7,13.0,12.64,12.84,3409672,[1 0]
20070903,13.0,13.49,12.76,13.44,3345594,[0 0]
20070904,13.16,13.74,13.16,13.2,4231157,[1 0]
20070905,12.8,13.97,12.3,13.3,1690318,[1 1]
20070906,13.5,13.5,12.91,13.19,1179455,[0 0]
20070910,12.5,12.6,11.65,12.4,1738324,[1 0]
20070911,12.21,12.5,12.1,12.4,1278358,[1 1]
20070912,12.45,12.5,12.16,12.5,1680041,[0 0]
20070913,12.0,12.85,11.26,12.61,2974936,[0 1]
20070914,12.85,12.85,11.5,12.6,1597330,[1 0]
20070917,12.46,12.46,12.03,12.4,843190,[0 0]
