date,open,max,min,close,volume,y
20050712,39.0,39.8,39.0,39.4,694093700,[1 1]
20050713,39.99,39.99,39.5,39.5,631487300,[0 1]
20050714,39.9,40.0,39.7,40.0,356229800,[0 1]
20050715,40.0,40.0,40.0,40.0,275600000,[1 1]
20050718,40.0,40.1,40.0,40.09,377848500,[0 0]
20050719,40.15,40.4,40.0,40.0,119216100,[1 1]
20050720,40.05,40.4,40.0,40.4,1214235900,[1 1]
20050721,40.6,41.0,40.6,41.0,14735600,[1 1]
20050722,42.0,42.0,41.0,42.0,100942000,[0 0]
20050725,41.0,41.99,40.6,40.8,1243999300,[1 0]
20050726,41.0,41.0,40.5,40.7,321520900,[0 0]
20050727,41.5,42.0,40.7,41.0,796550200,[0 1]
20050728,41.5,41.5,41.0,41.2,443430000,[0 1]
20050729,42.0,46.0,42.0,45.99,1638440800,[0 0]
20050801,47.0,47.0,45.5,46.02,405757400,[0 0]
20050802,47.0,47.0,46.1,46.3,308412500,[0 1]
20050803,46.5,46.5,46.01,46.5,1172835200,[0 1]
20050804,46.5,46.5,46.5,46.5,125550000,[1 0]
20050805,46.5,47.0,46.0,46.5,960653000,[0 0]
20050808,47.0,48.0,47.0,47.75,89287600,[0 1]
20050809,49.0,49.0,47.24,47.5,75137600,[0 0]
20050810,47.79,47.79,47.0,47.0,1128482800,[0 0]
20050811,48.0,48.0,47.0,47.0,354440000,[0 0]
20050812,46.0,47.5,46.0,47.0,315685000,[1 0]
20050815,47.5,49.0,47.4,49.0,923352700,[0 0]
20050816,47.5,49.0,47.5,49.0,129835000,[1 1]
20050817,49.0,51.8,48.5,51.8,503286000,[0 1]
20050818,51.8,51.8,50.99,51.0,51003000,[0 1]
20050819,51.8,51.8,49.0,49.0,279232100,[1 1]
20050822,51.0,51.0,48.98,49.0,259282000,[0 0]
20050823,49.99,49.99,48.7,49.0,434163700,[0 1]
20050824,48.6,49.0,48.0,49.0,1139970800,[1 1]
20050825,49.5,52.0,48.5,52.0,554118000,[0 0]
20050826,49.51,50.0,49.5,49.99,644924200,[0 0]
20050829,51.0,51.0,50.0,50.9,370779000,[1 1]
20050830,51.0,51.0,51.0,51.0,1530000,[1 1]
20050831,53.0,53.0,50.0,50.0,1041540000,[0 0]
20050901,50.5,50.5,49.9,49.9,634902000,[1 1]
20050902,50.0,50.0,49.85,49.9,104980300,[1 1]
20050905,49.5,50.0,47.97,49.9,220170400,[1 1]
20050906,49.9,50.0,49.0,50.0,333280000,[1 0]
20050908,50.0,50.0,49.98,50.0,719499400,[0 1]
20050909,50.0,51.99,49.5,50.0,1366010400,[0 0]
20050912,51.99,51.99,49.9,50.0,107516900,[1 1]
20050913,49.5,50.0,49.5,50.0,144898400,[0 1]
20050914,50.0,50.0,49.5,50.0,21382000,[0 0]
20050915,49.5,50.0,49.5,50.0,505010800,[1 0]
20050916,48.5,55.0,48.5,55.0,1328283600,[0 0]
20050919,56.0,56.0,53.4,55.0,275662000,[0 0]
20050920,54.5,54.5,53.0,53.99,216389500,[1 1]
20050921,54.49,54.49,53.95,53.95,205300600,[0 1]
20050922,54.0,54.49,54.0,54.0,122092500,[0 1]
20050923,54.4,54.5,53.5,54.5,114938100,[0 0]
20050926,55.0,55.0,51.51,53.0,186582400,[0 0]
20050927,54.0,54.0,51.1,53.1,220691100,[0 1]
20050928,53.0,53.0,52.99,53.0,1038772900,[1 1]
20050929,53.99,54.0,53.48,54.0,610528600,[0 0]
20050930,54.49,55.49,54.0,55.0,338796300,[0 1]
20051003,56.5,59.05,56.0,59.0,469405900,[1 0]
20051004,59.98,60.0,56.22,58.0,1484145200,[1 1]
20051005,55.5,57.6,55.5,56.96,214585100,[1 0]
20051006,56.95,56.95,52.3,54.0,2052638000,[0 0]
20051007,54.0,54.98,53.01,54.5,142010400,[0 0]
20051010,54.5,56.0,54.5,55.25,675181700,[1 1]
20051011,56.99,56.99,55.0,55.4,380928200,[1 0]
20051013,54.98,54.98,54.0,54.0,310990000,[1 0]
20051014,54.0,54.0,53.49,54.0,242414500,[0 0]
20051017,53.75,54.0,53.75,54.0,996549500,[1 1]
20051018,54.0,54.0,53.0,53.45,936312500,[1 0]
20051019,53.0,54.0,53.0,53.99,244820400,[0 1]
20051020,54.0,56.0,54.0,54.5,352633000,[1 1]
20051021,55.0,56.0,54.85,55.5,931548800,[0 0]
20051024,57.0,59.0,57.0,57.2,1027784600,[0 0]
20051025,57.01,57.5,56.0,56.0,145270200,[1 0]
20051026,56.0,56.2,55.0,55.0,596342800,[0 1]
20051027,55.99,55.99,55.39,55.39,212207800,[0 1]
20051028,57.0,57.0,56.0,56.0,1103115000,[1 1]
20051031,57.5,60.0,57.5,60.0,760303900,[1 1]
20051101,60.0,60.99,59.0,60.32,349863700,[1 1]
20051103,60.32,62.5,60.32,62.0,1065023100,[0 0]
20051104,62.0,63.0,62.0,62.5,1823934000,[0 1]
20051107,62.5,64.3,62.5,63.9,2949180300,[0 1]
20051108,63.5,63.9,63.0,63.5,2424872200,[0 1]
20051109,63.2,63.5,63.0,63.0,2017591400,[0 0]
20051110,63.0,64.5,63.0,64.5,35462000,[0 1]
20051111,64.5,66.0,63.51,63.51,1538345400,[0 0]
20051114,63.51,63.51,63.25,63.4,363549300,[1 1]
20051116,65.0,66.2,65.0,66.2,527850000,[1 1]
20051129,77.0,78.5,72.0,74.5,991296200,[1 1]
20051130,76.0,79.0,73.3,74.0,1304060200,[0 0]
20051201,74.5,77.0,73.9,75.0,960213900,[1 0]
20051202,77.0,78.44,74.0,74.25,506364000,[1 1]
20051205,74.25,75.29,73.5,74.0,1108256300,[0 0]
20051206,72.01,75.8,71.99,75.3,784661500,[0 0]
20051207,75.5,75.5,75.0,75.0,515452900,[0 0]
20051208,74.1,75.0,70.5,73.22,1250790900,[0 1]
20051209,72.01,73.45,70.12,72.0,407601400,[1 1]
20051212,73.0,73.0,70.0,70.9,457537800,[0 1]
20051213,70.7,70.7,68.01,70.0,3043641700,[1 1]
20051214,70.0,71.89,69.75,71.89,3089139400,[0 0]
20051215,72.0,75.5,71.99,75.5,1972362800,[0 0]
20051216,76.0,77.5,73.7,75.5,523135200,[0 0]
20051219,75.51,77.0,75.5,76.7,2251524800,[0 1]
20051220,76.0,77.0,75.5,76.45,839894000,[0 1]
20051221,75.0,79.9,75.0,77.7,2175457500,[1 0]
20051222,76.2,78.0,75.0,76.8,414537600,[1 1]
20051223,77.67,77.67,73.51,76.0,193782300,[0 0]
20051226,75.99,76.0,75.89,76.0,39479700,[0 1]
20051227,76.0,77.11,75.0,76.0,329421600,[1 1]
20051228,76.0,76.0,73.51,75.0,763076000,[0 0]
20060111,91.0,95.7,91.0,92.99,1176347700,[1 1]
20060112,93.0,96.0,92.0,94.0,1370333900,[1 1]
20060113,95.8,95.8,93.5,94.1,524697300,[0 0]
20060116,93.7,94.0,92.6,93.39,224121900,[0 0]
20060117,92.0,92.0,87.0,91.5,1810688400,[1 1]
20060118,91.48,91.48,88.97,89.1,906450600,[1 0]
20060119,90.0,90.5,89.4,90.5,642850900,[0 1]
20060120,90.5,95.0,90.2,90.9,791049400,[1 1]
