date,open,max,min,close,volume,y
20050712,38.5,39.45,38.5,39.45,908685,[0 1]
20050713,39.1,39.1,39.1,39.1,15640,[0 0]
20050714,39.7,40.2,37.2,40.2,380680,[1 1]
20050715,39.7,40.2,39.7,39.7,99750,[0 0]
20050718,40.0,40.2,37.0,37.0,159860,[1 1]
20050719,40.2,40.2,39.0,40.0,479120,[1 0]
20050720,40.0,41.0,40.0,41.0,341900,[1 0]
20050721,41.0,41.0,40.0,40.0,404000,[1 1]
20050722,40.0,40.0,40.0,40.0,8000,[1 0]
20050725,40.0,42.0,40.0,40.65,582315,[1 0]
20050726,40.8,40.8,40.8,40.8,48960,[1 0]
20050727,41.0,41.0,39.0,41.0,540200,[0 1]
20050728,40.9,40.9,40.9,40.9,208590,[0 1]
20050729,42.0,45.0,42.0,45.0,215900,[0 1]
20050801,39.9,40.15,39.9,40.15,35960,[0 0]
20050802,45.0,51.0,45.0,46.0,594400,[0 1]
20050803,46.0,47.0,46.0,46.5,851500,[1 0]
20050804,52.1,52.1,46.0,48.0,711760,[1 0]
20050805,48.0,50.95,48.0,48.0,757950,[0 1]
20050808,50.0,50.0,49.0,49.0,258800,[0 1]
20050809,43.0,43.0,43.0,43.0,137600,[0 1]
20050810,47.5,49.0,47.5,49.0,745250,[1 0]
20050811,48.0,48.0,47.49,47.49,190011,[0 1]
20050812,47.47,47.47,42.0,46.0,1290249,[1 0]
20050815,46.7,46.7,46.5,46.5,137190,[0 0]
20050816,47.5,47.5,46.0,46.0,164750,[1 1]
20050817,48.99,49.0,48.99,49.0,254794,[1 0]
20050819,49.5,49.5,48.99,49.0,598891,[0 1]
20050822,50.5,50.5,50.5,50.5,353500,[1 1]
20050823,49.5,49.5,48.5,48.5,591541,[0 0]
20050825,53.0,53.0,48.5,48.5,213480,[1 0]
20050826,53.0,53.0,42.0,42.0,328900,[1 1]
20050829,49.9,49.9,49.9,49.9,154789,[0 0]
20050830,54.35,54.35,54.35,54.35,10870,[1 1]
20050831,50.0,50.0,49.99,49.99,109985,[1 0]
20050902,49.8,51.0,49.8,51.0,403200,[0 0]
20050905,49.7,50.0,48.5,50.0,522300,[1 0]
20050908,51.0,51.0,49.0,50.0,657360,[1 1]
20050909,51.0,51.0,51.0,51.0,40800,[1 1]
20050912,42.7,42.7,42.7,42.7,140910,[0 0]
20050913,50.0,51.0,50.0,51.0,235700,[1 0]
20050914,51.5,51.5,49.6,49.6,253150,[1 0]
20050915,49.5,49.99,49.5,49.65,1570854,[0 0]
20050916,49.5,53.0,49.5,52.01,1123032,[0 1]
20050919,55.0,62.3,52.01,52.01,469508,[1 1]
20050920,54.5,54.5,45.0,45.0,768050,[0 1]
20050921,54.0,54.0,54.0,54.0,405000,[0 1]
20050922,57.0,57.0,54.48,54.48,658800,[0 1]
20050923,54.1,54.1,53.5,54.0,569960,[1 0]
20050926,52.01,52.01,51.01,51.1,727729,[1 0]
20050927,53.0,53.0,50.06,50.06,807158,[0 0]
20050928,53.0,53.0,53.0,53.0,397500,[1 1]
20050929,53.99,53.99,53.99,53.99,188965,[0 0]
20051003,59.0,59.49,59.0,59.49,70898,[1 0]
20051004,57.7,57.7,57.7,57.7,63470,[1 0]
20051006,55.1,55.1,52.5,52.5,266400,[0 0]
20051007,54.0,54.0,54.0,54.0,113400,[1 1]
20051010,53.01,55.5,53.01,55.5,438706,[1 0]
20051011,56.01,56.99,56.0,56.0,359692,[0 1]
20051013,55.0,55.0,55.0,55.0,275000,[1 1]
20051014,53.9,53.9,52.53,52.53,162980,[0 1]
20051017,55.0,55.0,53.0,55.0,1554000,[1 1]
20051020,54.5,56.0,54.0,54.0,99500,[1 0]
20051021,55.5,55.5,54.01,54.01,27303,[1 1]
20051024,57.5,57.5,57.0,57.0,85800,[0 0]
20051025,58.5,58.5,57.0,57.0,104100,[0 0]
20051026,55.5,55.5,55.0,55.0,1251750,[1 1]
20051028,57.0,57.0,56.0,56.0,512000,[0 1]
20051103,60.32,62.0,60.32,61.99,952369,[0 1]
20051104,62.0,67.0,62.0,67.0,661700,[1 0]
20051107,64.2,64.2,63.4,63.4,1388354,[1 1]
20051108,62.0,62.0,62.0,62.0,62000,[1 1]
20051110,63.0,63.0,60.01,60.01,207003,[0 0]
20051111,64.48,65.9,64.48,65.9,587088,[1 0]
20051114,63.51,63.51,60.0,60.0,236818,[1 0]
20051116,60.01,65.0,60.01,65.0,522724,[0 1]
20051129,74.78,75.0,74.5,74.5,1315140,[0 0]
20051130,79.0,79.0,74.02,77.48,2027078,[0 1]
20051201,77.5,77.5,74.0,77.5,1245000,[0 1]
20051202,77.49,78.0,76.0,76.0,721780,[1 0]
20051205,74.25,74.25,73.82,74.2,1688013,[1 0]
20051206,72.96,78.43,70.0,78.43,1291306,[1 0]
20051207,73.0,73.0,73.0,73.0,255500,[0 0]
20051208,75.0,76.0,73.0,75.0,1379000,[1 0]
20051209,71.7,71.7,71.68,71.68,344136,[0 1]
20051212,72.99,72.99,71.18,71.18,1148855,[0 0]
20051213,70.9,70.9,66.01,69.21,1078622,[1 0]
20051214,70.5,70.5,69.0,69.02,1176568,[0 1]
20051215,72.0,74.65,72.0,73.1,1216361,[0 1]
20051216,74.65,76.49,74.65,76.49,167910,[1 1]
20051219,76.32,82.4,76.32,82.4,1253920,[0 1]
20051220,76.0,76.5,75.11,75.11,984010,[0 1]
20051221,75.11,79.89,75.1,79.89,1641843,[0 0]
20051223,75.11,75.11,74.49,75.0,2543178,[0 0]
20051227,76.0,77.99,74.01,77.99,258997,[0 1]
20051228,75.85,75.85,72.96,72.96,1232921,[0 1]
20060111,91.7,94.5,91.05,91.05,2802412,[0 1]
20060112,93.0,95.3,92.0,94.0,2400440,[1 1]
20060113,95.0,95.0,93.08,94.0,1774680,[0 1]
20060116,95.0,95.0,95.0,95.0,47500,[0 0]
20060117,94.98,94.98,89.11,94.0,2683256,[0 1]
20060118,93.99,93.99,91.5,91.5,458247,[1 1]
20060119,89.1,89.1,89.1,89.1,53460,[0 0]
20060120,93.4,100.0,90.0,91.5,3007831,[1 1]
20060123,91.5,93.09,91.2,93.09,1997688,[1 1]
20060124,92.0,92.0,92.0,92.0,1361600,[0 0]
20060126,91.5,91.5,90.4,90.4,2280265,[0 0]
20060127,93.0,95.01,91.53,95.0,2838935,[0 1]
20060130,96.0,97.0,93.01,93.01,2121030,[0 1]
20060131,93.0,94.7,93.0,94.7,1215740,[0 0]
20060201,93.99,95.99,92.01,92.01,1394442,[1 1]
20060202,96.99,96.99,89.4,89.4,2250503,[1 0]
20060203,88.0,90.0,85.3,88.5,12414380,[0 0]
20060206,85.5,93.72,85.5,91.5,1173052,[1 1]
20060207,93.0,93.72,91.01,93.72,798578,[0 1]
20060208,94.0,97.0,94.0,97.0,1633290,[0 0]
20060209,98.7,108.49,98.0,101.99,3819979,[0 1]
20060210,101.5,104.0,100.0,100.0,3054750,[1 0]
20060213,99.72,99.72,95.0,95.0,764864,[1 0]
20060214,96.0,96.0,96.0,96.0,288000,[1 0]
20060215,92.78,99.55,92.78,99.55,1493165,[1 0]
20060216,101.97,102.0,101.0,101.0,1116975,[0 1]
20060217,101.0,110.0,101.0,107.94,5366942,[0 1]
20060220,109.0,110.0,109.0,110.0,2052000,[1 0]
20060221,112.3,115.0,109.0,113.0,6953184,[0 0]
20060222,113.0,117.99,110.0,117.99,4190269,[1 0]
20060223,110.0,117.5,110.0,112.53,4975409,[1 0]
20060224,117.0,119.0,115.21,116.98,3713919,[1 0]
20060301,117.15,121.0,117.14,118.0,2683122,[1 0]
20060302,117.21,117.21,113.0,113.0,4189105,[1 1]
20060303,112.0,112.0,109.5,109.5,3147954,[0 1]
20060306,109.7,111.4,108.35,109.0,1240990,[1 1]
20060307,109.0,109.0,102.0,102.8,2556631,[1 0]
20060308,110.76,110.76,102.0,105.0,1896269,[1 0]
20060309,110.0,110.0,108.5,108.5,2494000,[1 0]
20060310,107.0,110.0,105.0,105.0,1631400,[0 1]
20060313,108.5,108.5,105.0,105.5,2999078,[0 0]
20060314,108.99,108.99,105.0,105.0,4872505,[1 0]
20060315,107.0,108.0,105.94,107.9,4846199,[1 0]
20060316,109.48,110.99,106.99,108.0,4082002,[0 1]
20060317,108.01,108.01,104.0,107.4,3674820,[1 0]
20060320,108.71,115.0,108.71,115.0,1836605,[1 1]
20060321,116.06,118.95,110.03,117.5,5448300,[1 1]
20060403,119.0,121.0,118.0,121.0,1080800,[0 0]
20060404,121.1,123.0,119.1,123.0,2139190,[0 1]
20060405,125.0,125.0,121.0,122.0,3827521,[0 1]
20060406,122.0,122.0,118.01,118.99,2631430,[1 1]
20060407,121.0,123.0,118.0,119.0,2710003,[1 1]
