date,open,max,min,close,volume,y
20060515,23.01,24.2,22.01,23.31,15082993700,[1 0]
20060516,24.01,25.25,23.65,24.5,4800444600,[1 0]
20060517,24.5,24.69,23.8,23.8,1081507600,[0 0]
20060518,23.75,24.5,23.75,24.5,790800900,[0 1]
20060519,24.04,24.61,24.04,24.5,1856996400,[1 0]
20060522,24.0,24.0,22.1,23.21,2312977400,[0 1]
20060523,23.0,23.5,22.22,22.55,1544617100,[0 1]
20060524,22.25,22.25,20.5,21.0,1001064200,[0 0]
20060525,20.83,21.85,20.83,21.85,142696400,[0 0]
20060526,22.0,22.64,22.0,22.52,86861000,[1 1]
20060529,22.88,22.88,21.8,21.8,128897300,[0 0]
20060530,21.7,21.7,20.9,21.44,224453000,[0 0]
20060531,21.4,22.5,21.4,22.5,461768200,[0 0]
20060601,22.0,22.51,22.0,22.31,907621300,[0 0]
20060602,22.0,22.5,21.5,22.39,423713600,[1 1]
20060605,22.0,22.3,21.9,22.0,518479300,[1 1]
20060606,21.6,22.2,21.6,21.6,416806200,[1 1]
20060607,21.6,21.9,21.5,21.5,370121600,[0 1]
20060608,21.01,21.48,20.5,21.0,2145032900,[1 0]
20060609,22.0,22.0,21.0,21.69,1085467200,[1 1]
20060612,21.5,22.0,21.41,22.0,713519800,[1 0]
20060613,21.5,21.5,21.0,21.19,785705400,[0 0]
20060614,21.0,21.35,20.01,20.5,1170330200,[0 0]
20060616,20.5,20.9,20.0,20.45,396054100,[0 1]
20060619,21.0,21.0,19.51,19.95,109289700,[1 0]
20060620,19.9,20.0,19.0,19.5,199501600,[1 1]
20060621,19.0,19.5,19.0,19.1,289620200,[1 1]
20060622,19.59,19.59,18.8,19.0,50408900,[1 1]
20060623,18.5,18.5,17.63,17.89,457306400,[1 1]
20060626,17.9,18.49,17.5,18.19,170755900,[0 0]
20060627,18.5,19.0,18.2,18.66,386172800,[0 1]
20060628,19.0,19.5,18.5,19.45,221436800,[0 1]
20060629,19.35,20.8,18.95,20.8,250160700,[0 1]
20060630,20.8,21.52,20.8,21.2,225394700,[0 0]
20060703,21.4,22.3,21.35,21.4,179064700,[0 0]
20060704,21.5,21.6,21.4,21.4,214820000,[0 0]
20060705,21.0,22.3,21.0,22.05,551661200,[0 0]
20060706,22.2,23.0,22.2,22.75,475893100,[1 0]
20060707,23.0,23.0,22.1,22.5,124371400,[0 1]
20060710,22.5,23.5,22.5,23.0,615538500,[1 1]
20060711,23.0,23.4,22.8,23.4,312232500,[0 1]
20060712,23.2,24.9,23.2,24.5,601321600,[0 1]
20060713,24.39,24.39,23.5,23.59,487959900,[1 0]
20060714,23.25,23.6,23.25,23.59,251574700,[0 1]
20060717,23.55,23.55,22.99,23.0,418631800,[1 0]
20060718,23.01,23.1,22.24,22.75,286243600,[1 1]
20060719,22.5,23.5,22.0,22.1,384505400,[1 1]
20060720,22.6,22.6,21.0,21.4,289470800,[0 1]
20060721,22.0,22.1,21.9,21.96,265060900,[1 1]
20060724,22.0,22.5,22.0,22.2,632718100,[0 1]
20060725,22.2,22.25,21.99,22.0,610713200,[0 0]
20060726,22.0,22.11,22.0,22.01,904357400,[1 0]
20060727,22.59,22.59,22.0,22.2,405034300,[0 1]
20060728,22.0,23.1,22.0,22.9,623996200,[1 0]
20060731,22.86,23.2,22.86,23.1,31025200,[0 1]
20060801,23.1,24.07,23.1,24.07,211626100,[0 0]
20060802,24.07,24.51,24.07,24.51,789606400,[0 1]
20060803,24.5,24.8,24.0,24.7,47393100,[0 1]
20060804,25.01,26.4,25.01,25.5,968627500,[0 1]
20060807,25.2,25.8,25.2,25.5,391966200,[1 1]
20060808,25.64,25.7,25.2,25.5,182792600,[1 1]
20060809,25.6,25.95,25.5,25.5,387415200,[1 0]
20060810,25.2,25.69,25.2,25.6,128942100,[1 1]
20060811,25.4,25.57,25.4,25.5,305238700,[1 0]
20060814,24.9,25.6,24.9,25.6,575600200,[0 1]
20060815,25.7,25.8,25.02,25.02,403859100,[1 1]
20060816,25.0,25.5,25.0,25.3,387425700,[0 0]
20060817,25.3,25.4,25.0,25.0,54622000,[0 0]
20060818,25.0,25.0,24.6,24.7,63727000,[1 1]
20060821,24.5,24.6,24.4,24.45,315646400,[1 0]
20060822,24.45,24.45,23.9,23.9,2912300,[1 0]
20060823,24.0,24.0,23.3,23.7,48470400,[0 1]
20060824,23.4,23.79,23.3,23.7,73155900,[1 0]
