date,open,max,min,close,volume,y
20060515,22.5,24.1,22.0,22.79,565884264,[1 0]
20060516,23.99,25.1,23.6,24.75,88497058,[1 1]
20060517,25.0,25.0,23.7,23.85,22070103,[0 0]
20060518,23.8,24.48,23.51,24.4,18151196,[0 1]
20060519,24.5,24.6,23.5,24.5,9920741,[1 0]
20060522,24.0,24.0,22.41,23.2,9340025,[0 1]
20060523,23.0,23.8,22.3,22.5,3876205,[1 0]
20060524,22.2,22.2,20.3,20.7,3535179,[1 0]
20060525,20.5,22.0,20.5,22.0,2170088,[0 0]
20060526,22.0,22.5,22.0,22.43,3138132,[1 1]
20060529,22.53,22.88,21.83,21.9,1606030,[0 0]
20060530,21.5,21.5,21.0,21.39,668680,[0 0]
20060531,21.38,22.0,21.24,22.0,3466376,[0 0]
20060601,22.01,22.49,21.05,22.4,3948925,[0 0]
20060602,22.39,22.5,21.01,22.01,2980183,[0 0]
20060605,22.0,22.3,21.36,22.04,2376451,[1 1]
20060606,21.6,22.19,21.5,21.95,1400654,[1 1]
20060607,21.6,21.9,21.59,21.66,770764,[1 1]
20060608,20.96,21.2,19.52,20.0,2249517,[1 0]
20060609,20.0,21.66,20.0,21.39,582658,[1 1]
20060612,21.5,21.9,20.05,21.9,1268330,[1 0]
20060613,21.4,21.65,20.61,21.18,1277398,[0 0]
20060614,21.0,21.0,20.02,20.32,907792,[0 0]
20060616,20.97,20.97,20.0,20.0,783820,[0 1]
20060619,20.5,21.0,19.41,19.75,1858083,[1 0]
20060620,19.9,19.9,19.3,19.5,400842,[1 0]
20060621,19.01,19.48,19.0,19.1,539982,[1 0]
20060622,19.3,19.3,19.0,19.0,161562,[1 1]
20060623,18.21,18.45,17.99,18.4,878678,[1 1]
20060626,18.38,18.38,17.52,18.29,642772,[1 0]
20060627,18.0,19.0,18.0,18.05,703251,[0 1]
20060628,18.0,19.48,18.0,19.0,495807,[0 1]
20060629,19.2,20.0,18.8,20.0,583548,[0 1]
20060630,20.9,21.49,20.26,20.61,1665984,[0 0]
20060703,19.95,22.25,19.95,21.3,2320642,[0 0]
20060704,21.5,21.8,21.21,21.6,1006916,[1 1]
20060705,21.21,22.18,21.2,22.1,2258934,[0 0]
20060706,22.0,22.9,22.0,22.8,6253749,[1 0]
20060707,22.7,22.7,21.96,22.3,2221198,[0 0]
20060710,22.75,23.35,22.12,23.0,3823437,[1 0]
20060711,23.0,23.35,22.8,23.35,2578216,[0 0]
20060712,23.3,24.5,23.1,24.45,4761247,[1 0]
20060713,23.7,23.9,23.43,23.7,1204849,[1 0]
20060714,23.25,23.55,22.52,23.55,980560,[1 0]
20060717,23.01,23.25,23.0,23.25,561274,[1 0]
20060718,22.85,22.85,22.5,22.5,283995,[1 0]
20060719,22.06,23.0,21.76,21.85,1242376,[1 0]
20060720,22.1,22.1,21.38,21.39,363713,[1 1]
20060721,21.8,22.18,21.8,22.18,470628,[0 1]
20060724,22.0,23.0,20.65,22.39,716788,[1 0]
20060725,22.05,22.2,21.75,21.75,250450,[1 0]
20060726,22.25,22.25,21.9,22.09,534893,[1 0]
20060727,22.2,22.39,21.9,21.9,585831,[0 1]
20060728,22.0,23.1,22.0,23.1,3283342,[0 1]
20060731,22.41,23.1,22.41,23.1,1102940,[1 0]
20060801,23.1,24.01,23.01,24.01,4423283,[0 0]
20060802,24.05,24.45,23.38,24.45,3332194,[1 0]
20060803,24.15,24.7,24.01,24.7,2702057,[1 1]
20060804,25.0,26.0,24.82,25.59,5990469,[1 1]
20060807,25.1,25.82,25.0,25.82,2144205,[0 0]
20060808,25.0,25.64,25.0,25.6,1267129,[1 0]
20060809,25.5,25.65,25.34,25.41,1189567,[1 1]
20060810,25.5,25.96,25.26,25.69,1485708,[1 1]
20060811,25.4,25.4,24.91,25.3,694160,[0 0]
20060814,25.2,25.6,25.0,25.4,1751954,[1 1]
20060815,25.6,25.6,25.0,25.0,1044838,[0 0]
20060816,25.39,25.4,25.21,25.21,488174,[1 1]
20060817,25.1,25.1,25.0,25.0,313105,[0 1]
20060818,24.0,24.6,24.0,24.6,421903,[0 0]
20060821,24.5,24.55,24.35,24.5,501075,[1 0]
20060822,23.99,23.99,23.22,23.23,191902,[1 0]
20060823,23.3,23.89,23.3,23.7,377920,[0 1]
20060824,23.3,23.8,23.3,23.8,567270,[0 0]
20060825,23.8,24.0,23.68,23.68,168826,[1 1]
20060828,23.2,23.44,23.1,23.1,454475,[1 1]
20060829,23.0,23.44,22.98,23.44,533263,[1 1]
20060830,23.1,23.1,22.5,22.5,434224,[0 1]
20060831,22.6,22.9,22.45,22.45,618473,[1 1]
20060901,23.0,23.6,22.36,22.36,647759,[0 1]
20060904,22.8,23.1,22.8,23.1,95800,[0 1]
20060905,23.25,23.6,23.0,23.0,222218,[0 0]
20060906,22.01,23.0,22.01,23.0,388844,[1 1]
20060908,23.0,23.0,22.7,22.75,657135,[1 1]
20060911,24.8,24.8,22.03,22.9,618160,[1 1]
20060912,23.0,23.0,22.5,22.5,247086,[1 1]
20060913,22.44,24.82,22.44,24.82,560231,[1 0]
20060914,22.61,22.61,22.5,22.5,11262,[0 0]
20060918,22.3,22.99,22.2,22.99,292859,[0 1]
20060919,23.0,23.31,22.69,22.8,555871,[1 1]
20060920,24.0,24.0,22.5,24.0,2133880,[0 0]
20060921,22.6,22.8,22.49,22.65,720806,[1 1]
20060922,22.95,23.0,22.9,23.0,366950,[1 1]
20060925,23.0,23.0,22.51,22.89,608442,[0 0]
20060926,23.0,23.29,22.52,23.29,701080,[1 1]
20060927,22.91,22.91,22.52,22.52,330148,[1 1]
20060928,22.51,22.7,22.51,22.65,309630,[0 0]
20060929,23.07,23.07,23.07,23.07,377253,[0 0]
20061002,22.61,22.82,22.61,22.82,405118,[1 1]
20061003,22.95,23.0,22.51,23.0,333646,[0 1]
20061004,22.62,23.2,22.62,23.2,1222063,[0 1]
20061005,22.8,22.8,22.8,22.8,182400,[1 1]
20061006,23.0,23.0,22.43,23.0,413843,[0 0]
20061009,21.01,23.0,21.01,23.0,553460,[0 0]
20061010,23.1,23.1,22.56,23.1,1223600,[0 1]
20061011,22.93,23.1,22.03,22.99,1860626,[1 1]
20061013,23.0,23.0,22.8,22.8,496480,[0 1]
20061016,23.0,23.4,22.61,23.4,1309929,[1 0]
20061017,23.0,23.2,22.7,22.7,470680,[0 0]
20061018,22.9,23.0,22.9,22.95,210373,[1 0]
20061019,22.5,23.0,22.5,23.0,228200,[1 1]
20061020,22.95,23.44,22.67,23.0,843484,[1 0]
20061023,22.8,22.99,22.6,22.99,708708,[1 1]
20061024,22.9,23.0,22.8,22.8,855175,[1 1]
20061025,22.9,22.9,22.63,22.9,454960,[1 0]
20061026,22.49,23.0,22.49,22.68,703884,[1 1]
20061027,22.67,22.9,22.66,22.8,211929,[1 0]
