date,open,max,min,close,volume,y
20080402,12.0,12.4,11.61,12.3,273998,[0 1]
20080403,11.75,12.4,11.7,12.0,272707,[0 1]
20080404,12.4,12.4,11.75,12.2,89555,[1 1]
20080407,12.0,12.0,11.75,11.9,567658,[1 1]
20080408,12.0,12.85,11.5,12.8,1199232,[1 0]
20080409,12.8,13.15,12.58,13.15,575541,[0 0]
20080410,13.0,13.2,12.02,13.2,322080,[1 0]
20080411,13.49,13.49,13.2,13.4,859385,[1 1]
20080414,13.5,13.5,13.16,13.46,769016,[1 1]
20080415,13.8,14.99,13.8,14.99,1014293,[1 0]
20080416,15.0,15.0,14.5,14.55,1015840,[1 1]
20080417,14.5,14.6,14.4,14.55,605344,[0 0]
20080418,14.88,14.88,14.44,14.44,556499,[1 1]
20080422,14.88,14.9,14.51,14.52,549085,[1 1]
20080423,14.55,14.89,13.62,14.0,1078142,[1 1]
20080424,14.1,14.6,14.0,14.6,587595,[0 1]
20080425,14.2,15.12,14.16,14.99,707474,[1 1]
20080428,15.05,16.2,15.05,15.9,1016670,[0 0]
20080429,15.5,16.55,15.5,16.55,1082825,[1 0]
20080430,16.99,19.0,16.99,17.3,1852611,[0 0]
20080502,18.01,19.99,17.3,17.3,2820214,[0 0]
20080505,17.5,18.5,17.0,18.5,1976085,[1 1]
20080506,18.5,19.19,18.0,19.19,2267025,[1 1]
20080507,18.5,18.77,18.1,18.1,2058272,[0 0]
20080508,18.5,18.5,17.51,17.7,1203022,[0 0]
20080509,18.0,18.0,17.5,17.88,999372,[1 1]
20080512,18.2,19.89,18.2,18.46,2045142,[1 0]
20080513,19.76,20.21,19.4,20.16,3416883,[0 0]
20080514,20.9,23.0,20.0,20.49,8179216,[1 1]
20080515,20.99,21.5,20.8,21.5,1704163,[1 1]
20080516,21.7,21.99,21.45,21.61,7031947,[1 0]
20080519,22.4,23.99,21.06,21.45,8117390,[1 0]
20080520,21.59,22.3,21.2,22.3,5214705,[1 1]
20080521,24.0,24.5,22.69,24.3,12644550,[1 0]
20080523,24.3,25.8,24.06,25.5,15958007,[0 0]
20080526,26.0,27.5,25.0,25.05,20357001,[0 1]
20080527,26.0,26.0,22.5,24.85,13490185,[1 0]
20080528,25.99,25.99,25.0,25.3,10760260,[1 0]
