date,open,max,min,close,volume,y
20040719,5.49,5.5,5.49,5.5,4119300,[0 1]
20040716,5.4,5.49,5.4,5.49,649800,[1 0]
20040720,5.8,6.0,5.25,5.8,1188000,[1 0]
20040722,6.0,6.25,5.9,5.91,6618100,[0 0]
20040721,5.9,5.9,5.9,5.9,413000,[1 0]
20040729,7.0,7.29,7.0,7.0,8073700,[1 0]
20040728,7.2,7.2,6.8,6.8,630200,[1 1]
20040727,6.3,7.3,6.3,6.8,6233000,[1 0]
20040726,6.15,6.5,6.0,6.0,1226000,[1 1]
20040723,6.3,6.5,6.03,6.03,6793600,[0 1]
20040712,5.3,5.3,5.3,5.3,530000,[1 0]
20040713,5.4,5.4,5.4,5.4,108000,[0 0]
20040714,5.39,5.4,5.39,5.4,2426000,[1 0]
20040715,5.3,5.49,5.2,5.49,576900,[0 1]
20040730,6.99,6.99,6.99,6.99,139800,[0 0]
20040802,7.0,7.2,7.0,7.2,2942000,[0 1]
20040803,7.0,7.0,6.8,6.9,8547000,[0 0]
20040804,6.7,7.29,6.7,7.29,3845000,[1 0]
20040805,7.2,7.55,7.2,7.3,18484500,[1 0]
20040806,7.3,7.3,7.0,7.3,6613000,[0 1]
20040809,7.3,7.56,7.3,7.56,1396000,[0 0]
20040810,7.56,7.57,7.56,7.57,302500,[0 0]
20040811,7.98,7.98,7.4,7.5,5248500,[0 0]
20040812,7.49,7.49,7.49,7.49,74900,[0 1]
20040813,7.25,7.25,7.25,7.25,72500,[1 0]
20040816,7.25,7.39,7.25,7.39,9420600,[1 1]
20040817,7.2,7.2,7.15,7.18,1573800,[1 1]
20040818,7.18,7.18,7.18,7.18,718000,[1 0]
20040819,7.3,7.31,7.3,7.3,10955000,[1 1]
20040820,7.2,7.3,7.2,7.3,3129000,[1 0]
20040823,7.2,7.2,7.2,7.2,1440000,[0 1]
20040824,7.2,7.2,7.2,7.2,3960000,[1 1]
20040825,7.2,7.25,7.2,7.25,2316000,[0 0]
20040826,7.25,7.25,7.25,7.25,2175000,[1 0]
20040827,7.25,7.25,7.25,7.25,3697500,[1 0]
20040830,7.26,7.26,7.26,7.26,1016400,[0 1]
20040831,7.2,7.2,7.15,7.15,787000,[0 0]
20040901,7.0,7.29,6.9,7.29,1961800,[0 0]
20040902,7.0,7.18,7.0,7.18,16555000,[1 0]
20040903,7.18,7.18,7.18,7.18,215400,[1 1]
20040906,7.2,7.2,7.2,7.2,720000,[1 0]
20040908,7.3,7.3,7.2,7.2,7540000,[1 1]
20040909,7.16,7.16,7.15,7.15,715100,[1 0]
20040910,7.2,7.2,7.1,7.1,214100,[0 0]
20040913,7.15,7.15,7.0,7.0,5096200,[0 1]
