date,open,max,min,close,volume,y
20100416,11.5,11.7,11.41,11.64,5249622200,[0 0]
20100419,11.6,11.6,11.4,11.55,422366800,[0 0]
20100420,11.58,11.62,11.5,11.55,425846600,[0 0]
20100422,11.57,11.59,11.45,11.5,2400045400,[1 1]
20100423,11.58,11.58,11.35,11.5,1270895700,[1 0]
20100426,11.39,11.5,11.38,11.4,51943800,[0 1]
20100427,11.49,11.49,11.26,11.37,322838100,[1 0]
20100428,11.47,11.47,11.0,11.4,43022800,[1 0]
20100429,11.29,11.5,11.25,11.45,182045600,[1 0]
20100430,11.4,11.89,11.4,11.89,814761300,[1 0]
20100503,11.65,11.79,11.5,11.7,7169800,[0 0]
20100504,11.7,11.7,11.5,11.5,259446000,[0 0]
20100505,11.48,11.69,11.35,11.54,554935500,[1 0]
20100506,11.54,11.69,10.93,11.6,519681900,[1 1]
20100507,11.5,11.5,11.25,11.48,137531000,[0 1]
20100510,11.9,11.97,11.45,11.5,96466400,[0 1]
20100511,11.5,11.5,11.5,11.5,42320000,[0 1]
20100512,11.06,11.88,11.06,11.88,45322300,[1 0]
20100513,11.8,11.91,11.5,11.8,350322800,[1 0]
20100514,11.9,11.9,11.9,11.9,119000,[0 0]
20100517,11.9,11.98,11.65,11.75,141154000,[1 1]
20100518,11.89,11.89,11.4,11.65,12394400,[1 0]
20100519,11.4,11.59,11.2,11.38,86460300,[1 1]
20100520,11.2,11.25,10.3,10.65,203697900,[0 1]
20100521,10.9,11.2,10.34,10.38,241331600,[1 0]
20100524,10.4,10.66,10.1,10.48,275620800,[1 1]
20100525,10.47,10.5,10.21,10.45,144296500,[1 1]
20100526,10.59,10.67,10.5,10.55,572164900,[0 1]
20100527,10.55,11.4,10.55,11.3,146746500,[0 0]
20100528,11.3,11.35,11.3,11.3,11667000,[0 1]
20100531,11.35,11.95,11.35,11.95,117835200,[0 1]
20100601,11.79,12.19,11.62,11.9,48812700,[1 1]
20100602,12.08,12.08,12.0,12.04,106963700,[0 1]
20100604,12.0,12.0,11.68,11.99,8123800,[1 0]
20100607,12.0,12.06,12.0,12.06,21559600,[1 1]
20100608,12.08,12.99,12.08,12.39,103114600,[0 0]
20100609,12.5,12.5,12.0,12.0,5580300,[1 1]
20100610,12.33,12.41,12.2,12.4,2592800,[0 1]
20100611,12.35,12.4,12.28,12.3,145342700,[1 0]
20100614,12.35,12.38,12.29,12.3,55731100,[0 0]
20100615,12.2,12.29,12.2,12.21,1102178700,[1 1]
20100616,12.24,12.5,12.24,12.4,878369500,[1 1]
20100617,12.4,13.0,12.4,13.0,166106500,[1 0]
20100618,13.0,13.2,12.95,13.19,486657700,[0 1]
20100621,13.19,13.25,12.8,12.9,174933400,[0 0]
20100622,12.99,13.02,12.99,13.0,763268400,[0 1]
20100623,13.28,13.28,13.0,13.07,103106500,[1 0]
20100624,13.0,13.0,12.5,13.0,144032700,[1 1]
20100625,13.0,13.4,13.0,13.15,221675600,[0 1]
20100628,13.61,13.99,13.5,13.7,69563400,[0 0]
20100629,13.59,13.95,13.06,13.4,629024000,[0 1]
20100630,13.5,13.78,13.36,13.65,154943900,[1 0]
20100701,13.65,14.0,13.65,13.73,322510800,[0 1]
20100702,14.0,14.1,13.85,14.0,109652500,[0 1]
20100705,14.48,14.48,13.91,14.1,21764200,[1 1]
20100706,14.3,14.5,13.57,13.77,98342500,[0 0]
20100707,14.0,14.1,13.77,14.1,148037900,[1 1]
20100708,14.1,14.1,14.02,14.05,140742000,[1 1]
20100712,14.0,14.0,13.7,13.8,121774900,[1 1]
20100713,13.8,13.8,13.75,13.75,242829600,[1 0]
20100714,13.65,13.82,13.65,13.82,182212800,[0 0]
20100715,13.7,13.7,13.4,13.65,870688200,[1 1]
20100716,13.74,13.85,13.61,13.85,250070900,[1 0]
20100719,14.0,14.3,14.0,14.3,357068100,[0 1]
20100720,14.29,14.47,14.29,14.45,239290800,[0 0]
20100721,14.25,14.5,14.25,14.4,94058500,[1 0]
20100722,14.45,14.94,14.45,14.93,69608000,[1 1]
20100723,14.94,15.4,14.89,15.3,92863600,[1 1]
20100726,15.4,15.6,15.25,15.3,639754400,[1 1]
20100727,15.75,15.76,15.35,15.4,267776300,[0 1]
20100728,15.59,15.6,15.4,15.5,919014000,[0 0]
20100729,15.5,15.5,14.65,15.5,978238900,[0 0]
20100730,15.45,15.5,14.28,14.72,346928600,[1 1]
20100802,14.9,15.3,14.73,15.3,20911700,[1 0]
20100803,15.11,15.89,15.11,15.89,429161000,[0 0]
20100804,15.5,15.8,15.2,15.37,121088800,[1 0]
20100805,15.76,15.8,15.6,15.71,676028100,[1 0]
20100806,15.7,15.89,15.4,15.89,322728400,[1 0]
20100809,16.0,16.12,15.15,15.48,149046600,[0 0]
20100810,15.29,15.35,15.15,15.31,244022100,[0 1]
20100811,15.3,15.3,14.84,15.25,408326100,[0 0]
20100812,15.3,15.7,15.29,15.5,25892000,[1 1]
20100813,15.89,15.9,15.6,15.6,70278000,[1 0]
20100816,15.22,16.2,15.22,15.99,66378100,[0 0]
20100817,16.45,16.94,16.1,16.1,465407900,[1 1]
20100818,16.55,17.13,15.87,16.24,421499800,[0 0]
20100819,16.44,16.44,15.99,15.99,443463400,[0 0]
20100820,16.39,16.4,15.3,15.8,299792500,[1 0]
20100823,16.0,16.49,16.0,16.0,336807500,[0 0]
20100824,15.99,16.0,15.5,15.9,87546900,[0 1]
20100825,15.9,16.35,15.5,15.55,68191500,[1 1]
20100826,15.9,15.99,15.35,15.4,942792100,[1 1]
20100827,15.75,15.99,15.75,15.95,249694200,[1 0]
20100830,16.2,16.2,15.7,16.15,31128600,[0 1]
20100831,15.86,16.34,15.85,16.1,154087700,[0 1]
20100901,16.39,16.39,16.02,16.3,85013200,[0 0]
20100902,16.03,16.35,16.0,16.35,41892500,[0 0]
20100903,16.2,16.49,15.91,16.2,598625300,[0 0]
20100906,16.0,16.99,16.0,16.37,144593800,[0 1]
20100908,15.88,16.28,15.88,16.28,79894000,[1 1]
20100909,16.28,16.28,16.04,16.25,549032900,[0 1]
20100910,16.44,16.45,16.07,16.24,268190400,[1 0]
20100913,16.5,16.5,16.25,16.3,65554100,[0 0]
20100914,16.24,16.45,16.15,16.34,88555200,[1 1]
20100915,16.15,16.19,15.9,16.16,57500900,[0 0]
20100916,16.14,16.25,16.0,16.0,187140000,[1 0]
20100917,16.3,16.48,15.88,16.48,694294100,[1 1]
20100920,16.35,16.38,16.28,16.28,47008800,[0 1]
20100921,16.28,16.37,16.04,16.3,324923600,[0 0]
20100922,16.25,16.39,16.16,16.35,975864000,[0 1]
20100923,16.45,16.5,16.4,16.4,69485400,[0 1]
20100924,16.39,16.46,16.2,16.39,169924500,[1 0]
20100927,16.39,16.39,16.18,16.25,51577200,[1 0]
20100928,16.32,16.44,16.11,16.39,53313000,[0 0]
20100929,16.39,16.8,16.39,16.7,377814400,[1 1]
20100930,17.0,17.1,16.51,16.81,695879000,[1 1]
20101001,16.65,17.51,16.65,17.51,822235100,[0 0]
20101004,17.94,17.94,17.3,17.9,259881100,[1 1]
20101005,18.0,18.0,17.79,17.99,616373900,[0 0]
20101006,18.06,18.7,18.05,18.38,1845372400,[0 0]
20101007,18.44,18.78,18.02,18.25,576458100,[1 1]
20101008,18.01,18.4,18.0,18.25,127746400,[1 1]
20101011,18.24,18.36,18.2,18.2,78725700,[1 0]
20101013,18.2,18.6,18.03,18.27,353027000,[1 0]
20101014,18.29,18.91,18.29,18.7,1858388200,[1 0]
20101015,18.69,19.4,18.21,19.4,18191087400,[1 0]
20101018,19.39,19.5,18.5,19.25,1646700900,[0 0]
20101019,19.24,19.39,19.15,19.24,1530212200,[0 0]
20101020,19.39,21.0,19.25,19.89,818863800,[0 0]
20101021,20.0,20.0,19.35,19.54,495893300,[1 1]
20101022,19.99,19.99,19.02,19.1,943314600,[1 1]
20101025,19.13,19.8,19.13,19.69,375431400,[1 0]
20101026,19.6,19.98,19.37,19.68,118302700,[1 1]
20101027,19.67,19.9,19.4,19.9,258207500,[1 0]
20101028,19.61,20.05,19.6,19.99,118586900,[0 1]
20101029,20.5,20.74,20.26,20.53,1735930200,[0 1]
20101101,20.56,20.89,20.16,20.74,1419154800,[0 0]
20101103,21.0,22.0,20.84,22.0,1116670400,[0 0]
20101104,22.0,23.0,21.99,23.0,2062892300,[1 0]
20101105,23.01,23.14,22.5,22.7,1242273100,[1 0]
20101108,23.0,23.37,22.55,22.9,1008687400,[1 1]
20101109,22.9,22.99,22.15,22.5,710708500,[0 1]
20101110,22.49,22.65,22.2,22.2,1905186400,[1 0]
20101111,22.8,22.8,21.16,21.65,656562500,[0 1]
20101112,21.0,21.8,21.0,21.15,747184800,[0 0]
20101116,20.55,21.65,20.23,21.65,404370700,[0 1]
20101117,21.34,22.3,21.34,22.3,640433800,[0 1]
20101118,22.49,23.38,22.49,23.04,1913737200,[1 0]
20101119,22.5,23.02,22.5,23.0,615465500,[1 1]
20101122,22.84,23.25,22.42,23.0,1495743500,[1 0]
20101123,22.85,22.85,21.71,22.36,419934500,[0 0]
20101124,22.33,22.93,22.33,22.45,104858000,[0 0]
20101125,22.45,22.65,22.01,22.45,19221900,[1 0]
20101126,22.02,22.9,22.01,22.9,77696500,[0 0]
20101129,22.78,23.15,22.46,22.75,333555300,[0 0]
20101130,22.71,24.75,22.26,24.75,928218400,[1 0]
20101201,24.5,25.3,24.08,24.21,1719847800,[1 1]
20101202,24.69,24.75,23.53,23.53,631329400,[1 1]
20101203,24.18,24.48,22.87,23.0,507503000,[1 0]
20101206,23.0,23.1,22.33,22.6,185562900,[0 1]
20101207,22.99,23.65,22.22,22.7,893536500,[1 1]
20101208,22.5,23.31,22.5,22.6,1420083800,[0 0]
20101209,22.8,22.8,21.5,21.5,652809800,[1 1]
20101210,21.6,21.64,21.1,21.55,249577800,[1 1]
20101213,21.55,23.19,21.55,22.5,553905100,[0 0]
20101214,22.27,22.8,22.27,22.7,1052793000,[1 1]
20101215,22.49,22.79,21.82,22.2,500778300,[0 0]
20101216,22.39,22.55,21.11,21.55,1042361200,[0 1]
20101217,21.5,22.1,20.85,21.45,1834724400,[1 0]
20101220,21.39,21.55,21.31,21.49,298226300,[0 1]
20101221,21.3,22.0,21.12,21.73,690792200,[1 0]
20101222,21.75,22.0,21.0,21.1,844111300,[1 1]
20101223,21.66,21.66,20.35,20.61,157830200,[1 0]
20101227,20.51,20.51,19.7,19.7,445539100,[0 0]
20101228,19.7,20.79,19.25,19.55,386074600,[1 0]
20110111,20.85,20.9,20.38,20.59,189407300,[0 1]
20110112,20.76,20.79,20.1,20.29,146414500,[0 1]
20110113,20.3,20.3,19.6,19.6,774363300,[0 1]
20110114,19.49,19.5,19.1,19.1,693255100,[0 1]
20110117,19.0,19.1,18.8,19.0,414666700,[0 0]
20110118,18.99,19.78,18.85,19.78,2063604400,[1 0]
20110119,19.7,19.88,19.21,19.8,476545700,[1 1]
20110120,20.21,21.57,20.21,21.3,1005112900,[0 1]
20110121,21.6,22.22,21.58,21.86,1845806300,[0 0]
20110124,21.86,22.79,21.82,22.6,922355200,[0 0]
20110126,22.76,23.27,22.68,22.75,1924740300,[0 0]
20110127,22.85,23.1,21.14,21.35,2029508000,[0 0]
20110128,21.35,21.35,19.53,20.6,943972100,[0 0]
20110131,20.75,21.35,20.7,20.89,427936200,[1 1]
20110201,21.0,21.18,20.76,20.8,547921000,[0 1]
20110202,20.79,21.39,20.61,20.97,656392800,[1 1]
20110203,20.96,21.17,20.8,20.95,1160908400,[0 0]
20110204,20.9,21.09,20.5,20.9,1272169000,[1 0]
20110207,20.73,21.0,20.31,20.5,1762019500,[0 0]
20110208,20.49,20.9,19.75,20.1,667585600,[0 0]
20110209,20.07,20.1,19.23,19.23,675014000,[0 1]
20110210,19.06,19.47,17.94,18.25,1406347800,[1 1]
20110211,18.38,18.38,17.48,17.75,2274148700,[1 1]
20110214,18.0,18.25,17.13,18.0,513955000,[0 1]
20110215,17.99,19.4,17.99,19.1,751798000,[0 0]
20110216,19.15,19.89,19.15,19.7,261927100,[1 1]
20110217,19.76,20.07,19.41,19.5,1874647900,[1 1]
20110218,19.48,19.77,18.6,19.63,535982900,[1 1]
20110221,19.79,20.07,19.39,19.99,55141200,[1 1]
20110222,20.08,20.08,19.0,19.0,227636200,[1 0]
20110223,19.0,19.25,18.41,18.6,399699100,[1 0]
20110224,18.7,18.79,17.97,18.23,320834100,[1 1]
20110225,18.75,18.82,18.3,18.5,86938100,[1 0]
20110228,18.5,19.27,18.49,18.83,566287100,[1 0]
20110301,19.05,19.05,18.04,18.6,195408700,[0 1]
20110302,18.15,18.7,18.0,18.0,342798700,[0 0]
20110303,18.2,18.39,18.11,18.39,71562600,[1 1]
20110304,18.17,18.23,18.0,18.0,119120000,[1 0]
20110309,18.24,18.29,17.72,18.26,77496800,[0 1]
20110310,18.18,18.96,17.99,18.8,509686600,[0 1]
20110311,18.76,18.85,18.41,18.6,121000700,[0 0]
20110314,18.3,19.7,18.3,19.5,283462500,[0 1]
20110315,19.44,19.8,18.81,19.3,543595900,[0 0]
20110316,19.69,19.69,18.64,19.0,113059900,[0 1]
20110317,19.05,19.21,18.33,18.6,559833200,[1 0]
