date,open,max,min,close,volume,y
20060724,814.0,814.0,800.0,814.0,2783587100,[0 1]
20060725,760.0,810.0,760.0,800.0,1679350000,[1 1]
20060726,800.0,814.0,800.0,814.0,1423046100,[0 1]
20060727,815.0,815.0,814.0,815.0,692700000,[1 0]
20060728,814.99,824.0,814.99,824.0,114239900,[0 1]
20060731,816.0,820.0,812.0,820.0,244540100,[0 0]
20060801,830.0,830.0,818.0,825.0,425550000,[0 1]
20060802,835.0,850.0,835.0,850.0,110350000,[0 1]
20060809,850.0,850.0,850.0,850.0,8500000,[0 1]
20060816,839.0,839.0,839.0,839.0,8390000,[0 0]
20060817,839.0,840.0,839.0,840.0,33580000,[0 0]
20060821,830.0,830.0,830.0,830.0,41500000,[1 0]
20060822,815.0,815.0,815.0,815.0,7424650000,[0 1]
20060825,815.0,815.0,815.0,815.0,8150000,[0 0]
20060829,815.5,815.5,815.5,815.5,73395000,[0 0]
20060831,816.4,816.4,814.99,814.99,24473900,[1 0]
20060901,816.0,816.0,816.0,816.0,8160000,[0 0]
20060905,775.0,775.0,775.0,775.0,62000000,[0 1]
20060906,815.99,815.99,800.01,815.0,80610500,[0 0]
20060908,815.0,815.0,815.0,815.0,8150000,[0 0]
20060913,814.49,815.0,814.49,814.99,32589700,[0 0]
20060915,814.74,814.74,814.74,814.74,8147400,[0 0]
20060918,813.99,813.99,813.99,813.99,8139900,[0 0]
20060919,810.0,814.0,809.0,814.0,24330000,[1 1]
20060920,814.0,814.0,813.99,814.0,24419900,[1 0]
20060921,790.0,813.5,790.0,812.0,80810000,[0 1]
20060922,814.0,814.0,814.0,814.0,16280000,[1 1]
20060925,799.99,810.0,799.99,810.0,24099800,[1 1]
20060926,800.0,808.0,800.0,808.0,24080000,[1 1]
20060927,808.0,808.0,808.0,808.0,16160000,[1 1]
20060928,800.0,800.0,800.0,800.0,424000000,[0 0]
20060929,815.0,815.0,815.0,815.0,16300000,[0 1]
20061002,800.0,815.0,800.0,815.0,88150000,[0 1]
20061006,801.36,809.0,800.0,809.0,128103600,[0 0]
20061009,809.0,809.0,809.0,809.0,48540000,[1 0]
20061010,800.0,800.0,780.0,799.9,133299200,[1 1]
20061011,800.0,808.0,800.0,808.0,136080000,[1 0]
20061018,800.0,800.0,800.0,800.0,16000000,[1 1]
20061019,800.0,800.0,800.0,800.0,8000000,[0 1]
20061020,800.0,800.0,800.0,800.0,8000000,[1 0]
20061023,800.0,800.0,800.0,800.0,320000000,[1 1]
20061025,800.0,800.0,800.0,800.0,32000000,[1 0]
20061026,800.0,800.0,800.0,800.0,8000000,[1 1]
20061030,800.0,800.0,800.0,800.0,40000000,[1 1]
20061031,800.0,800.0,800.0,800.0,32000000,[1 1]
20061101,800.0,800.0,800.0,800.0,144000000,[0 1]
20061103,800.0,800.0,800.0,800.0,48000000,[1 1]
20061106,810.0,810.0,810.0,810.0,8100000,[0 0]
20061107,800.0,815.0,800.0,815.0,496150000,[0 0]
20061108,815.0,816.0,815.0,816.0,97899500,[1 0]
20061109,800.0,800.01,800.0,800.0,2320000200,[1 0]
20061116,800.0,800.0,800.0,800.0,16000000,[0 0]
20061117,810.0,820.0,810.0,820.0,24400000,[1 0]
20061121,835.0,835.0,835.0,835.0,8350000,[1 0]
20061122,850.0,850.0,850.0,850.0,8500000,[1 1]
20061124,850.0,850.01,850.0,850.01,348502000,[0 1]
20061127,850.0,860.0,850.0,858.0,137330000,[0 1]
20061128,860.0,870.0,860.0,870.0,266700000,[0 0]
20061129,870.0,890.0,870.0,890.0,667810000,[1 1]
20061130,890.0,900.0,890.0,897.0,600780000,[1 1]
20061204,897.0,900.0,897.0,900.0,728426100,[1 1]
20061205,900.0,900.0,900.0,900.0,45000000,[1 1]
20061208,880.0,900.0,880.0,899.99,629296100,[1 0]
20061211,880.0,900.0,880.0,890.0,26700000,[1 0]
20061212,895.0,895.0,895.0,895.0,26850000,[1 0]
20061213,895.0,895.0,895.0,895.0,492250000,[0 0]
20061215,900.0,900.0,900.0,900.0,9000000,[1 1]
20061220,899.0,899.0,899.0,899.0,26970000,[0 1]
20061221,851.0,890.0,851.0,890.0,113240000,[1 1]
20061222,870.0,895.0,870.0,895.0,71050000,[0 0]
20061226,890.0,890.0,890.0,890.0,80100000,[0 1]
20061227,900.0,900.0,900.0,900.0,9000000,[1 1]
20061228,900.0,920.0,900.0,920.0,461600000,[1 1]
20070102,920.0,930.0,920.0,929.9,754798000,[1 0]
20070103,930.0,930.0,929.9,929.9,46498000,[1 0]
20070105,929.9,930.0,905.0,930.0,1305284000,[1 0]
20070108,930.0,940.0,930.0,940.0,224100000,[1 1]
20070109,930.0,939.0,930.0,939.0,400170000,[1 1]
20070110,939.0,940.0,939.0,940.0,37580000,[0 0]
20070111,940.0,945.0,940.0,945.0,226600000,[1 0]
20070112,935.0,944.9,900.05,944.9,129399200,[1 1]
20070115,950.0,975.0,950.0,970.0,2171071000,[0 0]
20070116,979.8,989.0,979.8,989.0,687104000,[1 1]
20070117,985.0,999.0,985.0,995.0,1287580000,[0 0]
20070118,1000.0,1010.0,1000.0,1000.0,1918300000,[1 0]
20070119,1000.0,1020.0,1000.0,1010.0,455400000,[1 0]
20070122,1012.0,1025.0,1012.0,1025.0,314780000,[1 0]
20070123,1025.0,1030.0,1025.0,1030.0,154100000,[0 0]
20070124,1025.0,1045.0,1025.0,1040.0,672300000,[0 1]
20070126,1040.0,1045.0,1030.0,1045.0,949100500,[0 1]
20070208,610.0,650.0,610.0,629.98,557789800,[1 0]
20070212,629.0,629.0,620.0,620.0,130290000,[0 0]
