date,open,max,min,close,volume,y
20080226,890.0,890.0,880.0,880.0,2667000,[0 1]
20080227,900.0,920.0,880.0,880.0,14969309,[0 1]
20080228,900.02,932.99,900.02,932.99,9620649,[0 1]
20080229,900.0,924.99,899.0,899.0,28324596,[1 1]
20080303,949.99,970.0,914.0,914.0,5675999,[1 1]
20080304,940.0,940.0,901.0,901.0,9624000,[1 0]
20080305,998.99,998.99,915.0,928.0,6866964,[0 0]
20080306,930.0,940.0,930.0,935.0,12595999,[1 0]
20080307,933.0,949.99,933.0,940.0,24587663,[0 1]
20080310,970.0,970.0,939.9,945.0,19631522,[0 1]
20080311,950.0,958.99,945.0,950.0,21141497,[0 1]
20080312,950.01,954.0,947.5,952.0,40450395,[1 0]
20080313,950.0,985.0,940.0,950.0,20415658,[1 1]
20080314,951.0,959.98,935.01,944.0,8974182,[0 1]
20080317,999.99,1049.99,911.0,1049.99,6493696,[0 1]
20080318,918.0,939.99,918.0,935.0,7905097,[0 1]
20080319,920.0,935.0,900.0,900.0,20395250,[0 0]
20080320,910.0,910.0,889.99,889.99,9190005,[0 1]
20080324,889.99,919.0,885.0,900.0,21087789,[0 0]
20080325,905.01,905.01,890.01,890.01,26203302,[0 0]
20080326,885.0,900.0,885.0,900.0,18705650,[1 1]
20080327,900.0,910.0,895.0,900.0,11098885,[0 0]
20080328,918.98,920.0,903.01,920.0,19234125,[1 1]
20080331,928.5,950.0,928.4,945.0,42547675,[1 0]
20080401,949.99,959.99,935.0,935.0,64751433,[0 0]
20080402,941.0,941.0,936.0,939.0,7944793,[1 0]
20080403,954.0,970.0,940.01,970.0,58957515,[1 0]
20080404,970.0,970.0,940.0,960.0,35244090,[0 1]
20080407,970.0,970.0,952.0,965.0,62194621,[1 1]
20080418,55.98,58.0,54.58,56.3,15306779,[0 1]
20080422,57.1,57.9,55.2,56.9,27238782,[0 1]
20080423,56.99,57.1,54.9,54.9,19263166,[1 0]
20080424,55.15,55.79,55.05,55.3,9770848,[0 1]
20080425,56.2,56.2,55.0,55.0,5777554,[0 0]
20080428,55.35,55.84,55.0,55.0,7736983,[1 1]
20080429,54.81,55.05,53.51,54.0,5909467,[1 0]
20080430,55.54,56.01,53.82,56.0,6388377,[0 0]
20080502,56.19,56.55,53.6,53.81,13654599,[0 0]
20080505,56.0,56.0,52.1,52.5,9727862,[0 1]
20080506,54.0,54.0,51.3,52.5,16199088,[1 0]
20080507,51.82,52.99,51.82,52.0,7480128,[0 1]
20080508,52.9,55.7,52.9,55.4,15520597,[0 0]
20080509,55.05,56.4,54.15,56.4,8743850,[0 0]
20080512,55.8,56.5,55.52,55.52,9844929,[1 1]
20080513,55.95,55.95,54.07,54.85,12832750,[0 0]
20080514,55.4,55.99,54.4,55.8,6998585,[0 0]
