date,open,max,min,close,volume,y
20040309,1.0,1.0,1.0,1.0,200,[0 0]
20040430,1.0,1.0,1.0,1.0,1900,[1 0]
20040525,0.61,0.61,0.61,0.61,31110,[0 1]
20040601,0.95,0.95,0.95,0.95,95000,[0 1]
20040608,0.9,0.9,0.9,0.9,900,[0 1]
20040726,0.7,0.7,0.7,0.7,630,[1 1]
20040730,0.9,0.9,0.9,0.9,46080,[0 0]
20040817,0.66,0.66,0.66,0.66,792,[1 0]
20040906,0.7,0.7,0.7,0.7,10430,[1 0]
20041015,0.67,0.8,0.67,0.7,32647,[0 1]
20041026,0.78,0.78,0.78,0.78,28392,[0 0]
20041209,1.55,1.55,1.55,1.55,775,[0 1]
20041223,2.0,2.0,2.0,2.0,600,[1 0]
20050117,2.0,2.0,2.0,2.0,1000,[0 0]
20050218,1.02,1.02,1.02,1.02,204,[0 1]
20050304,1.25,1.25,1.25,1.25,5250,[0 0]
20050322,1.0,1.0,1.0,1.0,1200,[1 1]
20050704,1.3,1.3,1.3,1.3,1040,[1 0]
20050804,1.2,1.2,1.2,1.2,240,[1 1]
20050822,1.15,1.15,1.15,1.15,3105,[0 0]
20050824,1.45,1.45,1.45,1.45,9280,[1 0]
20050908,1.1,1.1,1.1,1.1,1650,[0 0]
20051101,1.1,1.1,1.1,1.1,3630,[0 0]
20051125,1.1,1.1,1.1,1.1,110,[0 1]
20060131,1.15,1.15,1.15,1.15,1150,[1 0]
20060208,1.27,1.27,1.27,1.27,8128,[0 0]
20060210,1.0,1.0,1.0,1.0,8400,[0 0]
20060407,1.0,1.0,1.0,1.0,8700,[1 0]
20060517,1.0,1.0,1.0,1.0,2700,[0 1]
20070116,1.0,1.0,1.0,1.0,100,[1 0]
20070117,1.55,1.55,1.55,1.55,15500,[0 0]
20070228,1.5,1.5,1.5,1.5,9600,[1 1]
20070316,1.22,1.22,1.2,1.2,7700,[0 1]
20070425,1.7,1.7,1.7,1.7,8330,[1 0]
20070503,2.3,2.3,2.3,2.3,10810,[0 1]
20070507,2.4,2.6,2.4,2.6,2920,[1 0]
20070509,2.24,2.24,2.0,2.0,19304,[0 1]
20070531,2.15,2.15,2.15,2.15,10750,[0 0]
20071015,2.78,2.78,2.78,2.78,6672,[0 0]
20071107,2.65,2.65,2.65,2.65,23850,[1 1]
20071109,2.5,2.5,2.5,2.5,1250,[0 1]
20071113,2.59,2.59,2.59,2.59,15281,[0 1]
20071204,2.59,2.59,2.56,2.56,12574,[0 0]
20071210,2.25,2.25,2.25,2.25,2250,[0 0]
20071217,2.1,2.1,2.1,2.1,9870,[0 0]
20071219,2.0,2.0,2.0,2.0,2000,[0 0]
20071220,1.95,1.95,1.95,1.95,390,[0 1]
20071221,1.8,1.8,1.8,1.8,18000,[1 0]
20071226,2.0,2.0,1.81,1.81,8907,[0 0]
20071228,1.97,1.97,1.97,1.97,16942,[1 0]
20080102,1.92,1.92,1.92,1.92,7872,[1 1]
20080103,1.91,1.91,1.91,1.91,1910,[0 0]
20080114,1.8,1.8,1.8,1.8,720,[1 0]
20080116,1.8,1.8,1.71,1.71,17829,[0 1]
20080122,1.52,1.52,1.41,1.41,14485,[1 0]
20080218,2.15,2.4,2.15,2.4,22050,[1 1]
20080219,2.0,2.3,2.0,2.2,20870,[1 0]
20080221,2.0,2.0,2.0,2.0,8200,[1 0]
20080225,2.18,2.4,2.18,2.4,8420,[1 0]
20080303,2.5,2.5,2.5,2.5,8000,[1 0]
20080306,2.3,2.5,2.3,2.5,5460,[1 1]
20080320,2.02,2.02,2.02,2.02,5252,[1 0]
20080325,1.8,1.8,1.65,1.65,4110,[1 0]
20080327,1.68,1.68,1.68,1.68,3696,[0 1]
20080521,2.2,2.2,2.2,2.2,7040,[0 0]
20080523,2.13,2.13,2.01,2.01,5828,[1 1]
20080530,2.2,2.2,2.2,2.2,9680,[0 0]
20080604,2.55,2.66,2.55,2.66,13158,[1 1]
20080620,2.05,2.05,2.05,2.05,205,[1 0]
20080626,2.02,2.02,2.0,2.0,8630,[0 1]
20080702,2.0,2.94,2.0,2.94,34588,[0 0]
20080718,2.95,2.95,2.95,2.95,295,[0 1]
20080724,2.25,2.25,2.25,2.25,225,[1 1]
20080729,2.0,2.0,2.0,2.0,1800,[0 1]
20080808,2.04,2.04,2.04,2.04,204,[0 1]
20080821,1.9,1.9,1.9,1.9,190,[0 0]
20080903,1.85,1.85,1.85,1.85,6475,[1 0]
20080924,1.55,1.55,1.55,1.55,7440,[0 1]
20081006,1.5,1.5,1.5,1.5,6000,[0 0]
20081031,1.75,1.75,1.75,1.75,7000,[1 0]
20081103,1.85,1.85,1.85,1.85,1850,[1 1]
20081125,1.25,1.25,1.25,1.25,6500,[1 1]
20081215,1.99,1.99,1.99,1.99,14925,[1 0]
20090320,1.0,1.0,1.0,1.0,900,[1 0]
20090406,1.4,1.4,1.4,1.4,140,[1 1]
20090407,1.4,1.4,1.4,1.4,140,[1 1]
20090408,1.4,1.4,1.4,1.4,140,[1 0]
20090409,1.4,1.4,1.1,1.4,7540,[1 0]
20090414,1.4,1.4,1.4,1.4,140,[1 0]
20090415,1.4,1.4,1.4,1.4,140,[1 1]
20090417,1.19,1.19,1.19,1.19,7735,[1 0]
20090423,1.17,1.17,1.17,1.17,7020,[1 0]
20090424,1.11,1.12,1.11,1.12,17855,[0 0]
20090427,1.11,1.24,1.1,1.1,9504,[0 1]
20090428,1.06,1.24,1.06,1.24,10618,[1 1]
20090429,1.06,1.25,1.06,1.25,10301,[0 0]
20090430,1.24,1.24,1.24,1.24,124,[1 1]
20090504,1.23,1.23,1.23,1.23,123,[0 1]
20090505,1.15,1.15,1.15,1.15,10580,[1 1]
20090506,1.23,1.23,1.23,1.23,123,[0 1]
20090507,1.22,1.22,1.22,1.22,122,[0 0]
20090511,1.2,1.25,1.2,1.25,2647,[1 0]
20090512,1.24,1.49,1.24,1.49,6015,[0 0]
20090513,1.4,1.4,1.3,1.3,8350,[1 1]
20090514,1.4,1.4,1.09,1.09,3329,[0 0]
20090519,1.44,1.5,1.44,1.5,6923,[0 1]
20090526,1.4,1.4,1.4,1.4,140,[1 0]
20090529,1.08,1.08,1.08,1.08,1296,[0 1]
20090601,1.09,1.09,1.09,1.09,1090,[0 1]
20090608,1.3,1.3,1.3,1.3,650,[1 0]
20090610,1.1,1.1,1.1,1.1,550,[0 0]
20090617,1.18,1.18,1.18,1.18,2006,[0 0]
20090707,1.21,1.21,1.21,1.21,9075,[0 0]
20090724,1.71,1.98,1.71,1.98,17775,[0 0]
20090928,1.3,1.3,1.3,1.3,1170,[0 1]
20091008,1.35,1.35,1.35,1.35,945,[0 1]
20091118,1.3,1.3,1.3,1.3,910,[0 0]
20091123,1.37,1.37,1.37,1.37,4521,[0 0]
20091126,1.28,1.28,1.28,1.28,8576,[0 1]
20091202,1.28,1.59,1.28,1.59,16072,[1 0]
20100105,1.26,1.26,1.26,1.26,2268,[1 0]
20100111,1.37,1.37,1.37,1.37,2192,[1 0]
20100118,1.42,1.42,1.42,1.42,4828,[1 0]
20100126,1.45,1.45,1.45,1.45,7250,[1 0]
20100203,1.4,1.4,1.4,1.4,5600,[1 0]
20100301,1.83,1.83,1.83,1.83,183,[0 0]
20100413,1.38,1.38,1.38,1.38,276,[1 0]
20100507,1.25,1.25,1.25,1.25,1000,[0 0]
20100512,1.35,1.35,1.35,1.35,135,[1 1]
20100526,1.15,1.15,1.15,1.15,9545,[0 0]
20100629,1.06,1.06,1.06,1.06,106,[1 0]
20100730,1.35,1.35,1.35,1.35,11070,[0 1]
20100803,1.89,1.89,1.89,1.89,189,[0 1]
20100804,1.74,1.74,1.74,1.74,174,[1 1]
20100806,1.58,1.58,1.58,1.58,15642,[0 1]
20100809,1.68,1.68,1.68,1.68,168,[1 0]
20100811,1.7,1.7,1.7,1.7,170,[0 0]
20100812,1.54,1.88,1.54,1.88,14048,[0 0]
20100813,1.88,1.88,1.87,1.87,563,[1 0]
20100817,1.79,1.89,1.79,1.8,27017,[1 0]
20100818,1.9,1.9,1.9,1.9,190,[1 0]
20100819,1.9,1.9,1.9,1.9,16910,[0 0]
20100913,1.65,1.65,1.65,1.65,165,[0 0]
20100916,1.4,1.4,1.4,1.4,7000,[1 0]
20100920,1.6,1.6,1.59,1.59,319,[0 0]
20100924,1.65,1.7,1.65,1.7,16865,[0 0]
20101004,1.74,1.74,1.74,1.74,174,[0 0]
20101005,1.74,1.74,1.74,1.74,8526,[1 0]
20101006,1.85,2.3,1.85,2.3,4800,[0 1]
20101029,1.99,1.99,1.99,1.99,199,[0 0]
20101116,2.0,2.0,2.0,2.0,200,[1 0]
20101117,1.99,1.99,1.99,1.99,199,[0 1]
20101118,1.99,1.99,1.99,1.99,199,[0 1]
20101119,2.0,2.0,2.0,2.0,200,[1 0]
20101122,1.49,1.49,1.49,1.49,1490,[0 1]
20101124,1.38,1.38,1.38,1.38,13662,[1 1]
20101125,1.49,1.5,1.33,1.5,4781,[0 0]
20101201,1.31,1.31,1.31,1.31,131,[1 0]
20101202,1.31,1.31,1.31,1.31,131,[0 0]
20101213,1.65,1.65,1.65,1.65,12045,[1 0]
20101221,1.35,1.35,1.35,1.35,8640,[0 0]
20110110,1.6,1.6,1.6,1.6,4800,[1 0]
20110407,1.85,1.85,1.85,1.85,1850,[0 0]
20110426,3.7,3.7,2.82,2.82,41500,[1 0]
20110427,3.31,3.31,2.83,2.84,118835,[0 1]
20110428,2.8,3.0,2.8,3.0,41000,[1 1]
20110429,2.8,2.8,2.8,2.8,10080,[0 1]
20110503,2.9,3.0,2.9,3.0,16480,[0 1]
20110504,2.85,2.85,2.85,2.85,14250,[0 0]
20110506,3.0,3.0,3.0,3.0,19200,[0 1]
20110509,3.1,3.1,3.02,3.02,39280,[0 0]
20110510,3.14,3.14,3.14,3.14,26062,[1 0]
20110516,3.59,3.59,3.1,3.3,33570,[0 0]
20110518,3.44,3.44,3.44,3.44,8600,[1 0]
20110519,3.15,3.15,3.15,3.15,23310,[0 0]
20110520,3.2,3.2,3.2,3.2,17920,[0 0]
20110523,3.14,3.14,3.14,3.14,15700,[0 0]
20110527,3.25,3.26,3.25,3.26,24425,[0 0]
20110613,0.9,1.14,0.9,0.9,21848,[0 0]
20110614,1.32,1.8,1.31,1.7,107024,[0 0]
20110615,1.8,2.62,1.8,2.39,354763,[1 0]
20110616,2.76,3.3,2.4,3.15,430461,[0 0]
20110617,3.2,3.43,3.05,3.15,380401,[0 1]
20110620,3.13,3.2,2.99,3.2,244199,[0 1]
20110621,3.2,4.43,3.1,3.1,327588,[0 0]
20110622,3.24,3.28,2.98,3.03,551364,[1 0]
20110624,2.98,3.05,2.97,3.02,70798,[0 1]
20110627,3.1,3.1,2.77,2.77,146359,[0 0]
20110628,3.0,3.15,3.0,3.0,196470,[1 0]
20110629,3.15,3.4,3.07,3.12,345966,[1 0]
20110630,3.6,3.65,3.33,3.53,221333,[1 0]
20110701,3.55,3.99,3.52,3.52,284637,[0 0]
20110704,3.6,3.6,3.16,3.16,144968,[0 0]
20110705,3.49,3.53,3.48,3.52,86331,[1 0]
20110706,3.52,4.04,3.52,3.89,215117,[0 1]
20110707,3.98,3.98,3.77,3.84,131577,[0 0]
20110708,4.12,5.4,3.83,5.4,514028,[0 0]
20110711,5.86,8.15,5.86,6.3,2365388,[0 1]
20110712,6.49,6.79,6.06,6.45,1047952,[0 0]
20110713,6.3,6.5,6.16,6.25,502679,[0 1]
20110714,6.23,6.48,6.12,6.48,525752,[1 0]
20110715,6.15,6.5,5.99,6.4,691177,[0 1]
20110718,6.2,6.24,6.08,6.08,566810,[0 0]
20110719,6.19,7.13,6.19,6.99,1058945,[1 1]
20110720,7.06,7.61,5.04,6.35,1347838,[0 0]
20110721,3.39,3.7,3.0,3.7,212822,[0 0]
20110722,3.1,3.1,0.96,1.0,240087,[0 0]
20110725,0.97,1.3,0.95,1.28,35505,[0 0]
20110726,1.47,1.52,1.3,1.3,107573,[0 0]
20110727,1.7,1.7,1.18,1.18,145512,[1 0]
20110728,1.17,1.2,1.1,1.1,42936,[0 1]
20110729,1.14,1.14,0.99,0.99,8078,[0 0]
20110801,1.05,1.08,1.05,1.05,13380,[1 0]
20110802,1.14,1.24,1.13,1.24,22122,[1 0]
20110803,1.12,1.12,1.12,1.12,7840,[0 1]
20110804,0.98,0.98,0.9,0.9,12050,[0 0]
20110805,0.86,1.0,0.86,1.0,23759,[0 0]
20110808,0.78,0.78,0.78,0.78,10530,[0 1]
20110809,0.9,0.93,0.9,0.93,9150,[0 1]
20110810,0.95,0.95,0.95,0.95,5890,[0 0]
20110812,0.95,0.95,0.95,0.95,4750,[0 0]
20110815,0.93,0.93,0.93,0.93,9207,[0 0]
20110816,0.84,0.84,0.84,0.84,3192,[0 1]
20110817,0.9,0.9,0.78,0.78,5502,[0 1]
20110818,0.7,0.7,0.7,0.7,70,[0 0]
20110822,0.7,0.7,0.66,0.66,8494,[0 0]
20110823,0.63,0.63,0.63,0.63,6300,[0 1]
20110824,0.61,0.61,0.61,0.61,1525,[0 0]
20110825,0.59,0.59,0.59,0.59,2832,[0 0]
20110826,0.64,0.64,0.48,0.48,8400,[0 0]
20110829,0.64,0.73,0.64,0.73,3388,[1 0]
20110830,0.7,0.7,0.68,0.68,10960,[0 0]
20110831,0.79,0.79,0.79,0.79,6320,[0 1]
20110901,0.74,0.77,0.74,0.74,8866,[0 0]
20110905,0.72,0.72,0.72,0.72,2448,[0 0]
20110909,0.7,0.7,0.7,0.7,6300,[1 0]
20110916,0.59,0.59,0.59,0.59,5605,[1 0]
20110929,0.51,0.51,0.51,0.51,51,[0 1]
20110930,0.53,0.53,0.53,0.53,2650,[0 0]
20111003,0.54,0.54,0.54,0.54,162,[0 0]
20111007,0.5,0.5,0.5,0.5,3500,[0 0]
20111010,0.51,0.51,0.51,0.51,255,[0 0]
20111025,0.5,0.5,0.5,0.5,2600,[1 0]
20111026,0.53,0.53,0.53,0.53,1749,[0 0]
20111027,0.55,0.55,0.3,0.3,2247,[0 1]
20111028,0.53,0.53,0.53,0.53,3498,[0 0]
20111101,0.45,0.45,0.45,0.45,1440,[0 0]
20111104,0.51,0.51,0.51,0.51,867,[1 0]
20111108,0.5,0.5,0.48,0.48,4580,[0 0]
20111114,0.51,0.51,0.51,0.51,2958,[0 0]
20111116,0.51,0.51,0.51,0.51,1734,[0 1]
20111117,0.46,0.46,0.46,0.46,2622,[0 0]
20111125,0.46,0.46,0.46,0.46,138,[0 0]
20111128,0.54,0.54,0.54,0.54,162,[0 0]
20111201,0.51,0.51,0.51,0.51,5100,[0 0]
20111202,0.51,0.51,0.51,0.51,5457,[1 0]
20111206,0.46,0.46,0.46,0.46,1104,[0 0]
20111207,0.48,0.48,0.48,0.48,4272,[0 0]
20111212,0.5,0.5,0.5,0.5,850,[0 0]
20111214,0.49,0.49,0.49,0.49,1960,[0 0]
20111220,0.46,0.46,0.45,0.45,2605,[0 0]
20111226,0.43,0.49,0.43,0.49,2696,[0 1]
20111227,0.44,0.44,0.44,0.44,3168,[0 0]
20111228,0.44,0.44,0.44,0.44,2200,[0 0]
20120106,0.47,0.48,0.47,0.48,2875,[0 0]
20120109,0.48,0.48,0.48,0.48,10080,[0 0]
20120110,0.5,0.5,0.5,0.5,2500,[0 1]
20120111,0.53,0.53,0.53,0.53,4452,[0 1]
20120112,0.57,0.65,0.57,0.65,9600,[0 0]
20120113,0.53,0.53,0.53,0.53,2438,[1 0]
20120117,0.6,0.6,0.6,0.6,1380,[0 1]
20120120,0.84,0.84,0.84,0.84,840,[0 1]
20120123,0.6,0.6,0.6,0.6,5940,[1 1]
20120126,0.5,0.5,0.5,0.5,200,[1 1]
20120131,0.49,0.49,0.49,0.49,2450,[0 1]
20120201,0.49,0.49,0.49,0.49,6664,[0 0]
20120202,0.47,0.47,0.47,0.47,846,[0 0]
20120214,0.65,0.65,0.65,0.65,65,[0 0]
20120216,0.47,0.47,0.47,0.47,1457,[1 0]
20120223,0.49,0.49,0.49,0.49,2940,[1 0]
20120228,0.49,0.49,0.49,0.49,931,[0 0]
20120302,0.5,0.58,0.44,0.54,61963,[1 0]
20120305,0.56,0.56,0.54,0.54,15125,[0 1]
20120306,0.48,0.51,0.48,0.51,4860,[0 1]
20120307,0.51,0.52,0.48,0.49,18704,[0 0]
20120308,0.49,0.5,0.48,0.48,21872,[0 0]
20120309,0.48,0.5,0.48,0.48,20791,[1 1]
20120312,0.49,0.5,0.49,0.49,9820,[0 1]
20120313,0.48,0.49,0.48,0.49,15401,[0 0]
20120314,0.48,0.49,0.48,0.48,19016,[0 0]
20120315,0.48,0.49,0.47,0.48,17065,[0 0]
20120316,0.47,0.48,0.47,0.48,10595,[1 0]
20120319,0.46,0.48,0.46,0.46,13970,[1 0]
20120320,0.46,0.47,0.45,0.46,26454,[0 0]
20120321,0.45,0.46,0.44,0.44,17428,[0 1]
20120322,0.45,0.46,0.44,0.45,13944,[0 1]
20120323,0.44,0.44,0.43,0.43,11532,[1 0]
20120326,0.43,0.43,0.4,0.4,2374,[1 0]
20120327,0.43,0.44,0.41,0.43,20393,[1 0]
20120328,0.43,0.43,0.42,0.42,5100,[1 0]
20120329,0.42,0.42,0.37,0.41,24136,[1 0]
20120330,0.41,0.43,0.37,0.43,13133,[1 0]
20120402,0.4,0.44,0.4,0.4,10120,[0 1]
20120403,0.41,0.41,0.36,0.36,13582,[0 1]
20120404,0.38,0.39,0.38,0.39,9918,[1 0]
20120405,0.36,0.38,0.35,0.37,6159,[0 1]
20120409,0.38,0.4,0.38,0.38,11222,[0 1]
20120410,0.37,0.39,0.37,0.39,15241,[0 1]
20120411,0.38,0.4,0.37,0.37,12004,[1 1]
20120412,0.37,0.39,0.36,0.36,13834,[1 0]
20120413,0.37,0.39,0.37,0.37,11459,[0 0]
20120416,0.36,0.39,0.36,0.38,2118,[0 1]
20120417,0.38,0.39,0.37,0.39,10649,[0 0]
20120418,0.38,0.38,0.38,0.38,2280,[1 1]
20120419,0.31,0.38,0.31,0.35,8740,[0 1]
20120420,0.31,0.37,0.31,0.37,7120,[0 0]
20120423,0.36,0.36,0.34,0.34,5128,[1 0]
20120424,0.33,0.34,0.32,0.34,7650,[0 1]
20120425,0.34,0.34,0.33,0.33,7023,[0 0]
20120426,0.35,0.35,0.34,0.35,11000,[1 0]
20120510,0.31,0.31,0.3,0.3,1510,[0 1]
20120511,0.29,0.32,0.29,0.29,3988,[1 0]
20120514,0.3,0.3,0.28,0.28,9568,[1 0]
20120515,0.29,0.29,0.26,0.29,10050,[0 1]
20120516,0.26,0.26,0.26,0.26,2080,[0 1]
20120517,0.26,0.26,0.25,0.25,4099,[0 0]
20120518,0.25,0.25,0.23,0.23,3395,[0 0]
20120521,0.23,0.24,0.23,0.24,3590,[1 0]
20120522,0.23,0.23,0.23,0.23,460,[0 1]
20120523,0.23,0.23,0.2,0.21,5345,[0 0]
20120524,0.22,0.22,0.22,0.22,1694,[0 1]
20120525,0.24,0.24,0.24,0.24,2232,[0 0]
20120528,0.22,0.26,0.22,0.26,4782,[1 0]
20120529,0.27,0.29,0.25,0.25,10423,[0 0]
20120530,0.26,0.26,0.26,0.26,936,[0 1]
20120531,0.24,0.24,0.23,0.23,3654,[0 0]
20120601,0.23,0.29,0.23,0.29,2290,[0 1]
20120604,0.21,0.22,0.21,0.22,2600,[0 1]
20120605,0.22,0.22,0.22,0.22,2200,[0 0]
20120606,0.22,0.22,0.21,0.22,4466,[1 0]
20120608,0.21,0.24,0.21,0.24,7682,[0 0]
20120611,0.24,0.24,0.23,0.23,1940,[0 0]
20120612,0.22,0.23,0.22,0.23,3140,[1 0]
20120613,0.22,0.24,0.22,0.24,5579,[0 0]
20120614,0.23,0.23,0.23,0.23,1472,[0 1]
20120615,0.22,0.23,0.22,0.23,4454,[1 0]
20120618,0.2,0.22,0.2,0.22,1740,[0 1]
20120619,0.22,0.23,0.22,0.23,4000,[1 0]
20120620,0.22,0.23,0.21,0.22,5780,[0 0]
20120621,0.21,0.22,0.21,0.22,1280,[0 0]
20120622,0.22,0.22,0.22,0.22,1936,[0 1]
20120625,0.22,0.22,0.21,0.21,197,[1 1]
20120626,0.19,0.21,0.19,0.2,6964,[0 1]
20120627,0.2,0.2,0.2,0.2,800,[0 1]
20120628,0.2,0.2,0.19,0.2,9841,[0 0]
20120629,0.19,0.2,0.19,0.19,2595,[1 1]
20120702,0.19,0.19,0.19,0.19,2280,[0 0]
20120703,0.19,0.19,0.18,0.18,2554,[0 0]
20120704,0.18,0.18,0.18,0.18,2376,[1 1]
20120705,0.17,0.17,0.17,0.17,1394,[0 1]
20120710,0.16,0.16,0.15,0.15,3976,[0 1]
20120711,0.16,0.16,0.16,0.16,1280,[0 0]
20120712,0.15,0.15,0.15,0.15,4515,[0 0]
20120713,0.11,0.15,0.11,0.15,376,[0 1]
20120716,0.16,0.16,0.15,0.15,2475,[0 0]
20120717,0.15,0.15,0.15,0.15,1110,[1 0]
20120718,0.13,0.17,0.13,0.17,3780,[0 1]
