date,open,max,min,close,volume,y
20040301,1.05,1.05,0.97,1.02,2267000,[0 0]
20040302,1.0,1.02,0.96,1.02,596000,[0 1]
20040303,0.95,1.02,0.95,1.02,299000,[0 0]
20040304,0.95,1.0,0.95,1.0,790000,[1 0]
20040305,1.0,1.04,0.96,1.04,3228000,[1 0]
20040308,1.06,1.06,1.03,1.03,1042000,[0 0]
20040310,1.03,1.03,0.95,1.02,1577000,[0 0]
20040311,1.03,1.03,0.97,1.03,897000,[0 0]
20040312,1.03,1.03,1.03,1.03,515000,[0 0]
20040315,0.96,1.04,0.96,1.04,1191000,[0 0]
20040316,1.04,1.04,1.03,1.03,23389000,[1 1]
20040317,0.98,1.03,0.98,1.03,1083000,[0 1]
20040318,1.0,1.03,1.0,1.03,5103000,[1 0]
20040324,0.97,1.03,0.97,1.03,685000,[0 0]
20040326,1.03,1.03,0.97,1.03,4931000,[1 0]
20040329,1.03,1.03,1.02,1.02,3080000,[0 0]
20040330,1.02,1.02,1.0,1.02,6826000,[1 1]
20040331,1.02,1.03,0.98,1.02,7760000,[0 1]
20040401,1.02,1.02,1.02,1.02,204000,[1 1]
20040405,0.98,1.0,0.95,0.97,3851000,[0 0]
20040406,0.97,0.97,0.96,0.96,1741000,[1 0]
20040407,0.96,0.99,0.94,0.99,1325000,[1 1]
20040412,1.01,1.01,1.0,1.0,23325000,[0 1]
20040419,0.93,0.97,0.9,0.97,1852000,[0 0]
20040420,0.94,0.98,0.93,0.98,2459000,[1 0]
20040422,0.98,1.05,0.96,1.0,2180000,[0 0]
20040427,0.95,1.0,0.92,1.0,3551000,[0 0]
20040428,0.95,1.0,0.95,1.0,195000,[0 0]
20040429,0.95,0.95,0.9,0.9,5890000,[1 0]
20040430,0.94,0.98,0.9,0.95,4966000,[1 1]
20040503,0.9,0.9,0.89,0.9,1883000,[1 1]
20040505,0.9,0.9,0.9,0.9,900000,[1 0]
20040506,0.88,0.88,0.88,0.88,1056000,[0 0]
20040507,0.89,0.89,0.89,0.89,89000,[0 1]
20040511,0.92,0.92,0.92,0.92,92000,[1 0]
20040519,0.9,0.9,0.82,0.84,21754000,[0 0]
20040520,0.85,0.85,0.85,0.85,85000,[1 0]
20040521,0.86,0.86,0.86,0.86,86000,[0 1]
20040524,0.87,0.87,0.87,0.87,87000,[0 0]
20040525,0.87,0.87,0.87,0.87,87000,[1 1]
20040526,0.87,0.87,0.87,0.87,87000,[0 0]
20040527,0.89,0.89,0.89,0.89,356000,[0 1]
20040528,0.84,0.88,0.77,0.88,1847000,[0 0]
20040608,0.85,0.89,0.85,0.89,2129000,[0 1]
20040609,0.9,0.9,0.9,0.9,7290000,[0 1]
20040614,0.85,0.89,0.83,0.89,257000,[1 0]
20040615,0.9,0.9,0.82,0.9,21352000,[0 0]
20040622,0.9,0.9,0.82,0.89,1444000,[1 1]
20040624,0.82,0.88,0.82,0.83,1244000,[0 0]
20040630,0.85,0.85,0.85,0.85,85000,[1 0]
20040702,0.82,0.82,0.8,0.81,887000,[0 0]
20040705,0.8,0.81,0.8,0.81,2105000,[0 1]
20040706,0.79,0.79,0.75,0.79,4343000,[1 1]
20040708,0.74,0.77,0.74,0.77,301000,[0 0]
20040712,0.77,0.77,0.74,0.74,685000,[0 1]
20040713,0.73,0.75,0.68,0.74,7486000,[0 1]
20040714,0.7,0.74,0.7,0.71,1977000,[0 0]
20040715,0.7,0.74,0.69,0.72,2391000,[1 1]
20040716,0.7,0.7,0.68,0.68,6636000,[1 0]
20040719,0.7,0.71,0.69,0.7,6165000,[1 0]
20040720,0.69,0.73,0.68,0.71,2697000,[1 0]
20040721,0.73,0.75,0.68,0.72,2938000,[0 0]
20040722,0.72,0.73,0.72,0.73,1153000,[0 1]
20040723,0.72,0.89,0.72,0.85,30766000,[0 0]
20040726,0.85,0.87,0.78,0.81,11451000,[0 0]
20040727,0.79,0.84,0.78,0.79,13021000,[1 1]
20040728,0.79,0.8,0.77,0.78,5077000,[1 0]
20040729,0.78,0.8,0.77,0.78,56923000,[1 1]
20040730,0.78,0.79,0.75,0.79,12139000,[0 1]
20040802,0.77,0.8,0.76,0.8,2241000,[1 1]
20040803,0.78,0.78,0.78,0.78,1560000,[1 0]
20040804,0.77,0.79,0.75,0.78,2371000,[1 1]
20040805,0.77,0.77,0.75,0.77,606000,[1 1]
20040806,0.79,0.79,0.78,0.79,783000,[1 1]
20040809,0.8,0.8,0.74,0.77,905000,[1 0]
20040811,0.74,0.74,0.71,0.73,799000,[0 0]
20040812,0.71,0.74,0.71,0.74,503000,[1 1]
20040816,0.7,0.72,0.66,0.72,3744000,[1 0]
20040817,0.72,0.72,0.7,0.7,842000,[1 0]
20040818,0.72,0.75,0.7,0.71,2413000,[1 0]
20040819,0.77,0.77,0.75,0.75,152000,[1 0]
20040823,0.71,0.75,0.68,0.75,990000,[0 1]
20040826,0.7,0.72,0.7,0.72,562000,[1 1]
20040827,0.72,0.72,0.67,0.72,1266000,[0 0]
20040830,0.7,0.75,0.7,0.75,1145000,[1 1]
20040831,0.71,0.71,0.69,0.71,1187000,[0 0]
20040901,0.71,0.71,0.71,0.71,710000,[0 0]
20040906,0.69,0.69,0.69,0.69,138000,[1 0]
20040908,0.68,0.72,0.68,0.72,140000,[1 0]
20040909,0.71,0.71,0.71,0.71,9159000,[1 0]
20040910,0.71,0.72,0.71,0.72,6405000,[0 1]
20040913,0.72,0.77,0.7,0.75,7540000,[0 0]
20040914,0.76,0.78,0.73,0.75,3456000,[0 1]
20040915,0.75,0.78,0.71,0.74,12125000,[0 1]
20040916,0.74,0.74,0.72,0.74,4071000,[0 0]
20040917,0.76,0.91,0.76,0.9,37630000,[0 0]
20040920,0.92,1.09,0.92,0.92,15776000,[0 0]
20040921,0.95,1.0,0.84,0.87,24036000,[0 0]
20040922,0.89,0.89,0.79,0.85,42198000,[1 0]
20040923,0.86,0.91,0.83,0.91,10755000,[1 1]
20040924,0.93,0.93,0.87,0.87,14781000,[0 1]
20040927,0.87,0.89,0.83,0.83,23176000,[0 1]
20040928,0.86,0.9,0.81,0.81,10718000,[0 0]
20040929,0.81,0.84,0.78,0.79,4156000,[1 0]
20040930,0.81,0.81,0.74,0.8,13038000,[1 1]
20041001,0.79,0.81,0.79,0.81,1751000,[1 1]
20041004,0.82,0.82,0.82,0.82,738000,[0 1]
20041006,0.8,0.82,0.78,0.8,3466000,[0 1]
20041007,0.81,0.82,0.76,0.8,3105000,[0 1]
20041008,0.8,0.81,0.79,0.8,2973000,[1 1]
20041013,0.81,0.81,0.81,0.81,81000,[0 1]
20041014,0.82,0.82,0.79,0.79,1764000,[0 1]
20041015,0.79,0.81,0.75,0.81,790000,[1 0]
20041018,0.79,0.8,0.78,0.78,10914000,[0 1]
20041019,0.78,0.78,0.76,0.76,616000,[1 0]
20041020,0.78,0.78,0.78,0.78,1092000,[0 0]
20041021,0.79,0.82,0.79,0.8,9736000,[1 0]
20041022,0.82,0.87,0.82,0.85,3093000,[1 0]
20041025,0.84,0.84,0.82,0.82,12814000,[1 0]
20041026,0.82,0.83,0.81,0.83,15071000,[1 0]
20041027,0.82,0.82,0.81,0.81,2512000,[0 1]
20041028,0.83,0.84,0.83,0.84,2008000,[1 0]
20041029,0.82,0.85,0.81,0.83,6173000,[0 0]
20041101,0.83,0.83,0.81,0.83,7332000,[0 0]
20041103,0.83,0.83,0.83,0.83,83000,[1 0]
20041104,0.83,0.83,0.81,0.81,164000,[0 0]
20041105,0.83,0.85,0.83,0.85,1271000,[0 1]
20041108,0.83,0.83,0.83,0.83,332000,[1 1]
20041109,0.82,0.82,0.82,0.82,164000,[0 0]
20041111,0.82,0.82,0.82,0.82,82000,[0 1]
20041112,0.82,0.82,0.82,0.82,820000,[1 0]
20041117,0.84,0.87,0.84,0.84,2038000,[0 0]
20041118,0.85,0.9,0.85,0.85,23663000,[0 1]
20041119,0.85,0.87,0.83,0.87,14793000,[0 0]
20041122,0.86,0.87,0.85,0.87,13002000,[1 1]
20041123,0.88,0.9,0.87,0.9,6966000,[0 1]
20041124,0.97,1.19,0.97,1.15,83994000,[1 1]
20041125,1.2,1.31,1.1,1.1,44698000,[1 0]
20041126,1.1,1.22,1.05,1.12,4937000,[0 0]
20041130,1.12,1.29,1.12,1.25,27803000,[1 1]
20041201,1.2,1.4,1.2,1.34,19675200,[1 0]
20041202,1.37,1.5,1.37,1.44,65072000,[0 0]
20041203,1.48,1.55,1.37,1.42,42056000,[1 0]
20041206,1.42,1.53,1.4,1.5,25084100,[0 0]
20041207,1.55,1.6,1.53,1.6,6668200,[1 1]
20041208,1.65,1.65,1.61,1.65,27755500,[1 1]
20041209,1.68,1.8,1.68,1.73,51005100,[1 0]
20041210,1.8,1.8,1.73,1.76,31077900,[1 1]
20041213,1.77,1.9,1.77,1.86,151219500,[0 0]
20041214,1.9,2.3,1.88,2.1,170193500,[0 1]
20041215,2.2,2.25,1.9,1.98,124365400,[1 1]
20041216,2.0,2.0,1.85,1.87,71518800,[1 0]
20041217,1.87,1.92,1.83,1.83,35150000,[1 0]
20041220,1.8,1.88,1.8,1.85,66739400,[0 1]
20041221,1.89,1.9,1.76,1.87,61660300,[0 0]
20041222,1.9,1.93,1.87,1.92,34031500,[0 0]
20041223,1.91,1.95,1.88,1.9,24201000,[0 1]
20041227,1.9,2.19,1.9,2.08,100937000,[0 0]
20041228,2.1,2.19,2.03,2.05,271601200,[0 0]
20041229,2.05,2.14,2.05,2.13,190603700,[0 1]
20041230,2.11,2.11,1.85,2.05,174920300,[0 1]
20050103,2.05,2.13,2.05,2.08,175655000,[0 0]
20050104,2.06,2.1,1.99,2.08,151306400,[0 1]
20050105,2.06,2.1,2.05,2.08,137444900,[0 0]
20050106,2.09,2.15,2.08,2.15,51971300,[0 0]
20050107,2.15,2.24,2.13,2.22,57638900,[0 0]
20050110,2.3,2.43,2.25,2.43,154881900,[0 0]
20050111,2.43,2.55,2.41,2.43,165310700,[1 0]
20050112,2.43,2.48,2.39,2.41,75926900,[0 0]
20050113,2.4,2.42,2.38,2.42,87160600,[1 0]
20050114,2.43,2.47,2.4,2.44,24796500,[1 0]
20050117,2.45,2.45,2.14,2.21,77959700,[1 0]
20050118,2.21,2.21,2.0,2.0,8564900,[1 0]
20050119,2.01,2.01,1.95,1.95,49710600,[1 0]
20050120,1.9,1.9,1.85,1.85,6810500,[1 0]
20050121,1.84,1.95,1.84,1.9,73689400,[0 0]
20050124,1.9,1.91,1.85,1.85,29624000,[1 0]
20050126,1.97,2.08,1.85,1.87,23053300,[1 0]
20050127,1.97,2.0,1.73,1.8,29580500,[0 1]
20050128,1.82,1.9,1.81,1.81,19674000,[0 0]
