date,open,max,min,close,volume,y
20070221,3.0,3.0,2.99,3.0,1439800,[1 1]
20070222,3.5,5.37,3.5,3.6,837000,[0 0]
20070223,4.5,4.8,4.5,4.5,318000,[0 1]
20070301,3.19,3.19,3.19,3.19,63800,[0 1]
20070309,3.0,3.0,3.0,3.0,60000,[1 0]
20070402,3.0,3.0,3.0,3.0,30000,[1 0]
20070413,3.01,3.01,3.01,3.01,30100,[1 1]
20070426,3.01,3.01,3.01,3.01,30100,[1 0]
20070427,3.05,3.05,3.05,3.05,213500,[0 1]
20070514,4.0,4.0,4.0,4.0,80000,[1 1]
20070521,11.0,15.99,11.0,15.99,589700,[1 1]
20070522,16.5,16.5,16.5,16.5,165000,[0 0]
20070524,10.0,10.0,10.0,10.0,100000,[0 1]
20070525,11.0,11.0,11.0,11.0,550000,[0 1]
20070601,13.25,13.25,13.25,13.25,397500,[1 1]
20070606,15.0,15.0,15.0,15.0,900000,[0 1]
20070621,15.0,15.0,15.0,15.0,150000,[1 0]
20070627,15.0,15.0,15.0,15.0,450000,[0 1]
20070703,16.01,16.01,16.01,16.01,1601000,[1 0]
20070704,18.0,18.1,18.0,18.0,4685000,[0 0]
20070711,20.0,20.0,20.0,20.0,2000000,[1 0]
20070712,21.8,23.0,21.8,23.0,4850000,[1 0]
20070713,25.0,30.0,22.01,27.99,3300900,[0 1]
20070716,23.01,23.01,23.01,23.01,1610700,[0 0]
20070719,23.0,23.0,23.0,23.0,230000,[1 0]
20070816,12.0,12.0,11.0,11.0,1790000,[0 1]
20070817,11.03,14.0,10.0,14.0,4075600,[1 0]
20070820,14.0,14.0,14.0,14.0,1400000,[0 1]
20070821,14.0,15.05,14.0,15.05,1591700,[0 0]
20070828,15.0,17.0,15.0,17.0,320000,[0 0]
20070924,22.0,22.0,22.0,22.0,2640000,[0 0]
20071004,22.0,22.0,22.0,22.0,2200000,[1 1]
20071008,22.0,27.52,22.0,27.52,715200,[0 1]
20071019,32.0,32.5,31.99,32.5,964900,[0 0]
20071022,32.5,32.5,32.5,32.5,325000,[1 1]
20071031,32.5,32.5,32.5,32.5,325000,[1 1]
20071106,35.0,37.99,32.2,37.99,2108800,[1 1]
20071107,39.5,45.0,39.5,44.99,20084900,[0 0]
20071122,4.99,4.99,4.99,4.99,2295400,[0 0]
20071126,4.99,4.99,4.7,4.7,2137500,[1 0]
20071127,4.59,4.59,4.5,4.55,1172800,[0 1]
20071128,4.6,4.9,4.6,4.9,95000,[0 0]
20071129,5.2,5.2,4.51,4.85,2734400,[0 1]
