date,open,max,min,close,volume,y
20040917,1.0,1.0,1.0,1.0,3200,[1 1]
20061107,3.0,3.0,3.0,3.0,3000,[1 0]
20070222,5.37,5.37,3.5,3.5,66204,[1 1]
20070518,5.99,5.99,5.5,5.5,61382,[0 1]
20070703,15.0,15.0,15.0,15.0,58500,[0 0]
20070704,18.0,18.0,18.0,18.0,54000,[0 0]
20070711,20.0,20.0,20.0,20.0,18000,[0 1]
20070716,30.0,30.0,16.0,16.0,117000,[1 1]
20070719,22.0,22.0,22.0,22.0,8800,[1 1]
20070720,22.0,22.0,22.0,22.0,8800,[0 1]
20070808,18.0,18.0,18.0,18.0,88200,[0 1]
20070809,18.0,18.0,18.0,18.0,7200,[0 1]
20070814,18.0,18.0,18.0,18.0,21600,[0 0]
20070817,11.0,11.0,11.0,11.0,28600,[1 1]
20070831,17.0,17.0,17.0,17.0,56100,[1 0]
20071008,22.0,22.0,22.0,22.0,63800,[1 0]
20071017,30.0,30.0,30.0,30.0,12000,[0 0]
20071123,4.8,4.8,4.8,4.8,9600,[1 1]
20071126,5.1,5.3,5.1,5.3,51200,[0 1]
20071129,4.7,4.7,4.2,4.2,34700,[1 0]
20071203,5.39,5.39,5.39,5.39,45815,[0 1]
20071205,4.84,4.84,4.3,4.3,32260,[0 1]
20071212,4.89,4.89,4.89,4.89,9780,[1 1]
20071213,4.7,4.7,4.44,4.44,73274,[0 0]
20071214,4.59,4.85,4.59,4.85,51010,[0 0]
20071219,4.28,4.65,4.28,4.65,43770,[1 1]
20071220,4.69,4.8,4.2,4.2,110582,[0 1]
20071221,4.38,4.38,4.38,4.38,37230,[1 1]
20071226,4.6,4.6,4.5,4.6,44010,[0 0]
20071227,4.72,4.86,4.7,4.7,89764,[1 1]
20071228,4.7,4.7,4.59,4.6,60149,[0 1]
20080102,4.7,4.9,4.7,4.9,48357,[0 1]
20080103,4.6,4.6,4.6,4.6,460,[1 0]
20080104,4.42,4.6,4.42,4.6,17860,[1 0]
20080107,4.35,4.35,4.35,4.35,4350,[1 1]
20080109,4.59,4.59,4.4,4.5,38213,[0 1]
20080110,4.6,5.3,4.6,5.3,141332,[0 1]
20080111,4.4,4.4,4.4,4.4,15400,[0 0]
20080114,4.85,5.3,4.85,5.3,162285,[0 0]
20080115,5.3,5.45,5.2,5.45,116697,[1 1]
20080116,5.0,5.01,5.0,5.01,17505,[0 1]
20080117,4.9,4.92,4.9,4.92,45092,[0 0]
20080118,5.7,7.1,5.06,7.1,643790,[1 0]
20080121,7.1,8.37,6.5,6.95,355193,[1 1]
20080122,6.9,8.0,6.9,8.0,230375,[0 0]
20080123,8.49,9.5,8.49,8.5,744850,[1 0]
20080124,8.4,10.0,8.15,9.4,259559,[0 0]
20080128,9.41,10.0,8.15,9.1,479733,[0 1]
20080129,9.1,9.1,8.15,8.35,238965,[1 1]
20080130,8.2,8.2,8.0,8.0,163490,[0 1]
20080131,7.5,7.6,7.4,7.57,217467,[0 1]
20080201,8.4,8.4,8.4,8.4,79800,[1 0]
20080206,8.44,8.44,8.4,8.44,71664,[0 0]
20080207,8.0,8.0,8.0,8.0,53600,[0 1]
20080208,8.23,8.35,8.1,8.1,138395,[0 1]
20080211,8.59,8.59,8.35,8.35,213637,[0 0]
20080212,8.55,8.6,7.91,8.6,125338,[0 1]
20080213,8.0,8.0,8.0,8.0,4000,[0 1]
20080215,8.0,8.0,8.0,8.0,32000,[0 0]
20080218,8.4,8.45,8.4,8.45,75750,[0 1]
20080219,8.6,8.65,8.6,8.65,72630,[0 0]
20080221,8.7,8.7,8.16,8.49,38130,[0 1]
20080222,8.6,8.6,8.6,8.6,17200,[0 1]
20080225,8.5,8.5,8.2,8.2,64650,[1 0]
20080226,8.2,9.0,8.2,8.7,463620,[0 0]
20080227,9.21,11.18,9.2,9.2,657522,[1 0]
20080228,11.18,11.18,10.2,10.2,681513,[1 0]
20080229,10.2,10.2,9.2,9.99,239754,[1 0]
20080303,9.25,9.25,9.25,9.25,85100,[0 1]
20080304,9.5,9.5,9.3,9.3,94300,[0 0]
20080306,9.35,9.9,7.79,9.5,209154,[1 0]
20080307,9.91,10.5,9.0,9.16,193956,[0 0]
20080310,9.2,9.91,9.2,9.91,107246,[0 0]
20080311,9.16,9.16,9.15,9.15,4579,[1 0]
20080312,9.6,9.9,9.6,9.9,39960,[0 0]
20080314,9.3,9.3,9.3,9.3,12090,[1 1]
20080317,8.88,8.88,8.88,8.88,21312,[1 0]
20080318,8.0,8.79,7.21,8.79,112454,[0 0]
20080320,9.0,9.0,8.5,8.5,56600,[0 1]
20080326,8.6,8.6,8.6,8.6,36980,[0 0]
20080327,9.35,9.35,9.35,9.35,18700,[1 0]
20080328,8.8,8.8,8.8,8.8,17600,[1 1]
20080331,9.34,9.34,9.1,9.1,88798,[1 0]
20080402,9.1,9.4,8.9,8.9,119249,[0 1]
20080404,9.65,10.2,9.65,10.0,176030,[0 0]
20080407,10.0,10.35,10.0,10.1,300080,[0 0]
20080408,10.0,10.0,10.0,10.0,70000,[0 0]
20080409,10.1,10.1,9.9,9.9,145450,[1 0]
20080410,9.5,10.0,9.5,9.99,74984,[0 1]
20080411,10.0,10.55,9.72,9.72,69430,[0 1]
20080415,10.05,10.05,10.05,10.05,70350,[1 0]
20080416,10.0,10.0,9.99,9.99,66990,[0 1]
20080417,10.0,11.0,10.0,11.0,529545,[0 0]
20080418,11.1,11.88,10.85,10.85,144412,[0 0]
20080422,10.6,10.65,10.6,10.65,104130,[1 0]
20080423,10.2,10.6,10.2,10.6,42920,[1 0]
20080424,10.79,10.79,10.79,10.79,105822,[0 0]
20080425,11.03,11.15,11.0,11.0,186084,[0 1]
20080428,11.39,11.7,11.39,11.7,307999,[0 1]
20080429,11.5,11.66,11.5,11.66,144786,[0 1]
20080430,11.68,11.8,11.68,11.75,82237,[0 1]
20080502,11.7,11.8,11.45,11.45,216970,[0 0]
20080505,11.46,11.5,11.46,11.5,150141,[1 1]
20080507,11.8,11.83,11.61,11.61,304878,[0 0]
20080508,11.79,11.82,11.6,11.6,141634,[1 0]
20080509,11.6,11.6,11.5,11.5,94940,[0 1]
20080512,11.05,11.05,11.0,11.0,50695,[0 0]
20080513,11.55,11.6,10.55,10.55,279020,[1 0]
20080514,10.95,10.95,10.95,10.95,17520,[0 0]
20080515,10.98,10.98,10.4,10.5,346895,[0 1]
20080516,10.46,11.0,9.9,9.9,230766,[0 0]
20080519,10.0,10.0,9.91,10.0,109453,[1 0]
20080520,10.0,10.0,10.0,10.0,20000,[0 0]
20080521,10.0,10.0,10.0,10.0,50000,[1 1]
20080523,9.9,9.9,9.9,9.9,990,[0 1]
20080526,10.15,10.15,10.0,10.0,60045,[0 0]
20080527,9.89,9.89,9.89,9.89,12857,[0 1]
20080528,10.09,10.09,10.09,10.09,29547,[0 0]
20080530,10.29,10.4,10.0,10.02,204090,[0 0]
20080602,10.24,10.24,10.0,10.0,119200,[0 1]
20080603,10.0,10.0,9.8,9.8,6880,[0 0]
