date,open,max,min,close,volume,y
20100205,14.5,15.85,14.06,15.85,7682537200,[1 1]
20100208,15.8,16.1,15.6,15.87,1771892700,[1 1]
20100209,16.0,16.0,15.7,15.95,590881200,[1 1]
20100210,15.89,16.01,15.78,16.0,869927400,[1 1]
20100211,15.99,16.42,15.99,16.4,1865453800,[1 0]
20100212,16.35,17.45,16.01,17.4,2476167500,[0 0]
20100217,17.23,17.85,17.2,17.5,471304200,[1 1]
20100218,17.7,18.5,17.65,18.44,1672016800,[0 1]
20100219,18.0,19.0,18.0,18.5,1449279500,[1 0]
20100222,18.96,19.5,18.64,18.91,1712097100,[0 0]
20100223,19.11,19.11,18.1,18.39,1048967100,[0 1]
20100224,18.69,18.69,18.1,18.1,268612800,[0 0]
20100225,18.1,18.4,18.05,18.1,596975400,[0 1]
20100226,18.17,18.46,18.1,18.25,428812600,[1 0]
20100301,18.6,18.88,18.5,18.6,1262661900,[0 0]
20100302,18.88,18.89,18.34,18.4,800987400,[1 1]
20100303,18.49,18.85,18.49,18.85,449765200,[0 0]
20100304,18.89,19.42,18.89,19.15,823920300,[0 0]
20100305,19.28,19.28,18.8,18.9,827087200,[1 0]
20100308,18.9,18.9,18.74,18.84,9992000,[1 1]
20100309,18.99,19.01,18.5,18.69,176818900,[1 1]
20100310,18.55,18.65,18.45,18.45,24137500,[0 1]
20100311,18.4,18.5,18.4,18.5,108035000,[0 0]
20100312,18.5,18.5,18.21,18.3,334889600,[1 0]
20100315,18.5,18.5,17.95,18.0,104053000,[1 1]
20100316,18.0,18.0,17.89,17.89,131011100,[0 1]
20100317,18.0,19.0,17.9,18.38,1809766100,[0 0]
20100318,18.3,18.85,18.0,18.85,765760700,[1 0]
20100319,18.5,18.79,18.4,18.5,518381600,[1 1]
20100322,18.49,18.5,18.49,18.5,254189800,[0 0]
20100323,18.55,18.63,18.41,18.45,375920100,[0 1]
20100324,18.51,18.52,18.5,18.5,26640800,[0 0]
20100325,18.64,18.9,18.64,18.7,12719300,[1 0]
20100326,18.75,18.75,18.5,18.7,240698300,[0 0]
20100329,18.5,18.84,18.5,18.7,307146200,[0 0]
20100330,18.65,18.7,18.65,18.7,113881900,[1 0]
20100331,18.6,18.7,18.5,18.69,32139300,[1 1]
20100401,18.69,19.3,18.6,18.9,623410600,[0 1]
20100405,18.8,18.8,18.75,18.75,277605000,[0 1]
20100406,18.9,20.45,18.9,20.1,1299797100,[0 1]
20100407,20.1,21.69,20.05,20.12,2318278100,[0 0]
20100408,20.0,20.7,20.0,20.5,514763700,[1 0]
20100409,20.99,20.99,20.46,20.9,62253600,[1 1]
20100412,20.95,21.04,20.65,20.85,1587341000,[0 0]
20100413,21.0,21.0,20.55,20.89,132396100,[0 0]
20100414,21.01,21.01,20.84,20.85,1130098600,[0 0]
20100415,20.84,20.86,20.55,20.65,187824000,[1 1]
20100416,20.5,20.9,20.5,20.7,244318700,[1 0]
20100419,20.72,20.85,20.2,20.2,410255800,[1 1]
20100420,20.49,20.6,20.35,20.35,435413100,[1 1]
20100422,20.35,20.49,20.35,20.44,416891300,[0 1]
20100423,20.95,20.95,20.2,20.3,274471800,[1 1]
20100426,20.5,20.51,20.3,20.5,983587000,[1 0]
20100427,20.4,20.4,20.08,20.1,257337700,[1 0]
20100428,20.2,20.2,19.9,20.0,704304400,[1 0]
20100429,20.0,21.0,20.0,20.6,363730000,[1 0]
20100430,20.6,20.6,20.4,20.4,103202800,[0 0]
20100503,20.4,20.49,19.81,20.45,85305000,[1 0]
20100504,20.45,21.0,20.4,20.95,23448000,[1 0]
20100505,20.78,20.78,20.46,20.69,135008900,[0 0]
20100506,20.69,20.69,20.1,20.1,401503600,[0 1]
20100507,20.01,20.2,19.8,20.0,45905900,[0 0]
20100510,20.3,20.3,20.0,20.3,104082200,[0 1]
20100511,19.52,20.01,19.52,20.0,1268728700,[0 0]
20100512,20.0,20.0,19.65,19.8,8690800,[0 1]
20100514,20.05,20.05,20.05,20.05,200500,[1 1]
20100517,20.0,20.5,19.35,19.5,309743000,[1 1]
20100518,19.9,20.0,19.14,19.14,30524700,[1 1]
20100519,18.75,18.75,17.8,18.6,722981500,[0 1]
20100520,18.1,18.1,17.02,17.5,239784700,[0 1]
20100521,17.5,18.0,17.2,17.5,283296900,[1 0]
20100524,17.99,18.0,17.99,18.0,5939900,[1 0]
20100525,17.9,17.9,17.34,17.78,41884500,[1 0]
20100526,17.51,18.0,17.5,18.0,122594500,[1 0]
20100527,18.15,19.02,18.0,19.0,375285400,[1 0]
20100528,18.98,18.98,18.3,18.89,285146500,[0 1]
20100531,18.8,18.99,18.8,18.9,15116100,[1 1]
20100601,18.5,18.51,18.3,18.4,96705800,[0 0]
20100602,18.4,19.0,18.31,19.0,76919800,[1 1]
20100604,18.8,19.01,18.65,18.65,893806800,[1 1]
20100607,18.65,18.75,18.64,18.71,286668800,[1 1]
20100608,18.74,18.75,18.6,18.7,290424600,[1 0]
20100609,18.68,18.68,18.5,18.5,2408800,[1 1]
20100610,18.7,18.7,18.6,18.6,66217200,[0 1]
20100611,18.6,18.6,18.5,18.6,12642500,[0 0]
20100614,18.55,18.69,18.55,18.69,188234800,[0 0]
20100615,18.69,19.05,18.68,19.0,149479900,[1 1]
20100616,19.0,19.05,18.85,18.99,83781500,[1 1]
20100617,18.99,19.0,18.83,18.83,313901100,[1 0]
20100618,18.9,18.9,18.7,18.8,175017500,[1 1]
20100621,18.8,18.8,18.72,18.8,53013500,[1 1]
20100622,18.8,18.8,18.6,18.61,469790800,[0 1]
20100623,18.61,18.61,18.35,18.41,98236900,[1 0]
20100624,18.5,18.65,18.45,18.5,59279500,[0 0]
20100625,18.5,18.84,18.5,18.84,23624700,[1 1]
20100628,18.84,20.29,18.84,19.29,1177023100,[0 0]
20100629,19.2,19.5,19.2,19.2,43536300,[0 1]
20100630,19.3,19.56,19.28,19.3,455722000,[1 1]
20100701,19.31,19.7,19.31,19.51,356927300,[1 0]
20100702,19.5,19.77,19.5,19.6,123643700,[0 0]
20100705,19.7,20.13,19.68,20.13,11547500,[0 0]
20100706,20.0,20.65,20.0,20.0,422804200,[1 0]
20100707,19.9,20.35,19.9,20.27,1449400900,[1 1]
20100708,20.0,20.49,20.0,20.49,1210017700,[0 0]
20100712,20.3,20.6,20.3,20.6,1024400,[0 0]
20100713,20.8,21.1,20.6,21.01,59667000,[1 1]
20100714,21.3,21.4,20.9,20.91,94994400,[0 1]
20100715,21.0,21.11,20.2,21.11,24510400,[0 1]
20100716,21.0,21.0,20.85,20.85,169071700,[0 1]
20100719,20.85,20.96,20.85,20.96,12730700,[0 0]
20100720,20.91,21.0,20.91,20.95,21628600,[1 0]
20100721,21.1,21.4,20.95,21.0,232962100,[0 0]
20100722,21.0,21.0,20.7,21.0,1908369900,[0 1]
20100723,21.0,21.0,20.3,20.75,80107000,[1 0]
20100726,20.93,20.93,20.75,20.75,995053800,[0 0]
20100727,20.8,21.5,20.8,21.5,74922900,[0 0]
20100728,21.25,21.65,21.25,21.4,45025400,[0 0]
20100729,21.4,21.55,21.4,21.5,58695100,[1 1]
20100730,21.5,21.5,21.2,21.5,3164992000,[1 1]
20100802,21.5,21.7,21.5,21.5,749837400,[0 0]
20100803,21.5,21.5,21.2,21.35,369205600,[1 0]
20100804,21.45,21.65,21.1,21.1,108505800,[0 1]
20100817,24.6,25.17,24.4,24.81,2728250800,[1 1]
20100818,25.2,25.25,24.0,24.19,248863900,[0 1]
20100819,24.19,24.19,22.91,23.5,491597600,[0 1]
