date,open,max,min,close,volume,y
20071214,1006.62,1020.0,1000.0,1007.0,19099652000,[1 1]
20071217,1007.0,1008.0,970.0,970.0,9600250000,[1 0]
20071218,1004.99,1004.99,960.0,979.69,436922500,[0 0]
20071219,980.0,1000.0,978.0,980.0,403019900,[1 1]
20071220,999.98,999.98,969.99,969.99,1700994600,[0 0]
20071221,970.0,970.0,960.0,969.0,1250140000,[1 1]
20071226,970.0,1004.0,970.0,1004.0,2631218900,[0 1]
20071227,1000.0,1007.0,1000.0,1007.0,523160000,[0 0]
20071228,1010.0,1035.0,1010.0,1029.0,529589900,[1 0]
20080102,1035.0,1035.0,1006.0,1006.63,892841700,[1 0]
20080103,1006.63,1007.1,1000.0,1000.0,220960100,[0 0]
20080104,995.0,1000.0,980.0,980.0,88700000,[0 0]
20080107,990.0,990.0,990.0,990.0,99000000,[0 0]
20080108,990.0,990.0,989.98,989.98,118799800,[1 0]
20080109,989.97,990.0,961.0,989.99,2731688000,[1 0]
20080110,1000.0,1007.0,1000.0,1006.0,180850000,[0 1]
20080111,1007.0,1007.0,980.0,1005.99,241018800,[0 1]
20080115,1000.0,1000.0,940.0,940.0,189800000,[0 1]
20080116,950.0,972.8,940.0,940.0,405196100,[1 1]
20080117,945.0,960.01,900.0,945.0,437790600,[0 1]
20080118,945.0,945.0,945.0,945.0,9450000,[1 1]
20080121,930.0,935.0,900.0,900.0,928650000,[0 1]
20080122,880.0,889.97,849.99,850.0,273499000,[0 1]
20080123,850.01,890.97,800.0,824.0,587950200,[0 1]
20080124,850.0,865.0,820.0,820.0,491350000,[0 0]
20080128,820.0,820.0,800.0,800.0,547510200,[0 0]
20080129,790.0,800.0,780.0,785.0,1155180000,[1 0]
20080130,782.0,800.0,770.0,800.0,533830000,[0 1]
20080131,799.0,800.0,799.0,800.0,999989700,[0 0]
20080201,889.95,889.95,800.0,825.0,172999700,[1 0]
20080206,800.0,800.0,790.0,790.0,15900000,[1 1]
20080211,780.0,780.0,740.0,780.0,115900000,[1 0]
