date,open,max,min,close,volume,y
20070723,31.0,31.21,30.15,31.0,36008392600,[1 0]
20070724,30.8,33.1,30.1,32.4,8188056100,[1 0]
20070725,32.41,33.5,31.45,31.9,6084735300,[0 0]
20070726,31.02,32.25,30.0,32.0,5114262800,[0 1]
20070727,31.5,31.9,30.61,31.6,1515417100,[0 0]
20070730,31.5,31.5,30.0,30.9,2515325700,[0 1]
20070731,31.01,31.01,30.1,30.9,4747252700,[0 0]
20070801,30.4,30.75,30.01,30.75,2803876900,[1 0]
20070802,30.8,31.7,30.4,31.7,1293718000,[0 0]
20070803,31.2,31.6,31.0,31.0,393548400,[1 1]
20070806,30.5,30.61,30.11,30.4,1651980000,[0 1]
20070807,30.45,30.5,29.9,30.4,893747400,[0 1]
20070808,30.65,30.99,30.5,30.65,1049228400,[1 0]
20070809,30.3,30.4,29.65,29.95,2950747700,[1 1]
20070810,29.11,29.75,29.0,29.0,2750733300,[1 0]
20070813,29.1,31.13,29.1,30.41,1492101300,[0 0]
20070814,30.1,30.93,30.0,30.0,3854462500,[0 0]
20070815,29.15,30.55,29.0,29.0,5744933900,[0 0]
20070816,27.21,28.0,25.5,26.5,1852147400,[1 0]
20070817,27.89,29.49,25.02,28.5,1191620900,[0 1]
20070820,29.0,31.0,27.31,31.0,1933043600,[1 1]
20070821,30.5,30.54,29.9,30.54,603880900,[1 0]
20070822,30.4,31.9,30.2,30.8,2186659400,[1 1]
20070823,30.4,31.0,30.05,30.5,502417600,[1 0]
20070824,30.5,31.0,30.5,30.8,631616300,[1 0]
20070827,30.7,31.7,30.69,31.0,702338500,[0 0]
20070828,30.8,30.8,28.86,29.3,824509900,[1 0]
20070829,29.4,29.99,28.7,29.5,698714200,[1 0]
20070830,29.99,30.88,29.36,29.6,2277884700,[0 1]
20070831,30.75,32.0,30.46,32.0,521880000,[1 1]
20070903,31.5,32.0,31.0,31.5,130194200,[0 0]
20070904,31.49,32.0,31.0,31.0,1513622000,[1 1]
20070905,30.8,31.9,30.15,30.5,1157057000,[0 1]
20070906,31.4,31.4,30.25,30.5,103916500,[1 0]
20070910,29.99,29.99,28.91,28.95,300883100,[1 1]
20070911,29.01,29.06,27.22,27.5,2231784400,[0 1]
20070912,27.81,28.48,26.61,27.4,1328416800,[1 0]
