date,open,max,min,close,volume,y
20070723,29.9,31.2,29.5,31.0,1594482950,[1 0]
20070724,30.77,33.09,29.02,32.01,123573689,[1 0]
20070725,32.4,33.5,30.81,31.4,35019754,[0 0]
20070726,31.0,32.48,29.91,32.0,51016992,[0 1]
20070727,30.75,31.8,29.31,31.8,25550105,[0 0]
20070730,31.5,31.5,29.8,31.48,16367269,[0 1]
20070731,31.3,31.3,30.06,30.9,8547507,[0 0]
20070801,30.0,30.8,28.02,30.8,17830594,[1 0]
20070802,30.5,31.6,30.5,31.6,17559507,[1 0]
20070803,31.7,31.7,30.79,31.5,6149201,[0 1]
20070806,29.02,30.59,28.51,30.5,6861945,[1 1]
20070807,30.5,30.59,28.9,30.0,2489677,[0 0]
20070808,30.5,30.97,30.0,30.69,5659531,[1 0]
20070809,30.65,30.65,29.6,30.0,2286908,[0 1]
20070810,29.5,29.5,29.0,29.0,3450715,[1 0]
20070813,29.1,31.0,29.1,30.48,12790431,[0 1]
20070814,27.51,30.99,27.51,29.01,3231240,[1 0]
20070815,29.19,30.55,29.01,29.1,7287203,[0 0]
20070816,27.5,27.55,25.0,27.55,9944581,[1 0]
20070817,27.55,28.5,25.3,26.26,3912438,[1 1]
20070820,28.9,29.49,27.51,29.3,3172698,[0 1]
20070821,30.5,30.55,29.05,30.55,4986327,[0 0]
20070822,30.97,31.51,29.81,31.0,8844325,[1 1]
20070823,30.8,30.92,29.35,30.21,4384518,[1 1]
20070824,30.9,30.9,30.0,30.01,1981651,[1 0]
20070827,30.65,31.1,29.92,31.1,6561014,[0 0]
20070828,31.0,31.0,29.0,29.1,1992791,[1 0]
20070829,29.45,29.6,29.0,29.0,1920545,[1 0]
20070830,30.0,30.55,29.04,29.04,1753654,[0 1]
20070831,30.0,31.89,29.63,31.8,12789065,[1 1]
20070903,32.0,32.0,30.81,31.8,4496655,[0 0]
20070904,30.56,31.05,30.01,30.01,892338,[1 1]
20070905,30.81,31.5,29.06,30.07,1467368,[0 0]
20070906,30.51,31.0,30.05,30.45,804735,[1 1]
20070910,28.02,29.4,28.02,29.0,1434116,[1 1]
20070911,28.65,28.7,27.89,27.89,1734915,[1 0]
20070912,27.8,29.0,26.66,26.66,3157217,[1 0]
20070913,27.9,28.0,27.31,27.62,903116,[0 1]
20070914,27.51,27.75,26.33,26.33,1246441,[0 1]
20070917,27.3,27.49,26.51,27.4,1363144,[0 1]
20070918,27.0,29.5,27.0,28.5,2713748,[0 0]
20070919,28.6,28.99,27.81,28.3,1652211,[0 0]
20070920,28.99,30.07,28.92,30.0,3759639,[0 0]
20070921,29.0,30.2,29.0,30.0,2484428,[1 1]
20070924,30.4,30.98,29.4,29.41,3415363,[1 0]
20070925,30.0,30.6,29.51,30.6,3534388,[0 0]
20070926,30.0,31.6,30.0,31.6,9627786,[1 1]
20070927,31.67,33.4,31.67,32.86,15766865,[0 0]
20070928,32.5,33.2,29.0,33.2,6951092,[1 0]
20071001,33.19,34.0,32.01,33.95,10173964,[0 0]
20071002,32.25,33.28,31.65,31.9,1304508,[1 0]
20071003,32.45,32.45,30.0,30.0,3340829,[1 0]
20071004,31.0,31.0,29.7,29.7,754381,[1 0]
20071005,30.85,32.4,30.75,32.4,1065192,[1 1]
20071008,32.4,33.49,31.04,31.78,3445553,[1 0]
20071009,31.78,32.7,31.03,32.7,1483482,[0 1]
20071010,32.7,33.5,32.0,32.3,3193887,[0 0]
20071011,32.3,32.3,30.92,30.92,1314672,[0 0]
20071015,32.0,32.5,29.01,32.0,2663942,[0 1]
20071016,32.6,34.0,32.6,34.0,7060178,[0 0]
20071017,34.0,36.5,34.0,36.0,11007948,[0 1]
20071018,34.8,35.3,34.72,34.72,2209425,[0 1]
20071019,34.71,34.71,33.36,34.0,1907795,[0 1]
20071022,33.9,35.4,32.01,35.4,5147819,[1 1]
20071023,35.4,36.48,34.01,35.6,3505745,[0 0]
20071024,34.51,34.51,33.61,34.39,1087528,[1 0]
20071025,33.9,34.02,32.85,33.17,2055814,[1 1]
20071026,33.39,35.0,33.39,33.99,1830264,[1 1]
20071029,35.0,35.0,33.15,34.9,1160615,[0 1]
20071030,35.0,35.0,34.01,35.0,2170187,[1 0]
20071031,35.0,36.0,34.55,35.69,3175774,[0 1]
20071101,35.5,37.0,35.35,35.75,2319440,[1 1]
20071105,34.5,37.06,34.5,35.0,2675032,[1 1]
20071106,37.0,38.99,36.02,38.4,4156445,[0 1]
20071107,38.5,38.5,37.8,37.8,1937144,[0 1]
20071108,37.72,38.39,35.21,35.8,1305482,[1 0]
20071109,36.5,37.25,36.5,37.25,442991,[0 1]
20071112,36.0,37.25,35.0,37.25,2813676,[1 0]
20071113,37.0,39.5,36.01,38.55,3880224,[0 0]
20071114,38.55,41.4,37.01,37.91,4114063,[1 0]
20071116,38.65,40.0,38.2,40.0,632288,[1 0]
