date,open,max,min,close,volume,y
20040707,3.5,3.5,2.01,3.5,2114000,[1 0]
20040708,4.0,4.5,4.0,4.5,1250000,[0 0]
20040712,4.5,4.5,4.5,4.5,450000,[0 0]
20040713,3.2,3.2,3.2,3.2,320000,[1 0]
20040714,3.2,3.2,3.2,3.2,320000,[0 1]
20040715,3.0,3.0,3.0,3.0,300000,[0 1]
20040726,2.0,2.0,2.0,2.0,200000,[1 0]
20040816,2.35,2.35,2.35,2.35,470000,[0 0]
20040813,2.48,2.48,2.2,2.2,937000,[0 0]
20040923,2.0,2.0,2.0,2.0,600000,[0 1]
20041027,2.1,2.1,2.1,2.1,21000,[0 0]
20050603,1.15,1.15,1.15,1.15,230000,[0 0]
20050607,1.16,1.16,1.16,1.16,23200,[1 0]
20050805,1.18,1.18,1.18,1.18,118000,[0 0]
20050815,1.13,1.13,1.13,1.13,56500,[1 0]
20051208,0.9,0.9,0.9,0.9,36000,[1 0]
20060109,0.9,0.9,0.9,0.9,9000,[0 1]
20060307,0.75,0.76,0.75,0.76,413500,[1 1]
20060309,0.64,0.64,0.62,0.62,93800,[1 1]
20060321,0.63,0.63,0.62,0.62,356600,[1 0]
20060425,0.64,0.64,0.64,0.64,12800,[0 1]
20060428,0.63,0.63,0.63,0.63,189000,[1 1]
20060508,0.6,0.6,0.6,0.6,192000,[1 0]
20060529,0.43,0.43,0.43,0.43,769700,[1 0]
20060612,0.42,0.42,0.42,0.42,8400,[1 0]
20060809,0.62,0.62,0.62,0.62,6200,[0 0]
20060810,0.62,0.62,0.62,0.62,18600,[1 1]
20060815,0.4,0.4,0.4,0.4,12000,[1 0]
20060816,0.32,0.32,0.32,0.32,64000,[0 1]
20060817,0.61,0.61,0.61,0.61,12200,[0 0]
20060905,0.54,0.54,0.54,0.54,5400,[0 1]
20060906,0.55,0.55,0.55,0.55,55000,[1 0]
20061023,0.5,0.5,0.5,0.5,765000,[0 1]
20061026,0.49,0.49,0.48,0.48,76900,[0 0]
20061107,0.49,0.49,0.49,0.49,14700,[0 1]
20061122,0.51,0.51,0.51,0.51,5100,[1 0]
20061211,0.4,0.52,0.4,0.52,14400,[0 0]
20061214,0.56,0.56,0.56,0.56,5600,[1 0]
20061228,0.61,1.0,0.61,1.0,578900,[1 1]
20070102,1.11,1.35,1.11,1.35,35800,[0 0]
20070103,1.0,1.0,1.0,1.0,240000,[0 0]
20070104,1.0,1.0,0.91,0.91,150100,[0 1]
20070105,0.99,0.99,0.99,0.99,99000,[0 0]
20070108,0.99,1.0,0.99,1.0,119000,[0 1]
20070110,1.0,1.05,1.0,1.05,300500,[0 1]
20070112,1.1,1.16,1.1,1.16,171000,[0 0]
20070115,1.15,1.15,1.15,1.15,23000,[1 0]
20070122,1.2,1.2,1.2,1.2,36000,[0 1]
20070123,1.2,1.2,1.2,1.2,180000,[0 0]
20070130,1.23,1.23,1.23,1.23,123000,[0 1]
20070205,1.1,1.15,1.05,1.15,121000,[1 0]
20070207,1.05,1.05,1.05,1.05,21000,[0 0]
20070212,1.05,1.05,1.05,1.05,10500,[0 0]
20070213,1.0,3.32,1.0,2.06,15510900,[0 1]
20070214,2.26,3.3,2.26,3.18,18435400,[1 1]
20070215,3.3,6.19,3.24,4.98,48628100,[1 0]
20070216,5.0,5.0,3.85,4.11,7537500,[0 1]
20070221,3.9,3.9,3.19,3.19,4647500,[1 0]
20070222,3.2,3.35,2.9,3.2,5055100,[0 0]
20070223,2.9,3.05,2.52,3.05,2022200,[0 1]
20070226,2.75,3.0,2.75,2.8,704700,[0 0]
20070227,2.8,3.09,2.65,2.65,745300,[0 0]
20070228,2.99,3.05,2.99,3.05,242300,[1 0]
20070301,3.0,3.17,3.0,3.17,709600,[0 1]
20070302,2.98,2.98,2.98,2.98,29800,[0 0]
20070305,2.52,2.52,2.35,2.35,1205800,[0 0]
20070306,2.52,2.52,2.52,2.52,352800,[0 0]
20070308,2.21,2.4,2.21,2.4,205000,[1 0]
20070309,2.1,2.25,2.1,2.25,281900,[0 0]
20070312,2.25,2.25,2.05,2.1,474800,[0 0]
20070313,2.12,2.12,2.12,2.12,106000,[1 1]
20070314,2.3,2.38,2.3,2.38,187500,[0 0]
20070315,2.38,2.38,2.38,2.38,238000,[0 1]
20070316,2.39,2.62,2.35,2.35,290600,[0 0]
20070319,2.1,2.1,2.1,2.1,147000,[0 0]
20070320,2.11,2.15,2.1,2.15,211300,[0 0]
20070321,2.15,2.15,2.15,2.15,172000,[0 0]
20070322,2.15,2.85,2.15,2.84,2820700,[0 1]
20070323,2.9,4.49,2.9,3.55,14593700,[1 0]
20070326,3.48,3.48,3.48,3.48,34800,[1 0]
20070327,3.45,4.35,3.45,3.46,4430400,[0 0]
20070328,3.35,3.35,3.04,3.04,1330000,[0 0]
20070329,3.05,3.05,2.9,2.96,267400,[0 1]
20070330,3.0,3.0,2.9,2.9,877200,[0 1]
20070402,3.0,3.0,3.0,3.0,30000,[0 1]
20070403,3.0,3.0,3.0,3.0,150000,[1 0]
20070409,2.91,2.91,2.9,2.9,348500,[0 0]
20070410,3.05,3.8,2.86,2.86,2779900,[1 0]
20070411,2.87,2.9,2.86,2.9,258300,[1 0]
20070417,2.9,2.9,2.86,2.87,344200,[0 0]
20070418,3.12,3.12,2.85,3.0,981200,[0 0]
20070502,2.88,2.88,2.88,2.88,28800,[1 0]
20070508,2.8,2.8,2.8,2.8,84000,[0 0]
20070510,2.8,2.9,2.8,2.9,57000,[1 0]
20070514,2.71,2.71,2.7,2.7,270700,[1 1]
20070515,2.85,2.85,2.62,2.62,338700,[0 0]
20070521,2.9,3.12,2.9,3.12,147200,[1 0]
20070522,2.95,2.95,2.95,2.95,59000,[0 0]
20070523,2.8,2.8,2.7,2.7,606600,[1 1]
20070528,2.67,2.67,2.65,2.65,132800,[1 0]
20070529,2.64,2.7,2.64,2.7,106800,[0 1]
20070531,3.0,5.3,3.0,4.54,17733900,[0 0]
20070601,4.5,4.5,3.4,3.7,9191100,[0 0]
20070604,3.77,4.0,3.51,3.61,1427200,[0 0]
20070605,3.5,3.85,3.5,3.6,565600,[0 0]
20070606,3.5,3.5,3.5,3.5,2100000,[1 0]
20070608,3.5,3.5,3.15,3.15,98000,[0 0]
20070611,3.16,3.16,3.15,3.15,506600,[0 1]
20070612,3.4,3.4,3.4,3.4,68000,[0 1]
20070613,3.69,5.09,3.69,3.86,14309200,[1 1]
20070614,4.07,4.5,4.01,4.01,3650300,[0 1]
20070615,4.0,4.31,4.0,4.29,406200,[1 0]
20070618,3.81,3.81,3.81,3.81,38100,[1 0]
20070619,3.33,3.53,3.33,3.52,758900,[1 1]
20070620,3.6,4.15,3.6,4.14,2437600,[1 0]
20070621,3.85,4.15,3.55,4.15,1575500,[1 0]
20070622,3.6,4.15,3.59,3.6,7557000,[1 0]
20070625,3.61,3.61,3.55,3.55,3614700,[0 0]
20070626,3.6,4.0,3.3,3.4,24915500,[1 0]
20070627,3.5,3.5,3.35,3.4,1240900,[1 0]
20070628,3.5,3.5,2.99,3.5,58263400,[0 0]
20070629,3.6,3.68,3.2,3.2,59637100,[0 0]
20070702,3.45,3.45,3.0,3.2,9328700,[0 0]
20070703,3.2,3.35,3.16,3.16,2770900,[0 1]
20070704,3.27,3.43,3.12,3.12,6084000,[0 0]
20070705,3.12,3.15,3.0,3.15,22742100,[1 0]
20070706,3.15,3.15,2.98,3.0,20892100,[0 1]
20070710,3.01,3.01,2.91,2.94,5481100,[0 1]
20070711,3.0,3.0,2.9,2.95,3376700,[1 0]
20070712,2.95,2.95,2.7,2.7,38389700,[0 0]
20070713,2.8,2.9,2.49,2.5,42400900,[0 0]
20070716,2.59,2.59,2.4,2.5,5210200,[1 1]
20070717,2.45,2.5,2.45,2.5,5093800,[0 0]
20070718,2.5,2.5,2.4,2.43,3919300,[0 1]
20070719,2.43,2.45,2.43,2.43,950300,[0 0]
20070720,2.42,2.44,2.31,2.44,1533100,[1 1]
20070723,2.4,2.45,2.26,2.43,3163500,[0 0]
20070724,2.4,2.4,2.3,2.35,630900,[1 0]
20070725,2.2,2.35,2.1,2.35,541300,[1 1]
20070726,2.15,2.31,2.15,2.31,319000,[0 0]
20070727,2.22,2.22,2.1,2.15,671800,[0 0]
20070730,2.1,2.4,2.1,2.4,3760900,[0 1]
20070731,2.4,2.42,2.38,2.42,861700,[0 1]
20070801,2.2,2.41,2.19,2.41,243300,[0 0]
20070802,2.41,2.42,2.4,2.4,96300,[1 0]
20070803,2.35,2.35,2.21,2.21,246300,[0 0]
20070806,2.3,2.3,2.1,2.3,979300,[1 0]
20070807,2.15,2.29,2.15,2.25,1147400,[1 0]
20070808,2.3,2.3,2.1,2.19,2016500,[0 0]
20070809,2.15,2.15,2.08,2.15,1398200,[1 0]
20070810,2.04,2.13,2.02,2.13,2248900,[1 0]
20070813,2.04,2.13,2.0,2.1,404900,[0 0]
