date,open,max,min,close,volume,y
20070430,15.0,15.0,15.0,15.0,750000,[0 1]
20070502,14.9,15.0,14.0,15.0,3368000,[1 0]
20070503,15.2,16.0,15.2,16.0,8010000,[0 1]
20070504,16.4,16.41,16.4,16.41,11486000,[0 1]
20070507,16.41,16.41,16.41,16.41,8205000,[1 1]
20070508,16.41,16.41,16.41,16.41,13784400,[0 1]
20070509,16.42,16.8,16.42,16.8,2482000,[0 1]
20070510,16.8,16.8,16.8,16.8,31416000,[0 0]
20070514,17.0,17.0,17.0,17.0,510000,[1 0]
20070515,17.5,17.5,17.5,17.5,175000,[1 0]
20070516,17.5,18.0,17.5,18.0,18575000,[0 0]
20070518,17.9,18.0,17.9,18.0,718000,[0 0]
20070522,17.99,18.5,17.99,18.5,2574700,[0 0]
20070523,18.5,18.5,18.5,18.5,1850000,[0 0]
20070525,19.0,19.0,19.0,19.0,380000,[1 1]
20070528,18.5,19.0,18.5,19.0,1115000,[0 1]
20070531,19.0,19.0,19.0,19.0,190000,[1 0]
20070601,19.15,19.2,19.15,19.2,1341500,[0 0]
20070605,19.2,19.2,19.19,19.19,28209700,[0 1]
20070606,19.2,19.5,19.2,19.5,16752000,[1 1]
20070614,19.5,19.5,19.5,19.5,1950000,[0 1]
20070622,19.5,19.5,19.5,19.5,1170000,[1 1]
20070626,19.4,19.4,19.4,19.4,194000,[1 0]
20070629,19.4,19.4,19.4,19.4,5820000,[0 0]
20070712,19.2,19.2,19.19,19.2,4990400,[0 0]
20070723,19.1,19.1,19.1,19.1,191000,[1 1]
20070810,18.69,18.9,18.69,18.9,1310900,[1 0]
20070813,18.89,18.9,18.89,18.9,19646500,[0 1]
20070816,18.39,18.49,15.0,17.8,7045100,[0 0]
20070817,18.8,18.8,18.79,18.79,3570200,[0 0]
20070822,18.5,18.9,18.5,18.9,1130000,[0 1]
20070829,18.69,18.69,18.5,18.5,556900,[0 1]
20070830,18.5,18.7,18.3,18.7,5729700,[1 1]
20070831,16.9,19.0,16.9,19.0,7403300,[1 0]
20070903,19.0,19.0,19.0,19.0,190000,[0 0]
20070904,18.99,18.99,18.99,18.99,3228300,[1 0]
20070910,18.95,18.95,18.95,18.95,1895000,[0 0]
20070918,18.95,18.95,18.95,18.95,18950000,[1 0]
20070928,19.16,20.0,17.3,20.0,23042200,[0 1]
20071002,21.0,22.0,21.0,21.0,4630100,[0 0]
20071003,22.85,26.0,20.0,23.6,10192400,[1 0]
20071004,21.62,22.4,20.1,21.99,6715500,[1 0]
20071005,22.8,22.8,20.6,22.0,3791900,[1 0]
20071008,22.4,22.4,22.4,22.4,2240000,[0 1]
20071009,22.0,22.65,22.0,22.65,446500,[1 0]
20071010,21.5,23.5,21.5,23.5,880000,[0 1]
20071011,23.0,23.5,23.0,23.5,1390000,[0 0]
20071015,22.5,23.44,22.5,23.39,1152200,[1 0]
20071016,23.0,23.0,22.0,22.0,5250000,[1 0]
20071024,22.0,22.0,22.0,22.0,3520000,[1 1]
20071025,21.0,22.0,21.0,22.0,1060000,[0 0]
20071026,21.99,22.99,21.99,22.99,13428600,[0 0]
20071029,22.99,23.0,22.5,23.0,11478500,[0 1]
20071031,23.5,24.9,23.5,24.9,5676000,[0 0]
20071105,24.5,24.5,24.5,24.5,735000,[0 1]
20071106,24.5,24.5,23.5,24.5,1930000,[1 0]
20071108,24.4,25.0,24.0,25.0,2414000,[1 1]
20071109,25.0,25.0,25.0,25.0,500000,[0 1]
20071112,25.0,25.0,25.0,25.0,250000,[0 0]
20071113,25.0,25.0,24.0,24.99,2452400,[1 0]
20071123,24.97,24.97,24.97,24.97,249700,[0 0]
20071126,24.9,24.9,24.9,24.9,249000,[1 0]
20071128,24.0,24.99,24.0,24.99,2649900,[1 1]
20071129,24.5,24.5,24.5,24.5,1225000,[0 0]
20071205,24.5,24.8,24.5,24.8,1485000,[1 0]
20071206,24.0,24.9,24.0,24.9,729000,[0 0]
20071207,25.0,25.2,24.25,24.98,2714800,[1 0]
20071210,25.0,25.0,24.8,25.0,8690000,[0 1]
20071211,25.0,25.0,24.9,25.0,11465000,[1 0]
20071212,25.0,25.0,25.0,25.0,2250000,[1 0]
20071213,23.95,24.9,23.95,24.9,728000,[1 0]
20071214,23.5,25.0,23.5,25.0,2950200,[0 0]
20071217,23.5,24.9,23.5,24.9,1230000,[0 0]
20071220,24.5,24.8,24.5,24.8,738000,[0 0]
20080108,24.4,24.4,24.4,24.4,12200000,[0 1]
20080118,24.89,24.9,24.89,24.9,1493800,[0 0]
20080121,24.0,24.2,22.0,24.0,3646000,[0 1]
20080122,24.0,24.0,23.5,23.8,14553000,[0 1]
20080123,24.0,24.0,24.0,24.0,240000,[1 1]
20080124,23.99,23.99,23.99,23.99,5037900,[1 0]
20080128,23.99,23.99,23.99,23.99,2399000,[0 1]
20080129,23.99,26.0,23.99,26.0,1219600,[0 0]
20080130,26.0,26.0,23.5,24.5,13335000,[0 0]
20080131,25.0,25.0,23.5,24.6,3707000,[1 0]
20080206,23.99,23.99,23.99,23.99,2159100,[0 0]
20080208,22.0,24.89,22.0,24.89,14158400,[0 0]
20080211,24.49,24.49,24.49,24.49,14938900,[0 0]
20080212,24.4,24.4,23.0,23.0,14360000,[0 1]
20080213,23.01,24.49,23.01,24.49,41202700,[1 1]
20080214,23.0,24.5,23.0,24.5,1165000,[1 0]
20080215,24.5,24.5,24.5,24.5,4900000,[0 0]
20080218,24.5,24.5,24.5,24.5,5390000,[1 0]
20080219,24.85,24.85,24.84,24.84,7948900,[1 0]
20080220,24.83,24.83,24.83,24.83,13408200,[1 1]
20080221,24.79,24.79,24.78,24.78,18834700,[0 1]
20080222,23.0,24.79,23.0,24.79,2702500,[0 0]
20080225,23.0,24.65,23.0,24.65,969500,[0 0]
20080229,25.0,25.5,25.0,25.5,5505000,[0 1]
20080304,24.5,25.4,24.5,25.4,49254000,[0 0]
20080305,24.5,25.42,24.5,25.42,989200,[1 0]
20080306,25.5,25.5,23.5,25.5,1765000,[1 1]
20080307,25.49,25.5,25.0,25.0,759900,[0 0]
20080310,24.5,25.4,24.5,25.0,40554000,[0 0]
20080311,24.99,24.99,24.99,24.99,249900,[0 1]
20080312,24.99,24.99,24.99,24.99,5997600,[1 0]
20080314,23.5,25.0,23.5,24.99,4483400,[1 0]
20080317,23.5,25.4,23.5,25.4,2604000,[1 0]
20080318,25.0,25.0,23.5,24.8,2848000,[0 0]
20080319,23.5,24.3,23.5,24.3,2593000,[1 0]
20080324,24.3,24.3,23.5,24.3,6222200,[0 0]
20080325,24.49,24.49,24.49,24.49,30612500,[0 0]
20080326,24.1,24.5,23.2,24.5,63292000,[1 0]
20080331,24.5,24.5,24.49,24.49,20081900,[0 0]
20080403,24.5,24.5,24.0,24.5,46530000,[0 0]
20080408,24.8,24.8,24.8,24.8,992000,[0 1]
20080409,24.5,24.5,24.5,24.5,490000,[1 1]
20080414,24.6,24.6,24.6,24.6,3690000,[0 0]
20080415,24.6,24.6,24.6,24.6,2460000,[0 0]
20080430,24.5,24.5,24.5,24.5,245000,[1 0]
20080502,24.78,25.0,24.78,25.0,1736800,[0 0]
20080505,25.0,25.0,25.0,25.0,1250000,[1 1]
20080506,24.8,25.0,24.0,25.0,49846000,[1 1]
20080508,25.0,25.0,25.0,25.0,250000,[1 1]
20080509,24.5,25.5,24.5,25.5,1485000,[0 0]
20080512,24.0,24.99,24.0,24.99,489900,[0 1]
20080514,25.0,26.0,25.0,26.0,101388900,[0 0]
20080515,26.5,26.5,26.48,26.48,76527400,[1 0]
20080516,26.49,26.49,26.48,26.48,51110700,[0 0]
20080520,26.39,26.39,26.39,26.39,26390000,[0 0]
20080528,25.6,26.49,25.0,26.49,10381700,[1 0]
20080529,25.99,25.99,23.05,25.97,59041200,[1 1]
20080530,23.6,25.5,23.6,25.4,4290000,[1 0]
20080603,25.4,25.4,25.4,25.4,15240000,[0 0]
20080604,25.4,26.1,25.4,26.1,73469000,[0 0]
20080605,26.09,26.1,26.09,26.1,48006000,[1 0]
20080606,26.09,26.09,26.09,26.09,38352300,[0 0]
20080609,26.1,27.0,26.1,27.0,47250000,[1 0]
20080610,28.0,28.0,28.0,28.0,280000,[1 1]
20080611,26.99,27.0,26.0,26.95,32999500,[1 0]
20080613,27.3,27.3,27.3,27.3,273000,[0 0]
20080616,27.29,27.29,27.29,27.29,68225000,[1 0]
20080617,27.3,27.3,27.3,27.3,273000,[0 0]
20080618,24.8,27.29,24.8,27.29,520900,[0 0]
20080623,27.29,27.29,27.29,27.29,24833900,[0 0]
20080625,27.19,28.0,26.1,27.0,788801900,[0 0]
20080630,26.54,26.54,23.52,25.0,57913900,[1 0]
20080707,23.5,26.0,22.5,25.0,4017500,[0 0]
20080708,25.0,25.0,24.99,25.0,18749600,[0 0]
20080714,24.0,25.0,24.0,25.0,15390000,[0 0]
20080716,24.9,24.9,24.9,24.9,49800000,[0 0]
20080718,24.9,25.0,24.9,25.0,62280000,[1 0]
20080724,24.8,24.8,24.8,24.8,42160000,[0 0]
20080725,23.5,24.0,23.5,24.0,3765000,[1 0]
20080729,23.0,23.0,23.0,23.0,3450000,[0 0]
20080730,25.0,25.0,25.0,25.0,250000,[0 0]
20080731,23.0,24.4,22.0,23.95,19425700,[1 1]
20080814,24.62,24.62,24.62,24.62,7632200,[0 0]
20080815,24.6,25.49,24.6,25.49,972200900,[0 0]
20080819,24.5,25.5,24.5,25.5,745000,[0 0]
20080820,26.5,26.5,26.5,26.5,265000,[1 0]
20080827,25.2,25.2,23.0,23.0,5580000,[0 0]
20080828,22.0,23.0,22.0,23.0,26630000,[1 0]
20080902,21.5,24.7,21.5,24.7,1967000,[0 0]
20080904,24.5,24.5,24.5,24.5,245000,[1 1]
20080908,24.5,24.5,24.5,24.5,490000,[1 0]
20080917,20.0,24.45,20.0,24.44,8733300,[1 1]
20080918,23.01,24.2,22.1,24.15,20647600,[0 0]
20080919,26.0,26.0,24.0,25.8,5678000,[0 0]
20081006,23.99,23.99,23.99,23.99,719700,[0 0]
20081007,23.99,23.99,23.99,23.99,167930000,[0 0]
20081110,21.55,22.49,21.55,22.49,440400,[0 1]
20081111,20.8,22.4,20.8,22.4,432000,[0 1]
20081119,21.0,21.0,21.0,21.0,210000,[0 1]
20081121,18.5,20.99,18.5,20.99,2264800,[0 1]
20081208,19.0,19.05,19.0,19.05,1901500,[0 0]
20081209,18.2,18.2,18.2,18.2,3094000,[1 0]
20081210,18.3,18.3,18.3,18.3,183000,[0 0]
20081211,19.9,19.9,19.0,19.0,8971500,[0 1]
20081219,19.75,19.75,19.75,19.75,197500,[0 1]
20090107,18.5,19.9,18.5,19.9,384000,[1 1]
20090129,19.9,19.9,19.9,19.9,1990000,[0 1]
20090204,18.3,19.4,18.3,19.3,753000,[0 0]
20090205,18.7,18.7,18.7,18.7,187000,[1 0]
20090206,20.0,20.0,20.0,20.0,200000,[0 1]
20090218,19.4,19.4,19.25,19.25,19592500,[0 0]
20090226,20.0,20.0,20.0,20.0,200000,[0 0]
20090303,19.5,19.5,19.0,19.0,1925000,[0 0]
20090304,19.5,19.99,19.5,19.5,6923000,[0 0]
20090305,19.99,19.99,19.99,19.99,999500,[1 0]
20090310,19.2,19.2,19.2,19.2,192000,[1 1]
20090320,20.0,20.0,20.0,20.0,200000,[1 0]
