date,open,max,min,close,volume,y
20070727,24.01,24.85,23.1,24.0,9715989000,[0 1]
20070730,24.22,24.49,23.61,23.9,1517764200,[0 0]
20070731,24.05,24.85,23.91,24.5,5384609100,[0 1]
20070801,24.0,24.5,23.85,24.5,2096897600,[1 1]
20070802,24.5,24.5,24.02,24.5,1567767900,[0 1]
20070803,24.2,24.43,23.33,24.1,692926200,[0 0]
20070806,23.89,24.5,23.33,24.5,1441315600,[0 0]
20070807,24.36,25.4,24.21,25.4,1963784600,[0 1]
20070808,25.2,26.29,25.1,26.09,2113652800,[1 1]
20070809,25.44,25.81,25.0,25.3,1027593200,[1 1]
20070810,24.45,26.0,24.45,26.0,436741000,[1 0]
20070813,25.79,25.8,24.6,25.15,1488781100,[0 0]
20070814,25.0,25.8,23.8,23.85,790541300,[1 1]
20070815,23.6,23.9,22.0,23.8,5261093600,[0 0]
20070816,22.69,22.69,19.02,21.5,3850413500,[1 0]
20070817,22.02,23.0,20.03,21.45,3953401400,[1 0]
20070820,22.01,22.65,21.2,21.99,197083100,[0 0]
20070821,22.2,22.33,21.85,22.0,1266766600,[0 0]
20070822,22.3,23.0,22.2,22.6,972470700,[1 0]
20070823,22.85,23.75,22.85,23.75,561830600,[0 0]
20070824,23.1,24.4,23.0,24.4,896339400,[0 1]
20070827,24.4,25.0,23.52,25.0,633954000,[0 1]
20070828,24.13,24.4,23.76,23.8,100743100,[1 1]
20070829,23.79,24.1,23.7,23.7,467489500,[0 0]
20070830,23.5,23.8,23.1,23.4,353733400,[1 1]
20070831,23.68,23.99,23.41,23.72,252421800,[1 0]
20070903,23.56,24.19,23.36,24.01,60537500,[0 0]
20070904,23.82,24.47,23.82,24.0,269730600,[0 0]
20070905,23.99,23.99,23.53,23.7,91348500,[1 1]
20070906,23.7,24.3,23.7,24.3,319634800,[0 1]
20070910,23.73,24.0,23.65,24.0,218866000,[0 1]
20070911,23.6,24.2,23.6,24.1,1533156800,[1 0]
20070912,24.0,24.5,23.75,24.0,577428600,[0 1]
